element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ac,4,206.200,0.010,,,20w,,,,,,,,,,,,,L7344,
Ac,2,206.4280,0.0013,,,14000h,,,,,,,,,,,,,L7344,
Ac,2,210.0000,0.0013,,,27000h,,,,,,,,,,,,,L7344,
Ac,2,210.2240,0.0013,,,3400h,,,,,,,,,,,,,L7344,
Ac,2,226.1749,0.0006,226.17478,0.00020,12000,2.04e+08,C+,0.00,44199.914,7s2,1S,0,7s.7p,1P*,1,,T10463,L7344,
Ac,2,230.7500,0.0013,,,9800h,,,,,,,,,,,,,L7344,
Ac,2,231.6060,0.0013,,,3500,,,,,,,,,,,,,L7344,
Ac,2,234.4871,0.0006,234.48721,0.00022,4100,8.e+06,E,7426.489,50059.68,6d.7s,3D,3,5f.6d,3D*,3,,T10463,L7344,
Ac,2,250.1391,0.0006,250.13942,0.00019,2500,8.e+06,E,4739.631,44705.290,6d.7s,3D,1,5f.6d,1D*,2,,T10463,L7344,
Ac,4,250.212,0.010,,,30w,,,,,,,,,,,,,L7344,
Ac,2,253.4851,0.0006,253.48546,0.00019,3800,6.0e+06,E,5267.147,44705.290,6d.7s,3D,2,5f.6d,1D*,2,,T10463,L7344,
Ac,4,255.808,0.010,,,100w,,,,,,,,,,,,,L7344,
Ac,3,262.6440,0.0006,262.6439,0.0006,300000h,3.97e+08,A,0.00,38063.01,7s,2S,1/2,7p,2P*,3/2,,"T9249,T8388",L7344,
Ac,2,263.0192,0.0007,263.01960,0.00021,36000,4.2e+07,C+,5267.147,43275.794,6d.7s,3D,2,5f.6d,3F*,3,,T10463,L7344,
Ac,2,265.7809,0.0007,265.78099,0.00021,47000c,4.61e+07,C+,7426.489,45040.26,6d.7s,3D,3,5f.6d,3F*,4,,T10463,L7344,
Ac,3,268.2900,0.0006,268.2899,0.0004,23000h,2.89e+07,A,800.97,38063.01,6d,2D,3/2,7p,2P*,3/2,,"T9249,T8388",L7344,
Ac,2,270.5609,0.0007,270.5616,0.0005,3300h,2.1e+07,E,19202.962,56152.16,6d2,3P,2,5f.6d,1P*,1,,T10463,L7344,
Ac,2,271.2502,0.0007,271.24967,0.00022,27000,1.8e+07,E,0.00,36855.480,7s2,1S,0,6d.7p,3P*,1,,T10463,L7344,
Ac,2,271.3718,0.0007,271.37154,0.00022,18000,1.4e+07,D,4739.631,41578.56,6d.7s,3D,1,5f.6d,3F*,2,,T10463,L7344,
Ac,2,272.6232,0.0007,272.62268,0.00016,20000,1.42e+07,D+,5267.147,41937.021,6d.7s,3D,2,6d.7p,1F*,3,,T10463,L7344,
Ac,2,272.9740,0.0013,272.9718,0.0006,5700h,2.85e+08,C+,22180.533,58803.51,7s.7p,3P*,1,6d.8s,1D,2,,T10463,L7344,
Ac,2,275.3150,0.0008,275.31412,0.00023,6300c,7.4e+06,E,5267.147,41578.56,6d.7s,3D,2,5f.6d,3F*,2,,T10463,L7344,
Ac,2,275.8369,0.0008,275.83671,0.00023,2500,,,13236.418,49479.04,6d2,3F,2,5f.6d,3D*,2,,,L7344,
Ac,2,276.0180,0.0013,276.0161,0.0004,12000hl,2.60e+08,C+,20956.42,57175.49,7s.7p,3P*,0,7p2,3P,1,,T10463,L7344,
Ac,2,278.1560,0.0013,278.1530,0.0005,7000hl,4.0e+07,C+,22180.533,58121.36,7s.7p,3P*,1,7s.7d,3D,2,,T10463,L7344,
Ac,2,278.8640,0.0008,278.86319,0.00023,2900,5.2e+06,E,7426.489,43275.794,6d.7s,3D,3,5f.6d,3F*,3,,T10463,L7344,
Ac,4,279.083,0.010,,,5w,,,,,,,,,,,,,L7344,
Ac,4,279.390,0.010,,,50w,,,,,,,,,,,,,L7344,
Ac,2,279.7590,0.0013,279.7590,0.0013,27000,2.57e+08,C+,20848.198,56582.72?,6d2,1G,4,5f.6d,1H*,5,,T10463,L7344,
Ac,2,279.8050,0.0013,,,2600h,,,,,,,,,,,,,L7344,
Ac,2,280.6759,0.0008,280.67602,0.00024,23000,3.5e+07,C+,9087.517,44705.290,6d.7s,1D,2,5f.6d,1D*,2,,T10463,L7344,
Ac,2,282.6270,0.0013,,,2500,,,,,,,,,,,,,L7344,
Ac,2,283.1560,0.0013,,,3400,,,,,,,,,,,,,L7344,
Ac,2,283.3472,0.0008,283.3481,0.0003,8500,3.2e+07,D+,13236.418,48518.32,6d2,3F,2,5f.6d,3D*,1,,T10463,L7344,
Ac,2,284.7160,0.0008,284.71601,0.00016,100000hl,2.68e+08,C+,9087.517,44199.914,6d.7s,1D,2,7s.7p,1P*,1,,T10463,L7344,
Ac,2,285.6730,0.0013,285.6715,0.0004,6800h,1.73e+08,C+,22180.533,57175.49,7s.7p,3P*,1,7p2,3P,1,,T10463,L7344,
Ac,2,286.4110,0.0013,286.4116,0.0007,1800h,6.3e+07,C+,29250.366,64154.91?,6d.7p,1P*,1,6d.7d,1D,2,,T10463,L7344,
Ac,2,289.5200,0.0008,289.5195,0.0003,8800,2.7e+07,C,14949.173,49479.04,6d2,3F,3,5f.6d,3D*,2,,T10463,L7344,
Ac,2,289.6820,0.0008,289.68171,0.00019,40000c,3.09e+07,C+,7426.489,41937.021,6d.7s,3D,3,6d.7p,1F*,3,,T10463,L7344,
Ac,2,290.5810,0.0013,290.5790,0.0004,2800h,5.9e+07,C+,29881.055,64285.02,6d.7p,3F*,3,6d.7d,3F,4,,T10463,L7344,
Ac,2,292.3019,0.0009,292.3011,0.0003,36000,1.76e+07,C+,7426.489,41627.78,6d.7s,3D,3,5f.6d,1G*,4,,T10463,L7344,
Ac,2,292.4121,0.0009,292.41234,0.00026,7200,,,9087.517,43275.794,6d.7s,1D,2,5f.6d,3F*,3,,,L7344,
Ac,2,293.1460,0.0013,293.1445,0.0005,7100hl,1.87e+08,C+,28201.120,62304.01,7s.7p,3P*,2,6d.7d,3D,2,,T10463,L7344,
Ac,2,293.5800,0.0009,293.5802,0.0004,2500,4.4e+06,E,19202.962,53255.25,6d2,3P,2,5f.6d,1F*,3,,T10463,L7344,
Ac,2,294.4421,0.0009,294.4410,0.0006,2300,8.6e+07,C+,22199.428,56152.16,6d2,1D,2,5f.6d,1P*,1,,T10463,L7344,
Ac,3,295.2550,0.0006,295.2551,0.0005,230000h,2.30e+08,A,4203.89,38063.01,6d,2D,5/2,7p,2P*,3/2,,"T9249,T8388",L7344,
Ac,2,295.8490,0.0013,295.8480,0.0006,3400hl,1.05e+08,C+,26446.928,60238.20,6d.7p,3F*,2,6d.7d,3F,2,,T10463,L7344,
Ac,2,296.6449,0.0009,296.6444,0.0003,2100h,6.1e+07,C+,29881.055,63581.61,6d.7p,3F*,3,6d.7d,3F,3,,T10463,L7344,
Ac,1,296.8819,0.0004,296.881417,0.000013,23,9.e+06,E,0.000,33673.650,6d.7s2,2D,3/2,6d2.(3P).7p,4D*,3/2,,T10463,L7344,
Ac,2,297.2491,0.0009,297.24926,0.00019,4000c,4.8e+06,E,4739.631,38371.612,6d.7s,3D,1,6d.7p,3P*,2,,T10463,L7344,
Ac,2,299.4170,0.0009,299.4165,0.0004,160000,2.82e+08,C+,0.00,33388.554,7s2,1S,0,6d.7p,3D*,1,,T10463,L7344,
Ac,2,299.6682,0.0009,299.66749,0.00027,5400hl,1.70e+08,C+,26446.928,59807.52,6d.7p,3F*,2,6d.7d,1F,3,,T10463,L7344,
Ac,2,300.1877,0.0009,300.1872,0.0004,11000,3.16e+07,C+,16756.847,50059.68,6d2,3F,4,5f.6d,3D*,3,,T10463,L7344,
Ac,2,301.5400,0.0013,301.5393,0.0004,2800h,2.44e+07,C,22180.533,55334.05,7s.7p,3P*,1,5f.7p,3F,2,,T10463,L7344,
Ac,2,301.9868,0.0009,301.98610,0.00017,110000c,7.3e+07,C+,5267.147,38371.612,6d.7s,3D,2,6d.7p,3P*,2,,T10463,L7344,
Ac,2,303.0459,0.0009,303.0453,0.0003,2400hl,8.7e+06,D+,29881.055,62869.82,6d.7p,3F*,3,5f.7p,1G,4,,T10463,L7344,
Ac,1,303.6930,0.0004,303.692940,0.000015,87,6.e+06,E,0.000,32918.416,6d.7s2,2D,3/2,6d2.(3P).7p,2D*,3/2,,T10463,L7344,
Ac,2,304.3301,0.0009,304.33006,0.00020,270000,2.44e+08,C+,9087.517,41937.021,6d.7s,1D,2,6d.7p,1F*,3,,T10463,L7344,
Ac,2,306.4251,0.0009,306.4252,0.0004,9800hl,1.04e+08,C+,26446.928,59071.84,6d.7p,3F*,2,5f.7p,1F,3,,T10463,L7344,
