element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Al,13,,0.543518962,0.000000003,6g,1.2019e+11,AA,0.00,(18398622.135),1s,2S,1/2,10p,2P*,3/2,,T7771,,
Al,13,,0.543521444,0.000000003,3g,1.1976e+11,AA,0.00,(18398538.100),1s,2S,1/2,10p,2P*,1/2,,T7771,,
Al,13,,0.544807813,0.000000003,7g,1.6513e+11,AA,0.00,(18355096.540),1s,2S,1/2,9p,2P*,3/2,,T7771,,
Al,13,,0.544811235,0.000000003,3g,1.6457e+11,AA,0.00,(18354981.256),1s,2S,1/2,9p,2P*,1/2,,T7771,,
Al,13,0.54634,0.546620026,0.000000003,12g*,2.3565e+11,AA,0.00,(18294243.777),1s,2S,1/2,8p,2P*,3/2,,T7771,L2560c7,
Al,13,0.54634,0.546624931,0.000000003,12g*,2.3487e+11,AA,0.00,(18294079.617),1s,2S,1/2,8p,2P*,1/2,,T7771,L2560c7,
Al,13,0.54914,0.549285153,0.000000003,15g*,3.5291e+11,AA,0.00,(18205480.237),1s,2S,1/2,7p,2P*,3/2,,T7771,L2560c7,
Al,13,0.54914,0.549292547,0.000000003,15g*,3.5182e+11,AA,0.00,(18205235.167),1s,2S,1/2,7p,2P*,1/2,,T7771,L2560c7,
Al,13,0.55341,0.553442924,0.000000003,20g*,5.6324e+11,AA,0.00,(18068710.539),1s,2S,1/2,6p,2P*,3/2,,T7771,L2560c7,
Al,13,0.55341,0.553454846,0.000000003,20g*,5.6164e+11,AA,0.00,(18068321.319),1s,2S,1/2,6p,2P*,1/2,,T7771,L2560c7,
Al,13,0.56039,0.560479391,0.000000003,30g*,9.8145e+11,AA,0.00,(17841869.234),1s,2S,1/2,5p,2P*,3/2,,T7771,L2560c7,
Al,13,0.56039,0.560500523,0.000000003,30g*,9.7906e+11,AA,0.00,(17841196.54),1s,2S,1/2,5p,2P*,1/2,,T7771,L2560c7,
Al,13,0.57392,0.573912650,0.000000003,60g*,1.9468e+12,AA,0.00,(17424254.38),1s,2S,1/2,4p,2P*,3/2,,T7771,L2560c7,
Al,13,0.57392,0.573955937,0.000000004,60g*,1.9433e+12,AA,0.00,(17422940.26),1s,2S,1/2,4p,2P*,1/2,,T7771,L2560c7,
Al,12,0.59925,0.6000035,0.0000010,10g,1.96e+11,A+,0.0,(16666570),1s2,1S,0,1s.10p,1P*,1,,T5072,L2560c7,
Al,12,0.60100,0.6013401,0.0000010,15g,2.70e+11,A+,0.0,(16629524),1s2,1S,0,1s.9p,1P*,1,,T5072,L2560c7,
Al,12,0.60299,0.6032186,0.0000010,20g,3.84e+11,A+,0.0,(16577738),1s2,1S,0,1s.8p,1P*,1,,T5072,L2560c7,
Al,13,0.60529,0.605252825,0.000000005,200g*,4.7745e+12,AA,0.00,(16522021.18),1s,2S,1/2,3p,2P*,3/2,,T7771,L2560c7,
Al,13,0.60529,0.605366979,0.000000005,200g*,4.7723e+12,AA,0.00,(16518905.64),1s,2S,1/2,3p,2P*,1/2,,T7771,L2560c7,
Al,12,0.60595,0.6059794,0.0000010,25g,5.75e+11,A+,0.0,(16502212),1s2,1S,0,1s.7p,1P*,1,,T5072,L2560c7,
Al,12,0.61010,0.6102819,0.0000010,35g,9.16e+11,AA,0.0,(16385870),1s2,1S,0,1s.6p,1P*,1,,T5072,L2560c7,
Al,12,0.61750,0.6175515,0.0000010,50g,1.59e+12,AA,0.0,(16192981),1s2,1S,0,1s.5p,1P*,1,,T5072,L2560c7,
Al,12,0.63142,0.6313899,0.0000010,100g,3.13e+12,AA,0.0,(15838074),1s2,1S,0,1s.4p,1P*,1,,T5072,L7418c8,
