element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
Am,2,270.635,,100s,,,,,,,L3500,
Am,2,272.869,,100s,,,,,,,L3500,
Am,2,275.655,,200s,,,,,,,L3500,
Am,2,281.210,,100l,,,,,,,L3500,
Am,2,281.292,,200s,,,,,,,L3500,
Am,2,281.528,,1000l,,,,,,,L3500,
Am,2,281.598,,100s,,,,,,,L3500,
Am,2,283.124,,100l,,,,,,,L3500,
Am,2,283.226,,5000s,,,,,,,L3500,
Am,2,283.395,,100l,,,,,,,L3500,
Am,2,286.192,,100l,,,,,,,L3500,
Am,2,286.620,,100s,,,,,,,L3500,
Am,2,288.851,,1000l,,,,,,,L3500,
Am,2,289.329,,100l,,,,,,,L3500,
Am,2,289.956,,200l,,,,,,,L3500,
Am,2,290.986,,100l,,,,,,,L3500,
Am,2,291.113,,200l,,,,,,,L3500,
Am,2,292.059,,1000s,,,,,,,L3500,
Am,2,292.753,,200l,,,,,,,L3500,
Am,2,293.699,,200l,,,,,,,L3500,
Am,2,293.908,,100l,,,,,,,L3500,
Am,2,295.039,,500l,,,,,,,L3500,
Am,2,295.705,,100s,,,,,,,L3500,
Am,2,295.839,,100l,,,,,,,L3500,
Am,2,296.302,,100l,,,,,,,L3500,
Am,2,296.671,,1000l,,,,,,,L3500,
Am,2,296.929,,1000l,,,,,,,L3500,
Am,2,298.724,,1000s,,,,,,,L3500,
Am,2,299.351,,500l,,,,,,,L3500,
Am,2,300.425,,1000s,,,,,,,L3500,
Am,2,302.799,,500s,,,,,,,L3500,
Am,2,302.886,,100l,,,,,,,L3500,
Am,2,303.836,,500l,,,,,,,L3500,
Am,2,305.369,,200s,,,,,,,L3500,
Am,2,312.049,,2000s,,,,,,,L3500,
Am,2,316.183,,200s,,,,,,,L3500,
Am,2,316.786,,100s,,,,,,,L3500,
Am,2,320.326,,100l,,,,,,,L3500,
Am,2,328.232,,500s,,,,,,,L3500,
Am,2,328.667,,200l,,,,,,,L3500,
Am,1,334.387,,100l,,,,,,,L3500,
Am,2,336.255,,500s,,,,,,,L3500,
Am,1,339.501,,200l,,,,,,,L3500,
Am,2,341.966,,200s,,,,,,,L3500,
Am,1,344.619,,200,,,,,,,L3500,
Am,2,345.210,,1000l,,,,,,,L3500,
Am,2,348.331,,5000l,,,,,,,L3500,
Am,1,351.013,,5000,,,,,,,L3500,
Am,1,353.095,,1000l,,,,,,,L3500,
Am,2,356.268,,200s,,,,,,,L3500,
Am,1,356.916,,5000,,,,,,,L3500,
Am,2,359.607,,100s,,,,,,,L3500,
Am,1,360.341,,500,,,,,,,L3500,
Am,1,367.312,,5000,,,,,,,L3500,
Am,2,368.457,,100l,,,,,,,L3500,
Am,2,369.642,,1000s,,,,,,,L3500,
Am,2,370.786,,100l,,,,,,,L3500,
Am,2,377.750,,5000l,,,,,,,L3500,
Am,2,392.625,,5000l,,,,,,,L3500,
Am,2,395.258,,1000l,,,,,,,L3500,
Am,1,402.025,,100s,,,,,,,L3500,
Am,1,403.581,,100s,,,,,,,L3500,
Am,2,403.637,,500s,,,,,,,L3500,
Am,2,408.929,,5000s,,,,,,,L3500,
Am,2,408.932,,100l,,,,,,,L3500,
Am,1,414.096,,100s,,,,,,,L3500,
Am,2,418.812,,1000s,,,,,,,L3500,
Am,1,426.555,,1000,,,,,,,L3500,
Am,1,428.926,,5000,,,,,,,L3500,
Am,2,430.965,,200s,,,,,,,L3500,
Am,2,432.457,,2000s,,,,,,,L3500,
Am,2,444.136,,2000s,,,,,,,L3500,
Am,2,450.945,,5000l,,,,,,,L3500,
Am,2,457.559,,5000l,,,,,,,L3500,
Am,2,459.331,,1000s,,,,,,,L3500,
Am,1,464.912,,100l,,,,,,,L3500,
Am,1,465.345,,100l,,,,,,,L3500,
Am,1,466.279,,5000l,,,,,,,L3500,
Am,1,468.165,,2000l,,,,,,,L3500,
Am,2,469.970,,2000l,,,,,,,L3500,
Am,1,470.680,,1000l,,,,,,,L3500,
Am,2,487.222,,2000l,,,,,,,L3500,
Am,1,499.079,,200l,,,,,,,L3500,
Am,1,500.021,,100s,,,,,,,L3500,
Am,2,502.096,,1000l,,,,,,,L3500,
Am,2,521.599,,200l,,,,,,,L3500,
Am,1,540.262,,1000s,,,,,,,L3500,
Am,1,542.470,,1000s,,,,,,,L3500,
Am,2,558.421,,1000l,,,,,,,L3500,
Am,1,559.813,,1000s,,,,,,,L3500,
Am,1,605.464,,10000l,,,,,,,L3500,
Am,1,640.511,,1000l,,,,,,,L3500,
Am,1,654.416,,500l,,,,,,,L3500,
Am,1,695.558,,500s,,,,,,,L3500,

