element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
As,5,60.07,,25,,,,,,,,,,,,,L3372,
As,5,61.60,,40,,,,,,,,,,,,,L3372,
As,5,71.55,,120,,,,,,,,,,,,,L3372,
As,5,73.48,,150,,,,,,,,,,,,,L3372,
As,5,73.72,,60,,,,,,,,,,,,,L3372,
As,2,76.124,,165,,,,,,,,,,,,,L820,
As,2,80.283,,165,,,,,,,,,,,,,L820,
As,3,84.99,,185,,,,,,,,,,,,,L3275,
As,3,86.63,,185,,,,,,,,,,,,,L3275,
As,3,87.17,,510,,,,,,,,,,,,,L3275,
As,3,88.90,,325,,,,,,,,,,,,,L3275,
As,3,92.75,,325,,,,,,,,,,,,,L3275,
As,3,93.72,,325,,,,,,,,,,,,,L3275,
As,3,95.36,,325,,,,,,,,,,,,,L3275,
As,3,96.38,,325,,,,,,,,,,,,,L3275,
As,5,98.77,,250,,,,,,,,,,,,,L3372,
As,2,102.196,,340,,,,,,,,,,,,,L820,
As,5,102.95,,250,,,,,,,,,,,,,L3372,
As,5,105.16,,40,,,,,,,,,,,,,L3372,
As,5,105.66,,60,,,,,,,,,,,,,L3372,
As,2,108.235,,340,,,,,,,,,,,,,L820,
As,2,113.940,,500,,,,,,,,,,,,,L820,
As,2,114.931,,615,,,,,,,,,,,,,L820,
As,3,117.22,,120,,,,,,,,,,,,,L3275,
As,2,118.151,,555,,,,,,,,,,,,,L820,
As,2,118.987,,555,,,,,,,,,,,,,L820,
As,2,119.638,,615,,,,,,,,,,,,,L820,
As,2,119.656,,615,,,,,,,,,,,,,L820,
As,2,120.744,,340,,,,,,,,,,,,,L820,
As,3,120.93,,185,,,,,,,,,,,,,L3275,
As,2,121.117,,800,,,,,,,,,,,,,L820,
As,2,121.810,,800,,,,,,,,,,,,,L820,
As,2,122.315,,340,,,,,,,,,,,,,L820,
As,2,124.131,,760,,,,,,,,,,,,,L820,
As,2,124.308,,965,,,,,,,,,,,,,L820,
As,2,124.567,,870,,,,,,,,,,,,,L820,
As,2,125.858,,800,,,,,,,,,,,,,L820,
As,2,126.377,,965,,,,,,,,,,,,,L820,
As,2,126.634,,800,,,,,,,,,,,,,L820,
As,2,126.759,,800,,,,,,,,,,,,,L820,
As,2,128.099,,715,,,,,,,,,,,,,L820,
As,2,128.754,,715,,,,,,,,,,,,,L820,
As,2,130.570,,715,,,,,,,,,,,,,L820,
As,2,130.774,,340,,,,,,,,,,,,,L820,
As,2,133.315,,760,,,,,,,,,,,,,L820,
As,2,134.155,,965,,,,,,,,,,,,,L820,
As,2,135.593,,760,,,,,,,,,,,,,L820,
As,2,136.977,,965,,,,,,,,,,,,,L820,
As,2,137.365,,800,,,,,,,,,,,,,L820,
As,2,137.507,,1000,,,,,,,,,,,,,L820,
As,2,137.578,,760,,,,,,,,,,,,,L820,
As,2,139.464,,800,,,,,,,,,,,,,L820,
As,2,140.031,,800,,,,,,,,,,,,,L820,
As,2,144.859,,500,,,,,,,,,,,,,L820,
As,2,155.888,,500,,,,,,,,,,,,,L820,
As,2,157.099,,500,,,,,,,,,,,,,L820,
As,1,159.360,159.360+,100r,,,0.0,62751.1,4s2.4p3,4S*,3/2,4s2.4p2.(3P).4d,4P,5/2,,,L4831,
As,2,166.055,,500,,,,,,,,,,,,,L820,
As,1,175.860,175.859+,100,,,0.0,56863.6,4s2.4p3,4S*,3/2,4s.4p4,4P,3/2,,,L4831,
As,1,180.615,180.615+,170,,,0.0,55366.4,4s2.4p3,4S*,3/2,4s.4p4,4P,5/2,,,L4831,
As,2,186.034,,340,,,,,,,,,,,,,L820,
As,1,189.042,189.043+,1000r,2.66e+08,C+,0.0,52897.9,4s2.4p3,4S*,3/2,4s2.4p2.(3P).5s,4P,5/2,,T7227,L4831,
As,2,191.294,,500,,,,,,,,,,,,,L820,
As,1,193.759,193.760+,800r,2.19e+08,C+,0.0,51610.2,4s2.4p3,4S*,3/2,4s2.4p2.(3P).5s,4P,3/2,,T7227,L4831,
As,1,197.262,197.263+,585r,2.02e+08,C+,0.0,50693.8,4s2.4p3,4S*,3/2,4s2.4p2.(3P).5s,4P,1/2,,T7227,L4831,
As,1,199.035,199.035+,170r,,,10592.5,60834.8,4s2.4p3,2D*,3/2,4s2.4p2.(1D).5s,2D,3/2,,,L4831,
As,1,199.113,199.114+,100r,,,10592.5,60815.0,4s2.4p3,2D*,3/2,4s2.4p2.(1D).5s,2D,5/2,,,L4831,
As,1,199.543,199.543+,100r,,,18186.1,68300.6,4s2.4p3,2P*,1/2,4s.4p4,2D,3/2,,,L4831,
