element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Au,3,77.973,,30,,,,,,,,,,,,,L7348,
Au,3,78.878,,30,,,,,,,,,,,,,L7348,
Au,3,79.993,,50,,,,,,,,,,,,,L7348,
Au,3,81.183,,40,,,,,,,,,,,,,L1336,
Au,3,81.795,,50,,,,,,,,,,,,,L1336,
Au,3,82.006,,40,,,,,,,,,,,,,L1336,
Au,3,83.316,,80,,,,,,,,,,,,,L1336,
Au,3,84.344,,100,,,,,,,,,,,,,L1336,
Au,3,84.514,,100,,,,,,,,,,,,,L7348,
Au,3,85.549,,80,,,,,,,,,,,,,L1336,
Au,3,85.990,,80,,,,,,,,,,,,,L1336,
Au,3,86.342,,80,,,,,,,,,,,,,L1336,
Au,3,90.103,,80,,,,,,,,,,,,,L1336,
Au,3,91.045,,80,,,,,,,,,,,,,L1336,
Au,3,92.402,,80,,,,,,,,,,,,,L1336,
Au,3,94.510,,200,,,,,,,,,,,,,L1336,
Au,2,95.778,,20,,,,,,,,,,,,,L1336,
Au,2,96.794,,3,,,,,,,,,,,,,L1336,
Au,2,97.447,,3,,,,,,,,,,,,,L1336,
Au,2,98.224,,2,,,,,,,,,,,,,L1336,
Au,3,104.063,,100,,,,,,,,,,,,,L1336,
Au,3,104.449,,80,,,,,,,,,,,,,L1336,
Au,3,104.681,,80,,,,,,,,,,,,,L1336,
Au,2,106.696,,8,,,,,,,,,,,,,L1336,
Au,2,109.078,,8,,,,,,,,,,,,,L1336,
Au,2,109.492,,5,,,,,,,,,,,,,L1336,
Au,2,110.331,,20,,,,,,,,,,,,,L1336,
Au,2,116.676,,3,,,,,,,,,,,,,L1336,
Au,2,121.086,,5,,,,,,,,,,,,,L1336,
Au,2,122.457,122.45923+,20,,,0.00,81659.828,5d10,1S,0,5d9.6p,"(5/2,3/2)*",1,,,L1336,
Au,3,123.996,,100w,,,,,,,,,,,,,L1336,
Au,3,127.851,,100,,,,,,,,,,,,,L1336,
Au,1,130.534,,40w,,,,,,,,,,,,,L4231,
Au,1,131.047,,25,,,,,,,,,,,,,L4231,
Au,3,131.484,,100,,,,,,,,,,,,,L1336,
Au,1,132.837,,100w,,,,,,,,,,,,,L4231,
Au,2,133.626,,3,,,,,,,,,,,,,L1336,
Au,3,133.672,,200,,,,,,,,,,,,,L1336,
Au,1,133.837,,10w,,,,,,,,,,,,,L4231,
Au,3,134.168,,180,,,,,,,,,,,,,L1336,
Au,1,134.280,,10w,,,,,,,,,,,,,L4231,
Au,3,134.889,,100,,,,,,,,,,,,,L1336,
Au,1,135.009,,20,,,,,,,,,,,,,L4231,
