element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
B,5,3.703,0.006,3.702002103,0.000000007,10*,5.1626e+09,AA,0.000,(2701241.03721),1s,2S,1/2,8p,2P*,3/2,,T7771,"L4250,L12548",
B,5,3.703,0.006,3.702007005,0.000000007,10*,5.1601e+09,AA,0.000,(2701237.45990),1s,2S,1/2,8p,2P*,1/2,,T7771,,
B,5,3.721,0.006,3.720074621,0.000000007,20*,7.7311e+09,AA,0.000,(2688118.12078),1s,2S,1/2,7p,2P*,3/2,,T7771,"L4250,L12548",
B,5,3.721,0.006,3.720082011,0.000000007,20*,7.7276e+09,AA,0.000,(2688112.78079),1s,2S,1/2,7p,2P*,1/2,,T7771,,
B,5,3.748,0.006,3.748267927,0.000000007,80*,1.2339e+10,AA,0.000,(2667898.93187),1s,2S,1/2,6p,2P*,3/2,,T7771,L3762,
B,5,3.748,0.006,3.748279841,0.000000007,80*,1.2334e+10,AA,0.000,(2667890.45198),1s,2S,1/2,6p,2P*,1/2,,T7771,,
B,5,3.794,0.006,3.795979929,0.000000007,150*,2.1499e+10,AA,0.000,(2634365.87841),1s,2S,1/2,5p,2P*,3/2,,T7771,L3762,
B,5,3.794,0.006,3.796001044,0.000000007,150*,2.1491e+10,AA,0.000,(2634351.22480),1s,2S,1/2,5p,2P*,1/2,,T7771,,
B,5,3.887,0.006,3.887066530,0.000000008,300*,4.2645e+10,AA,0.000,(2572634.12441),1s,2S,1/2,4p,2P*,3/2,,T7771,L3762,
B,5,3.887,0.006,3.887109775,0.000000008,300*,4.2633e+10,AA,0.000,(2572605.50321),1s,2S,1/2,4p,2P*,1/2,,T7771,,
B,5,4.098,0.006,4.099598077,0.000000008,1000*,1.0460e+11,AA,0.000,(2439263.51151),1s,2S,1/2,3p,2P*,3/2,,T7771,L3762,
B,5,4.098,0.006,4.099712104,0.000000008,1000*,1.0459e+11,AA,0.000,(2439195.6667),1s,2S,1/2,3p,2P*,1/2,,T7771,,
B,4,4.3350,0.0020,4.3368,0.0008,1*,,,[1636933],3942800,1s.2p,3P*,1,2p.3p,3P,"0,1,2",,,"L4250,L12548",
B,4,4.3350,0.0020,4.3368,0.0008,1*,,,[1636949],3942800,1s.2p,3P*,0,2p.3p,3P,"0,1,2",,,"L4250,L12548",
B,4,4.3350,0.0020,4.3369,0.0008,1*,,,[1636986],3942800,1s.2p,3P*,2,2p.3p,3P,"0,1,2",,,"L4250,L12548",
B,4,4.3590,0.0020,4.3604,0.0007,2*,,,[1636949],3930300,1s.2p,3P*,0,2p.3p,3D,"1,2,3",,,"L4250,L12548",
B,4,4.3590,0.0020,4.3604,0.0008,2*,,,[1636933],3930300,1s.2p,3P*,1,2p.3p,3D,"1,2,3",,,"L4250,L12548",
B,4,4.3590,0.0020,4.3605,0.0008,2*,,,[1636986],3930300,1s.2p,3P*,2,2p.3p,3D,"1,2,3",,,"L4250,L12548",
B,4,4.8304,0.0008,4.83007,0.00005,7bl*,,,0.000,[2070365.4],1s2,1S,0,1s.9p,1P*,1,,,"L5145,L12548",
B,4,4.8304,0.0008,4.8306,0.0011,7bl*,,,[1896851.5],3967000,1s.3d,1D,2,2p.3d,1F*,3,,,"L5145,L12548",
B,4,4.8437,0.0007,4.84349,0.00005,6,,,0.000,[2064627.2],1s2,1S,0,1s.8p,1P*,1,,,"L5145,L12548",
B,5,4.859,0.006,4.858550393,0.000000016,3000*,3.9173e+11,AA,0.000,(2058227.082266),1s,2S,1/2,2p,2P*,3/2,,T7771,L3762,
B,5,4.859,0.006,4.859090955,0.000000016,3000*,3.9191e+11,AA,0.000,(2057998.1095),1s,2S,1/2,2p,2P*,1/2,,T7771,,
B,4,4.8718,0.0010,4.8707,0.0006,5*,,,[1896705.5],3949800,1s.3d,3D,1,2p.3d,3D*,"1,2,3",,,L4172,
B,4,4.8718,0.0010,4.8707,0.0006,5*,,,[1896705.5],3949800,1s.3d,3D,2,2p.3d,3D*,"1,2,3",,,L4172,
B,4,4.8718,0.0010,4.8707,0.0006,5*,,,[1896705.5],3949800,1s.3d,3D,3,2p.3d,3D*,"1,2,3",,,L4172,
B,4,4.8770,0.0010,4.8767,0.0010,5*,,,[1892246.5],3942800,1s.3p,3P*,0,2p.3p,3P,"0,1,2",,,L4172,
B,4,4.8770,0.0010,4.8767,0.0010,5*,,,[1892246.5],3942800,1s.3p,3P*,1,2p.3p,3P,"0,1,2",,,L4172,
B,4,4.8770,0.0010,4.8767,0.0010,5*,,,[1892246.5],3942800,1s.3p,3P*,2,2p.3p,3P,"0,1,2",,,L4172,
