element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ba,30,0.8054,0.0005,0.8054,0.0010,1i,5.5e+12,,[132400],12549000,3d9,2D,3/2,(3d2<3/2>.3d6<5/2>).7f?,"(2,5/2)*",5/2,,T8971,L11790,
Ba,28,0.8116,0.0010,0.8116,0.0010,2bl,,,0,12321000,4s,2S,1/2,(3d9<3/2>.4s).9f<5/2>,*,,,,L11790,
Ba,29,0.8116,0.0005,0.8116,0.0010,2bl*,4.0e+12,,0,12321000,3d10,1S,0,3d9.8f,"(3/2,5/2)*",1,,T8971,L11790,
Ba,28,0.8204,0.0010,0.8204,0.0010,1bl,,,0,12189000,4s,2S,1/2,(3d9<5/2>.4s).9f<7/2>,*,,,,L11790,
Ba,29,0.8204,0.0005,0.8204,0.0008,1bl*,,,(5455000)+x,17644000+x,3d9.4s,,,3d8.4s.7f,m*,,,,L11790,
Ba,29,0.8204,0.0005,0.8204,0.0010,1bl*,4.3e+12,,0,12189000,3d10,1S,0,3d9.8f,"(5/2,7/2)*",1,,T8971,L11790,
Ba,28,0.8322,0.0010,0.8322,0.0010,1bl,,,0,12016000,4s,2S,1/2,(3d9<3/2>.4s).8f<5/2>,*,,,,L11790,
Ba,29,0.8322,0.0005,0.8322,0.0008,"1bl,c*",,,(5455000)+x,17471000+x,3d9.4s,,,3d8.4s.7f,j*,,,,L11790,
Ba,28,0.8422,0.0010,0.8422,0.0010,4bl,,,0,11874000,4s,2S,1/2,(3d9<5/2>.4s).8f<7/2>,*,,,,L11790,
Ba,29,0.8422,0.0005,0.8422,0.0010,4bl*,9.4e+12,,0,11874000,3d10,1S,0,3d9.7f,"(3/2,5/2)*",1,,T8971,L11790,
Ba,29,0.8519,0.0005,0.8519,0.0010,2.5,8.9e+12,,0,11738000,3d10,1S,0,3d9.7f,"(5/2,7/2)*",1,,T8971,L11790,
Ba,27,0.8543,0.0010,0.8543,0.0010,2bl,6.09e+13,,0,11705000,4s2,1S,0,3d9.4s2.8f,"(3/2,5/2)*",1,,T8971,L11790,
Ba,30,0.8543,0.0005,0.8543,0.0010,2.0c*,7.8e+12,,0,11705000,3d9,2D,5/2,(3d3<3/2>.3d5<5/2>).6f,"(4,5/2)*",3/2,,T8971,L11790,
Ba,30,0.8543,0.0005,0.8543,0.0010,2.0c*,5.4e+12,,0,11705000,3d9,2D,5/2,(3d3<3/2>.3d5<5/2>).6f,"(4,5/2)*",7/2,,T8971,L11790,
