element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Be,3,7.610,0.010,7.6099,0.0010,1w,,,[1127716.0],2441800,1s.3s,1S,0,""2,3.sp+"",1P*,1,,,L539,
Be,3,7.648,0.010,7.6482,0.0010,2*,,,[1121199.30],2428700,1s.3s,3S,1,""2,3.sp-"",3P*,2,,,L539,
Be,3,7.648,0.010,7.6482,0.0010,2*,,,[1121199.30],2428700,1s.3s,3S,1,""2,3.sp-"",3P*,1,,,L539,
Be,3,7.648,0.010,7.6482,0.0010,2*,,,[1121199.30],2428700,1s.3s,3S,1,""2,3.sp-"",3P*,0,,,L539,
Be,3,7.853,0.010,7.8531,0.0010,3*,,,[956518.70],2229900,1s.2s,3S,1,2s.2p,3P*,2,,,L539,
Be,3,7.853,0.010,7.8531,0.0010,3*,,,[956518.70],2229900,1s.2s,3S,1,2s.2p,3P*,1,,,L539,
Be,3,7.853,0.010,7.8531,0.0010,3*,,,[956518.70],2229900,1s.2s,3S,1,2s.2p,3P*,0,,,L539,
Be,3,7.866,0.010,7.8659,0.0010,4*,,,[983371.80],2254680,1s.2p,3P*,1,2p2,3P,1,,,L539,
Be,3,7.866,0.010,7.8659,0.0010,4*,,,[983371.80],2254680,1s.2p,3P*,1,2p2,3P,0,,,L539,
Be,3,7.866,0.010,7.8659,0.0010,4*,,,[983371.80],2254680,1s.2p,3P*,1,2p2,3P,2,,,L539,
Be,3,7.866,0.010,7.8660,0.0010,4*,,,[983386.60],2254680,1s.2p,3P*,2,2p2,3P,1,,,L539,
Be,3,7.866,0.010,7.8660,0.0010,4*,,,[983383.30],2254680,1s.2p,3P*,0,2p2,3P,1,,,L539,
Be,3,7.866,0.010,7.8660,0.0010,4*,,,[983386.60],2254680,1s.2p,3P*,2,2p2,3P,2,,,L539,
Be,3,7.892,0.010,7.8922,0.0010,1w,,,[997465.30],2264540,1s.2p,1P*,1,2p2,1D,2,,,L539,
Be,3,8.189,0.010,8.1890,0.0010,5,2.8405e+09,AAA,0.000,[1221148],1s2,1S,0,1s.7p,1P*,1,,T8636c73,L1653,
Be,3,8.238,0.010,8.2376,0.0010,10,4.5108e+09,AAA,0.000,[1213944],1s2,1S,0,1s.6p,1P*,1,,T8636c73,L1653,
Be,3,8.320,0.010,8.3199,0.0010,20,7.7965e+09,AAA,0.000,[1201935.30],1s2,1S,0,1s.5p,1P*,1,,T8636c73,L1653,
Be,3,8.476,0.010,8.4753,0.0010,30,1.5237e+10,AAA,0.000,[1179894.7],1s2,1S,0,1s.4p,1P*,1,,T8636c73,L1653,
Be,3,8.831,0.010,8.8308,0.0010,50,3.6166e+10,AAA,0.000,[1132405.8],1s2,1S,0,1s.3p,1P*,1,,T8636c73,L1653,
Be,2,9.253,0.006,9.253,0.006,4a*,,,31928.744,1112700,1s2.2p,2P*,1/2,1s.2p.(1P*).4p,2P,3/2,,,L12158,
Be,2,9.253,0.006,9.253,0.006,4a*,,,31928.744,1112700,1s2.2p,2P*,1/2,1s.2p.(1P*).4p,2P,1/2,,,L12158,
Be,2,9.253,0.006,9.253,0.006,4a*,,,31935.320,1112700,1s2.2p,2P*,3/2,1s.2p.(1P*).4p,2P,3/2,,,L12158,
Be,2,9.253,0.006,9.253,0.006,4a*,,,31935.320,1112700,1s2.2p,2P*,3/2,1s.2p.(1P*).4p,2P,1/2,,,L12158,
Be,2,9.316,0.003,9.316,0.003,11a*,,,0.000,1073400a,1s2.2s,2S,1/2,1s.2p.(3P*).3s,2P*,3/2,,,L12158,
Be,2,9.316,0.003,9.316,0.003,11a*,,,0.000,1073400a,1s2.2s,2S,1/2,1s.2p.(3P*).3s,2P*,1/2,,,L12158,
Be,2,9.343,0.003,9.343,0.003,11a*,,,0.000,1070300a,1s2.2s,2S,1/2,1s.2s.(3S).4p,2P*,3/2,,,L12158,
Be,2,9.343,0.003,9.343,0.003,11a*,,,0.000,1070300a,1s2.2s,2S,1/2,1s.2s.(3S).4p,2P*,1/2,,,L12158,
Be,2,9.371,0.004,9.372,0.004,7a*,,,31928.744,1098900,1s2.2p,2P*,1/2,1s.2p.(3P*).4p,2P,3/2,,,L12158,
Be,2,9.371,0.004,9.372,0.004,7a*,,,31928.744,1098900,1s2.2p,2P*,1/2,1s.2p.(3P*).4p,2P,1/2,,,L12158,
Be,2,9.371,0.004,9.372,0.004,7a*,,,31935.320,1098900,1s2.2p,2P*,3/2,1s.2p.(3P*).4p,2P,3/2,,,L12158,
Be,2,9.371,0.004,9.372,0.004,7a*,,,31935.320,1098900,1s2.2p,2P*,3/2,1s.2p.(3P*).4p,2P,1/2,,,L12158,
Be,2,9.393,0.003,9.393,0.003,2a*,,,0.000,1064600a,1s2.2s,2S,1/2,1s.2s.(1S).3p,2P*,3/2,,,L12158,
Be,2,9.393,0.003,9.393,0.003,2a*,,,0.000,1064600a,1s2.2s,2S,1/2,1s.2s.(1S).3p,2P*,1/2,,,L12158,
Be,2,9.456,0.004,9.461,0.004,8a*,,,31928.744,1088900?,1s2.2p,2P*,1/2,1s.2p.(1P*).3p,2P,3/2,,,L12158,
Be,2,9.456,0.004,9.461,0.004,8a*,,,31928.744,1088900?,1s2.2p,2P*,1/2,1s.2p.(1P*).3p,2P,1/2,,,L12158,
Be,2,9.456,0.004,9.461,0.004,8a*,,,31935.320,1088900?,1s2.2p,2P*,3/2,1s.2p.(1P*).3p,2P,3/2,,,L12158,
Be,2,9.456,0.004,9.461,0.004,8a*,,,31935.320,1088900?,1s2.2p,2P*,3/2,1s.2p.(1P*).3p,2P,1/2,,,L12158,
Be,2,9.479,0.003,9.478,0.003,21a*,,,31935.320,1087000a,1s2.2p,2P*,3/2,1s.2p.(1P*).3p,2D,5/2,,,L12158,
Be,2,9.479,0.003,9.478,0.003,21a*,,,31935.320,1087000a,1s2.2p,2P*,3/2,1s.2p.(1P*).3p,2D,3/2,,,L12158,
Be,2,9.479,0.003,9.478,0.003,21a*,,,31928.744,1087000a,1s2.2p,2P*,1/2,1s.2p.(1P*).3p,2D,3/2,,,L12158,
Be,2,9.534,0.004,9.534,0.004,8a*,,,31928.744,1080800a,1s2.2p,2P*,1/2,1s.2p.(3P*).3p,2S,1/2,,,L12158,
Be,2,9.534,0.004,9.534,0.004,8a*,,,31935.320,1080800a,1s2.2p,2P*,3/2,1s.2p.(3P*).3p,2S,1/2,,,L12158,
Be,2,9.562,0.005,9.562,0.005,20a*,,,31928.744,1077700a,1s2.2p,2P*,1/2,1s.2s.(3S).4d,2D,3/2,,,L12158,
Be,2,9.562,0.005,9.562,0.005,20a*,,,31935.320,1077700a,1s2.2p,2P*,3/2,1s.2s.(3S).4d,2D,3/2,,,L12158,
Be,2,9.562,0.005,9.562,0.005,20a*,,,31935.320,1077700a,1s2.2p,2P*,3/2,1s.2s.(3S).4d,2D,5/2,,,L12158,
Be,2,9.5734,0.0020,9.5730,0.0020,25a*,,,0.000,1044600a,1s2.2s,2S,1/2,1s.2s.(3S).3p,2P*,3/2,,,L12158,
Be,2,9.5734,0.0020,9.5730,0.0020,25a*,,,0.000,1044600a,1s2.2s,2S,1/2,1s.2s.(3S).3p,2P*,1/2,,,L12158,
Be,2,9.577,0.003,9.577,0.003,20a*,,,31935.320,1076100a,1s2.2p,2P*,3/2,1s.2p.(3P*).3p,2D,5/2,,,L12158,
Be,2,9.577,0.003,9.577,0.003,20a*,,,31928.744,1076100a,1s2.2p,2P*,1/2,1s.2p.(3P*).3p,2D,3/2,,,L12158,
Be,2,9.577,0.003,9.577,0.003,20a*,,,31935.320,1076100a,1s2.2p,2P*,3/2,1s.2p.(3P*).3p,2D,3/2,,,L12158,
Be,2,9.602,0.007,9.601,0.007,5a*,,,31935.320,1073500a,1s2.2p,2P*,3/2,1s.2s.(1S).3d,2D,3/2,,,L12158,
Be,2,9.602,0.007,9.601,0.007,5a*,,,31935.320,1073500a,1s2.2p,2P*,3/2,1s.2s.(1S).3d,2D,5/2,,,L12158,
Be,2,9.602,0.007,9.601,0.007,5a*,,,31928.744,1073500a,1s2.2p,2P*,1/2,1s.2s.(1S).3d,2D,3/2,,,L12158,
