element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Bi,5,35.577,0.010,,,1,,,,,,,,,,,,,L3317,
Bi,5,36.952,0.010,,,1,,,,,,,,,,,,,L3317,
Bi,4,42.07,0.10,,,6,,,,,,,,,,,,,L3364,
Bi,5,42.978,0.010,,,1,,,,,,,,,,,,,L3317,
Bi,4,43.12,0.10,,,6,,,,,,,,,,,,,L3364,
Bi,5,43.563,0.010,,,1,,,,,,,,,,,,,L3317,
Bi,3,44.591,0.003,44.591,0.003,270,4.e+09,E,20788.18,245050,6s2.6p,2P*,3/2,5d9.6s2.6p2.(3P),2P,3/2,,T10236,L9361,
Bi,3,44.920,0.010,44.920,0.010,150,1.0e+10,E,20788.18,243406,6s2.6p,2P*,3/2,5d9.6s2.6p2.(3P),2D,5/2,,T10236,L9361,
Bi,3,45.620,0.010,45.620,0.010,180,1.1e+10,D+,0.00,219200,6s2.6p,2P*,1/2,5d9.6s2.6p2.(3P),2D,3/2,,T10236,L9361,
Bi,3,46.5810,0.0010,46.5810,0.0010,370,9.e+09,D+,0.00,214680,6s2.6p,2P*,1/2,5d9.6s2.6p2.(1D),2S,1/2,,T10236,L9361,
Bi,3,46.814,0.003,46.814,0.003,220,2.2e+09,D+,0.00,213611,6s2.6p,2P*,1/2,5d9.6s2.6p2.(1D),2P,3/2,,T10236,L9361,
Bi,5,48.839,0.010,,,2,,,,,,,,,,,,,L3317,
Bi,5,49.272,0.010,,,1,,,,,,,,,,,,,L3317,
Bi,5,56.362,0.010,,,3,,,,,,,,,,,,,L3317,
Bi,3,59.0703,0.0012,59.06915,0.00007,6200w,3.6e+08,D+,0.00,169293.1,6s2.6p,2P*,1/2,6s2.8d,2D,3/2,,T10236,"L21488,L17416",
Bi,3,67.0753,0.0006,67.07506,0.00020,10000,1.1e+09,D+,0.00,149086.7,6s2.6p,2P*,1/2,6s2.7d,2D,3/2,,T10236,"L21488,L17416",
Bi,3,67.1731,0.0006,67.17296,0.00020,19000,3.5e+08,D+,20788.18,169657.6,6s2.6p,2P*,3/2,6s2.8d,2D,5/2,,T10236,"L21488,L17416",
Bi,5,67.887,0.010,,,2,,,,,,,,,,,,,L3317,
Bi,3,68.2589,0.0006,68.25914,0.00013,12000,4.0e+08,D+,20788.18,167288.7,6s2.6p,2P*,3/2,6s2.9s,2S,1/2,,T10236,L21488,
Bi,5,68.688,0.010,,,6,,,,,,,,,,,,,L3317,
Bi,3,68.8575,0.0006,68.85729,0.00014,6600,5.5e+08,D+,0.00,145227.9,6s2.6p,2P*,1/2,6s2.8s,2S,1/2,,T10236,"L21488,L17416",
Bi,5,70.654,0.010,,,1,,,,,,,,,,,,,L3317,
Bi,5,73.071,0.010,,,5,,,,,,,,,,,,,L3317,
Bi,5,73.817,0.010,,,10,,,,,,,,,,,,,L3317,
Bi,3,76.3451,0.0005,76.34468,0.00013,4000hfs,4.3e+07,D+,0.00,130984.9,6s2.6p,2P*,1/2,6s.6p2.(1S),2S,1/2,,T10236,L21488,
Bi,3,76.3570,0.0006,76.3566,0.0003,6200,1.9e+08,D+,0.00,130964.4,6s2.6p,2P*,1/2,6s.6p2.(3P),2P,3/2,,T10236,"L21488,L17416",
Bi,3,77.5152,0.0006,77.51504,0.00014,29000,1.0e+09,D+,20788.18,149795.4,6s2.6p,2P*,3/2,6s2.7d,2D,5/2,,T10236,"L21488,L17416",
Bi,3,77.9432,0.0006,77.94322,0.00020,13000,3.0e+08,E,20788.18,149086.7,6s2.6p,2P*,3/2,6s2.7d,2D,3/2,,T10236,L21488,
Bi,4,79.05,0.10,,,6,,,,,,,,,,,,,L3364,
Bi,4,79.06,0.10,,,6,,,,,,,,,,,,,L3364,
Bi,4,79.25,0.10,,,8,,,,,,,,,,,,,L3364,
Bi,3,80.3604,0.0006,80.36019,0.00020,40000,1.0e+09,D+,20788.18,145227.9,6s2.6p,2P*,3/2,6s2.8s,2S,1/2,,T10236,"L21488,L17416",
Bi,4,82.03,0.10,,,10,,,,,,,,,,,,,L3364,
Bi,4,82.29,0.10,,,9,,,,,,,,,,,,,L3364,
Bi,4,82.49,0.10,,,12,,,,,,,,,,,,,L3364,
Bi,3,84.3650,0.0006,84.36530,0.00020,10000,1.2e+09,D+,83038.06,201570.2,6s.6p2.(3P),4P,3/2,6p3,2D*,3/2,,T10236,L21488,
Bi,5,84.986,0.010,,,6,,,,,,,,,,,,,L3317,
Bi,5,85.568,0.010,,,5,,,,,,,,,,,,,L3317,
Bi,3,86.3792,0.0006,86.37888,0.00020,7600,1.0e+08,E,83038.06,198807.1,6s.6p2.(3P),4P,3/2,6s.6p.(3P*).6d,2P*,3/2,,T10236,L21488,
Bi,5,86.445,0.010,,,15bl,,,,,,,,,,,,,L3317,
Bi,3,86.5869,0.0006,86.5867,0.0003,13000,1.8e+09,D+,89236.09,204727.3,6s.6p2.(3P),4P,5/2,6s.6p.(1P*).6d,2D*,5/2,,T10236,L21488,
