element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
Bk,2,274.802,,10000s,,,,,,,L4703,
Bk,2,282.757,,10000s,,,,,,,L4703,
Bk,2,287.211,,10000l,,,,,,,L4703,
Bk,2,287.857,,10000s,,,,,,,L4703,
Bk,2,288.477,,10000l,,,,,,,L4703,
Bk,2,288.980,,10000s,,,,,,,L4703,
Bk,2,289.366,,10000s,,,,,,,L4703,
Bk,2,291.065,,10000l,,,,,,,L4703,
Bk,2,294.171,,10000l,,,,,,,L4703,
Bk,2,295.176,,10000l,,,,,,,L4703,
Bk,2,296.913,,10000l,,,,,,,L4703,
Bk,2,298.776,,10000l,,,,,,,L4703,
Bk,2,317.847,,10000l,,,,,,,L4703,
Bk,1,323.972,,10000,,,,,,,L4703,
Bk,2,324.726,,10000s,,,,,,,L4703,
Bk,1,325.219,,10000,,,,,,,L4703,
Bk,2,326.347,,10000s,,,,,,,L4703,
Bk,1,328.875,,10000l,,,,,,,L4703,
Bk,1,328.935,,10000,,,,,,,L4703,
Bk,2,330.235,,10000s,,,,,,,L4703,
Bk,1,333.526,,10000,,,,,,,L4703,
Bk,2,338.745,,10000s,,,,,,,L4703,
Bk,1,340.828,,10000,,,,,,,L4703,
Bk,2,341.213,,10000l,,,,,,,L4703,
Bk,1,342.695,,10000,,,,,,,L4703,
Bk,1,343.262,,10000l,,,,,,,L4703,
Bk,1,343.747,,10000l,,,,,,,L4703,
Bk,1,344.266,,10000,,,,,,,L4703,
Bk,1,345.390,,10000l,,,,,,,L4703,
Bk,2,346.124,,10000s,,,,,,,L4703,
Bk,2,346.413,,10000s,,,,,,,L4703,
Bk,2,347.202,,10000s,,,,,,,L4703,
Bk,2,347.762,,10000s,,,,,,,L4703,
Bk,1,352.872,,10000,,,,,,,L4703,
Bk,1,353.140,,10000l,,,,,,,L4703,
Bk,1,353.573,,10000l,,,,,,,L4703,
Bk,2,354.219,,10000s,,,,,,,L4703,
Bk,1,355.360,,10000,,,,,,,L4703,
Bk,1,355.588,,10000s,,,,,,,L4703,
Bk,1,355.652,,10000,,,,,,,L4703,
Bk,2,356.725,,10000l,,,,,,,L4703,
Bk,1,359.032,,10000,,,,,,,L4703,
Bk,1,359.588,,10000,,,,,,,L4703,
Bk,1,360.112,,10000,,,,,,,L4703,
Bk,2,360.320,,10000s,,,,,,,L4703,
Bk,1,362.761,,10000,,,,,,,L4703,
Bk,1,363.705,,10000l,,,,,,,L4703,
Bk,1,364.026,,10000,,,,,,,L4703,
Bk,2,364.093,,10000s,,,,,,,L4703,
Bk,1,367.559,,10000l,,,,,,,L4703,
Bk,2,368.122,,10000s,,,,,,,L4703,
Bk,1,368.443,,10000l,,,,,,,L4703,
Bk,1,368.521,,10000s,,,,,,,L4703,
Bk,1,368.674,,10000l,,,,,,,L4703,
Bk,1,369.273,,10000,,,,,,,L4703,
Bk,1,369.537,,10000,,,,,,,L4703,
Bk,1,370.328,,10000,,,,,,,L4703,
Bk,1,370.402,,10000s,,,,,,,L4703,
Bk,1,370.526,,10000,,,,,,,L4703,
Bk,2,371.114,,10000s,,,,,,,L4703,
Bk,1,371.293,,10000,,,,,,,L4703,
Bk,1,372.539,,10000,,,,,,,L4703,
Bk,1,373.992,,10000,,,,,,,L4703,
Bk,1,374.305,,10000,,,,,,,L4703,
Bk,1,374.540,,10000,,,,,,,L4703,
Bk,1,375.008,,10000,,,,,,,L4703,
Bk,1,375.191,,10000,,,,,,,L4703,
Bk,1,375.735,,10000,,,,,,,L4703,
