element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Br,4,36.6636,0.0010,36.6633+,100,,,2622.0,275374,4s2.4p2,3P,1,,2,"1,2",,,L1157,
Br,4,37.0694,0.0010,37.0697+,200,,,5611.9,275374,4s2.4p2,3P,2,,2,"1,2",,,L1157,
Br,4,37.9734,0.0010,37.9739+,700,,,2622.0,265961,4s2.4p2,3P,1,,1,2,,,L1157,
Br,4,38.4101,0.0010,38.4100+,600,,,5611.9,265961,4s2.4p2,3P,2,,1,2,,,L1157,
Br,4,40.0370,0.0010,40.0367+,700,,,16190.4,265961,4s2.4p2,1D,2,,1,2,,,L1157,
Br,5,46.837,0.010,,600,,,,,,,,,,,,,L930,
Br,5,48.211,0.010,,800,,,,,,,,,,,,,L930,
Br,5,53.197,0.010,,900,,,,,,,,,,,,,L930,
Br,4,53.4457,0.0010,53.4469+,350,,,0.0,187101.6,4s2.4p2,3P,0,4s2.4p.5s,1P,1,,,L1157,
Br,4,54.2055,0.0010,54.2065+,800,,,2622.0,187101.6,4s2.4p2,3P,1,4s2.4p.5s,1P,1,,,L1157,
Br,4,54.5429,0.0010,54.5439+,1000,,,2622.0,185960.7,4s2.4p2,3P,1,4s2.4p.5s,3P,2,,,L1157,
Br,5,54.790,0.010,,1000,,,,,,,,,,,,,L930,
Br,5,54.977,0.010,,700,,,,,,,,,,,,,L930,
Br,4,54.9940,0.0010,54.9934+,800,,,0.0,181840.0,4s2.4p2,3P,0,4s2.4p.5s,3P,1,,,L1157,
Br,4,55.4481,0.0010,55.4481+,900,,,5611.9,185960.7,4s2.4p2,3P,2,4s2.4p.5s,3P,2,,,L1157,
Br,4,55.5727,0.0010,55.5711+,700,,,0.0,179949.7,4s2.4p2,3P,0,4s2.4p.4d,3P,1,,,L1157,
Br,4,55.5934,0.0010,55.5922+,600,,,2622.0,182503.3,4s2.4p2,3P,1,4s2.4p.4d,1D,2,,,L1157,
Br,4,55.7984,0.0010,55.7980+,900,,,2622.0,181840.0,4s2.4p2,3P,1,4s2.4p.5s,3P,1,,,L1157,
Br,4,55.9756,0.0010,55.9762+,1000,,,2622.0,181269.2,4s2.4p2,3P,1,4s2.4p.4d,1P,1,,,L1157,
Br,4,56.3788,0.0010,56.3788+,900,,,2622.0,179993.6,4s2.4p2,3P,1,4s2.4p.5s,3P,0,,,L1157,
Br,4,56.3937,0.0010,56.3928+,800,,,2622.0,179949.7,4s2.4p2,3P,1,4s2.4p.4d,3P,1,,,L1157,
Br,4,56.5314,0.0010,56.5319+,900,,,5611.9,182503.3,4s2.4p2,3P,2,4s2.4p.4d,1D,2,,,L1157,
Br,4,56.7443,0.0010,56.7446+,800,,,5611.9,181840.0,4s2.4p2,3P,2,4s2.4p.5s,3P,1,,,L1157,
Br,4,56.9194,0.0010,56.9201+,1000,,,2622.0,178307.0,4s2.4p2,3P,1,4s2.4p.4d,3P,0,,,L1157,
Br,4,56.9291,0.0010,56.9290+,800,,,5611.9,181269.2,4s2.4p2,3P,2,4s2.4p.4d,1P,1,,,L1157,
Br,4,57.3600,0.0010,57.3599+,900,,,5611.9,179949.7,4s2.4p2,3P,2,4s2.4p.4d,3P,1,,,L1157,
Br,4,57.6589,0.0010,57.6592+,1000,,,2622.0,176054.9,4s2.4p2,3P,1,4s2.4p.4d,3P,2,,,L1157,
Br,4,57.9953,0.0010,57.9948+,250,,,5611.9,178041.3,4s2.4p2,3P,2,4s2.4p.4d,1F,3,,,L1157,
Br,4,58.5102,0.0010,58.5099+,1000,,,16190.4,187101.6,4s2.4p2,1D,2,4s2.4p.5s,1P,1,,,L1157,
Br,4,58.6710,0.0010,58.6706+,1000,,,5611.9,176054.9,4s2.4p2,3P,2,4s2.4p.4d,3P,2,,,L1157,
Br,4,58.9043,0.0010,58.9031+,50,,,16190.4,185960.7,4s2.4p2,1D,2,4s2.4p.5s,3P,2,,,L1157,
Br,4,59.7514,0.0010,59.7526+,1000,,,0.0,167356.6,4s2.4p2,3P,0,4s2.4p.4d,3D,1,,,L1157,
Br,4,59.9594,0.0010,59.9587+,250,,,2622.0,169403.5,4s2.4p2,3P,1,4s2.4p.4d,3D,2,,,L1157,
Br,4,60.0085,0.0010,60.0085+,1000,,,5611.9,172254.9,4s2.4p2,3P,2,4s2.4p.4d,3D,3,,,L1157,
Br,4,60.1265,0.0010,60.1276+,1000,,,16190.4,182503.3,4s2.4p2,1D,2,4s2.4p.4d,1D,2,,,L1157,
Br,4,60.3674,0.0010,60.3684+,900,,,16190.4,181840.0,4s2.4p2,1D,2,4s2.4p.5s,3P,1,,,L1157,
Br,4,60.5778,0.0010,60.5771+,900,,,16190.4,181269.2,4s2.4p2,1D,2,4s2.4p.4d,1P,1,,,L1157,
Br,4,60.7031,0.0010,60.7037+,1000,,,2622.0,167356.6,4s2.4p2,3P,1,4s2.4p.4d,3D,1,,,L1157,
Br,4,61.0540,0.0010,61.0532+,500,,,5611.9,169403.5,4s2.4p2,3P,2,4s2.4p.4d,3D,2,,,L1157,
Br,4,61.0640,0.0010,61.0652+,400,,,16190.4,179949.7,4s2.4p2,1D,2,4s2.4p.4d,3P,1,,,L1157,
Br,3,61.11,0.10,,450,,,,,,,,,,,,,L7483,
Br,4,61.7851,0.0010,61.7853+,1000,,,16190.4,178041.3,4s2.4p2,1D,2,4s2.4p.4d,1F,3,,,L1157,
Br,4,61.8261,0.0010,61.8258+,900,,,5611.9,167356.6,4s2.4p2,3P,2,4s2.4p.4d,3D,1,,,L1157,
Br,4,61.9871,0.0010,61.9890+,1000,,,0.0,161319.0,4s2.4p2,3P,0,4s.4p3,3S,1,,,L1157,
Br,3,62.04,0.10,,300,,,,,,,,,,,,,L7483,
Br,5,62.103,0.010,,800,,,,,,,,,,,,,L930,
Br,4,62.3234,0.0010,62.3202+,700?,,,2622.0,163083.5,4s2.4p2,3P,1,4s2.4p.4d,3F,2,,,L1157,
Br,4,62.5528,0.0010,62.5530+,750,,,16190.4,176054.9,4s2.4p2,1D,2,4s2.4p.4d,3P,2,,,L1157,
Br,4,63.0135,0.0010,63.0132+,1000,,,2622.0,161319.0,4s2.4p2,3P,1,4s.4p3,3S,1,,,L1157,
Br,5,63.222,0.010,,800,,,,,,,,,,,,,L930,
Br,4,63.5035,0.0010,63.5035+,700,,,5611.9,163083.5,4s2.4p2,3P,2,4s2.4p.4d,3F,2,,,L1157,
Br,4,63.7437,0.0010,63.7438+,900,,,5611.9,162490.0,4s2.4p2,3P,2,4s.4p3,1P,1,,,L1157,
Br,4,64.2227,0.0010,64.2231+,1000,,,5611.9,161319.0,4s2.4p2,3P,2,4s.4p3,3S,1,,,L1157,
Br,5,64.544,0.010,,700,,,,,,,,,,,,,L930,
Br,4,64.9773,0.0010,64.9769+,700,,,5611.9,159512.7,4s2.4p2,3P,2,4s2.4p.4d,3F,3,,,L1157,
Br,5,65.264,0.010,,400,,,,,,,,,,,,,L930,
Br,4,65.2667,0.0010,65.2686+,400,,,16190.4,169403.5,4s2.4p2,1D,2,4s2.4p.4d,3D,2,,,L1157,
Br,5,65.754,0.010,,800,,,,,,,,,,,,,L930,
Br,4,66.1528,0.0010,66.1524+,1000,,,16190.4,167356.6,4s2.4p2,1D,2,4s2.4p.4d,3D,1,,,L1157,
