element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ca,5,19.036,0.010,,,200,,,,,,,,,,,,,L7256,
Ca,5,19.046,0.010,,,250,,,,,,,,,,,,,L7256,
Ca,5,19.697,0.010,,,250,,,,,,,,,,,,,L7256,
Ca,5,19.955,0.010,,,300,,,,,,,,,,,,,L7256,
Ca,5,20.051,0.010,,,250,,,,,,,,,,,,,L7256,
Ca,4,24.941,0.010,,,150,,,,,,,,,,,,,L7256,
Ca,4,25.015,0.010,,,150,,,,,,,,,,,,,L7256,
Ca,4,25.135,0.010,,,150,,,,,,,,,,,,,L7256,
Ca,5,25.798,0.010,,,265,,,,,,,,,,,,,L7256,
Ca,5,26.045,0.010,,,165,,,,,,,,,,,,,L7256,
Ca,5,26.777,0.010,,,400,,,,,,,,,,,,,L7256,
Ca,5,27.031,0.010,,,300,,,,,,,,,,,,,L7256,
Ca,5,27.114,0.010,,,200,,,,,,,,,,,,,L7256,
Ca,5,27.227,0.010,,,250,,,,,,,,,,,,,L7256,
Ca,5,27.298,0.010,,,200,,,,,,,,,,,,,L7256,
Ca,3,27.3695,0.0020,27.36997,0.00011,42000,2.6e+09,C,0.0,365363.88,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).5d,2[3/2]*,1,,u33,"L3496,L1405",
Ca,3,27.4461,0.0020,27.44660,0.00011,20000,1.08e+09,C,0.0,364343.85,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,1,,u33,"L3496,L1405",
Ca,5,28.099,0.010,,,400,,,,,,,,,,,,,L7256,
Ca,5,28.498,0.010,,,300,,,,,,,,,,,,,L7256,
Ca,5,28.696,0.010,,,450c,,,,,,,,,,,,,L7256,
Ca,4,29.655,0.010,,,250,,,,,,,,,,,,,L7256,
Ca,3,29.6958,0.0020,29.69570,0.00013,190000,1.13e+10,C,0.0,336749.11,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,1,,u33,"L3496,L262",
Ca,4,29.932,0.010,,,200,,,,,,,,,,,,,L7256,
Ca,3,30.1741,0.0020,30.17472,0.00015,110000,2.0e+09,C,0.0,331403.20,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,,u33,"L3496,L262",
Ca,3,30.4330,0.0020,30.43376,0.00014,80000,1.3e+09,C,0.0,328582.45,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,,u33,"L3496,L262",
Ca,3,30.4910,0.0020,30.49133,0.00014,80000,8.6e+08,C,0.0,327962.11,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).4d,2[3/2]*,1,,u33,"L3496,L262",
Ca,4,31.809,0.010,,,200,,,,,,,,,,,,,L7256,
Ca,4,31.839,0.010,,,50,,,,,,,,,,,,,L7256,
Ca,4,32.159,0.010,,,120,,,,,,,,,,,,,L7256,
Ca,5,32.217,0.010,,,500,,,,,,,,,,,,,L7256,
Ca,5,32.276,0.010,,,250,,,,,,,,,,,,,L7256,
Ca,5,32.322,0.010,,,300,,,,,,,,,,,,,L7256,
Ca,5,32.448,0.010,,,250,,,,,,,,,,,,,L7256,
Ca,5,32.528,0.010,,,250,,,,,,,,,,,,,L7256,
Ca,4,32.912,0.010,,,250,,,,,,,,,,,,,L7256,
Ca,4,32.939,0.010,,,150,,,,,,,,,,,,,L7256,
Ca,5,33.094,0.010,,,300,,,,,,,,,,,,,L7256,
