element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cd,4,42.701,,50,,,,,,,,,,,,,L4099,
Cd,4,43.788,,20,,,,,,,,,,,,,L4099,
Cd,4,44.785,,50,,,,,,,,,,,,,L4099,
Cd,4,48.090,,60,,,,,,,,,,,,,L4099,
Cd,4,48.949,,10,,,,,,,,,,,,,L4099,
Cd,4,49.300,,70,,,,,,,,,,,,,L4099,
Cd,4,49.513,,70,,,,,,,,,,,,,L4099,
Cd,4,49.814,,70,,,,,,,,,,,,,L4099,
Cd,4,49.853,,70,,,,,,,,,,,,,L4099,
Cd,4,50.409,,80,,,,,,,,,,,,,L4099,
Cd,4,50.420,,70,,,,,,,,,,,,,L4099,
Cd,4,50.450,,70,,,,,,,,,,,,,L4099,
Cd,4,50.631,,80,,,,,,,,,,,,,L4099,
Cd,4,50.801,,60,,,,,,,,,,,,,L4099,
Cd,4,50.895,,50,,,,,,,,,,,,,L4099,
Cd,4,50.955,,70,,,,,,,,,,,,,L4099,
Cd,4,50.981,,25,,,,,,,,,,,,,L4099,
Cd,4,51.140,,70,,,,,,,,,,,,,L4099,
Cd,4,51.300,,80,,,,,,,,,,,,,L4099,
Cd,4,51.450,,70,,,,,,,,,,,,,L4099,
Cd,4,51.942,,60,,,,,,,,,,,,,L4099,
Cd,4,52.097,,15,,,,,,,,,,,,,L4099,
Cd,4,52.441,,80,,,,,,,,,,,,,L4099,
Cd,4,52.447,,70,,,,,,,,,,,,,L4099,
Cd,4,52.477,,50,,,,,,,,,,,,,L4099,
Cd,4,52.510,,70,,,,,,,,,,,,,L4099,
Cd,4,52.519,,60,,,,,,,,,,,,,L4099,
Cd,4,52.707,,70,,,,,,,,,,,,,L4099,
Cd,4,53.079,,50,,,,,,,,,,,,,L4099,
Cd,4,53.109,,80,,,,,,,,,,,,,L4099,
Cd,4,53.151,,80,,,,,,,,,,,,,L4099,
Cd,4,53.429,,70,,,,,,,,,,,,,L4099,
