element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ce,5,36.566,,100,,,,,,,,,,,,,L1507,
Ce,5,39.936,,300,,,,,,,,,,,,,L1507,
Ce,5,40.421,,150,,,,,,,,,,,,,L1507,
Ce,4,44.311,,1,,,,,,,,,,,,,L7359,
Ce,4,44.758,,2,,,,,,,,,,,,,L7359,
Ce,5,48.296,,200,,,,,,,,,,,,,L1507,
Ce,5,55.213,,100,,,,,,,,,,,,,L1507,
Ce,4,55.892,,8,,,,,,,,,,,,,L7359,
Ce,4,57.159,,8,,,,,,,,,,,,,L7359,
Ce,4,74.179,,40,,,,,,,,,,,,,L7359,
Ce,4,75.460,,30,,,,,,,,,,,,,L7359,
Ce,4,75.575,,12,,,,,,,,,,,,,L7359,
Ce,3,84.024,,100,,,,,,,,,,,,,L3518,
Ce,3,84.411,,20,,,,,,,,,,,,,L3518,
Ce,3,84.502,,40,,,,,,,,,,,,,L3518,
Ce,3,84.788,,20,,,,,,,,,,,,,L3518,
Ce,3,85.118,,200,,,,,,,,,,,,,L3518,
Ce,3,85.263,,200,,,,,,,,,,,,,L3518,
Ce,3,85.347,,200,,,,,,,,,,,,,L3518,
Ce,3,85.378,,60,,,,,,,,,,,,,L3518,
Ce,3,85.516,,200,,,,,,,,,,,,,L3518,
Ce,3,85.830,,200,,,,,,,,,,,,,L3518,
Ce,3,86.015,,400,,,,,,,,,,,,,L3518,
Ce,3,86.225,,200,,,,,,,,,,,,,L3518,
Ce,3,86.874,,40,,,,,,,,,,,,,L3518,
Ce,3,86.951,,20,,,,,,,,,,,,,L3518,
Ce,3,86.984,,40,,,,,,,,,,,,,L3518,
Ce,3,87.115,,20,,,,,,,,,,,,,L3518,
Ce,3,87.127,,40,,,,,,,,,,,,,L3518,
Ce,3,88.068,,20,,,,,,,,,,,,,L3518,
Ce,3,88.175,,60,,,,,,,,,,,,,L3518,
Ce,3,88.404,,60,,,,,,,,,,,,,L3518,
Ce,3,88.522,,20,,,,,,,,,,,,,L3518,
Ce,3,88.839,,30,,,,,,,,,,,,,L3518,
Ce,3,89.275,,80,,,,,,,,,,,,,L3518,
Ce,3,89.932,,20,,,,,,,,,,,,,L3518,
Ce,3,91.277,,100,,,,,,,,,,,,,L3518,
Ce,3,93.704,,40,,,,,,,,,,,,,L3518,
Ce,4,97.520,,6,,,,,,,,,,,,,L7359,
Ce,3,99.926,,40,,,,,,,,,,,,,L3518,
Ce,4,100.931,,5,,,,,,,,,,,,,L7359,
Ce,4,102.212,,2,,,,,,,,,,,,,L7359,
Ce,3,102.525,,20,,,,,,,,,,,,,L3518,
Ce,3,102.529,,20,,,,,,,,,,,,,L3518,
Ce,3,102.628,,20,,,,,,,,,,,,,L3518,
Ce,3,102.937,,40,,,,,,,,,,,,,L3518,
Ce,3,103.455,,20,,,,,,,,,,,,,L3518,
Ce,3,104.114,,20,,,,,,,,,,,,,L3518,
Ce,3,104.274,,100,,,,,,,,,,,,,L3518,
Ce,3,105.161,,50,,,,,,,,,,,,,L3518,
Ce,3,105.740,,70,,,,,,,,,,,,,L3518,
Ce,3,105.766,,100,,,,,,,,,,,,,L3518,
Ce,4,105.767,,9,,,,,,,,,,,,,L7359,
Ce,3,105.846,,100,,,,,,,,,,,,,L3518,
Ce,4,105.964,,1,,,,,,,,,,,,,L7359,
Ce,3,106.299,,50,,,,,,,,,,,,,L3518,
Ce,3,106.326,,30,,,,,,,,,,,,,L3518,
Ce,3,106.351,,50,,,,,,,,,,,,,L3518,
Ce,3,106.776,,100,,,,,,,,,,,,,L3518,
Ce,3,106.869,,100,,,,,,,,,,,,,L3518,
Ce,3,107.054,,20,,,,,,,,,,,,,L3518,
Ce,3,107.279,,200,,,,,,,,,,,,,L3518,
Ce,3,107.369,,40,,,,,,,,,,,,,L3518,
Ce,3,107.935,,30,,,,,,,,,,,,,L3518,
Ce,3,108.082,,20,,,,,,,,,,,,,L3518,
Ce,3,108.870,,30,,,,,,,,,,,,,L3518,
Ce,3,109.003,,30,,,,,,,,,,,,,L3518,
Ce,3,109.248,,20,,,,,,,,,,,,,L3518,
Ce,3,109.925,,20,,,,,,,,,,,,,L3518,
Ce,3,110.071,,40,,,,,,,,,,,,,L3518,
Ce,3,110.709,,20,,,,,,,,,,,,,L3518,
Ce,3,111.119,,20,,,,,,,,,,,,,L3518,
Ce,3,111.630,,20,,,,,,,,,,,,,L3518,
Ce,3,112.558,,20,,,,,,,,,,,,,L3518,
Ce,3,112.973,,20,,,,,,,,,,,,,L3518,
Ce,3,113.274,,20,,,,,,,,,,,,,L3518,
Ce,3,114.255,,100,,,,,,,,,,,,,L3518,
Ce,3,119.241,,20,,,,,,,,,,,,,L3518,
Ce,3,120.187,,50,,,,,,,,,,,,,L3518,
Ce,3,120.405,,20,,,,,,,,,,,,,L3518,
Ce,4,128.941,,50,,,,,,,,,,,,,L7359,
Ce,4,133.216,,75,,,,,,,,,,,,,L7359,
Ce,4,137.272,,75,,,,,,,,,,,,,L7359,
Ce,4,157.262,,1,,,,,,,,,,,,,L7359,
Ce,4,157.760,,2,,,,,,,,,,,,,L7359,
Ce,4,164.158,,15,,,,,,,,,,,,,L7359,
Ce,3,171.943,,20,,,,,,,,,,,,,L3518,
Ce,4,177.530,,20,,,,,,,,,,,,,L7359,
Ce,4,177.903,,20,,,,,,,,,,,,,L7359,
Ce,3,179.689,,20,,,,,,,,,,,,,L3518,
Ce,3,183.666,,20,,,,,,,,,,,,,L3518,
Ce,3,183.699,,20,,,,,,,,,,,,,L3518,
Ce,3,186.232,,30,,,,,,,,,,,,,L3518,
Ce,4,191.475,,35,,,,,,,,,,,,,L7359,
Ce,4,193.721,,10,,,,,,,,,,,,,L7359,
Ce,3,195.036,,30,,,,,,,,,,,,,L3518,
Ce,3,199.054,,20,,,,,,,,,,,,,L3518,
Ce,4,200.042,,100,,,,,,,,,,,,,L7359,
Ce,4,200.311,,35,,,,,,,,,,,,,L7359,
Ce,4,200.994,,100,,,,,,,,,,,,,L7359,
Ce,3,203.334,,100,,,,,,,,,,,,,L3518,
Ce,3,205.765,,100,,,,,,,,,,,,,L3518,
Ce,3,207.787,,100,,,,,,,,,,,,,L3518,
Ce,3,208.332,,200,,,,,,,,,,,,,L3518,
Ce,3,208.996,,100,,,,,,,,,,,,,L3518,
Ce,3,210.907,,400,,,,,,,,,,,,,L3518,
Ce,3,212.255,,100,,,,,,,,,,,,,L3518,
Ce,3,213.695,,500,,,,,,,,,,,,,L3518,
Ce,3,215.144,,1000,,,,,,,,,,,,,L3518,
Ce,3,216.688,,3000,,,,,,,,,,,,,L3518,
Ce,3,216.948,,2000,,,,,,,,,,,,,L3518,
Ce,3,218.064,,5000,,,,,,,,,,,,,L3518,
Ce,3,218.371,,1000,,,,,,,,,,,,,L3518,
Ce,3,220.315,,2000,,,,,,,,,,,,,L3518,
Ce,3,221.811,,3000,,,,,,,,,,,,,L3518,
Ce,3,222.201,,5000,,,,,,,,,,,,,L3518,
Ce,3,222.508,,5000,,,,,,,,,,,,,L3518,
Ce,3,222.784,,3000,,,,,,,,,,,,,L3518,
Ce,3,222.805,,3000,,,,,,,,,,,,,L3518,
Ce,3,224.229,,5000,,,,,,,,,,,,,L3518,
Ce,3,224.925,,2000,,,,,,,,,,,,,L3518,
Ce,3,226.485,,2000,,,,,,,,,,,,,L3518,
Ce,3,226.820,,2000,,,,,,,,,,,,,L3518,
Ce,3,228.782,,2000,,,,,,,,,,,,,L3518,
Ce,3,229.870,,2000,,,,,,,,,,,,,L3518,
Ce,3,230.065,,3000,,,,,,,,,,,,,L3518,
Ce,3,230.209,,4000,,,,,,,,,,,,,L3518,
Ce,3,231.734,,5000,,,,,,,,,,,,,L3518,
Ce,3,231.864,,10000,,,,,,,,,,,,,L3518,
Ce,3,232.431,,5000,,,,,,,,,,,,,L3518,
Ce,3,233.766,,2000,,,,,,,,,,,,,L3518,
Ce,3,235.010,,5000,,,,,,,,,,,,,L3518,
Ce,3,236.254,,2000,,,,,,,,,,,,,L3518,
Ce,3,236.777,,2000,,,,,,,,,,,,,L3518,
Ce,3,237.234,,10000,,,,,,,,,,,,,L3518,
Ce,3,237.707,,5000,,,,,,,,,,,,,L3518,
Ce,3,237.748,,5000,,,,,,,,,,,,,L3518,
Ce,3,238.012,,10000,,,,,,,,,,,,,L3518,
Ce,3,238.228,,3000,,,,,,,,,,,,,L3518,
Ce,3,238.506,,3000,,,,,,,,,,,,,L3518,
Ce,3,239.504,,5000,,,,,,,,,,,,,L3518,
Ce,3,240.615,,3000,,,,,,,,,,,,,L3518,
Ce,3,240.808,,4000,,,,,,,,,,,,,L3518,
Ce,3,241.026,,2000,,,,,,,,,,,,,L3518,
Ce,3,241.560,,5000,,,,,,,,,,,,,L3518,
Ce,3,241.701,,2000,,,,,,,,,,,,,L3518,
Ce,3,242.302,,2000,,,,,,,,,,,,,L3518,
Ce,3,242.864,,3000,,,,,,,,,,,,,L3518,
Ce,3,243.024,,5000,,,,,,,,,,,,,L3518,
Ce,3,243.145,,10000,,,,,,,,,,,,,L3518,
Ce,4,243.350,,3,,,,,,,,,,,,,L7359,
Ce,3,243.980,,15000,,,,,,,,,,,,,L3518,
Ce,3,244.155,,3000,,,,,,,,,,,,,L3518,
Ce,3,244.478,,2000,,,,,,,,,,,,,L3518,
Ce,4,244.550,,5,,,,,,,,,,,,,L7359,
Ce,3,245.432,,10000,,,,,,,,,,,,,L3518,
Ce,2,246.297,246.29554+,130,,,9778.986,50368.336,4f.(2F*).6s2,2F*,5/2,4f.6s.(3F*).6p,,7/2,,,L3475,
Ce,3,246.995,,10000,,,,,,,,,,,,,L3518,
Ce,3,247.166,,3000,,,,,,,,,,,,,L3518,
Ce,3,247.725,,5000,,,,,,,,,,,,,L3518,
Ce,3,247.944,,8000,,,,,,,,,,,,,L3518,
Ce,3,247.951,,3000,,,,,,,,,,,,,L3518,
Ce,3,248.382,,10000,,,,,,,,,,,,,L3518,
Ce,3,249.750,,10000,,,,,,,,,,,,,L3518,
Ce,3,250.356,,3000,,,,,,,,,,,,,L3518,
Ce,3,250.443,,2000,,,,,,,,,,,,,L3518,
Ce,2,251.851,251.85919+,110,,,12365.806,52058.587,4f.(2F*).5d2.(3F),2H*,9/2,4f.6s.(3F*).6p,2G,9/2,,,L3475,
Ce,3,253.199,,20000,,,,,,,,,,,,,L3518,
Ce,3,253.927,,3000,,,,,,,,,,,,,L3518,
Ce,2,254.868,254.87143+,200,,,11340.598,50564.294,4f.(2F*).5d2.(3P),4F*,7/2,5d.(2D).6s2?,,5/2,,,L3475,
Ce,3,255.749,,3000,,,,,,,,,,,,,L3518,
Ce,3,257.767,,4000,,,,,,,,,,,,,L3518,
Ce,3,257.830,,2000,,,,,,,,,,,,,L3518,
Ce,3,258.471,,2000,,,,,,,,,,,,,L3518,
Ce,3,260.359,,10000,,,,,,,,,,,,,L3518,
Ce,3,260.796,,2000,,,,,,,,,,,,,L3518,
Ce,3,261.579,,2000,,,,,,,,,,,,,L3518,
Ce,3,264.938,,2000,,,,,,,,,,,,,L3518,
Ce,2,265.101,265.10066+,340,,,9778.986,47489.280,4f.(2F*).6s2,2F*,5/2,5d2.(1G).6s,2G,7/2,,,L3475,
Ce,3,266.281,,2000,,,,,,,,,,,,,L3518,
Ce,2,270.688,270.68828+,120,,,4266.397,41198.309,4f.5d.(3G*).6s,*,7/2,5d2.(3F).6s,2F,5/2,,,L3475,
Ce,3,271.930,,3000,,,,,,,,,,,,,L3518,
Ce,2,272.338,272.33842+,120,,,11949.189,48657.336,4f.5d.(3G*).6s,*,7/2,5d3,2F,7/2,,,L3475,
Ce,3,273.004,,2000,,,,,,,,,,,,,L3518,
Ce,2,274.196,274.20225+,110,,,11007.799,47466.445,4f.(2F*).5d2.(3P),4F*,3/2,5d2.(1D).6s,,5/2,,,L3475,
Ce,3,274.371,,3000,,,,,,,,,,,,,L3518,
Ce,3,274.890,,4000,,,,,,,,,,,,,L3518,
Ce,2,275.089,275.08997+,100,,,5651.357,41992.356,4f.5d.(3H*).6s,4H*,11/2,4f.5d.(1H*).6p,2I,13/2,,,L3475,
Ce,3,275.487,,4000,,,,,,,,,,,,,L3518,
Ce,2,276.142,276.14200+,150,,,0.000,36202.557,4f.(2F*).5d2.(3F),4H*,7/2,4f.6s.(3F*).6p,4G,9/2,,,L3475,
Ce,3,276.828,,4000,,,,,,,,,,,,,L3518,
Ce,2,278.427,278.42663+,120,,,8175.863,44081.375,4f.5d.(3D*).6s,4D*,5/2,5d2.(3P).6s,4P,3/2,,,L3475,
Ce,2,278.535,278.53416+,100,,,12260.088,48151.739,4f.(2F*).6s2,*,7/2,5d2.(1G).6s,2G,9/2,,,L3475,
Ce,2,279.053,279.05174+,100,,,7818.147,43643.230,4f.5d.(3D*).6s,4D*,3/2,5d2.(3P).6s,4P,1/2,,,L3475,
Ce,2,279.142,279.14109+,140,,,9316.912,45130.529,4f2.(3H).5d,4G,7/2,4f3,4F*,5/2,,,L3475,
