element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
Cf,1,339.222,,10000,,,,,,,u11,
Cf,1,353.149,,10000,,,,,,,u11,
Cf,1,354.098,,10000,,,,,,,u11,
Cf,1,359.877,,10000,,,,,,,u11,
Cf,1,360.532,,10000,,,,,,,u11,
Cf,2,361.211,,10000,,,,,,,u11,
Cf,1,361.749,,10000,,,,,,,u11,
Cf,2,362.676,,10000s,,,,,,,u11,
Cf,1,366.270,,10000,,,,,,,u11,
Cf,2,372.211,,10000l,,,,,,,u11,
Cf,1,373.935,,10000,,,,,,,u11,
Cf,1,378.561,,10000,,,,,,,u11,
Cf,2,378.904,,10000l,,,,,,,u11,
Cf,2,389.323,,10000s,,,,,,,u11,
Cf,2,399.357,,10000l,,,,,,,u11,
Cf,1,409.912,,10000,,,,,,,u11,
Cf,1,424.238,,10000,,,,,,,u11,
Cf,1,432.903,,10000,,,,,,,u11,
Cf,1,433.522,,10000,,,,,,,u11,
Cf,1,517.396,,10000,,,,,,,u11,
Cf,1,517.908,,10000,,,,,,,u11,
Cf,1,521.924,,10000,,,,,,,u11,
Cf,1,540.888,,10000,,,,,,,u11,
Cf,1,572.605,,10000,,,,,,,u11,
Cf,1,662.283,,10000,,,,,,,u11,
Cf,1,663.126,,10000,,,,,,,u11,
Cf,1,667.790,,10000,,,,,,,u11,
Cf,1,689.459,,10000,,,,,,,u11,
Cf,2,692.710,,10000,,,,,,,u11,
Cf,1,707.452,,10000l,,,,,,,u11,
Cf,1,730.790,,10000s,,,,,,,u11,
Cf,1,814.129,,10000,,,,,,,u11,
Cf,1,824.177,,10000,,,,,,,u11,
Cf,2,833.385,,10000,,,,,,,u11,
Cf,2,842.349,,10000,,,,,,,u11,
Cf,2,856.883,,10000,,,,,,,u11,

