element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cl,5,28.733,,300,,,,,,,,,,,,,L495,
Cl,4,31.962,,300,,,,,,,,,,,,,L495,
Cl,4,33.184,,200,,,,,,,,,,,,,L496,
Cl,5,37.378,,300,,,,,,,,,,,,,L495,
Cl,5,39.015,39.0151,400,4.00e+09,C,0.0,256311,3s2.3p,2P*,1/2,3s2.4s,2S,1/2,,T1062LS,L495,
Cl,5,39.243,39.2433,500,7.9e+09,C,1490.5,256311,3s2.3p,2P*,3/2,3s2.4s,2S,1/2,,T1062LS,L495,
Cl,3,40.627,,100,,,,,,,,,,,,,L495,
Cl,3,41.137,,400,,,,,,,,,,,,,L495,
Cl,3,41.181,,400,,,,,,,,,,,,,L495,
Cl,4,43.783,,400,,,,,,,,,,,,,L495,
Cl,4,46.486,,400,,,,,,,,,,,,,L480,
Cl,4,48.617,,800,,,,,,,,,,,,,L496,
Cl,4,53.473,,800,,,,,,,,,,,,,L480,
Cl,4,53.567,,700,,,,,,,,,,,,,L495,
Cl,4,53.615,,600,,,,,,,,,,,,,L495,
Cl,5,53.653,,300,,,,,,,,,,,,,L495,
Cl,5,53.701,,400,,,,,,,,,,,,,L495,
Cl,5,53.746,,300,,,,,,,,,,,,,L3311,
Cl,4,53.761,,900,,,,,,,,,,,,,L495,
Cl,5,53.803,,500,,,,,,,,,,,,,L480,
Cl,4,53.812,,600,,,,,,,,,,,,,L495,
Cl,5,53.868,,400,,,,,,,,,,,,,L495,
Cl,5,54.223,,800,,,,,,,,,,,,,L3311,
Cl,5,54.230,,600,,,,,,,,,,,,,L480,
Cl,5,54.287,,400,,,,,,,,,,,,,L3311,
Cl,5,54.511,,1000,,,,,,,,,,,,,L3311,
Cl,5,54.633,,600,,,,,,,,,,,,,L3311,
Cl,5,54.763,,1000,,,,,,,,,,,,,L3311,
Cl,4,54.922,,500,,,,,,,,,,,,,L495,
Cl,4,55.002,,400,,,,,,,,,,,,,L495,
Cl,4,55.202,,700,,,,,,,,,,,,,L495,
Cl,4,55.330,,600,,,,,,,,,,,,,L495,
Cl,4,55.462,,700,,,,,,,,,,,,,L495,
Cl,3,55.623,,600,,,,,,,,,,,,,L495,
Cl,3,55.661,,700,,,,,,,,,,,,,L495,
Cl,3,55.712,,700,,,,,,,,,,,,,L495,
Cl,2,55.9305,,350,,,,,,,,,,,,,L1617,
Cl,3,56.153,,700,,,,,,,,,,,,,L495,
Cl,3,56.168,,700,,,,,,,,,,,,,L495,
Cl,3,56.174,,700,,,,,,,,,,,,,L495,
Cl,2,57.1904,,400,,,,,,,,,,,,,L1617,
Cl,2,57.4406,,800,,,,,,,,,,,,,L1617,
Cl,2,58.624,,500,,,,,,,,,,,,,L1617,
Cl,4,60.150,,500,,,,,,,,,,,,,L496,
Cl,4,60.459,,500,,,,,,,,,,,,,L496,
Cl,3,60.635,,500,,,,,,,,,,,,,L495,
Cl,4,60.890,,400,,,,,,,,,,,,,L480,
Cl,4,61.207,,400,,,,,,,,,,,,,L480,
Cl,2,61.8057,,700,,,,,,,,,,,,,L1617,
Cl,2,61.9982,,600,,,,,,,,,,,,,L1617,
Cl,2,62.0298,,800,,,,,,,,,,,,,L1617,
Cl,3,62.128,,400,,,,,,,,,,,,,L495,
Cl,2,62.6735,,700,,,,,,,,,,,,,L1617,
Cl,5,63.319,,400,,,,,,,,,,,,,L480,
Cl,5,63.532,,400,,,,,,,,,,,,,L480,
Cl,2,63.5881,,800,,,,,,,,,,,,,L1617,
Cl,2,63.6626,,1000,,,,,,,,,,,,,L1617,
Cl,2,65.0894,,1000,,,,,,,,,,,,,L1617,
Cl,4,65.370,,400,,,,,,,,,,,,,L496,
Cl,2,65.9811,,1000,,,,,,,,,,,,,L1617,
Cl,2,66.1841,,1300,,,,,,,,,,,,,L1617,
Cl,2,66.3074,,2000,,,,,,,,,,,,,L1617,
Cl,3,67.038,,300,,,,,,,,,,,,,L495,
Cl,3,67.313,,300,,,,,,,,,,,,,L495,
Cl,5,68.192,,400,,,,,,,,,,,,,L480,
Cl,2,68.2053,,1500,,,,,,,,,,,,,L1617,
Cl,5,68.317,,400,,,,,,,,,,,,,L480,
Cl,2,68.7656,,1500,,,,,,,,,,,,,L1617,
Cl,5,68.893,,400,,,,,,,,,,,,,L480,
Cl,2,69.3594,,1500,,,,,,,,,,,,,L1617,
Cl,2,72.5271,,2000,,,,,,,,,,,,,L1617,
Cl,2,72.8951,,2500,,,,,,,,,,,,,L1617,
Cl,4,74.521,,400,,,,,,,,,,,,,L496,
Cl,2,77.7562,,2000,,,,,,,,,,,,,L1617,
Cl,2,78.7580,,5000,,,,,,,,,,,,,L1617,
Cl,2,78.8740,,5000,,,,,,,,,,,,,L1617,
Cl,2,79.3342,,5000,,,,,,,,,,,,,L1617,
Cl,4,83.143,,400,,,,,,,,,,,,,L480,
Cl,4,83.484,,500,,,,,,,,,,,,,L480,
Cl,4,83.497,,500,,,,,,,,,,,,,L480,
Cl,2,83.9297,,6000,,,,,,,,,,,,,L1617,
Cl,2,83.9599,,8000,,,,,,,,,,,,,L1617,
Cl,4,84.081,,400,,,,,,,,,,,,,L480,
Cl,4,84.093,,600,,,,,,,,,,,,,L480,
Cl,2,84.141,,7000p,,,,,,,,,,,,,L1617,
Cl,2,85.1691,,5000,,,,,,,,,,,,,L1617,
Cl,5,88.313,88.3131,400,2.3e+09,E,0.0,113233.5,3s2.3p,2P*,1/2,3s.3p2,2D,3/2,,T668LS,L480,
Cl,2,88.8026,,2000,,,,,,,,,,,,,L1617,
Cl,2,89.3549,,2000,,,,,,,,,,,,,L1617,
Cl,5,89.434,89.4338,400,2.6e+09,E,1490.5,113305.0,3s2.3p,2P*,3/2,3s.3p2,2D,5/2,,T668LS,L480,
Cl,5,89.491,89.4911,100,4.3e+08,E,1490.5,113233.5,3s2.3p,2P*,3/2,3s.3p2,2D,3/2,,T668LS,L480,
Cl,3,93.628,,100,,,,,,,,,,,,,L480,
Cl,2,96.1499,,2000,,,,,,,,,,,,,L1617,
Cl,1,96.992,,30,,,,,,,,,,,,,L298,
Cl,4,97.321,97.322,500,1.3e+09,E,0.0,102752.,3s2.3p2,3P,0,3s.3p3,3D*,1,,T668LS,L480,
Cl,4,97.756,97.756,600,1.7e+09,E,492.0,102787.,3s2.3p2,3P,1,3s.3p3,3D*,2,,T668LS,L480,
Cl,4,97.790,97.790,400,9.4e+08,E,492.0,102752.,3s2.3p2,3P,1,3s.3p3,3D*,1,,T668LS,L480,
Cl,1,97.8284,,40,,,,,,,,,,,,,L298,
Cl,4,98.495,98.496,700,2.3e+09,E,1341.9,102869.,3s2.3p2,3P,2,3s.3p3,3D*,3,,T668LS,L480,
Cl,4,98.575,98.575,400,5.5e+08,E,1341.9,102787.,3s2.3p2,3P,2,3s.3p3,3D*,2,,T668LS,L480,
Cl,1,99.8372,,25,,,,,,,,,,,,,L298,
Cl,1,99.8432,,25,,,,,,,,,,,,,L298,
Cl,1,100.2346,,75,,,,,,,,,,,,,L298,
Cl,3,100.528,100.5275,500,2.6e+09,E,0.00,99475.22,3s2.3p3,4S*,3/2,3s.3p4.(3P),4P,1/2,,T668LS,L480,
Cl,3,100.878,100.8762,600,2.6e+09,E,0.00,99131.40,3s2.3p3,4S*,3/2,3s.3p4.(3P),4P,3/2,,T668LS,L480,
Cl,1,101.3664,,150,,,,,,,,,,,,,L298,
Cl,3,101.502,101.5019,700,2.5e+09,E,0.00,98520.34,3s2.3p3,4S*,3/2,3s.3p4.(3P),4P,5/2,,T668LS,L480,
Cl,1,102.5553,,90,,,,,,,,,,,,,L298,
Cl,2,106.3831,106.3831,6000,4.77e+07,C,0.00,93999.88,3s2.3p4,3P,2,3s.3p5,3P*,1,,T1220LS,L1617,
Cl,2,106.7945,106.7944,3000,1.13e+08,C,696.00,94333.84,3s2.3p4,3P,1,3s.3p5,3P*,0,,T1220LS,L1617,
Cl,2,107.1036,107.1036,9000,8.4e+07,C,0.00,93367.56,3s2.3p4,3P,2,3s.3p5,3P*,2,,T1220LS,L1617,
Cl,2,107.1767,107.1767,6000,2.80e+07,C,696.00,93999.88,3s2.3p4,3P,1,3s.3p5,3P*,1,,T1220LS,L1617,
Cl,2,107.5230,107.5229,5000,3.69e+07,C,996.47,93999.88,3s2.3p4,3P,0,3s.3p5,3P*,1,,T1220LS,L1617,
Cl,2,107.9080,107.9080,5000,2.74e+07,C,696.00,93367.56,3s2.3p4,3P,1,3s.3p5,3P*,2,,T1220LS,L1617,
Cl,1,108.4667,,200,,,,,,,,,,,,,L298,
Cl,1,108.5171,,200,,,,,,,,,,,,,L298,
Cl,1,108.5304,,250,,,,,,,,,,,,,L298,
Cl,1,108.806,,400,,,,,,,,,,,,,L298,
Cl,1,109.0271,,350,,,,,,,,,,,,,L298,
Cl,1,109.0982,,250,,,,,,,,,,,,,L298,
Cl,1,109.2437,,250,,,,,,,,,,,,,L298,
Cl,1,109.4769,,400,,,,,,,,,,,,,L298,
Cl,1,109.5148,,350,,,,,,,,,,,,,L298,
Cl,1,109.5662,,350,,,,,,,,,,,,,L298,
Cl,1,109.5797,,400,,,,,,,,,,,,,L298,
Cl,1,109.6810,,250,,,,,,,,,,,,,L298,
Cl,1,109.7369,,300,,,,,,,,,,,,,L298,
Cl,1,109.8068,,200,,,,,,,,,,,,,L298,
Cl,1,109.9523,,200,,,,,,,,,,,,,L298,
Cl,1,110.7528,,500,,,,,,,,,,,,,L298,
Cl,2,113.9214,,800,,,,,,,,,,,,,L1617,
Cl,1,116.7148,,800,,,,,,,,,,,,,L298,
Cl,1,117.9293,,3000,,,,,,,,,,,,,L298,
Cl,1,118.8774,118.8774,1200,2.33e+08,C,0.0000,84120.263,3s2.3p5,2P*,3/2,3s2.3p4.(1D).4s,2D,5/2,,"T1220,T1195n",L298,
Cl,1,120.1353,120.1352,900,2.39e+08,C,882.3515,84121.872,3s2.3p5,2P*,1/2,3s2.3p4.(1D).4s,2D,3/2,,"T1220,T1195n",L298,
Cl,1,133.5726,133.5726,3000,1.74e+08,C,0.0000,74865.667,3s2.3p5,2P*,3/2,3s2.3p4.(3P).4s,2P,1/2,,T1220,L298,
Cl,1,134.7240,134.7240,10000,4.19e+08,C+,0.0000,74225.846,3s2.3p5,2P*,3/2,3s2.3p4.(3P).4s,2P,3/2,,"T1220,T1195n",L298,
Cl,1,135.1657,135.1656,5000,3.23e+08,C+,882.3515,74865.667,3s2.3p5,2P*,1/2,3s2.3p4.(3P).4s,2P,1/2,,"T1220,T1195n",L298,
Cl,1,136.3447,136.3447,12000,7.5e+07,C+,882.3515,74225.846,3s2.3p5,2P*,1/2,3s2.3p4.(3P).4s,2P,3/2,,"T1220,T1195n",L298,
Cl,1,137.3116,137.3116,2500,2.9e+05,D,0.0000,72827.038,3s2.3p5,2P*,3/2,3s2.3p4.(3P).4s,4P,1/2,,T1195n,L298,
Cl,1,137.9528,137.9528,20000,1.1e+07,D,0.0000,72488.568,3s2.3p5,2P*,3/2,3s2.3p4.(3P).4s,4P,3/2,,T1195n,L298,
Cl,1,138.9693,138.9693,25000,2.3e+05,D,0.0000,71958.363,3s2.3p5,2P*,3/2,3s2.3p4.(3P).4s,4P,5/2,,T1220,L298,
Cl,1,138.9957,138.9957,20000,1.7e+06,D,882.3515,72827.038,3s2.3p5,2P*,1/2,3s2.3p4.(3P).4s,4P,1/2,,T1220,L298,
Cl,1,139.6527,139.6527,12000,1.5e+06,D,882.3515,72488.568,3s2.3p5,2P*,1/2,3s2.3p4.(3P).4s,4P,3/2,,T1195n,L298,
Cl,2,144.1470,,500,,,,,,,,,,,,,L1617,
Cl,2,152.8569,,500,,,,,,,,,,,,,L1617,
Cl,4,153.721,,300,,,,,,,,,,,,,L495,
Cl,4,153.930,153.930,200,5.6e+08,D,248026.2,312991.,3s2.3p(2P*)4p,3D,2,3s2.3p(2P*)5s,3P*,1,,"T1619CA,LS",L495,
Cl,2,154.2942,,500,,,,,,,,,,,,,L1617,
Cl,4,154.519,154.517+,200,,,187008.,251725.8,3s2.3p(2P*)3d,3D*,1,3s2.3p(2P*)4p,3P,1,,,L495,
Cl,4,154.915,154.914+,200,,,187174.,251725.8,3s2.3p(2P*)3d,3D*,2,3s2.3p(2P*)4p,3P,1,,,L495,
Cl,2,155.8144,,500,,,,,,,,,,,,,L1617,
Cl,2,156.5050,,500,,,,,,,,,,,,,L1617,
Cl,4,162.286,162.30+,200,,,187346.,248961.2,3s2.3p(2P*)3d,3D*,3,3s2.3p(2P*)4p,3D,3,,,L495,
Cl,3,182.250,182.2420,600,1.7e+08,E,147494.54,202366.62,3s2.3p2.(3P).3d,4F,9/2,3s2.3p2.(3P).4p,4D*,7/2,,"T1619CA,LS",L495,
Cl,3,182.840,182.8344,500,1.5e+08,E,147069.57,201763.86,3s2.3p2.(3P).3d,4F,7/2,3s2.3p2.(3P).4p,4D*,5/2,,"T1619CA,LS",L495,
Cl,2,185.7488,,500,,,,,,,,,,,,,L1617,
Cl,3,190.161,190.1527,500,1.3e+08,E,151951.64,204540.95,3s2.3p2.(3P).3d,4D,7/2,3s2.3p2.(3P).4p,4P*,5/2,,"T1619CA,LS",L495,
Cl,3,198.361,,500,,,,,,,,,,,,,L495,
Cl,2,199.7370,,450w,,,,,,,,,,,,,L1617,
Cl,3,200.684,,400,,,,,,,,,,,,,L495,
Cl,2,203.2116,,450,,,,,,,,,,,,,L1617,
Cl,2,208.8583,,350w,,,,,,,,,,,,,L1617,
Cl,2,209.1458,,350w,,,,,,,,,,,,,L1617,
Cl,3,225.307,225.291,700,6.1e+07,D,201763.86,246137.2?,3s2.3p2.(3P).4p,4D*,5/2,3s2.3p2.(3P).5s,4P,5/2,,"T1619CA,LS",L480,
Cl,3,226.895,226.885,500,1.1e+08,D,201330.92,245392.4?,3s2.3p2.(3P).4p,4D*,3/2,3s2.3p2.(3P).5s,4P,3/2,,"T1619CA,LS",L480,
Cl,3,227.834,227.829,500,1.8e+08,D,201072.41,244951.5?,3s2.3p2.(3P).4p,4D*,1/2,3s2.3p2.(3P).5s,4P,1/2,,"T1619CA,LS",L480,
Cl,3,228.393,228.393,700,2.7e+08,D,202366.62,246137.2?,3s2.3p2.(3P).4p,4D*,7/2,3s2.3p2.(3P).5s,4P,5/2,,"T1619CA,LS",L480,
Cl,3,232.350,,600,,,,,,,,,,,,,L495,
Cl,3,233.645,,500,,,,,,,,,,,,,L495,
Cl,3,234.064,234.057,600,4.2e+08,D,205946.9?,248658.44,3s2.3p2.(3P).4p,2D*,5/2,3s2.3p2.(3P).4d,2D,5/2,,"T1619CA,LS",L495,
Cl,3,235.967,235.965,600,3.0e+08,D,216524.6?,258890.8?,3s2.3p2.(1D).4p,2F*,5/2,3s2.3p2.(1D).5s,2D,3/2,,"T1619CA,LS",L495,
