element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
Cm,2,246.276,,10000,,,,,,,L3587,
Cm,2,261.717,,10000,,,,,,,L3587,
Cm,2,263.628,,10000,,,,,,,L3587,
Cm,2,265.117,,10000,,,,,,,L3587,
Cm,2,265.380,,10000,,,,,,,L3587,
Cm,2,272.568,,10000,,,,,,,L3587,
Cm,2,273.689,,10000,,,,,,,L3587,
Cm,2,274.804,,10000,,,,,,,L3587,
Cm,2,278.483,,10000,,,,,,,L3587,
Cm,2,281.162,,10000,,,,,,,L3587,
Cm,2,282.420,,10000,,,,,,,L3587,
Cm,2,283.358,,10000,,,,,,,L3587,
Cm,2,289.990,,10000,,,,,,,L3587,
Cm,2,291.297,,10000,,,,,,,L3587,
Cm,2,292.892,,10000,,,,,,,L3587,
Cm,2,299.618,,10000,,,,,,,L3587,
Cm,1,299.939,,10000,,,,,,,L3587,
Cm,2,301.487,,10000b,,,,,,,L3587,
Cm,2,304.485,,10000,,,,,,,L3587,
Cm,1,310.969,,10000,,,,,,,L3587,
Cm,1,311.641,,10000,,,,,,,L3587,
Cm,1,313.716,,10000,,,,,,,L3587,
Cm,1,314.733,,10000,,,,,,,L3587,
Cm,1,315.510,,10000,,,,,,,L3587,
Cm,1,315.860,,10000,,,,,,,L3587,
Cm,2,316.998,,10000,,,,,,,L3587,
Cm,1,317.755,,10000,,,,,,,L3587,
Cm,1,317.910,,10000,,,,,,,L3587,
Cm,1,318.641,,10000,,,,,,,L3587,
Cm,1,318.811,,10000,,,,,,,L3587,
Cm,2,320.712,,10000,,,,,,,L3587,
Cm,1,320.771,,10000,,,,,,,L3587,
Cm,2,320.989,,10000,,,,,,,L3587,
Cm,1,320.994,,10000,,,,,,,L3587,
Cm,2,321.005,,10000,,,,,,,L3587,
Cm,2,322.076,,10000,,,,,,,L3587,
Cm,1,322.423,,10000,,,,,,,L3587,
