element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Co,24,0.9974,0.0010,0.9974*,0.0010,1,1.9e+11,D,398720,10425000,1s2.2s.2p,3P*,1,1s2.2p.3p,3P,2,,T5298interp,L4776,
Co,24,0.9974,0.0010,0.9974*,0.0010,1,,,398720,10425000,1s2.2s.2p,3P*,1,1s2.2p.3p,3P,1,,,L4776,
Co,24,0.9974,0.0010,0.9968*,0.0010,1,,,509210,10541000,1s2.2s.2p,3P*,2,1s2.2p.3p,1D,2,,,L4776,
Co,24,1.0053,0.0010,1.004*,0.010,3,,,363130,10320000,1s2.2s.2p,3P*,0,1s2.2p.3p,1P,1,,,L4776,
Co,24,1.0053,0.0010,1.0053*,0.0010,3,,,509210,10456000,1s2.2s.2p,3P*,2,1s2.2p.3p,3S,1,,,L4776,
Co,24,1.0503,0.0010,1.050*,0.011,2,1.8e+12,D,799040,10320000,1s2.2s.2p,1P*,1,1s2.2p.3p,1P,1,,T5298interp,L4776,
Co,24,1.0503,0.0010,1.0504*,0.0011,2,,,1138140,10658000,1s2.2p2,3P,2,1s2.2p.3d,1F*,3,,,L4776,
Co,19,1.2828,0.0010,1.28280*,0.00017,5,,,121960,7917400,2s2.2p5,2P*,1/2,2s2.2p4.(1S).3d,2D,3/2,,,L5090,
Co,19,1.2876,0.0010,1.28785*,0.00017,7,,,0,7764900,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2P,1/2,,,L4615,
Co,19,1.2890,0.0010,1.28904*,0.00017,7,,,0,7757700,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2D,3/2,,,L5090,
Co,19,1.2942,0.0010,1.29435*,0.00017,10,,,0,7725900,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2P,3/2,,,L5090,
Co,19,1.2942,0.0010,1.29420*,0.00017,10,,,0,7726800,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2D,5/2,,,L5090,
Co,19,1.3084,0.0010,1.30840*,0.00017,12,,,0,7642900,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,2D,5/2,,,L5090,
Co,19,1.3084,0.0010,1.30840*,0.00017,12,,,121960,7764900,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3d,2P,1/2,,,L5090,
Co,19,1.3097,0.0010,1.30963*,0.00017,12,,,121960,7757700,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3d,2D,3/2,,,L5090,
Co,19,1.3151,0.0010,1.31511*,0.00017,6,,,121960,7725900,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3d,2P,3/2,,,L5090,
Co,19,1.3157,0.0010,1.31570*,0.00017,6,,,0,7600500,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,2D,3/2,,,L4615,
Co,19,1.3246,0.0010,1.32461*,0.00018,8,,,0,7549400,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,4P,5/2,,,L4615,
Co,19,1.3258,0.0010,1.32580*,0.00018,7,,,0,7542600,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,4P,3/2,,,L5090,
Co,19,1.3289,0.0010,1.3289*,0.0018,6,,,0,7525000,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,4P,1/2,,,L5090,
Co,19,1.3314,0.0010,1.33141*,0.00018,5,,,121960,7632800,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3d,2P,3/2,,,L5090,
Co,19,1.4303,0.0010,1.43031*,0.00020,4,1.6e+12,E,0,6991500,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,2P,1/2,,T5298interp,L5090,
Co,19,1.4355,0.0010,1.43550*,0.00021,4,,,0,6966200,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,4P,3/2,,,L5090,
Co,19,1.4557,0.0010,1.45570*,0.00021,5,1.8e+12,D,121960,6991500,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3s,2P,1/2,,T5298interp,L5090,
Co,16,3.7070,0.0010,3.7070*,0.0014,1,,,249081,2946700,3s.3p,3P*,0,3s.5d,3D,1,,,L819,
Co,16,3.7165,0.0010,3.7164*,0.0014,2,,,256060,2946800,3s.3p,3P*,1,3s.5d,3D,2,,,L819,
Co,16,3.7401,0.0010,3.7402*,0.0014,3,,,273414,2947100,3s.3p,3P*,2,3s.5d,3D,3,,,L819,
Co,16,4.9808,0.0010,4.9805*,0.0025,1,,,249081,2256900,3s.3p,3P*,0,3s.4d,3D,1,,,L15325,
Co,16,4.9958,0.0010,4.996*,0.003,1,,,256060,2257800,3s.3p,3P*,1,3s.4d,3D,2,,,L15325,
Co,16,5.0357,0.0010,5.036*,0.003,2,,,273414,2259200,3s.3p,3P*,2,3s.4d,3D,3,,,L15325,
Co,16,6.1875,0.0010,6.187*,0.004,1,,,724731,2340900,3s.3d,3D,1,3s.4f,3F*,2,,,L15325,
Co,16,6.1916,0.0010,6.192*,0.004,2,,,726039,2341100,3s.3d,3D,2,3s.4f,3F*,3,,,L15325,
Co,16,6.1982,0.0010,6.198*,0.004,2,,,728136,2341500,3s.3d,3D,3,3s.4f,3F*,4,,,L15325,
Co,9,7.1053,0.0010,7.1052*,0.0005,1,,,2451,1409880,3p6.3d,2D,5/2,3p6.10f,2F*,7/2,,,L16999,
Co,9,7.2048,0.0010,7.2048*,0.0005,1,,,0,1387960,3p6.3d,2D,3/2,3p6.9f,2F*,5/2,,,L16999,
Co,9,7.2177,0.0010,7.2176*,0.0005,2,,,2451,1387960,3p6.3d,2D,5/2,3p6.9f,2F*,7/2,,,L16999,
Co,9,7.3665,0.0010,7.366*,0.005,2,,,0,1357500,3p6.3d,2D,3/2,3p6.8f,2F*,5/2,,,L16999,
Co,9,7.3798,0.0010,7.380*,0.005,3,,,2451,1357500,3p6.3d,2D,5/2,3p6.8f,2F*,7/2,,,L16999,
Co,9,7.6160,0.0010,7.6160*,0.0006,3,,,0,1313020,3p6.3d,2D,3/2,3p6.7f,2F*,5/2,,,L16999,
Co,9,7.6305,0.0010,7.6303*,0.0006,4,,,2451,1313020,3p6.3d,2D,5/2,3p6.7f,2F*,7/2,,,L16999,
Co,9,8.0388,0.0010,8.0388*,0.0006,5,,,0,1243970,3p6.3d,2D,3/2,3p6.6f,2F*,5/2,,,L16999,
Co,9,8.0544,0.0010,8.0544*,0.0007,6,,,2451,1244010,3p6.3d,2D,5/2,3p6.6f,2F*,7/2,,,L16999,
Co,11,8.1507,0.0010,8.1507*,0.0007,3,,,0,1226890,3s2.3p5,2P*,3/2,3s2.3p4.(1D).4s,2D,5/2,,,L3398,
Co,11,8.2759,0.0010,8.2756*,0.0007,2,,,19345,1227710,3s2.3p5,2P*,1/2,3s2.3p4.(1D).4s,2D,3/2,,,L3398,
