element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cr,20,1.0712,0.0010,1.0712*,0.0011,3,,,0,9335000,2s2.2p,2P*,1/2,2s2.4d,2D,3/2,,,L5067,
Cr,20,1.0840,0.0010,1.0840*,0.0012,2,,,82970,9308000,2s2.2p,2P*,3/2,2s2.4d,2D,5/2,,,L5067,
Cr,20,1.0940,0.0010,1.0935*,0.0012,3,,,0,9145000,2s2.2p,2P*,1/2,2s2.4s,2S,1/2,,,L5067,
Cr,20,1.1030,0.0010,1.1035*,0.0012,5,,,82970,9145000,2s2.2p,2P*,3/2,2s2.4s,2S,1/2,,,L5067,
Cr,15,1.3294,0.0010,1.3291*,0.0018,1,,,0,7524000,2s2.2p6,1S,0,2s2.2p5.6d,1P*,1,,,L1476,
Cr,15,1.3416,0.0010,1.3419*,0.0018,1,,,0,7452000,2s2.2p6,1S,0,2s2.2p5.6d,3D*,1,,,L1476,
Cr,15,1.3862,0.0010,1.3860*,0.0019,2,,,0,7215000,2s2.2p6,1S,0,2s2.2p5.5d,1P*,1,,,L1476,
Cr,15,1.3991,0.0010,1.3990*,0.0020,2,,,0,7148000,2s2.2p6,1S,0,2s2.2p5.5d,3D*,1,,,L1476,
Cr,20,1.4037,0.0010,1.4037*,0.0020,100,,,640950,7765000,2s.2p2,2D,3/2,2s.2p.(1P*).3d,2F*,5/2,,,L6120,
Cr,20,1.4066,0.0010,1.40700*,0.00020,65,,,391360,7498700,2s.2p2,4P,3/2,2s.2p.(3P*).3d,4P*,3/2,,,L6120,
Cr,20,1.4066,0.0010,1.40660*,0.00020,65,,,391360,7500700,2s.2p2,4P,3/2,2s.2p.(3P*).3d,4P*,1/2,,,L6120,
Cr,20,1.4066,0.0010,1.40662*,0.00020,65,,,653080,7762300,2s.2p2,2D,5/2,2s.2p.(1P*).3d,2F*,7/2,,,L6120,
Cr,20,1.4121,0.0010,1.41210*,0.00020,65,,,354570,7436200,2s.2p2,4P,1/2,2s.2p.(3P*).3d,4D*,3/2,,,L6120,
Cr,20,1.4121,0.0010,1.41210*,0.00020,65,,,354570,7436200,2s.2p2,4P,1/2,2s.2p.(3P*).3d,4D*,1/2,,,L6120,
Cr,20,1.4121,0.0010,1.41196*,0.00020,65,,,391360,7473700,2s.2p2,4P,3/2,2s.2p.(3P*).3d,2D*,5/2,,,L6120,
Cr,20,1.4152,0.0010,1.41520*,0.00020,55,,,430650,7496800,2s.2p2,4P,5/2,2s.2p.(3P*).3d,4D*,5/2,,,L6120,
