element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cs,44,5.1447,0.0020,5.1453,0.0010,1,,,[3431100],[5374640],3p.3d,"(1/2,3/2)*",2,3d2,"(3/2,3/2)",2,,,L10678,
Cs,44,5.2044,0.0020,5.2042,0.0010,2,,,[3694050],[5615580],3p.3d,"(1/2,5/2)*",2,3d2,"(3/2,5/2)",1,,,L10678,
Cs,44,5.2411,0.0020,5.2434,0.0010,2h,,,[2386540],[4293710],3p2,"(1/2,3/2)",2,3p.3d,"(3/2,3/2)*",3,,,L10678,
Cs,44,5.2610,0.0020,5.2610,0.0010,3h,,,[791340],[2692120],3s.3p,"(1/2,1/2)*",1,3s.3d,"(1/2,3/2)",2,,,L10678,
Cs,44,5.2958,0.0020,5.2971,0.0010,4h,,,[1723410],[3611220],3p2,"(1/2,1/2)",0,3p.3d,"(1/2,3/2)*",1,,,L10678,
Cs,44,5.4092,0.0020,5.4112,0.0010,2w,,,[2386540],[4234550],3p2,"(1/2,3/2)",2,3p.3d,"(3/2,3/2)*",2,,,L10678,
Cs,44,5.4304,0.0020,5.4301,0.0010,2h,,,[2392980],[4234550],3p2,"(1/2,3/2)",1,3p.3d,"(3/2,3/2)*",2,,,L10678,
Cs,44,5.4847,0.0020,5.4832,0.0010,1h,,,[3695550],[5519300],3p.3d,"(1/2,5/2)*",3,3d2,"(3/2,5/2)",3,,,L10678,
Cs,44,5.6716,0.0020,5.6708,0.0010,1h,,,[3611220],[5374640],3p.3d,"(1/2,3/2)*",1,3d2,"(3/2,3/2)",2,,,L10678,
Cs,44,5.6911,0.0020,5.6902,0.0010,2,,,[1460610],[3218010],3s.3p,"(1/2,3/2)*",2,3p2,"(3/2,3/2)",2,,,L10678,
Cs,44,5.9756,0.0020,5.972,0.010,"7bl,h*",,,[718460],[2392980],3s.3p,"(1/2,1/2)*",0,3p2,"(1/2,3/2)",1,,,L10678,
Cs,44,5.9756,0.0020,5.9754,0.0010,"7bl,h*",,,0,1673520,3s2,1S,0,3s.3p,"(1/2,3/2)*",1,,,L10678,
Cs,44,6.0799,0.0020,6.080,0.010,1h,,,[2653240],[4297900],3s.3d,"(1/2,3/2)",1,3p.3d,"(3/2,3/2)*",1,,,L10678,
Cs,44,6.1907,0.0020,6.191,0.010,2h,,,[1673520],[3288820],3s.3p,"(1/2,3/2)*",1,3p2,"(3/2,3/2)",0,,,L10678,
Cs,44,6.2416,0.0020,6.244,0.010,"3bl,w*",,,[2692120],[4293710],3s.3d,"(1/2,3/2)",2,3p.3d,"(3/2,3/2)*",3,,,L10678,
Cs,44,6.2416,0.0020,6.244,0.010,"3bl,w*",,,[791340],[2392980],3s.3p,"(1/2,1/2)*",1,3p2,"(1/2,3/2)",1,,,L10678,
Cs,44,6.2664,0.0020,6.269,0.010,3h,,,[791340],[2386540],3s.3p,"(1/2,1/2)*",1,3p2,"(1/2,3/2)",2,,,L10678,
Cs,44,6.4746,0.0020,6.475,0.010,5w,,,[1673520],[3218010],3s.3p,"(1/2,3/2)*",1,3p2,"(3/2,3/2)",2,,,L10678,
Cs,44,6.5810,0.0020,6.582,0.010,4,,,[2819640],[4338860],3s.3d,"(1/2,5/2)",3,3p.3d,"(3/2,5/2)*",4,,,L10678,
Cs,44,6.5921,0.0020,6.595,0.010,2w,,,[2897640],[4413880],3s.3d,"(1/2,5/2)",2,3p.3d,"(3/2,5/2)*",2,,,L10678,
Cs,44,6.9588,0.0020,6.959,0.010,5w,,,[1460610],[2897640],3s.3p,"(1/2,3/2)*",2,3s.3d,"(1/2,5/2)",2,,,L10678,
