element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cu,20,0.8073,0.0010,0.8072*,0.0007,1,,,0,12389000,2s2.2p6,1S,0,2s2.2p5.6d,"(3/2,5/2)*",1,,,L5090,
Cu,20,0.8333,0.0010,0.8332*,0.0007,1,,,0,12002000,2s2.2p6,1S,0,2s2.2p5.5d,"(1/2,3/2)*",1,,,L5090,
Cu,27,,,0.840415,0.000010,20,,,0,11898880,1s2.2s,2S,1/2,1s2.3p,2P*,3/2,,,L11926,
Cu,20,0.8447,0.0010,0.845*,0.007,1,,,0,11840000,2s2.2p6,1S,0,2s2.2p5.5d,"(3/2,5/2)*",1,,,L5090,
Cu,27,,,0.844757,0.000010,10,,,0,11837720,1s2.2s,2S,1/2,1s2.3p,2P*,1/2,,,L11926,
Cu,27,,,0.869521,0.000010,15,,,444861,[11945450],1s2.2p,2P*,1/2,1s2.3d,2D,3/2,,,L11926,
Cu,27,,,0.883911,0.000010,25,,,651412,[11964770],1s2.2p,2P*,3/2,1s2.3d,2D,5/2,,,L11926,
Cu,27,,,0.885423,0.000010,2,,,651412,[11945450],1s2.2p,2P*,3/2,1s2.3d,2D,3/2,,,L11926,
Cu,27,,,0.887349,0.000010,2bl,,,444861,[11714380],1s2.2p,2P*,1/2,1s2.3s,2S,1/2,,,L11926,
Cu,27,,,0.903917,0.000010,10bl,,,651412,[11714380],1s2.2p,2P*,3/2,1s2.3s,2S,1/2,,,L11926,
Cu,20,0.9375,0.0010,0.9375*,0.0009,1,,,0,10667000,2s2.2p6,1S,0,2s2.2p5.4s,"(1/2,1/2)*",1,,,L5090,
Cu,20,0.9521,0.0010,0.9520*,0.0009,1,,,0,10504000,2s2.2p6,1S,0,2s2.2p5.4s,"(3/2,1/2)*",1,,,L5090,
Cu,20,1.0597,0.0010,1.0598*,0.0011,4,,,0,9436000,2s2.2p6,1S,0,2s.2p6.3p,"(1/2,3/2)*",1,,,L5090,
Cu,20,1.0653,0.0010,1.0653*,0.0011,5,,,0,9387000,2s2.2p6,1S,0,2s.2p6.3p,"(1/2,1/2)*",1,,,L5090,
Cu,21,1.0800,0.0010,1.0800*,0.0012,5,,,168830,9428000,2s2.2p5,2P*,1/2,2s2.2p4.(1S).3d,2D,3/2,,,L5090,
Cu,21,1.0801,0.0010,1.0801*,0.0012,16,,,0,9258000,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2P,1/2,,,L5122,
Cu,21,1.0813,0.0010,1.0813*,0.0012,16,,,0,9248000,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2D,3/2,,,L5090,
Cu,21,1.0858,0.0010,1.0859*,0.0012,28,,,0,9209000,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2D,5/2,,,L5090,
Cu,21,1.0863,0.0010,1.0862*,0.0012,28,,,0,9206000,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2P,3/2,,,L5090,
Cu,21,1.0893,0.0010,1.089*,0.012,14,,,0,9180000,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2S,1/2,,,L5090,
Cu,21,1.0971,0.0010,1.0971*,0.0012,14,,,0,9115000,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,2D,5/2,,,L5090,
Cu,21,1.1002,0.0010,1.1002*,0.0012,12,,,168830,9258000,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3d,2P,1/2,,,L5090,
Cu,21,1.1014,0.0010,1.1014*,0.0012,14,,,168830,9248000,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3d,2D,3/2,,,L5090,
Cu,21,1.1065,0.0010,1.1065*,0.0012,12,,,168830,9206000,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3d,2P,3/2,,,L5090,
Cu,21,1.1097,0.0010,1.110*,0.012,45,,,168830,9180000,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3d,2S,1/2,,,L5090,
Cu,21,1.1136,0.0010,1.1137*,0.0012,10,,,0,8979000,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,4P,3/2,,,L5090,
Cu,21,1.1162,0.0010,1.1162*,0.0012,7,,,0,8959000,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,4P,1/2,,,L5090,
Cu,21,1.1185,0.0010,1.1187*,0.0013,6,,,168830,9108000,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3d,2P,3/2,,,L5090,
Cu,20,1.1383,0.0010,1.138044*,0.000013,8,,,0,8787010,2s2.2p6,1S,0,2s2.2p5.3d,"(1/2,3/2)*",1,,,L5090,
Cu,20,1.1594,0.0010,1.159217*,0.000014,10,,,0,8626510,2s2.2p6,1S,0,2s2.2p5.3d,"(3/2,5/2)*",1,,,L5090,
Cu,20,1.1736,0.0010,1.173596*,0.000014,7,,,0,8520820,2s2.2p6,1S,0,2s2.2p5.3d,"(3/2,3/2)*",1,,,L5090,
Cu,18,1.1774,0.0010,1.1774*,0.0014,2,,,0,8493000,2p6.3s2,1S,0,2p5.3s2.3d,1P*,1,,,L1476,
Cu,21,1.1830,0.0010,1.1832*,0.0014,8,,,0,8452000,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3s,2D,5/2,,,L5090,
Cu,21,1.1920,0.0010,1.1922*,0.0014,4,,,0,8388000,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,2P,1/2,,,L5090,
Cu,21,1.1956,0.0010,1.1957*,0.0014,6,,,0,8363000,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,4P,3/2,,,L5090,
Cu,21,1.2061,0.0010,1.2064*,0.0015,7,,,168830,8458000,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3s,2D,3/2,,,L5090,
Cu,21,1.2140,0.0010,1.2142*,0.0015,7,,,0,8236000,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,2P,3/2,,,L5090,
Cu,21,1.2165,0.0010,1.2167*,0.0015,4,,,168830,8388000,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3s,2P,1/2,,,L5090,
Cu,20,1.2570,0.0010,1.257063*,0.000016,6,,,0,7955050,2s2.2p6,1S,0,2s2.2p5.3s,"(1/2,1/2)*",1,,,L5090,
Cu,20,1.2827,0.0010,1.282767*,0.000017,9,,,0,7795650,2s2.2p6,1S,0,2s2.2p5.3s,"(3/2,1/2)*",1,,,L5090,
Cu,19,2.2475,0.0010,2.2475*,0.0005,1,,,329436,4778800,2p6.3p,2P*,1/2,2p6.8d,2D,3/2,,,L819,
Cu,19,2.3503,0.0010,2.3503*,0.0006,10,,,329436,4584200,2p6.3p,2P*,1/2,2p6.7d,2D,3/2,,,L819,
Cu,19,2.3599,0.0010,2.3599*,0.0006,10,,,0,4237500,2p6.3s,2S,1/2,2p6.6p,2P*,3/2,,,L819,
Cu,19,2.3621,0.0010,2.3621*,0.0006,1,,,0,4233500,2p6.3s,2S,1/2,2p6.6p,2P*,1/2,,,L819,
Cu,19,2.3704,0.0010,2.3704*,0.0006,10,,,365826,4584500,2p6.3p,2P*,3/2,2p6.7d,2D,5/2,,,L819,
Cu,27,,,2.43019,0.00010,1,,,[11714380],[15829290],1s2.3s,2S,1/2,1s2.4p,2P*,3/2,,,L11926,
Cu,27,,,2.49303,0.00010,1,,,[11837720],[15848900],1s2.3p,2P*,1/2,1s2.4d,2D,3/2,,,L11926,
Cu,19,2.5175,0.0010,2.5175*,0.0006,1,,,817560,4789800?,2p6.3d,2D,5/2,2p6.8f,2F*,7/2,,,L819,
Cu,27,,,2.52641,0.00010,3,,,[11898880],[15857060],1s2.3p,2P*,3/2,1s2.4d,2D,5/2,,,L11926,
Cu,19,2.5297,0.0010,2.5297*,0.0006,100,,,329436,4282500,2p6.3p,2P*,1/2,2p6.6d,2D,3/2,,,L4665,
Cu,19,2.5526,0.0010,2.5526*,0.0007,150,,,365826,4283400,2p6.3p,2P*,3/2,2p6.6d,2D,5/2,,,L4665,
Cu,27,2.5543,0.0010,2.5543*,0.0007,6,,,[11945450],15860400,1s2.3d,2D,3/2,1s2.4f,2F*,5/2,,,L6706,
