element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Dy,2,235.691,,260,,,,,,,,,,,,,L3475,
Dy,2,238.736,,130,,,,,,,,,,,,,L3475,
Dy,2,240.229,,180,,,,,,,,,,,,,L3475,
Dy,2,241.001,,240,,,,,,,,,,,,,L3475,
Dy,2,242.275,,150,,,,,,,,,,,,,L3475,
Dy,2,243.984,,260,,,,,,,,,,,,,L3475,
Dy,2,245.515,,90,,,,,,,,,,,,,L3475,
Dy,2,245.999,,110,,,,,,,,,,,,,L3475,
Dy,2,247.140,,90,,,,,,,,,,,,,L3475,
Dy,2,248.093,,110,,,,,,,,,,,,,L3475,
Dy,2,249.061,,170,,,,,,,,,,,,,L3475,
Dy,2,251.031,,90,,,,,,,,,,,,,L3475,
Dy,2,251.355,,170,,,,,,,,,,,,,L3475,
Dy,2,251.761,,170,,,,,,,,,,,,,L3475,
Dy,2,254.381,,130,,,,,,,,,,,,,L3475,
Dy,2,254.512,,90,,,,,,,,,,,,,L3475,
Dy,2,255.229,,150,,,,,,,,,,,,,L3475,
Dy,2,255.794,,180,,,,,,,,,,,,,L3475,
Dy,2,256.021,,90,,,,,,,,,,,,,L3475,
Dy,2,256.625,,90,,,,,,,,,,,,,L3475,
Dy,1,258.530,,220,,,,,,,,,,,,,L3475,
Dy,2,259.156,,90,,,,,,,,,,,,,L3475,
Dy,2,259.254,,75,,,,,,,,,,,,,L3475,
Dy,2,260.016,,130,,,,,,,,,,,,,L3475,
Dy,2,260.076,,130,,,,,,,,,,,,,L3475,
Dy,2,260.869,,75,,,,,,,,,,,,,L3475,
Dy,1,262.369,,370,,,,,,,,,,,,,L3475,
Dy,2,263.480,,440,,,,,,,,,,,,,L3475,
Dy,1,264.215,,110,,,,,,,,,,,,,L3475,
Dy,2,264.535,,110,,,,,,,,,,,,,L3475,
Dy,1,266.794,,110,,,,,,,,,,,,,L3475,
Dy,2,267.684,,55,,,,,,,,,,,,,L3475,
Dy,2,267.734,,50,,,,,,,,,,,,,L3475,
Dy,2,268.931,,85,,,,,,,,,,,,,L3475,
Dy,2,269.283,,85,,,,,,,,,,,,,L3475,
Dy,2,270.901,,55,,,,,,,,,,,,,L3475,
Dy,2,272.717,,55,,,,,,,,,,,,,L3475,
Dy,2,272.950,,85,,,,,,,,,,,,,L3475,
Dy,1,273.579,,55,,,,,,,,,,,,,L3475,
Dy,2,273.930,,40,,,,,,,,,,,,,L3475,
Dy,2,274.070,,85,,,,,,,,,,,,,L3475,
Dy,2,275.575,,220,,,,,,,,,,,,,L3475,
Dy,2,275.708,,55,,,,,,,,,,,,,L3475,
Dy,2,276.650,,70,,,,,,,,,,,,,L3475,
Dy,2,277.242,,70,,,,,,,,,,,,,L3475,
Dy,2,277.261,,110,,,,,,,,,,,,,L3475,
Dy,2,277.958,,40,,,,,,,,,,,,,L3475,
Dy,2,279.144,,55,,,,,,,,,,,,,L3475,
Dy,2,280.033,,120,,,,,,,,,,,,,L3475,
Dy,2,280.053,,110,,,,,,,,,,,,,L3475,
Dy,2,280.141,,110,,,,,,,,,,,,,L3475,
Dy,2,281.639,,300,,,,,,,,,,,,,L3475,
Dy,2,282.542,,140,,,,,,,,,,,,,L3475,
Dy,1,286.270,286.2694+,140,7.9e+06,B+,0.000,34921.87,4f10.6s2,5I,8,,*,7,,T7148,L3475,
Dy,2,287.788,,190,,,,,,,,,,,,,L3475,
Dy,2,288.428,,110,,,,,,,,,,,,,L3475,
Dy,1,288.553,,120,,,,,,,,,,,,,L3475,
Dy,2,289.074,,120,,,,,,,,,,,,,L3475,
Dy,2,290.082,,120,,,,,,,,,,,,,L3475,
Dy,2,290.462,,110,,,,,,,,,,,,,L3475,
Dy,2,290.639,,190,,,,,,,,,,,,,L3475,
Dy,2,291.395,,390,,,,,,,,,,,,,L3475,
Dy,2,293.431,,110,,,,,,,,,,,,,L3475,
Dy,2,293.452,,250,,,,,,,,,,,,,L3475,
Dy,2,294.105,,110,,,,,,,,,,,,,L3475,
Dy,2,294.456,,140,,,,,,,,,,,,,L3475,
Dy,2,294.706,,150,,,,,,,,,,,,,L3475,
Dy,2,294.721,,150,,,,,,,,,,,,,L3475,
Dy,2,294.831,,250,,,,,,,,,,,,,L3475,
Dy,2,295.033,,170,,,,,,,,,,,,,L3475,
Dy,2,295.212,,110,,,,,,,,,,,,,L3475,
Dy,2,295.370,,140,,,,,,,,,,,,,L3475,
Dy,1,296.460,296.4600+,220,6.5e+06,D,0.000,33721.52,4f10.6s2,5I,8,,*,8,,T4515,L3475,
Dy,2,297.742,,110,,,,,,,,,,,,,L3475,
