element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Er,3,216.526,,2,,,,,,,,,,,,,L1925,
Er,3,219.077,,3,,,,,,,,,,,,,L1925,
Er,3,219.815,,10,,,,,,,,,,,,,L1925,
Er,3,222.398,,1,,,,,,,,,,,,,L1925,
Er,3,223.235,,4,,,,,,,,,,,,,L1925,
Er,3,223.528,,60,,,,,,,,,,,,,L1925,
Er,3,224.560,,8,,,,,,,,,,,,,L1925,
Er,3,225.595,,2,,,,,,,,,,,,,L1925,
Er,3,226.936,,80,,,,,,,,,,,,,L1925,
Er,3,227.765,,600,,,,,,,,,,,,,L1925,
Er,3,230.919,,100,,,,,,,,,,,,,L1925,
Er,2,235.851,,110,,,,,,,,,,,,,L3475,
Er,3,235.869,,40,,,,,,,,,,,,,L1925,
Er,3,235.879,,10,,,,,,,,,,,,,L1925,
Er,3,235.933,,50,,,,,,,,,,,,,L1925,
Er,3,236.764,,200,,,,,,,,,,,,,L1925,
Er,3,237.550,,20,,,,,,,,,,,,,L1925,
Er,3,237.707,,10,,,,,,,,,,,,,L1925,
Er,3,238.125,,80,,,,,,,,,,,,,L1925,
Er,3,238.140,,20,,,,,,,,,,,,,L1925,
Er,3,238.175,,40,,,,,,,,,,,,,L1925,
Er,2,238.658,,100,,,,,,,,,,,,,L3475,
Er,2,238.717,,120,,,,,,,,,,,,,L3475,
Er,3,239.196,,6,,,,,,,,,,,,,L1925,
Er,3,239.308,,60,,,,,,,,,,,,,L1925,
Er,3,239.360,,5,,,,,,,,,,,,,L1925,
Er,3,239.640,,250,,,,,,,,,,,,,L1925,
Er,3,239.891,,10,,,,,,,,,,,,,L1925,
Er,3,240.275,,2,,,,,,,,,,,,,L1925,
Er,3,240.458,,80,,,,,,,,,,,,,L1925,
Er,3,241.047,,100,,,,,,,,,,,,,L1925,
Er,3,241.981,,200,,,,,,,,,,,,,L1925,
