element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
Es,2,269.432,,300l,,,,,,,L2225,
Es,2,270.866,,10000s,,,,,,,L2225,
Es,2,271.602,,100s,,,,,,,L2225,
Es,2,272.457,,1000s,,,,,,,L2225,
Es,2,278.710,,3000l,,,,,,,L2225,
Es,2,279.611,,1000l,,,,,,,L2225,
Es,2,288.584,,100s,,,,,,,L2225,
Es,1,313.525,,3000,,,,,,,L2225,
Es,2,315.427,,1000l,,,,,,,L2225,
Es,1,342.312,,300l,,,,,,,L2225,
Es,1,342.848,,10000s,,,,,,,L2225,
Es,1,348.459,,3000s,,,,,,,L2225,
Es,1,349.811,,10000s,,,,,,,L2225,
Es,1,351.433,,10000l,,,,,,,L2225,
Es,1,352.349,,10000s,,,,,,,L2225,
Es,2,354.775,,10000s,,,,,,,L2225,
Es,1,355.534,,10000l,,,,,,,L2225,
Es,2,360.243,,10000s,,,,,,,L2225,
Es,2,367.001,,10000l,,,,,,,L2225,
Es,2,372.855,,10000l,,,,,,,L2225,
Es,1,516.174,,10000s,,,,,,,L2225,
Es,1,520.440,,10000l,,,,,,,L2225,
Es,1,561.551,,3000l,,,,,,,L2225,

