element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
F,5,13.454,0.010,,40,,,,,,,,,,,,,L3494,
F,5,14.795,0.010,,40,,,,,,,,,,,,,L3494,
F,5,14.800,0.010,,50,,,,,,,,,,,,,L3494,
F,5,15.251,0.010,,40,,,,,,,,,,,,,L3494,
F,5,15.854,0.010,,40,,,,,,,,,,,,,L3494,
F,5,16.227,0.010,,40,,,,,,,,,,,,,L3494,
F,5,16.350,0.010,,40,,,,,,,,,,,,,L3494,
F,5,16.356,0.010,,50,,,,,,,,,,,,,L3494,
F,5,16.598,0.010,,90,,,,,,,,,,,,,L3494,
F,5,16.618,0.010,,100,,,,,,,,,,,,,L3494,
F,4,16.979,0.010,,30,,,,,,,,,,,,,L3494,
F,4,16.984,0.010,,30,,,,,,,,,,,,,L3494,
F,4,17.107,0.010,,30,,,,,,,,,,,,,L3494,
F,5,17.470,0.010,,40,,,,,,,,,,,,,L3494,
F,4,17.637,0.010,,40,,,,,,,,,,,,,L3494,
F,5,17.843,0.010,,50,,,,,,,,,,,,,L3494,
F,5,17.859,0.010,,40,,,,,,,,,,,,,L3494,
F,4,18.152,0.010,,40,,,,,,,,,,,,,L3494,
F,4,18.157,0.010,,40,,,,,,,,,,,,,L3494,
F,5,18.298,0.010,,40,,,,,,,,,,,,,L3494,
F,5,18.672,0.010,,40,,,,,,,,,,,,,L3494,
F,5,18.679,0.010,,40,,,,,,,,,,,,,L3494,
F,5,18.684,0.010,,50,,,,,,,,,,,,,L3494,
F,5,18.697,0.010,,40,,,,,,,,,,,,,L3494,
F,5,18.701,0.010,,40,,,,,,,,,,,,,L3494,
F,4,18.724,0.010,,30,,,,,,,,,,,,,L3494,
F,5,19.057,0.010,,60,,,,,,,,,,,,,L3494,
F,5,19.084,0.010,,70,,,,,,,,,,,,,L3494,
F,5,19.197,0.010,,40,,,,,,,,,,,,,L3494,
F,4,19.639,0.010,,50,,,,,,,,,,,,,L3494,
F,4,19.645,0.010,,60,,,,,,,,,,,,,L3494,
F,4,19.976,0.010,,50,,,,,,,,,,,,,L3494,
F,4,19.980,0.010,,50,,,,,,,,,,,,,L3494,
F,4,19.985,0.010,,50,,,,,,,,,,,,,L3494,
F,4,19.993,0.010,,50,,,,,,,,,,,,,L3494,
F,4,20.000,0.010,,50,,,,,,,,,,,,,L3494,
F,4,20.009,0.010,,70,,,,,,,,,,,,,L3494,
F,4,20.101,0.010,,60,,,,,,,,,,,,,L3494,
F,4,20.106,0.010,,70,,,,,,,,,,,,,L3494,
F,4,20.110,0.010,,60,,,,,,,,,,,,,L3494,
F,4,20.116,0.010,,80,,,,,,,,,,,,,L3494,
F,4,20.122,0.010,,60,,,,,,,,,,,,,L3494,
F,5,20.555,0.010,,40,,,,,,,,,,,,,L3494,
F,4,20.825,0.010,,90,,,,,,,,,,,,,L3494,
F,4,21.385,0.010,,70,,,,,,,,,,,,,L3494,
F,4,21.406,0.010,,70,,,,,,,,,,,,,L3494,
F,4,22.077,0.010,,70,,,,,,,,,,,,,L3494,
F,4,22.694,0.010,,60,,,,,,,,,,,,,L3494,
F,4,22.710,0.010,,50,,,,,,,,,,,,,L3494,
F,3,23.012,0.010,,50w,,,,,,,,,,,,,L767,
F,4,23.322,0.010,,60,,,,,,,,,,,,,L3494,
F,4,23.339,0.010,,50,,,,,,,,,,,,,L3494,
F,4,23.986,0.010,,70,,,,,,,,,,,,,L3494,
F,4,24.002,0.010,,70,,,,,,,,,,,,,L3494,
F,4,24.008,0.010,,90,,,,,,,,,,,,,L3494,
F,4,24.015,0.010,,70,,,,,,,,,,,,,L3494,
F,4,24.028,0.010,,70,,,,,,,,,,,,,L3494,
F,4,24.037,0.010,,70,,,,,,,,,,,,,L3494,
F,4,25.103,0.010,,100,,,,,,,,,,,,,L3494,
F,3,25.572,0.010,,50,,,,,,,,,,,,,L767,
F,3,25.577,0.010,,60,,,,,,,,,,,,,L767,
