element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,17,1.0123,0.0003,1.0124,0.0004,2,,,0,9878000,2s2.2p6,1S,0,2s.2p6.5p,3P*,1,,,L4008,
Fe,17,1.0123,0.0003,1.0124,0.0004,2,,,0,9878000,2s2.2p6,1S,0,2s.2p6.5p,1P*,1,,,L4008,
Fe,17,1.0221,0.0003,1.0221,0.0004,1,,,0,9784000,2s2.2p6,1S,0,2s2.2p5.(2P*<1/2>).8d,2[3/2]*,1,,,L4008,
Fe,17,1.0320,0.0003,1.0320,0.0005,2,,,0,9690000,2s2.2p6,1S,0,2s2.2p5.(2P*<3/2>).8d,2[3/2]*,1,,,L4008,
Fe,17,1.0386,0.0003,1.0386,0.0005,1,,,0,9628000,2s2.2p6,1S,0,2s2.2p5.(2P*<1/2>).7d,2[3/2]*,1,,,L4008,
Fe,17,1.0500,0.0003,1.0500,0.0005,3,,,0,9524000,2s2.2p6,1S,0,2s2.2p5.(2P*<3/2>).7d,2[3/2]*,1,,,L4008,
Fe,17,1.0550,0.0003,1.0550,0.0005,2,,,0,9479000,2s2.2p6,1S,0,2s2.2p5.(2P*<3/2>).7s,"(3/2,1/2)*",1,,,L4008,
Fe,19,1.0564,0.0010,1.0564,0.0003,35,,,89441,9556000,2s2.2p4,3P,1,2s2.2p3.(2P*<3/2>).4d,"(3/2,3/2)*",1,,,L5090,
Fe,19,1.0617,0.0010,1.0617,0.0003,25,,,75250,9494000,2s2.2p4,3P,0,2s2.2p3.(2P*<1/2>).4d,"(1/2,3/2)*",1,,,L5090,
Fe,19,1.0635,0.0010,1.0635,0.0003,40,,,0,9403000,2s2.2p4,3P,2,2s2.2p3.(2D*<5/2>).4d,"(5/2,3/2)*",1,,,L5090,
Fe,19,1.0635,0.0010,1.0635,0.0003,40,,,89441,9492000,2s2.2p4,3P,1,2s2.2p3.(2P*<1/2>).4d,"(1/2,5/2)*",2,,,L5090,
Fe,19,1.0644,0.0010,1.0644,0.0003,35,,,0,9395000,2s2.2p4,3P,2,2s2.2p3.(2D*<5/2>).4d,"(5/2,3/2)*",2,,,L5090,
Fe,17,1.0658,0.0005,1.0658,0.0005,3,,,0,9383000,2s2.2p6,1S,0,2s2.2p5.(2P*<1/2>).6d,2[3/2]*,1,,,L5090,
Fe,19,1.0658,0.0010,1.0658,0.0003,35,,,0,9383000,2s2.2p4,3P,2,2s2.2p3.(2D*<5/2>).4d,"(5/2,3/2)*",3,,,L5090,
Fe,19,1.0658,0.0010,1.0657,0.0003,35,,,168852,9552000,2s2.2p4,1D,2,2s2.2p3.(2P*<3/2>).4d,"(3/2,3/2)*",3,,,L5090,
Fe,19,1.0685,0.0010,1.0685,0.0003,25,,,0,9359000,2s2.2p4,3P,2,2s2.2p3.(2D*<3/2>).4d,"(3/2,3/2)*",3,,,L5090,
Fe,19,1.0736,0.0010,1.0736,0.0003,20,,,168852,9483000,2s2.2p4,1D,2,2s2.2p3.(2P*<1/2>).4d,"(1/2,5/2)*",3,,,L5090,
Fe,17,1.0770,0.0005,1.0770,0.0005,6,,,0,9285000,2s2.2p6,1S,0,2s2.2p5.(2P*<3/2>).6d,2[3/2]*,1,,,L5090,
Fe,19,1.0770,0.0010,1.0771,0.0003,35,,,89441,9374000,2s2.2p4,3P,1,2s2.2p3.(2D*<3/2>).4d,"(3/2,5/2)*",2,,,L5090,
Fe,19,1.0813,0.0010,1.0820,0.0004,55,,,0,9242000,2s2.2p4,3P,2,2s2.2p3.(4S*<3/2>).4d,"(3/2,5/2)*",2,,,L5090,
