element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ga,21,0.9685,0.0010,0.9685*,8,,,415258,10741000,2p6.3p,2P*,3/2,2p5.3p.3d,"(0,5/2)",5/2,,,L12180,
Ga,21,0.9720,0.0010,0.9720*,5,,,0,10288000,2p6.3s,2S,1/2,2p5.3s.3d,"(1,3/2)*",3/2,,,L12180,
Ga,21,0.9739,0.0010,0.9739*,8,,,915386,11183000,2p6.3d,2D,5/2,2p5.(2P*<1/2>).3d2.(1G<4>),"(1/2,4)*",7/2,,,L12180,
Ga,21,0.9752,0.0010,0.975*,9,,,915386,11170000,2p6.3d,2D,5/2,2p5.(2P*<1/2>).3d2.(3F<3>),"(1/2,3)*",5/2,,,L12180,
Ga,21,0.9772,0.0010,0.9772*,7,,,0,10233000,2p6.3s,2S,1/2,2p5.3s.3d,"(1,5/2)*",3/2,,,L12180,
Ga,21,0.9780,0.0010,0.978*,8,,,364657,10590000,2p6.3p,2P*,1/2,2p5.3p.3d,"(1,3/2)",3/2,,,L12180,
Ga,21,0.9791,0.0010,0.9791*,6,,,415258,10629000,2p6.3p,2P*,3/2,2p5.3p.3d,"(2,5/2)",5/2,,,L12180,
Ga,21,0.9812,0.0010,0.9812*,5,,,906815,11098000,2p6.3d,2D,3/2,2p5.(2P*<1/2>).3d2.(3F<2>),"(1/2,2)*",5/2,,,L12180,
Ga,21,0.9905,0.0010,0.9905*,7,,,915386,11011000,2p6.3d,2D,5/2,2p5.(2P*<3/2>).3d2.(1S<0>),"(3/2,0)*",3/2,,,L12180,
Ga,21,0.9920,0.0010,0.9925*,6,,,906815,10982000,2p6.3d,2D,3/2,2p5.(2P*<3/2>).3d2.(3F<4>),"(3/2,4)*",5/2,,,L12180,
Ga,21,0.9939,0.0010,0.9934*,7,,,915386,10982000,2p6.3d,2D,5/2,2p5.(2P*<3/2>).3d2.(3F<4>),"(3/2,4)*",5/2,,,L12180,
Ga,21,0.9961,0.0010,0.9961*,9,,,915386,10955000,2p6.3d,2D,5/2,2p5.(2P*<3/2>).3d2.(1G<4>),"(3/2,4)*",7/2,,,L12180,
Ga,21,2.0956,0.0010,2.0956*,75,,,364657,5136600,2p6.3p,2P*,1/2,2p6.6d,2D,3/2,,,L12180,
Ga,21,2.1175,0.0010,2.1175*,200,,,415258,5137800,2p6.3p,2P*,3/2,2p6.6d,2D,5/2,,,L12180,
Ga,21,2.1676,0.0010,2.1676*,100,,,906815,5520200,2p6.3d,2D,3/2,2p6.7f,2F*,5/2,,,L12180,
Ga,21,2.1709,0.0010,2.1709*,100,,,915386,5521800,2p6.3d,2D,5/2,2p6.7f,2F*,7/2,,,L12180,
Ga,21,2.2545,0.0010,2.2545*,120,,,0,4435600,2p6.3s,2S,1/2,2p6.5p,2P*,3/2,,,L12180,
Ga,21,2.2596,0.0010,2.2596*,100,,,0,4425600,2p6.3s,2S,1/2,2p6.5p,2P*,1/2,,,L12180,
Ga,21,2.3500,0.0010,2.3500*,100,,,906815,5162100,2p6.3d,2D,3/2,2p6.6f,2F*,5/2,,,L12180,
Ga,21,2.3540,0.0010,2.3540*,200,,,915386,5163500,2p6.3d,2D,5/2,2p6.6f,2F*,7/2,,,L12180,
Ga,21,2.4039,0.0010,2.4042*,2,,,364657,4524100,2p6.3p,2P*,1/2,2p6.5d,2D,3/2,,,L12180,
Ga,21,2.4330,0.0010,2.4326*,3,,,415258,4526100,2p6.3p,2P*,3/2,2p6.5d,2D,5/2,,,L12180,
