element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Gd,4,96.792,,1000,,,,,,,,,,,,,u6,
Gd,4,98.342,,1000,,,,,,,,,,,,,u6,
Gd,4,98.710,,1000,,,,,,,,,,,,,u6,
Gd,4,98.791,,1000,,,,,,,,,,,,,u6,
Gd,4,99.504,,1000,,,,,,,,,,,,,u6,
Gd,4,99.580,,1000,,,,,,,,,,,,,u6,
Gd,4,99.649,,1000,,,,,,,,,,,,,u6,
Gd,4,99.924,,1000,,,,,,,,,,,,,u6,
Gd,4,100.036,,1000,,,,,,,,,,,,,u6,
Gd,4,100.273,,1000,,,,,,,,,,,,,u6,
Gd,4,100.446,,1000,,,,,,,,,,,,,u6,
Gd,4,100.566,,1000,,,,,,,,,,,,,u6,
Gd,4,100.655,,1000,,,,,,,,,,,,,u6,
Gd,4,100.724,,1200,,,,,,,,,,,,,u6,
Gd,4,106.384,,1200,,,,,,,,,,,,,u6,
Gd,4,122.837,,500,,,,,,,,,,,,,u6,
Gd,4,130.723,,500,,,,,,,,,,,,,u6,
Gd,4,131.329,,500,,,,,,,,,,,,,u6,
Gd,4,131.671,,500,,,,,,,,,,,,,u6,
Gd,4,132.142,,600,,,,,,,,,,,,,u6,
Gd,4,133.079,,500,,,,,,,,,,,,,u6,
Gd,4,139.324,,1100,,,,,,,,,,,,,u6,
Gd,4,147.698,,1600,,,,,,,,,,,,,u6,
Gd,4,170.503,,1500,,,,,,,,,,,,,u6,
Gd,4,170.601,,1600,,,,,,,,,,,,,u6,
Gd,4,173.624,,2000,,,,,,,,,,,,,u6,
Gd,3,181.347,,600,,,,,,,,,,,,,u5,
Gd,4,181.532,,1500,,,,,,,,,,,,,u6,
Gd,3,194.626,,900,,,,,,,,,,,,,u5,
Gd,3,197.434,,1100,,,,,,,,,,,,,u5,
Gd,3,197.524,,2200,,,,,,,,,,,,,u5,
Gd,4,199.789,,400,,,,,,,,,,,,,u6,
Gd,3,200.879,,900,,,,,,,,,,,,,u5,
Gd,3,201.807,,3400,,,,,,,,,,,,,u5,
Gd,3,202.782,,1800,,,,,,,,,,,,,u5,
Gd,3,204.602,,800,,,,,,,,,,,,,u5,
Gd,4,204.928,,800,,,,,,,,,,,,,u6,
Gd,3,205.779,,500,,,,,,,,,,,,,u5,
Gd,4,206.130,,800,,,,,,,,,,,,,u6,
Gd,4,207.040,,800,,,,,,,,,,,,,u6,
Gd,4,207.666,,800,,,,,,,,,,,,,u6,
Gd,3,208.008,,1500,,,,,,,,,,,,,u5,
Gd,4,209.429,,1000,,,,,,,,,,,,,u6,
Gd,3,209.820,,1800,,,,,,,,,,,,,u5,
Gd,3,212.568,,1300,,,,,,,,,,,,,u5,
Gd,3,214.803,,1400,,,,,,,,,,,,,u5,
Gd,3,217.684,,1700,,,,,,,,,,,,,u5,
Gd,3,222.395,,1700,,,,,,,,,,,,,u5,
Gd,3,223.673,,1700,,,,,,,,,,,,,u5,
Gd,3,223.984,,1200,,,,,,,,,,,,,u5,
Gd,3,224.375,,1500,,,,,,,,,,,,,u5,
Gd,3,225.018,,1700,,,,,,,,,,,,,u5,
Gd,3,225.705,,1300,,,,,,,,,,,,,u5,
Gd,3,229.251,,1300,,,,,,,,,,,,,u5,
Gd,4,229.689,,1000,,,,,,,,,,,,,u6,
Gd,3,230.038,,1000,,,,,,,,,,,,,u5,
Gd,3,230.372,,1200,,,,,,,,,,,,,u5,
Gd,3,230.703,,1500,,,,,,,,,,,,,u5,
Gd,3,231.350,,1100,,,,,,,,,,,,,u5,
Gd,3,231.356,,1700,,,,,,,,,,,,,u5,
Gd,3,231.509,,1000,,,,,,,,,,,,,u5,
Gd,3,232.312,,1400,,,,,,,,,,,,,u5,
Gd,3,232.318,,1700,,,,,,,,,,,,,u5,
Gd,3,232.378,,2200,,,,,,,,,,,,,u5,
Gd,3,232.935,,1900,,,,,,,,,,,,,u5,
Gd,3,233.501,,2100,,,,,,,,,,,,,u5,
Gd,3,233.602,,1600,,,,,,,,,,,,,u5,
Gd,3,233.897,,1900,,,,,,,,,,,,,u5,
Gd,3,233.988,,1600,,,,,,,,,,,,,u5,
Gd,3,234.274,,2100,,,,,,,,,,,,,u5,
Gd,3,234.652,,2500,,,,,,,,,,,,,u5,
Gd,4,235.266,,1000,,,,,,,,,,,,,u6,
Gd,3,235.931,,2800,,,,,,,,,,,,,u5,
Gd,3,236.087,,1900,,,,,,,,,,,,,u5,
Gd,3,236.191,,2300,,,,,,,,,,,,,u5,
Gd,3,236.238,,1400,,,,,,,,,,,,,u5,
Gd,3,236.326,,2100,,,,,,,,,,,,,u5,
Gd,3,236.522,,1600,,,,,,,,,,,,,u5,
Gd,3,237.338,,2000,,,,,,,,,,,,,u5,
Gd,3,237.429,,1300,,,,,,,,,,,,,u5,
Gd,4,237.917,,800,,,,,,,,,,,,,u6,
Gd,3,238.138,,1300,,,,,,,,,,,,,u5,
Gd,4,238.565,,900,,,,,,,,,,,,,u6,
Gd,3,238.782,,1600,,,,,,,,,,,,,u5,
Gd,3,238.877,,2000,,,,,,,,,,,,,u5,
Gd,4,239.007,,500,,,,,,,,,,,,,u6,
Gd,4,239.230,,700,,,,,,,,,,,,,u6,
Gd,4,239.329,,700,,,,,,,,,,,,,u6,
Gd,3,239.386,,1200,,,,,,,,,,,,,u5,
Gd,4,239.576,,700,,,,,,,,,,,,,u6,
Gd,4,239.622,,500,,,,,,,,,,,,,u6,
Gd,4,239.627,,600,,,,,,,,,,,,,u6,
Gd,3,239.734,,1200,,,,,,,,,,,,,u5,
Gd,4,239.787,,1400,,,,,,,,,,,,,u6,
Gd,4,240.270,,700,,,,,,,,,,,,,u6,
Gd,3,240.503,,1200,,,,,,,,,,,,,u5,
Gd,3,240.841,,1300,,,,,,,,,,,,,u5,
Gd,3,240.935,,1200,,,,,,,,,,,,,u5,
Gd,4,241.221,,500,,,,,,,,,,,,,u6,
Gd,4,241.926,,900,,,,,,,,,,,,,u6,
Gd,4,243.984,,500,,,,,,,,,,,,,u6,
Gd,4,244.038,,600,,,,,,,,,,,,,u6,
Gd,3,246.684,,1500,,,,,,,,,,,,,u5,
Gd,2,246.822,,100,,,,,,,,,,,,,L3475,
Gd,4,246.860,,600,,,,,,,,,,,,,u6,
Gd,3,246.914,,1100,,,,,,,,,,,,,u5,
Gd,2,247.158,,55,,,,,,,,,,,,,L3475,
Gd,2,248.567,,35,,,,,,,,,,,,,L3475,
Gd,2,248.746,,70,,,,,,,,,,,,,L3475,
Gd,2,248.872,,110,,,,,,,,,,,,,L3475,
Gd,2,249.329,,55,,,,,,,,,,,,,L3475,
Gd,2,249.635,,35,,,,,,,,,,,,,L3475,
Gd,2,249.904,,45,,,,,,,,,,,,,L3475,
Gd,3,249.953,,1300,,,,,,,,,,,,,u5,
Gd,3,252.038,,1600,,,,,,,,,,,,,u5,
Gd,3,253.411,,1600,,,,,,,,,,,,,u5,
Gd,3,253.610,,1300,,,,,,,,,,,,,u5,
Gd,2,254.368,,28,,,,,,,,,,,,,L3475,
Gd,3,255.156,,1600,,,,,,,,,,,,,u5,
Gd,3,255.390,,2200,,,,,,,,,,,,,u5,
Gd,3,255.404,,2100,,,,,,,,,,,,,u5,
Gd,3,256.333,,2500,,,,,,,,,,,,,u5,
Gd,3,256.446,,2100,,,,,,,,,,,,,u5,
Gd,3,256.504,,1000,,,,,,,,,,,,,u5,
