element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ge,5,29.451,0.010,,700,,,,,,,,,,,,,L3608,
Ge,5,29.564,0.010,,1000,,,,,,,,,,,,,L3608,
Ge,5,30.498,0.010,,200,,,,,,,,,,,,,L3608,
Ge,4,44.011,0.010,,1,,,,,,,,,,,,,L3302,
Ge,4,44.195,0.010,,1,,,,,,,,,,,,,L3302,
Ge,3,54.290,0.010,,2,,,,,,,,,,,,,L3302,
Ge,5,62.152,0.010,,20,,,,,,,,,,,,,L3608,
Ge,3,66.377,0.010,,2,,,,,,,,,,,,,L3302,
Ge,3,67.088,0.010,,3,,,,,,,,,,,,,L3302,
Ge,3,68.028,0.010,,2,,,,,,,,,,,,,L3302,
Ge,5,71.626,0.010,,35,,,,,,,,,,,,,L3608,
Ge,5,72.421,0.010,,50,,,,,,,,,,,,,L3608,
Ge,5,73.354,0.010,,35,,,,,,,,,,,,,L3608,
Ge,5,73.535,0.010,,35,,,,,,,,,,,,,L3608,
Ge,5,74.152,0.010,,35,,,,,,,,,,,,,L3608,
Ge,5,74.688,0.010,,60,,,,,,,,,,,,,L3608,
Ge,5,75.026,0.010,,40,,,,,,,,,,,,,L3608,
Ge,5,75.584,0.010,,35,,,,,,,,,,,,,L3608,
Ge,5,76.005,0.010,,60,,,,,,,,,,,,,L3608,
Ge,2,82.2968,0.0005,82.29683,1,,,0.000,121511.36,4s2.4p,2P*,1/2,4s2.9d,2D,3/2,,,L3335,
Ge,2,83.5083,0.0005,83.50838,3,,,1767.357,121515.82,4s2.4p,2P*,3/2,4s2.9d,2D,5/2,,,L3335,
Ge,2,83.7947,0.0005,83.79483,5,,,0.000,119339.11,4s2.4p,2P*,1/2,4s2.8d,2D,3/2,,,L3335,
Ge,4,84.780,0.010,,3,,,,,,,,,,,,,L3302,
Ge,2,85.0495,0.0005,85.04964,10,,,1767.357,119345.75,4s2.4p,2P*,3/2,4s2.8d,2D,5/2,,,L3335,
Ge,2,86.2233,0.0005,86.22340,10,,,0.000,115977.80,4s2.4p,2P*,1/2,4s2.7d,2D,3/2,,,L3335,
Ge,4,86.830,0.010,,3,,,,,,,,,,,,,L3302,
Ge,2,87.5492,0.0005,87.54926,15,,,1767.357,115988.77,4s2.4p,2P*,3/2,4s2.7d,2D,5/2,,,L3335,
Ge,2,88.5966,0.0005,88.59663,1,,,1767.357,114638.47,4s2.4p,2P*,3/2,4s2.8s,2S,1/2,,,L3335,
Ge,2,90.5976,0.0005,90.59771,15,,,0.000,110378.07,4s2.4p,2P*,1/2,4s2.6d,2D,3/2,,,L3335,
Ge,4,91.500,0.010,,8,,,,,,,,,,,,,L3302,
Ge,2,92.0553,0.0005,92.05537,20,,,1767.357,110397.63,4s2.4p,2P*,3/2,4s2.6d,2D,5/2,,,L3335,
Ge,2,92.6473,0.0005,92.64736,1,,,0.000,107936.16,4s2.4p,2P*,1/2,4s2.7s,2S,1/2,,,L3335,
Ge,4,93.670,0.010,,8,,,,,,,,,,,,,L3302,
Ge,4,93.890,0.010,,4,,,,,,,,,,,,,L3302,
Ge,2,94.1896,0.0005,94.18963,5,,,1767.357,107936.16,4s2.4p,2P*,3/2,4s2.7s,2S,1/2,,,L3335,
Ge,3,95.276,0.010,,2,,,,,,,,,,,,,L3302,
Ge,5,95.851,0.010,,60,,,,,,,,,,,,,L3608,
Ge,5,97.135,0.010,,300,,,,,,,,,,,,,L3608,
Ge,5,98.492,0.010,,150,,,,,,,,,,,,,L3608,
Ge,5,98.813,0.010,,200,,,,,,,,,,,,,L3608,
Ge,3,98.896,0.010,,12,,,,,,,,,,,,,L3302,
Ge,5,99.066,0.010,,300,,,,,,,,,,,,,L3608,
Ge,3,99.572,0.010,,15,,,,,,,,,,,,,L3302,
Ge,3,99.650,0.010,,10,,,,,,,,,,,,,L3302,
Ge,2,99.91009,0.00006,99.910111,50,1.9e+08,D,0.000,100089.970,4s2.4p,2P*,1/2,4s2.5d,2D,3/2,,T4515,L22,
Ge,5,100.438,0.010,,300,,,,,,,,,,,,,L3608,
Ge,3,101.121,0.010,,15,,,,,,,,,,,,,L3302,
Ge,3,101.231,0.010,,10,,,,,,,,,,,,,L3302,
Ge,2,101.66381,0.00006,101.663773,100,2.1e+08,D,1767.357,100130.812,4s2.4p,2P*,3/2,4s2.5d,2D,5/2,,T4515,L22,
Ge,5,101.666,0.010,,300,,,,,,,,,,,,,L3608,
Ge,2,101.70592,0.00010,101.706003,20,3.5e+07,D,1767.357,100089.970,4s2.4p,2P*,3/2,4s2.5d,2D,3/2,,T4515,L3335,
Ge,3,103.262,0.010,,8,,,,,,,,,,,,,L3302,
Ge,5,103.840,0.010,,250,,,,,,,,,,,,,L3608,
Ge,3,104.099,0.010,,12,,,,,,,,,,,,,L3302,
Ge,5,104.571,0.010,,900,,,,,,,,,,,,,L3608,
Ge,5,105.005,0.010,,400,,,,,,,,,,,,,L3608,
Ge,5,105.459,0.010,,300,,,,,,,,,,,,,L3608,
Ge,2,105.50252,0.00010,105.502614,20,6.9e+07,D,0.000,94784.381,4s2.4p,2P*,1/2,4s2.6s,2S,1/2,,T4515,L3335,
Ge,3,105.891,0.010,,12,,,,,,,,,,,,,L3302,
Ge,5,106.843,0.010,,300,,,,,,,,,,,,,L3608,
Ge,5,106.913,0.010,,400,,,,,,,,,,,,,L3608,
Ge,5,107.266,0.010,,700,,,,,,,,,,,,,L3608,
Ge,4,107.344,0.010,,1,,,,,,,,,,,,,L3302,
Ge,2,107.50715,0.00006,107.507202,100,1.3e+08,D,1767.357,94784.381,4s2.4p,2P*,3/2,4s2.6s,2S,1/2,,T4515,L22,
Ge,2,108.5513,0.0005,108.5509,300,,,0.000,92122.7,4s2.4p,2P*,1/2,4s.4p2,2P,3/2,,,L3335,
Ge,5,108.665,0.010,,600,,,,,,,,,,,,,L3608,
Ge,5,108.785,0.010,,500,,,,,,,,,,,,,L3608,
Ge,3,108.845,0.010,,40,,,,,,,,,,,,,L3302,
Ge,5,108.949,0.010,,800,,,,,,,,,,,,,L3608,
Ge,5,109.209,0.010,,300,,,,,,,,,,,,,L3608,
Ge,2,109.8710,0.0005,109.8706,200,,,0.000,91016.2,4s2.4p,2P*,1/2,4s.4p2,2P,1/2,,,L3335,
Ge,2,110.6737,0.0005,110.6741,500,,,1767.357,92122.7,4s2.4p,2P*,3/2,4s.4p2,2P,3/2,,,L3335,
Ge,5,111.694,0.010,,1000,,,,,,,,,,,,,L3608,
Ge,2,112.0458,0.0005,112.0463,500,,,1767.357,91016.2,4s2.4p,2P*,3/2,4s.4p2,2P,1/2,,,L3335,
Ge,5,112.201,0.010,,300,,,,,,,,,,,,,L3608,
Ge,3,113.792,0.010,,10,,,,,,,,,,,,,L3302,
Ge,2,114.6972,0.0005,114.6974,3,,,51575.885,138761.8,4s.4p2,4P,1/2,4s.4p.(3P*).4d,4P*,1/2,,,L3335,
Ge,2,114.9547,0.0005,114.9543,5,,,51575.885,138567.0,4s.4p2,4P,1/2,4s.4p.(3P*).4d,4P*,3/2,,,L3335,
Ge,3,115.055,0.010,,12,,,,,,,,,,,,,L3302,
Ge,2,115.6462,0.0005,115.6459,20,,,52290.942,138761.8,4s.4p2,4P,3/2,4s.4p.(3P*).4d,4P*,1/2,,,L3335,
Ge,2,115.9066,0.0005,115.9070,15,,,52290.942,138567.0,4s.4p2,4P,3/2,4s.4p.(3P*).4d,4P*,3/2,,,L3335,
Ge,3,115.915,0.010,,8,,,,,,,,,,,,,L3302,
Ge,3,115.962,0.010,,8,,,,,,,,,,,,,L3302,
Ge,3,116.079,0.010,,8,,,,,,,,,,,,,L3302,
Ge,5,116.339,0.010,,700,,,,,,,,,,,,,L3608,
Ge,2,116.4273,0.0005,116.42724,200,,,0.000,85890.55,4s2.4p,2P*,1/2,4s.4p2,2S,1/2,,,L3335,
Ge,5,116.526,0.010,,300,,,,,,,,,,,,,L3608,
