element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Hg,3,62.144,0.010,,,3,,,,,,,,,,,,,L3332,
Hg,3,67.968,0.010,,,2,,,,,,,,,,,,,L3332,
Hg,2,78.2494,0.0005,78.25003,0.00010,300,1.0e+07,,0.000,127795.481,5d10.6s,2S,1/2,5d10.8p,2P*,3/2,,T7226,L11760,
Hg,1,78.757,0.007,78.757,0.007,10h,,,0.000,126973,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).8p,2[1/2]*,1,,,L15166c86,
Hg,2,78.7757,0.0005,78.77623,0.00010,150,3.1e+07,,0.000,126941.844,5d10.6s,2S,1/2,5d10.8p,2P*,1/2,,T7226,L11760,
Hg,2,80.2469,0.0005,80.24729,0.00010,250,1.9e+07,,0.000,124614.794,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",3/2,,T7226,L11760,
Hg,2,82.1329,0.0005,82.13300,0.00010,15000,1.4e+08,,0.000,121753.739,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",1/2,,T7226,L11760,
Hg,1,83.366,0.007,83.366,0.007,"20h,s",,,0.000,119953,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).7p,2[1/2]*,1,,,L15166c86,
Hg,3,87.859,0.010,,,2,,,,,,,,,,,,,L3332,
Hg,3,88.648,0.010,,,1,,,,,,,,,,,,,L3332,
Hg,1,89.069,0.007,89.069,0.007,10h,,,0.000,112273,5d10.6s2,1S,0,5d9.6s2.(2D<5/2>).8p,2[3/2]*,1,,,L15166c86,
Hg,2,89.3085,0.0005,89.30847,0.00010,200000,5.8e+07,,0.000,111971.464,5d10.6s,2S,1/2,5d10.7p,2P*,3/2,,T7226,L11760,
Hg,2,89.3287,0.0005,,,2000,,,,,,,,,,,,,L11760,
