element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ho,2,250.291,,170,,,,,,,,,,,,,L3475,
Ho,2,250.853,,80,,,,,,,,,,,,,L3475,
Ho,2,251.355,,110,,,,,,,,,,,,,L3475,
Ho,2,251.873,,95,,,,,,,,,,,,,L3475,
Ho,1,253.380,,170,,,,,,,,,,,,,L3475,
Ho,2,253.686,,130,,,,,,,,,,,,,L3475,
Ho,1,255.684,,80,,,,,,,,,,,,,L3475,
Ho,2,256.773,,80,,,,,,,,,,,,,L3475,
Ho,1,258.652,,80,,,,,,,,,,,,,L3475,
Ho,2,259.105,,60,,,,,,,,,,,,,L3475,
Ho,1,259.299,,95,,,,,,,,,,,,,L3475,
Ho,2,260.586,,190,,,,,,,,,,,,,L3475,
Ho,2,261.051,,110,,,,,,,,,,,,,L3475,
Ho,2,261.399,,95,,,,,,,,,,,,,L3475,
Ho,2,262.520,,60,,,,,,,,,,,,,L3475,
Ho,1,264.009,,80,,,,,,,,,,,,,L3475,
Ho,2,264.030,,80,,,,,,,,,,,,,L3475,
Ho,2,264.968,,60,,,,,,,,,,,,,L3475,
Ho,2,266.624,,80,,,,,,,,,,,,,L3475,
Ho,2,268.903,,70,,,,,,,,,,,,,L3475,
Ho,2,271.365,,210,,,,,,,,,,,,,L3475,
Ho,2,273.395,,230,,,,,,,,,,,,,L3475,
Ho,2,275.035,,270,,,,,,,,,,,,,L3475,
Ho,2,275.935,,110c,,,,,,,,,,,,,L3475,
Ho,2,276.685,,110,,,,,,,,,,,,,L3475,
Ho,2,276.989,,270,,,,,,,,,,,,,L3475,
Ho,2,277.283,,110,,,,,,,,,,,,,L3475,
Ho,2,277.710,,140,,,,,,,,,,,,,L3475,
Ho,2,279.441,,140,,,,,,,,,,,,,L3475,
Ho,2,279.999,,100,,,,,,,,,,,,,L3475,
Ho,2,280.672,,100,,,,,,,,,,,,,L3475,
Ho,2,280.999,,160c,,,,,,,,,,,,,L3475,
Ho,2,281.136,,220,,,,,,,,,,,,,L3475,
Ho,2,281.200,,180,,,,,,,,,,,,,L3475,
Ho,2,281.474,,190,,,,,,,,,,,,,L3475,
Ho,2,282.420,,300,,,,,,,,,,,,,L3475,
Ho,2,282.664,,140,,,,,,,,,,,,,L3475,
Ho,2,283.169,,270c,,,,,,,,,,,,,L3475,
Ho,2,283.499,,210,,,,,,,,,,,,,L3475,
Ho,2,283.585,,110,,,,,,,,,,,,,L3475,
Ho,2,284.418,,110,,,,,,,,,,,,,L3475,
Ho,2,284.468,,100,,,,,,,,,,,,,L3475,
Ho,2,284.910,,270,,,,,,,,,,,,,L3475,
