element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
I,5,36.378,0.010,,,30,,,,,,,,,,,,,L1798,
I,5,38.074,0.010,,,36,,,,,,,,,,,,,L1798,
I,5,56.553,0.010,,,45,,,,,,,,,,,,,L1798,
I,4,60.186,0.010,,,5,,,,,,,,,,,,,L7298,
I,5,60.757,0.010,,,50,,,,,,,,,,,,,L1798,
I,4,61.246,0.010,,,6,,,,,,,,,,,,,L7298,
I,4,61.517,0.010,,,4,,,,,,,,,,,,,L7298,
I,4,65.422,0.010,,,4,,,,,,,,,,,,,L7298,
I,4,65.456,0.010,,,4,,,,,,,,,,,,,L7298,
I,2,65.5804,0.0010,,,2,,,,,,,,,,,,,L7360,
I,2,65.9004,0.0010,65.9005,0.0010,6,,,0.0,151744.,5s2.5p4,3P,2,,49*,"1,2",,,L7360,
I,2,66.3977,0.0010,66.3975,0.0010,8,,,0.0,150608.?,5s2.5p4,3P,2,5s2.5p3.(4S*).13d,3D*,3,,,L7360,
I,2,66.4520,0.0010,66.4512,0.0010,8,,,0.0,150486.29,5s2.5p4,3P,2,,47*,"1,2",,,L7360,
I,2,66.5055,0.0010,66.5041,0.0010,8,,,0.0,150366.61,5s2.5p4,3P,2,,46*,2,,,L7360,
I,2,66.5699,0.0010,66.5695,0.0010,150,,,0.0,150219.03,5s2.5p4,3P,2,,43*,"1,2",,,L7360,
I,3,66.681,0.010,,,6,,,,,,,,,,,,,L7298,
I,3,70.511,0.010,,,8,,,,,,,,,,,,,L7298,
I,2,71.9546,0.0010,71.9539,0.0010,1000,,,0.0,138977.84,5s2.5p4,3P,2,5s2.5p3.(2D*).6d,12*,1,,,L7360,
I,2,72.2980,0.0010,72.2980,0.0010,1000,,,0.0,138316.49,5s2.5p4,3P,2,5s2.5p3.(2D*).6d,10*,2,,,L7360,
I,3,78.464,0.010,,,7,,,,,,,,,,,,,L7298,
I,3,78.480,0.010,,,7,,,,,,,,,,,,,L7298,
I,3,79.552,0.010,,,8,,,,,,,,,,,,,L7298,
I,2,79.8158,0.0010,79.8159,0.0010,1000,,,0.0,125288.29,5s2.5p4,3P,2,5s2.5p3.(4S*).6d,3D*,3,,,L7360,
I,2,83.4095,0.0010,83.4106,0.0010,1200,,,0.0,119888.77,5s2.5p4,3P,2,5s2.5p3.(4S*).7s,3S*,1,,,L7360,
I,2,84.7796,0.0010,84.7795,0.0010,600,,,7086.888,125040.?,5s2.5p4,3P,1,5s2.5p3.(2P*).5d,3P*,0,,,L7360,
I,3,86.597,0.010,,,5,,,,,,,,,,,,,L7298,
