element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
In,5,36.867,0.010,,,6,,,,,,,,,,,,,L3283,
In,5,37.010,0.010,,,6,,,,,,,,,,,,,L3283,
In,5,37.282,0.010,,,10,,,,,,,,,,,,,L3283,
In,5,37.294,0.010,,,10,,,,,,,,,,,,,L3283,
In,5,37.495,0.010,,,2,,,,,,,,,,,,,L3283,
In,5,37.584,0.010,,,6,,,,,,,,,,,,,L3283,
In,5,37.607,0.010,,,6,,,,,,,,,,,,,L3283,
In,5,37.679,0.010,,,10,,,,,,,,,,,,,L3283,
In,5,37.861,0.010,,,17,,,,,,,,,,,,,L3283,
In,5,37.924,0.010,,,3,,,,,,,,,,,,,L3283,
In,5,38.027,0.010,,,9,,,,,,,,,,,,,L3283,
In,5,38.156,0.010,,,11,,,,,,,,,,,,,L3283,
In,5,38.214,0.010,,,9,,,,,,,,,,,,,L3283,
In,5,38.276,0.010,,,11,,,,,,,,,,,,,L3283,
In,5,38.305,0.010,,,10,,,,,,,,,,,,,L3283,
In,5,38.621,0.010,,,17,,,,,,,,,,,,,L3283,
In,5,38.670,0.010,,,10,,,,,,,,,,,,,L3283,
In,5,38.866,0.010,,,3,,,,,,,,,,,,,L3283,
In,5,38.891,0.010,,,14,,,,,,,,,,,,,L3283,
In,5,39.003,0.010,,,11,,,,,,,,,,,,,L3283,
In,5,39.092,0.010,,,11,,,,,,,,,,,,,L3283,
In,5,39.229,0.010,,,9,,,,,,,,,,,,,L3283,
In,5,39.246,0.010,,,9,,,,,,,,,,,,,L3283,
In,5,39.360,0.010,,,1,,,,,,,,,,,,,L3283,
In,5,39.389,0.010,,,25,,,,,,,,,,,,,L3283,
In,5,39.574,0.010,,,11,,,,,,,,,,,,,L3283,
In,5,39.773,0.010,,,3,,,,,,,,,,,,,L3283,
In,5,39.979,0.010,,,10,,,,,,,,,,,,,L3283,
In,5,40.005,0.010,,,9,,,,,,,,,,,,,L3283,
In,5,40.057,0.010,,,25,,,,,,,,,,,,,L3283,
In,5,40.239,0.010,,,25,,,,,,,,,,,,,L3283,
In,5,40.533,0.010,,,3,,,,,,,,,,,,,L3283,
In,5,40.728,0.010,,,9,,,,,,,,,,,,,L3283,
In,5,40.736,0.010,,,3,,,,,,,,,,,,,L3283,
In,5,40.795,0.010,,,9,,,,,,,,,,,,,L3283,
In,5,41.743,0.010,,,9,,,,,,,,,,,,,L3283,
In,5,41.845,0.010,,,2,,,,,,,,,,,,,L3283,
In,5,42.316,0.010,,,2,,,,,,,,,,,,,L3283,
In,4,47.271,0.010,,,622,,,,,,,,,,,,,L1869,
In,4,47.939,0.010,,,689,,,,,,,,,,,,,L1869,
In,4,49.862,0.010,,,709,,,,,,,,,,,,,L1869,
In,2,68.028,0.003,68.020,0.005,170,,,0.000000000,[147016],5s2,1S,0,5s.12p,1P*,1,,,L1143,
In,3,68.531,0.010,,,7,,,,,,,,,,,,,u12,
In,2,68.654,0.003,68.64185,0.00007,170,,,0.000000000,145683.72,5s2,1S,0,5s.11p,1P*,1,,,L1143,
In,3,69.162,0.010,,,5,,,,,,,,,,,,,u12,
In,2,69.583,0.027,69.55888,0.00004,180,6.e+05,E,0.000000000,143763.10,5s2,1S,0,5s.10p,1P*,1,,T9131,L17265,
In,2,69.586,0.003,69.58626,0.00004,70,1.0e+05,E,0.000000000,143706.54,5s2,1S,0,5s.10p,3P*,1,,T9131,L1143,
In,2,71.009,0.026,71.000036,0.000020,95,1.5e+06,E,0.000000000,140845.00,5s2,1S,0,5s.9p,1P*,1,,T9131,L17265,
In,2,71.055,0.003,71.055737,0.000020,47,3.1e+05,E,0.000000000,140734.59,5s2,1S,0,5s.9p,3P*,1,,T9131,L1143,
In,2,73.478,0.003,73.47704,0.00005,230,3.6e+07,E,0.000000000,136096.93,5s2,1S,0,5s.8p,1P*,1,,T7081,L1143,
In,2,73.604,0.003,73.60430,0.00003,210,8.e+05,E,0.000000000,135861.62,5s2,1S,0,5s.8p,3P*,1,,T9131,L1143,
In,3,78.217,0.010,,,1,,,,,,,,,,,,,u12,
In,2,78.398,0.003,78.386296,0.000006,440,,,0.000000000,127573.319,5s2,1S,0,5s.7p,1P*,1,,,L1143,
In,2,78.745,0.003,78.743326,0.000007,1100,1.7e+06,E,0.000000000,126994.890,5s2,1S,0,5s.7p,3P*,1,,T9131,L1143,
In,3,88.224,0.010,,,10,,,,,,,,,,,,,u12,
In,3,89.084,0.010,,,10,,,,,,,,,,,,,u12,
In,2,91.090,0.003,91.091090,0.000007,2700,7.e+06,E,0.000000000,109780.221,5s2,1S,0,5s.6p,1P*,1,,T7081,L1143,
In,3,91.587,0.010,,,10,,,,,,,,,,,,,L3475,
In,3,91.745,0.010,,,2,,,,,,,,,,,,,u12,
In,3,92.683,0.010,,,5,,,,,,,,,,,,,u12,
In,2,92.727,0.003,92.728257,0.000005,2500,4.9e+06,D+,0.000000000,107841.992,5s2,1S,0,5s.6p,3P*,1,,T9131,L1143,
In,2,93.787,0.003,93.79023,0.00026,610*,,,43350.5817,149971.5,5s.5p,3P*,1,5s.16d,3D,2,,,L1143,
In,2,93.787,0.003,93.79269,0.00021,610*,,,43350.5817,149968.7,5s.5p,3P*,1,5s.16d,3D,1,,,L1143,
In,2,94.060,0.003,94.06123,0.00018,970,,,42275.995245348,148589.72,5s.5p,3P*,0,5s.13d,3D,1,,,L1143,
In,2,94.187,0.003,94.18556,0.00015,760*,3.2e+06,D+,43350.5817,149523.97,5s.5p,3P*,1,5s.16s,3S,1,,T9131,L1143,
In,2,94.187,0.003,94.19310,0.00006,760*,2.0e+06,D+,42275.995245348,148440.88,5s.5p,3P*,0,5s.14s,3S,1,,T9131,L1143,
In,2,94.481,0.003,94.47713,0.00020,1200,,,43350.5817,[149196.30],5s.5p,3P*,1,5s.14d,1D,2,,,L1143,
In,4,94.574,0.010,,,61,,,,,,,,,,,,,L5534,
In,2,94.741,0.003,94.73507,0.00007,390,,,42275.995245348,147833.52,5s.5p,3P*,0,5s.12d,3D,1,,,L1143,
In,2,94.917,0.003,94.91393,0.00005,910,2.9e+06,D+,42275.995245348,147634.61,5s.5p,3P*,0,5s.13s,3S,1,,T9131,L1143,
In,2,95.019,0.003,95.01936,0.00016,660,,,43350.5817,148592.29,5s.5p,3P*,1,5s.13d,3D,2,,,L1143,
In,2,95.032,0.003,95.02168,0.00018,670,,,43350.5817,148589.72,5s.5p,3P*,1,5s.13d,3D,1,,,L1143,
In,2,95.127,0.003,95.12487,0.00020,1200,,,43350.5817,[148475.56],5s.5p,3P*,1,5s.14s,1S,0,,,L1143,
In,2,95.159,0.003,95.15626,0.00006,480,5.8e+06,D+,43350.5817,148440.88,5s.5p,3P*,1,5s.14s,3S,1,,T9131,L1143,
In,4,95.467,0.010,,,85,,,,,,,,,,,,,L5534,
In,2,95.662,0.003,95.65864,0.00013,750*,,,43350.5817,147888.97,5s.5p,3P*,1,5s.12d,1D,2,,,L1143,
In,2,95.662,0.003,95.66036,0.00007,750*,,,42275.995245348,146812.50,5s.5p,3P*,0,5s.11d,3D,1,,,L1143,
In,2,95.728,0.019,95.70687,0.00016,780*,,,43350.5817,147836.29,5s.5p,3P*,1,5s.12d,3D,2,,,L17265,
In,2,95.728,0.019,95.70941,0.00007,780*,,,43350.5817,147833.52,5s.5p,3P*,1,5s.12d,3D,1,,,L17265,
