element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ir,4,65.1836,0.0005,65.18389,0.00009,15,1.11e+07,,0.00,153412.13,5d6,5D,4,5d5.6p,153412*,4,,T9563,L19451,
Ir,4,65.7898,0.0005,65.78898,0.00022,77,2.59e+08,,27940.65,179941.8,5d6,3G,4,5d5.6p,179941*,3,,T9563,L19451,
Ir,4,66.0754,0.0005,66.07501,0.00011,20,2.89e+07,,5824.11,157167.25,5d6,5D,3,5d5.6p,157167*,4,,T9563,L19451,
Ir,4,66.3927,0.0005,66.39277,0.00011,72,4.46e+07,,19096.89,169715.7,5d6,3H,6,5d5.6p,169715*,6,,T9563,L19451,
Ir,4,67.1026,0.0005,67.10149,0.00018,17,5.00e+07,,5824.11,154852.1,5d6,5D,3,5d5.6p,154852*,2,,T9563,L19451,
Ir,4,67.2680,0.0005,67.26792,0.00014,52,1.44e+08,,14546.32,163205.6,5d6,3H,4,5d5.6p,163205*,3,,T9563,L19451,
Ir,4,67.5607,0.0005,67.56079,0.00014,90,1.52e+08,,5178.26,153193.1,5d6,5D,2,5d5.6p,153193*,2,,T9563,L19451,
Ir,4,67.7571,0.0005,67.75618,0.00009,85,8.89e+07,,5824.11,153412.13,5d6,5D,3,5d5.6p,153412*,4,,T9563,L19451,
Ir,4,67.9363,0.0005,67.93692,0.00014,100,1.19e+08,,5178.26,152373.63,5d6,5D,2,5d5.6p,152373*,3,,T9563,L19451,
Ir,4,68.1081,0.0005,68.10768,0.00014,277,1.92e+08,,19096.89,165923.2,5d6,3H,6,5d5.6p,165923*,6,,T9563,L19451,
Ir,4,68.1688,0.0005,68.16919,0.00019,130,1.97e+08,,5178.26,151872.1,5d6,5D,2,5d5.6p,151872*,1,,T9563,L19451,
Ir,4,68.2356,0.0005,68.23632,0.00011,165,1.56e+08,,5824.11,152373.63,5d6,5D,3,5d5.6p,152373*,3,,T9563,L19451,
