element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
K,17,0.30431,0.00005,0.30431,0.00010,13p,,,0,32861000,1s2.2s,2S,1/2,1s.2s.(1S).3p,2P*,"1/2,3/2",,,L4466c7,
K,17,0.30672,0.00005,0.30657,0.00010,9*,,,273500,32892000,1s2.2p,2P*,1/2,1s.2p.(3P*).3p,2P,"1/2,3/2",,,L4466c7,
K,17,0.30672,0.00005,0.30688,0.00010,9*,,,306020,32892000,1s2.2p,2P*,3/2,1s.2p.(3P*).3p,2P,"1/2,3/2",,,L4466c7,
K,17,0.30742,0.00005,0.30727,0.00010,9*,,,273500,32818000,1s2.2p,2P*,1/2,1s.2s.(3S).3d,2D,"3/2,5/2",,,L4466c7,
K,17,0.30742,0.00005,0.30758,0.00010,9*,,,306020,32818000,1s2.2p,2P*,3/2,1s.2s.(3S).3d,2D,"3/2,5/2",,,L4466c7,
K,17,0.35487,0.00010,0.35487,0.00010,13p,,,0,28179000,1s2.2s,2S,1/2,1s.(2S).2s.2p.(1P*),2P*,"1/2,3/2",,,L2560c7,
K,17,1.5755,0.0003,1.5755,0.0010,13p*,8.24e+11,,0,6347200,1s2.2s,2S,1/2,1s2.4p,2P*,3/2,,T5593,L3840,
K,17,1.5755,0.0003,1.5755,0.0010,13p*,8.33e+11,,0,6347200,1s2.2s,2S,1/2,1s2.4p,2P*,1/2,,T5593,L3840,
K,17,2.0889,0.0010,2.0899,0.0010,2,1.84e+12,,0,4784900,1s2.2s,2S,1/2,1s2.3p,2P*,3/2,,T5593,L10665,
K,17,2.0931,0.0010,2.0931,0.0010,1,1.87e+12,,0,4777600,1s2.2s,2S,1/2,1s2.3p,2P*,1/2,,T5593,L10665,
K,16,2.1737,0.0010,2.1737,0.0010,3,1.4e+12,,274090,4874500,2s.2p,3P*,2,2p.3p,3D,3,,T4591,L2563,
K,16,2.1911,0.0010,2.1911,0.0010,1,2.1e+12,,0,4563900,2s2,1S,0,2s.3p,1P*,1,,T4591,L2563,
K,17,2.2020,0.0005,2.2020,0.0010,2,4.53e+12,,273500,4814800,1s2.2p,2P*,1/2,1s2.3d,2D,3/2,,T5593,L1816,
K,17,2.2163,0.0005,2.2163,0.0010,3,5.41e+12,,306020,4818000,1s2.2p,2P*,3/2,1s2.3d,2D,5/2,,T5593,L1816,
K,17,2.2573,0.0010,2.2573,0.0010,1,2.43e+11,,273500,4703500,1s2.2p,2P*,1/2,1s2.3s,2S,1/2,,T6659,L10665,
K,17,2.2741,0.0010,2.2740,0.0010,1,4.99e+11,,306020,4703500,1s2.2p,2P*,3/2,1s2.3s,2S,1/2,,T6659,L10665,
K,16,2.2813,0.0010,2.2813,0.0010,3,3.0e+12,,[252518],4636000,2s.2p,3P*,1,2s.3d,3D,2,,T4591,L2563,
K,16,2.2921,0.0010,2.2921,0.0010,5,7.6e+12,,274090,4636900,2s.2p,3P*,2,2s.3d,3D,3,,T4591,L2563,
K,15,2.3146,0.0010,2.3146,0.0010,1,,,0,4320400,2s2.2p,2P*,1/2,2s.2p.(3P*).3p,2D,3/2,,,L2563,
K,15,2.3180,0.0010,2.3180,0.0010,2,,,29017,4343100,2s2.2p,2P*,3/2,2s.2p.(3P*).3p,2D,5/2,,,L2563,
K,16,2.3270,0.0010,2.3268,0.0010,2,5.2e+12,,660200,4958000,2p2,3P,1,2p.3d,3D*,2,,T4591,L2563,
K,16,2.3315,0.0010,2.3315,0.0010,4,6.8e+12,,676500,4965600,2p2,3P,2,2p.3d,3D*,3,,T4591,L2563,
K,16,2.3399,0.0010,2.3399,0.0010,5,9.5e+12,,742650,5016300,2p2,1D,2,2p.3d,1F*,3,,T4591,L2563,
K,15,2.3588,0.0010,2.3588,0.0010,1,,,0,4239400,2s2.2p,2P*,1/2,2s.2p.(3P*).3p,2P,1/2,,,L2563,
K,15,2.3633,0.0010,2.3633,0.0010,1,,,29017,4260400,2s2.2p,2P*,3/2,2s.2p.(3P*).3p,2P,3/2,,,L2563,
K,16,2.3840,0.0010,2.3842,0.0010,3bl,4.3e+12,,484800,4679000,2s.2p,1P*,1,2s.3d,1D,2,,T4591,L2563,
K,15,2.3981,0.0010,2.3981,0.0010,3,,,445510,4615500,2s.2p2,2D,5/2,2s.2p.(1P*).3d,2F*,7/2,,,L2563,
K,15,2.4130,0.0010,2.4130,0.0010,6,,,274200+x,4418400+x,2s.2p2,4P,5/2,2s.2p.(3P*).3d,4P*,5/2,,,L2563,
K,15,2.4200,0.0010,2.4200,0.0010,8*,3.51e+12,,0,4132200,2s2.2p,2P*,1/2,2s2.3d,2D,3/2,,T6016,L2563,
K,15,2.4200,0.0010,2.4200,0.0010,8*,,,274200+x,4406400+x,2s.2p2,4P,5/2,2s.2p.(3P*).3d,4D*,7/2,,,L2563,
K,15,2.4328,0.0010,2.4328,0.0010,8,4.19e+12,,29017,4139500,2s2.2p,2P*,3/2,2s2.3d,2D,5/2,,T6016,L2563,
K,15,2.4770,0.0010,2.4770,0.0010,2,,,599080,4636200,2s.2p2,2P,3/2,2s.2p.(1P*).3d,2D*,5/2,,,L2563,
K,15,2.4889,0.0010,2.4889,0.0010,3,,,445510,4463300,2s.2p2,2D,5/2,2s.2p.(3P*).3d,2F*,7/2,,,L2563,
K,15,2.4946,0.0010,2.4946,0.0010,2,,,443960,4452600,2s.2p2,2D,3/2,2s.2p.(3P*).3d,2F*,5/2,,,L2563,
K,15,2.5265,0.0010,2.5265,0.0010,2,,,445510,4403600,2s.2p2,2D,5/2,2s.2p.(3P*).3d,2D*,5/2,,,L2563,
K,14,2.5700,0.0010,2.5700,0.0011,4,3.60e+12,,28225,3919300,2s2.2p2,3P,2,2s2.2p.3d,3P*,2,,T5052,L2563,
K,14,2.5750,0.0010,2.5750,0.0011,5,5.68e+12,,28225,3911700,2s2.2p2,3P,2,2s2.2p.3d,3D*,3,,T5052,L2563,
K,14,2.5909,0.0010,2.5909,0.0011,7,7.61e+12,,95921,3955600,2s2.2p2,1D,2,2s2.2p.3d,1F*,3,,T5052,L2563,
K,14,2.6816,0.0010,2.6816,0.0010,2,,,461002,4190100,2s.(2S).2p3.(2D*),3D*,3,2s.2p2.(4P).3d,3F,4,,,L2563,
K,13,2.7337,0.0010,2.7337,0.0007,8bl,,,0,3658000,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,4P,3/2,,,L2563,
K,13,2.7384,0.0010,2.7384,0.0007,8,,,0,3651800,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,4P,5/2,,,L2563,
K,13,2.7440,0.0010,2.7440,0.0008,2bl,,,105719,3750000,2s2.2p3,2D*,5/2,2s2.2p2.(1D).3d,2P,3/2,,,L2563,
K,13,2.7507,0.0010,2.7492,0.0008,3,,,100559,3738000,2s2.2p3,2D*,3/2,2s2.2p2.(1D).3d,2F,5/2,,,L2563,
K,13,2.7530,0.0010,2.7531,0.0008,3bl,,,105719,3738000,2s2.2p3,2D*,5/2,2s2.2p2.(1D).3d,2F,5/2,,,L2563,
K,13,2.7586,0.0010,2.7586,0.0008,9,,,105719,3730700,2s2.2p3,2D*,5/2,2s2.2p2.(1D).3d,2F,7/2,,,L2563,
K,13,2.7835,0.0010,2.7795,0.0008,2bl*,,,100559,3698300,2s2.2p3,2D*,3/2,2s2.2p2.(3P).3d,2D,5/2,,,L2563,
K,13,2.7835,0.0010,2.7835,0.0008,2bl*,,,105719,3698300,2s2.2p3,2D*,5/2,2s2.2p2.(3P).3d,2D,5/2,,,L2563,
K,13,2.8012,0.0010,2.8012,0.0008,4,,,168093,3738000,2s2.2p3,2P*,3/2,2s2.2p2.(1D).3d,2F,5/2,,,L2563,
K,13,2.8160,0.0010,2.8160,0.0008,4,,,105719,3656900,2s2.2p3,2D*,5/2,2s2.2p2.(3P).3d,2F,7/2,,,L2563,
K,13,2.8327,0.0010,2.8327,0.0008,5,,,160650,3690800,2s2.2p3,2P*,1/2,2s2.2p2.(3P).3d,2D,3/2,,,L2563,
K,13,2.8958,0.0010,2.8958,0.0008,2,,,168093,3621400,2s2.2p3,2P*,3/2,2s2.2p2.(3P).3d,2P,3/2,,,L2563,
K,12,2.9168,0.0010,2.9168,0.0009,4,1.18e+12,,0,3428400,2s2.2p4,3P,2,2s2.2p3.(2P*).3d,3D*,3,,T4919,L2563,
K,12,2.9342,0.0010,2.9342,0.0009,4,2.00e+12,,18944,3427000,2s2.2p4,3P,1,2s2.2p3.(2P*).3d,3D*,1,,T4919,"L2563,L3922",
K,12,2.9367,0.0010,2.9367,0.0009,4,1.31e+10,,0,3405200,2s2.2p4,3P,2,2s2.2p3.(2P*).3d,3P*,2,,T7370,L2563,
K,12,2.9430,0.0010,2.9379,0.0009,3p,2.17e+12,,23207,3427000,2s2.2p4,3P,0,2s2.2p3.(2P*).3d,3D*,1,,T4919,L2563,
K,12,2.9530,0.0010,2.9526,0.0009,2bl*,8.24e+11,,23207,3410000,2s2.2p4,3P,0,2s2.2p3.(2P*).3d,3P*,1,,T4919,"L2563,L3922",
K,12,2.9530,0.0010,2.9531,0.0009,2bl*,1.90e+11,,18944,3405200,2s2.2p4,3P,1,2s2.2p3.(2P*).3d,3P*,2,,T4919,"L2563,L3922",
K,12,2.9559,0.0010,2.9559,0.0009,3,3.07e+12,,0,3383100,2s2.2p4,3P,2,2s2.2p3.(2D*).3d,3S*,1,,T4919,L2563,
K,12,2.9667,0.0010,2.9667,0.0010,4,3.85e+12,,0,3370700,2s2.2p4,3P,2,2s2.2p3.(2D*).3d,3P*,2,,T4919,"L2563,L3922",
K,12,2.9735,0.0010,2.9734,0.0014,7bl*,5.50e+12,,79587,3442700,2s2.2p4,1D,2,2s2.2p3.(2P*).3d,1F*,3,,T4919,"L2563,L3922",
K,12,2.9735,0.0010,2.9735,0.0014,7bl*,3.25e+12,,0,3363000,2s2.2p4,3P,2,2s2.2p3.(2D*).3d,3D*,3,,T4919,"L2563,L3922",
K,12,2.9921,0.0010,2.9921,0.0009,5,2.32e+12,,18944,3361100,2s2.2p4,3P,1,2s2.2p3.(2D*).3d,3D*,2,,T4919,L2563,
K,12,2.9986,0.0010,2.9986,0.0009,4,3.49e+11,,23207,3358100,2s2.2p4,3P,0,2s2.2p3.(2D*).3d,3D*,1,,T4919,L2563,
K,12,3.0151,0.0010,3.0150,0.0009,2,2.01e+12,,79587,3396300,2s2.2p4,1D,2,2s2.2p3.(2D*).3d,1F*,3,,T4919,L2563,
K,12,3.0202,0.0010,3.0200,0.0009,2,5.23e+12,,162886,3474100,2s2.2p4,1S,0,2s2.2p3.(2P*).3d,1P*,1,,T4919,L3922,
K,12,3.0351,0.0010,3.0351,0.0009,3,1.23e+12,,79587,3374400,2s2.2p4,1D,2,2s2.2p3.(2D*).3d,1D*,2,,T4919,L2563,
K,12,3.0571,0.0010,3.0571,0.0009,7,1.40e+12,,0,3271100,2s2.2p4,3P,2,2s2.2p3.(4S*).3d,3D*,3,,T4919,L2563,
K,12,3.0800,0.0010,3.0800,0.0009,3,8.62e+11,,18944,3265700,2s2.2p4,3P,1,2s2.2p3.(4S*).3d,3D*,2,,T4919,L2563,
K,11,3.1457,0.0010,3.1455,0.0010,1,4.96e+10,,0,3179100,2s2.2p5,2P*,3/2,2s2.2p4.(1S).3d,2D,3/2,,T6437,L2181,
