element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Kr,27,0.52790,0.00010,0.52790,0.00005,40,,,0,18943000,2s2.2p6,1S,0,2s2.2p5.(2P*<1/2>).4d,"(1/2,3/2)*",1,,,L7279,
Kr,27,0.54005,0.00010,0.54005,0.00005,50,,,0,18516800,2s2.2p6,1S,0,2s2.2p5.(2P*<3/2>).4d,"(3/2,5/2)*",1,,,L7279,
Kr,27,0.54121,0.00010,0.54121,0.00005,25,,,0,18477100,2s2.2p6,1S,0,2s2.2p5.(2P*<1/2>).4s,"(1/2,1/2)*",1,,,L7279,
Kr,27,0.54204,0.00010,0.54203,0.00012,5,,,0,18449000,2s2.2p6,1S,0,2s2.2p5.(2P*<3/2>).4d,"(3/2,3/2)*",1,,,L7279,
Kr,27,0.55434,0.00010,0.55434,0.00006,35,,,0,18039500,2s2.2p6,1S,0,2s2.2p5.(2P*<3/2>).4s,"(3/2,1/2)*",1,,,L7279,
Kr,27,0.63355,0.00010,0.63355,0.00006,4,,,0,15784100,2s2.2p6,1S,0,2s.2p6.3p,"(1/2,3/2)*",1,,,L9749,
Kr,27,0.63852,0.00010,0.63852,0.00006,5,,,0,15661200,2s2.2p6,1S,0,2s.2p6.3p,"(1/2,1/2)*",1,,,L9749,
Kr,27,0.66973,0.00010,0.66973,0.00007,8,,,0,14931400,2s2.2p6,1S,0,2s2.2p5.(2P*<1/2>).3d,"(1/2,3/2)*",1,,,L9749,
Kr,26,0.67145,0.00010,0.67145,0.00005,4,,,0,14893100,2p6.3s,2S,1/2,2p5.(2P*<1/2>).3s.3d,"(1,5/2)*",3/2,,,L9749,
Kr,27,0.68787,0.00010,0.68787,0.00007,10,,,0,14537600,2s2.2p6,1S,0,2s2.2p5.(2P*<3/2>).3d,"(3/2,5/2)*",1,,,L9749,
Kr,26,0.69211,0.00010,0.69211,0.00005,6,,,0,14448600,2p6.3s,2S,1/2,2p5.(2P*<3/2>).3s.3d,"(2,5/2)*",1/2,,,L9749,
Kr,26,0.69537,0.00010,0.6956,0.0003,7,,,0,14376200,2p6.3s,2S,1/2,2p5.(2P*<3/2>).3s.3d,"(1,3/2)*",3/2,,,L9749,
Kr,27,0.69594,0.00010,0.69591,0.00004,7,,,0,14369600,2s2.2p6,1S,0,2s2.2p5.(2P*<3/2>).3d,"(3/2,3/2)*",1,,,L9749,
Kr,27,0.72675,0.00010,0.72669,0.00004,6,,,0,13761000,2s2.2p6,1S,0,2s2.2p5.(2P*<1/2>).3s,"(1/2,1/2)*",1,,,L9749,
Kr,27,0.75044,0.00010,0.75038,0.00004,9,,,0,13326600,2s2.2p6,1S,0,2s2.2p5.(2P*<3/2>).3s,"(3/2,1/2)*",1,,,L9749,
Kr,26,2.1185,0.0010,2.11836,0.00022,15,,,0,4720640,2p6.3s,2S,1/2,2p6.4p,2P*,3/2,,,L6464,
Kr,26,2.1369,0.0010,2.13701,0.00023,10,,,0,4679430,2p6.3s,2S,1/2,2p6.4p,2P*,1/2,,,L6464,
Kr,25,2.1840,0.0015,2.1840,0.0014,5,,,0,4578800,2p6.3s2,1S,0,2p6.3s.4p,1P*,1,,,L6464,
Kr,26,2.2257,0.0010,2.22575,0.00025,5,,,[454413],[4947290],2p6.3p,2P*,1/2,2p6.4d,2D,3/2,,,L6464,
Kr,26,2.2743,0.0010,2.2741,0.0003,10,,,[558678],[4955980],2p6.3p,2P*,3/2,2p6.4d,2D,5/2,,,L6464,
Kr,26,2.4766,0.0010,2.4757,0.0003,10p,,,[454413],[4493690],2p6.3p,2P*,1/2,2p6.4s,2S,1/2,,,L6464,
Kr,26,2.5416,0.0010,2.5413,0.0003,30,,,[558678],[4493690],2p6.3p,2P*,3/2,2p6.4s,2S,1/2,,,L6464,
Kr,26,2.5621,0.0010,2.5620,0.0003,30s,,,[1164184],[5067310],2p6.3d,2D,3/2,2p6.4f,2F*,5/2,,,L6973,
Kr,26,2.5728,0.0010,2.5728,0.0003,40s,,,[1183991],[5070870],2p6.3d,2D,5/2,2p6.4f,2F*,7/2,,,L6973,
Kr,18,3.5190,0.0015,3.5190,0.0015,10,,,0,2841700,3p6.3d,2D,3/2,3p6.4f,2F*,5/2,,,L6464,
Kr,18,3.5397,0.0015,3.5397,0.0015,20,,,[15694],2840800,3p6.3d,2D,5/2,3p6.4f,2F*,7/2,,,L6464,
Kr,28,5.2594,0.0010,5.2594,0.0014,25,,,0,1901350,2s2.2p5,2P*,3/2,2s.2p6,2S,1/2,,,L10338,
Kr,29,5.3621,0.0012,5.3633,0.0009,2,,,0,1864520,2s2.2p4,3P,2,2s.2p5,3P*,1,,,"L10338,L6727,L6464",
Kr,29,5.3974,0.0021,5.3975,0.0020,4w,,,524900,2377600,2s2.2p4,1D,2,2s.2p5,1P*,1,,,"L10338,L6727",
Kr,29,5.8695,0.0035,5.8695,0.0034,4bl,,,160800,1864520,2s2.2p4,3P,0,2s.2p5,3P*,1,,,"L10338,L6727",
Kr,26,5.9377,0.0010,5.939,0.004,6,,,[5067310],[6751050],2p6.4f,2F*,5/2,2p6.5g,2G,7/2,,,L6464,
Kr,26,5.9459,0.0010,5.948,0.004,8,,,[5070870],[6752110],2p6.4f,2F*,7/2,2p6.5g,2G,9/2,,,L6464,
Kr,28,6.8733,0.0010,6.8733,0.0024,10,,,446440,1901350,2s2.2p5,2P*,1/2,2s.2p6,2S,1/2,,,L10338,
Kr,9,7.5455,0.0005,7.5455,0.0005,9300,,,0,1325290,3d10,1S,0,3d9.4f,"(3/2,5/2)*",1,,,L10636,
Kr,9,7.6296,0.0005,7.62955,0.00012,4300,,,0,1310694,3d10,1S,0,3d9.4f,"(5/2,7/2)*",1,,,L10636,
Kr,9,7.6789,0.0005,7.6789,0.0005,1000,,,0,1302270,3d10,1S,0,3d9.4f,"(5/2,5/2)*",1,,,L10636,
Kr,18,9.1391,0.0015,9.1391,0.0005,5,,,0,1094200,3p6.3d,2D,3/2,3p5.(2P*).3d2.(3P),2P*,3/2,,,L6464,
Kr,10,9.1768,0.0010,9.1768,0.0004,50,,,0,1089708,3p6.3d9,2D,5/2,3p6.3d8.(1S).4p,2P*,3/2,,,L6283,
