element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
La,4,34.412,,100,,,,,,,,,,,,,L4562,
La,5,38.903,,2,,,,,,,,,,,,,L3749,
La,5,39.072,,400,,,,,,,,,,,,,L3749,
La,5,39.853,,1,,,,,,,,,,,,,L3749,
La,5,39.934,,30,,,,,,,,,,,,,L3749,
La,5,40.510,,350,,,,,,,,,,,,,L3749,
La,5,41.613,,50,,,,,,,,,,,,,L3749,
La,5,42.155,,3,,,,,,,,,,,,,L3749,
La,5,42.307,,50,,,,,,,,,,,,,L3749,
La,5,42.478,,400,,,,,,,,,,,,,L3749,
La,5,43.211,,1000,,,,,,,,,,,,,L3749,
La,5,43.528,,2500,,,,,,,,,,,,,L3749,
La,5,43.614,,700,,,,,,,,,,,,,L3749,
La,5,43.684,,700,,,,,,,,,,,,,L3749,
La,5,43.711,,300,,,,,,,,,,,,,L3749,
La,5,43.755,,700,,,,,,,,,,,,,L3749,
La,5,44.401,,20,,,,,,,,,,,,,L3749,
La,5,44.407,,10,,,,,,,,,,,,,L3749,
La,5,45.040,,1250,,,,,,,,,,,,,L3749,
La,4,45.350,,7000,,,,,,,,,,,,,L4562,
La,5,45.730,,600,,,,,,,,,,,,,L3749,
La,4,46.314,,10000,,,,,,,,,,,,,L4562,
La,5,46.385,,1000,,,,,,,,,,,,,L3749,
La,5,47.667,,150,,,,,,,,,,,,,L3749,
La,5,48.216,,5000,,,,,,,,,,,,,L3749,
La,5,48.243,,200,,,,,,,,,,,,,L3749,
La,5,48.330,,2000,,,,,,,,,,,,,L3749,
La,5,49.808,,7000,,,,,,,,,,,,,L3749,
La,5,49.903,,4000,,,,,,,,,,,,,L3749,
La,4,49.954,,15000,,,,,,,,,,,,,L4562,
La,5,50.358,,10000,,,,,,,,,,,,,L3749,
La,5,50.815,,40,,,,,,,,,,,,,L3749,
La,5,52.571,,1500,,,,,,,,,,,,,L3749,
La,5,52.676,,12000,,,,,,,,,,,,,L3749,
La,5,53.107,,10000,,,,,,,,,,,,,L3749,
La,5,53.323,,15000,,,,,,,,,,,,,L3749,
La,5,54.020,,4000,,,,,,,,,,,,,L3749,
La,5,54.480,,6000,,,,,,,,,,,,,L3749,
La,5,54.744,,8000,,,,,,,,,,,,,L3749,
La,4,55.202,,40000,,,,,,,,,,,,,L4562,
La,5,57.090,,3000,,,,,,,,,,,,,L3749,
La,5,59.318,,2500,,,,,,,,,,,,,L3749,
La,5,59.770,,750,,,,,,,,,,,,,L3749,
La,5,60.001,,2000,,,,,,,,,,,,,L3749,
La,5,60.024,,5000,,,,,,,,,,,,,L3749,
La,5,61.170,,700,,,,,,,,,,,,,L3749,
La,5,61.760,,500,,,,,,,,,,,,,L3749,
La,4,63.126,,30000,,,,,,,,,,,,,L4562,
La,4,72.492,,25,,,,,,,,,,,,,L4562,
La,4,73.329,,15,,,,,,,,,,,,,L4562,
La,3,74.419,,3,,,,,,,,,,,,,L3517,
La,3,75.303,,10,,,,,,,,,,,,,L3517,
La,3,78.664,,1,,,,,,,,,,,,,L3517,
La,3,78.714,,200,,,,,,,,,,,,,L3517,
La,3,79.603,,1,,,,,,,,,,,,,L3517,
La,3,79.699,,400,,,,,,,,,,,,,L3517,
La,4,79.703,,10,,,,,,,,,,,,,L4562,
La,3,79.720,,1,,,,,,,,,,,,,L3517,
La,3,83.503,,10,,,,,,,,,,,,,L3517,
La,3,84.562,,30,,,,,,,,,,,,,L3517,
La,3,85.073,,1,,,,,,,,,,,,,L3517,
La,3,86.039,,1,,,,,,,,,,,,,L3517,
La,3,86.088,,2,,,,,,,,,,,,,L3517,
La,3,86.504,,5,,,,,,,,,,,,,L3517,
La,3,87.040,,2000,,,,,,,,,,,,,L3517,
La,3,87.243,,30,,,,,,,,,,,,,L3517,
La,3,88.234,,1000,,,,,,,,,,,,,L3517,
La,3,88.272,,20,,,,,,,,,,,,,L3517,
La,3,92.971,,200,,,,,,,,,,,,,L3517,
La,3,94.286,,400,,,,,,,,,,,,,L3517,
La,3,96.769,,30,,,,,,,,,,,,,L3517,
La,3,97.433,,10,,,,,,,,,,,,,L3517,
La,3,97.999,,50,,,,,,,,,,,,,L3517,
La,4,98.003,,10c,,,,,,,,,,,,,L4562,
La,3,98.029,,10,,,,,,,,,,,,,L3517,
La,4,103.930,,50,,,,,,,,,,,,,L4562,
La,3,105.863,,200,,,,,,,,,,,,,L3517,
La,4,106.209,,60p,,,,,,,,,,,,,L4562,
La,3,107.259,,1000,,,,,,,,,,,,,L3517,
La,3,107.691,,5000,,,,,,,,,,,,,L3517,
La,3,108.161,,50000,,,,,,,,,,,,,L3517,
La,3,109.973,,95000,,,,,,,,,,,,,L3517,
La,3,110.070,,5000,,,,,,,,,,,,,L3517,
La,4,115.835,,75,,,,,,,,,,,,,L4562,
La,4,116.429,,50,,,,,,,,,,,,,L4562,
La,3,120.880,,30,,,,,,,,,,,,,L3517,
La,3,121.229,,30,,,,,,,,,,,,,L3517,
La,4,123.090,,400,,,,,,,,,,,,,L4562,
La,3,123.654,,200,,,,,,,,,,,,,L3517,
La,3,125.399,,100,,,,,,,,,,,,,L3517,
La,3,125.563,,2000,,,,,,,,,,,,,L3517,
La,3,125.955,,100,,,,,,,,,,,,,L3517,
La,4,126.079,,75p,,,,,,,,,,,,,L4562,
La,4,126.112,,300,,,,,,,,,,,,,L4562,
La,4,128.319,,150,,,,,,,,,,,,,L4562,
La,4,130.231,,2000,,,,,,,,,,,,,L4562,
La,3,132.242,,100,,,,,,,,,,,,,L3517,
La,3,133.004,,5000,,,,,,,,,,,,,L3517,
La,4,133.353,,1200,,,,,,,,,,,,,L4562,
La,4,133.496,,3500,,,,,,,,,,,,,L4562,
La,3,134.918,,10000,,,,,,,,,,,,,L3517,
La,4,135.276,,1000,,,,,,,,,,,,,L4562,
La,4,136.804,,25000,,,,,,,,,,,,,L4562,
