element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Li,2,149.293,149.2939,0.0010,3,8.4094e+08,AAA,[494260.30],[561242.28],1s.2p,3P*,1,1s.3d,3D,2,,T8636c73,L3501,
Li,2,149.297,149.2976,0.0010,5,1.1216e+09,AAA,[494262.57],[561242.90],1s.2p,3P*,2,1s.3d,3D,3,,T8636c73,L3501,
Li,2,149.304,149.3034,0.0010,1,6.2310e+08,AAA,[494265.70],[561243.43],1s.2p,3P*,0,1s.3d,3D,1,,T8636c73,L3501,
Li,2,165.308,165.3076,0.0010,3,9.5283e+07,AAA,[494260.30],[554753.58],1s.2p,3P*,1,1s.3s,3S,1,,T8636c73,L3501,
Li,2,165.313,165.3138,0.0010,5,1.5881e+08,AAA,[494262.57],[554753.58],1s.2p,3P*,2,1s.3s,3S,1,,T8636c73,L3501,
Li,2,165.321,165.3224,0.0010,1,3.1761e+07,AAA,[494265.70],[554753.58],1s.2p,3P*,0,1s.3s,3S,1,,T8636c73,L3501,
Li,2,233.688,,,3,,,,,,,,,,,,,L3501,
Li,2,233.691,,,5,,,,,,,,,,,,,L3501,
Li,2,233.700,,,2,,,,,,,,,,,,,L3501,
Li,1,239.439,239.4387,0.0010,1*,2.664e+05,AA,0.00,41751.63,1s2.2s,2S,1/2,1s2.8p,2P*,1/2,,T6835,L7397,
Li,1,239.439,239.4387,0.0010,1*,2.664e+05,AA,0.00,41751.63,1s2.2s,2S,1/2,1s2.8p,2P*,3/2,,T6835,L7397,
Li,1,242.543,242.5426,0.0010,3*,3.824e+05,AA,0.00,41217.35,1s2.2s,2S,1/2,1s2.7p,2P*,3/2,,T6835,L7397,
Li,1,242.543,242.5426,0.0010,3*,3.822e+05,AA,0.00,41217.35,1s2.2s,2S,1/2,1s2.7p,2P*,1/2,,T6835,L7397,
Li,1,247.506,247.5061,0.0010,10*,5.734e+05,AA,0.00,40390.84,1s2.2s,2S,1/2,1s2.6p,2P*,3/2,,T6835,L7397,
Li,1,247.506,247.5061,0.0010,10*,5.734e+05,AA,0.00,40390.84,1s2.2s,2S,1/2,1s2.6p,2P*,1/2,,T6835,L7397,
Li,2,255.17,255.17,0.10,24,8.4872e+06,AAA,[561751.95],[600929.7],1s.3p,1P*,1,1s.7s,1S,0,,T8636c73,L7397,
Li,1,256.231,256.2312,0.0010,15*,8.799e+05,AA,0.00,39015.56,1s2.2s,2S,1/2,1s2.5p,2P*,3/2,,T6835,L7397,
Li,1,256.231,256.2312,0.0010,15*,9.001e+05,AA,0.00,39015.56,1s2.2s,2S,1/2,1s2.5p,2P*,1/2,,T6835,L7397,
Li,2,265.729,265.7258,0.0010,2,5.8049e+06,AAA,[559499.5],[597121.08],1s.3p,3P*,1,1s.6s,3S,1,,T8636c73,L3501,
Li,2,265.730,265.7332,0.0010,3,9.6758e+06,AAA,[559500.55],[597121.08],1s.3p,3P*,2,1s.6s,3S,1,,T8636c73,L3501,
Li,2,272.829,272.8326,0.0010,5*,3.1456e+06,AAA,[561242.90],[597884.56],1s.3d,3D,3,1s.6f,3F*,3,,T8636c73,L3501,
Li,2,272.829,272.8326,0.0010,5*,1.5380e+05,AAA,[561242.90],[597884.56],1s.3d,3D,3,1s.6f,3F*,2,,T8636c73,L3501,
Li,2,272.829,272.8326,0.0010,5*,3.4603e+07,AAA,[561242.90],[597884.56],1s.3d,3D,3,1s.6f,3F*,4,,T8636c73,L3501,
Li,2,272.832,272.8366,0.0010,2,2.9066e+07,AAA,[561243.43],[597884.56],1s.3d,3D,1,1s.6f,3F*,2,,T8636c73,L3501,
Li,2,273.047,273.0472,0.0010,3,2.8653e+07,AAA,[561272.75],[597885.61],1s.3d,1D,2,1s.6f,1F*,3,,T8636c73,L3501,
Li,2,273.055,273.0551,0.0010,1,5.796e+06,AA,[561272.75],[597884.56],1s.3d,1D,2,1s.6f,3F*,3,,T8636c73,L3501,
Li,1,274.120,274.1203,0.0010,5*,1.247e+06,AA,0.00,36469.55,1s2.2s,2S,1/2,1s2.4p,2P*,3/2,,T6620LS,L7397,
Li,1,274.120,274.1203,0.0010,5*,1.248e+06,AA,0.00,36469.55,1s2.2s,2S,1/2,1s2.4p,2P*,1/2,,T6620LS,L7397,
Li,2,293.402,,,2,,,,,,,,,,,,,L3501,
Li,2,293.407,,,2,,,,,,,,,,,,,L3501,
Li,2,293.412,,,5,,,,,,,,,,,,,L3501,
Li,2,293.425,,,1,,,,,,,,,,,,,L3501,
Li,2,302.912,302.9115,0.0010,3*,2.3222e+07,AAA,[559499.5],[592502.83],1s.3p,3P*,1,1s.5d,3D,1,,T8636c73,L3501,
Li,2,302.912,302.9115,0.0010,3*,5.5732e+07,AAA,[559500.55],[592503.88],1s.3p,3P*,2,1s.5d,3D,3,,T8636c73,L3501,
Li,2,302.914,302.9176,0.0010,3,1.3932e+07,AAA,[559500.55],[592503.22],1s.3p,3P*,2,1s.5d,3D,2,,T8636c73,L3501,
Li,2,315.531,315.5265,0.0010,3,1.0709e+07,AAA,[559499.5],[591183.39],1s.3p,3P*,1,1s.5s,3S,1,,T8636c73,L3501,
Li,2,315.533,315.5369,0.0010,4,1.7850e+07,AAA,[559500.55],[591183.39],1s.3p,3P*,2,1s.5s,3S,1,,T8636c73,L3501,
Li,2,319.626,319.6318,0.0010,1*,5.1903e+07,AAA,[561242.28],[592519.24],1s.3d,3D,2,1s.5f,3F*,3,,T8636c73,L3501,
