element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Lu,5,55.544,,40,,,,,,,,,,,,,L4435,
Lu,5,56.372,,100,,,,,,,,,,,,,L4435,
Lu,5,60.154,,50,,,,,,,,,,,,,L4435,
Lu,5,61.423,,60,,,,,,,,,,,,,L4435,
Lu,5,62.879,,40,,,,,,,,,,,,,L4435,
Lu,5,63.744,,50p,,,,,,,,,,,,,L4435,
Lu,5,63.753,,40,,,,,,,,,,,,,L4435,
Lu,5,66.329,,50,,,,,,,,,,,,,L4435,
Lu,3,67.734,,1,,,,,,,,,,,,,L1402,
Lu,3,69.105,,7,,,,,,,,,,,,,L1402,
Lu,3,70.025,,30,,,,,,,,,,,,,L1402,
Lu,3,71.489,,50,,,,,,,,,,,,,L1402,
Lu,3,73.876,,100,,,,,,,,,,,,,L1402,
Lu,3,75.503,,200,,,,,,,,,,,,,L1402,
Lu,3,75.516,,3,,,,,,,,,,,,,L1402,
Lu,3,81.073,,500,,,,,,,,,,,,,L1402,
Lu,3,83.053,,100,,,,,,,,,,,,,L1402,
Lu,3,83.228,,2000,,,,,,,,,,,,,L1402,
Lu,5,85.006,,60,,,,,,,,,,,,,L4435,
Lu,5,86.192,,100,,,,,,,,,,,,,L4435,
Lu,5,86.693,,70,,,,,,,,,,,,,L4435,
Lu,5,87.084,,40,,,,,,,,,,,,,L4435,
Lu,5,87.589,,50,,,,,,,,,,,,,L4435,
Lu,5,87.645,,50,,,,,,,,,,,,,L4435,
Lu,4,87.680,,400,,,,,,,,,,,,,L1553,
Lu,5,88.032,,100,,,,,,,,,,,,,L4435,
Lu,5,88.421,,40,,,,,,,,,,,,,L4435,
Lu,5,88.616,,70,,,,,,,,,,,,,L4435,
Lu,5,88.632,,50,,,,,,,,,,,,,L4435,
Lu,5,88.644,,50,,,,,,,,,,,,,L4435,
Lu,5,89.181,,100,,,,,,,,,,,,,L4435,
Lu,5,89.501,,60,,,,,,,,,,,,,L4435,
Lu,5,89.515,,40,,,,,,,,,,,,,L4435,
Lu,5,89.842,,40,,,,,,,,,,,,,L4435,
Lu,4,90.206,,100,,,,,,,,,,,,,L1553,
Lu,5,91.472,,100,,,,,,,,,,,,,L4435,
Lu,5,91.826,,40,,,,,,,,,,,,,L4435,
Lu,5,92.092,,50,,,,,,,,,,,,,L4435,
Lu,5,92.132,,40,,,,,,,,,,,,,L4435,
Lu,5,92.190,,60,,,,,,,,,,,,,L4435,
Lu,5,92.273,,40,,,,,,,,,,,,,L4435,
Lu,5,92.579,,80,,,,,,,,,,,,,L4435,
Lu,5,92.722,,50,,,,,,,,,,,,,L4435,
Lu,5,94.780,,40,,,,,,,,,,,,,L4435,
Lu,3,97.266,,10,,,,,,,,,,,,,L1402,
Lu,3,99.126,,2,,,,,,,,,,,,,L1402,
Lu,3,99.644,,100,,,,,,,,,,,,,L1402,
Lu,3,100.118,,400,,,,,,,,,,,,,L1402,
Lu,4,101.518,,300,,,,,,,,,,,,,L1553,
Lu,3,102.240,,1,,,,,,,,,,,,,L1402,
Lu,3,102.983,,100,,,,,,,,,,,,,L1402,
Lu,3,103.033,,200,,,,,,,,,,,,,L1402,
Lu,3,103.154,,100,,,,,,,,,,,,,L1402,
Lu,3,105.653,,50,,,,,,,,,,,,,L1402,
Lu,3,106.199,,20,,,,,,,,,,,,,L1402,
Lu,3,109.284,,3,,,,,,,,,,,,,L1402,
Lu,4,113.617,,20,,,,,,,,,,,,,L1553,
Lu,3,118.734,,200,,,,,,,,,,,,,L1402,
Lu,4,118.927,,50,,,,,,,,,,,,,L1553,
Lu,4,119.459,,20p,,,,,,,,,,,,,L1553,
Lu,4,121.308,,60,,,,,,,,,,,,,L1553,
Lu,4,122.074,,15,,,,,,,,,,,,,L1553,
Lu,4,122.375,,20,,,,,,,,,,,,,L1553,
Lu,3,122.87,,50,,,,,,,,,,,,,L1402,
Lu,4,124.007,,20,,,,,,,,,,,,,L1553,
Lu,4,124.810,,20,,,,,,,,,,,,,L1553,
Lu,4,126.627,,40,,,,,,,,,,,,,L1553,
Lu,4,127.242,,100,,,,,,,,,,,,,L1553,
Lu,4,127.302,,20,,,,,,,,,,,,,L1553,
Lu,4,127.477,,40,,,,,,,,,,,,,L1553,
Lu,4,127.654,,20,,,,,,,,,,,,,L1553,
Lu,3,127.753,,200,,,,,,,,,,,,,L1402,
Lu,3,128.341,,30,,,,,,,,,,,,,L1402,
Lu,4,128.938,,50,,,,,,,,,,,,,L1553,
Lu,4,131.008,,60,,,,,,,,,,,,,L1553,
Lu,4,132.302,,50,,,,,,,,,,,,,L1553,
Lu,4,133.104,,15,,,,,,,,,,,,,L1553,
Lu,3,133.193,,100,,,,,,,,,,,,,L1402,
Lu,4,133.379,,800,,,,,,,,,,,,,L1553,
Lu,4,133.494,,300,,,,,,,,,,,,,L1553,
Lu,4,133.820,,50,,,,,,,,,,,,,L1553,
Lu,4,133.949,,100,,,,,,,,,,,,,L1553,
Lu,4,134.258,,300,,,,,,,,,,,,,L1553,
Lu,4,135.168,,200,,,,,,,,,,,,,L1553,
Lu,4,135.374,,300,,,,,,,,,,,,,L1553,
Lu,4,135.585,,200,,,,,,,,,,,,,L1553,
Lu,4,135.967,,20,,,,,,,,,,,,,L1553,
Lu,4,136.324,,100,,,,,,,,,,,,,L1553,
Lu,4,136.337,,50,,,,,,,,,,,,,L1553,
Lu,4,136.734,,20,,,,,,,,,,,,,L1553,
Lu,4,137.354,,20,,,,,,,,,,,,,L1553,
Lu,4,137.536,,15,,,,,,,,,,,,,L1553,
Lu,4,137.602,,100,,,,,,,,,,,,,L1553,
Lu,4,137.956,,30,,,,,,,,,,,,,L1553,
Lu,4,138.318,,15,,,,,,,,,,,,,L1553,
Lu,4,138.985,,15,,,,,,,,,,,,,L1553,
Lu,4,139.007,,60,,,,,,,,,,,,,L1553,
Lu,4,139.030,,200,,,,,,,,,,,,,L1553,
Lu,4,139.069,,50,,,,,,,,,,,,,L1553,
Lu,4,139.238,,40,,,,,,,,,,,,,L1553,
Lu,4,139.718,,40,,,,,,,,,,,,,L1553,
Lu,4,140.132,,30,,,,,,,,,,,,,L1553,
Lu,4,140.146,,100,,,,,,,,,,,,,L1553,
Lu,4,140.664,,200,,,,,,,,,,,,,L1553,
Lu,4,140.700,,100,,,,,,,,,,,,,L1553,
Lu,4,140.704,,250,,,,,,,,,,,,,L1553,
Lu,5,142.002,,50w,,,,,,,,,,,,,L4435,
Lu,4,142.032,,20,,,,,,,,,,,,,L1553,
Lu,4,142.159,,100,,,,,,,,,,,,,L1553,
Lu,4,142.908,,200,,,,,,,,,,,,,L1553,
Lu,4,142.938,,400,,,,,,,,,,,,,L1553,
Lu,4,143.080,,40,,,,,,,,,,,,,L1553,
Lu,5,143.250,,50,,,,,,,,,,,,,L4435,
Lu,5,143.277,,100,,,,,,,,,,,,,L4435,
Lu,4,144.062,,100,,,,,,,,,,,,,L1553,
Lu,5,144.176,,200,,,,,,,,,,,,,L4435,
Lu,5,144.364,,40,,,,,,,,,,,,,L4435,
Lu,4,144.814,,100,,,,,,,,,,,,,L1553,
Lu,5,144.814,,100,,,,,,,,,,,,,L4435,
Lu,5,144.932,,40,,,,,,,,,,,,,L4435,
Lu,5,145.036,,100,,,,,,,,,,,,,L4435,
Lu,5,145.069,,100,,,,,,,,,,,,,L4435,
Lu,4,145.233,,200,,,,,,,,,,,,,L1553,
Lu,5,145.264,,100,,,,,,,,,,,,,L4435,
Lu,5,145.335,,200,,,,,,,,,,,,,L4435,
Lu,5,145.438,,100,,,,,,,,,,,,,L4435,
Lu,5,145.521,,100,,,,,,,,,,,,,L4435,
Lu,5,146.011,,100,,,,,,,,,,,,,L4435,
Lu,4,146.265,,30,,,,,,,,,,,,,L1553,
Lu,5,146.781,,40c,,,,,,,,,,,,,L4435,
Lu,5,146.899,,200,,,,,,,,,,,,,L4435,
Lu,5,146.945,,50,,,,,,,,,,,,,L4435,
Lu,5,147.120,,100,,,,,,,,,,,,,L4435,
Lu,5,147.212,,400,,,,,,,,,,,,,L4435,
Lu,5,147.371,,200,,,,,,,,,,,,,L4435,
Lu,5,147.577,,40,,,,,,,,,,,,,L4435,
Lu,4,148.379,,100,,,,,,,,,,,,,L1553,
Lu,5,148.558,,200,,,,,,,,,,,,,L4435,
Lu,4,149.324,,200,,,,,,,,,,,,,L1553,
Lu,4,151.126,,400,,,,,,,,,,,,,L1553,
Lu,4,152.106,,200,,,,,,,,,,,,,L1553,
Lu,4,152.221,,100,,,,,,,,,,,,,L1553,
Lu,4,153.777,,100,,,,,,,,,,,,,L1553,
Lu,4,154.935,,30,,,,,,,,,,,,,L1553,
Lu,4,155.159,,20,,,,,,,,,,,,,L1553,
Lu,4,156.206,,20,,,,,,,,,,,,,L1553,
Lu,4,159.255,,30,,,,,,,,,,,,,L1553,
Lu,4,159.492,,15,,,,,,,,,,,,,L1553,
Lu,4,160.772,,100c,,,,,,,,,,,,,L1553,
Lu,4,163.165,,50c,,,,,,,,,,,,,L1553,
Lu,4,168.450,,20,,,,,,,,,,,,,L1553,
Lu,4,169.367,,60c,,,,,,,,,,,,,L1553,
Lu,5,170.902,,50,,,,,,,,,,,,,L4435,
Lu,4,172.142,,400c,,,,,,,,,,,,,L1553,
Lu,4,172.514,,100,,,,,,,,,,,,,L1553,
Lu,5,172.890,,40,,,,,,,,,,,,,L4435,
Lu,4,173.579,,100c,,,,,,,,,,,,,L1553,
Lu,4,173.678,,100,,,,,,,,,,,,,L1553,
Lu,4,174.174,,100,,,,,,,,,,,,,L1553,
Lu,4,174.384,,50c,,,,,,,,,,,,,L1553,
Lu,4,175.260,,40c,,,,,,,,,,,,,L1553,
