element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Mg,12,,0.6380854471,0.0000000024,6g,8.7279e+10,AA,0.00,(15671882.2619),1s,2S,1/2,10p,2P*,3/2,,T7771,,
Mg,12,,0.6380879295,0.0000000024,3g,8.7016e+10,AA,0.00,(15671821.293),1s,2S,1/2,10p,2P*,1/2,,T7771,,
Mg,12,,0.6395989033,0.0000000025,7g,1.1992e+11,AA,0.00,(15634798.5416),1s,2S,1/2,9p,2P*,3/2,,T7771,,
Mg,12,,0.6396023248,0.0000000025,3g,1.1957e+11,AA,0.00,(15634714.903),1s,2S,1/2,9p,2P*,1/2,,T7771,,
Mg,12,,0.6417269142,0.0000000025,4g,1.7112e+11,AA,0.00,(15582952.467),1s,2S,1/2,8p,2P*,3/2,,T7771,,
Mg,12,,0.6417318188,0.0000000025,8g,1.7064e+11,AA,0.00,(15582833.369),1s,2S,1/2,8p,2P*,1/2,,T7771,,
Mg,12,,0.644856451,0.000000003,5g,2.5628e+11,AA,0.00,(15507327.222),1s,2S,1/2,7p,2P*,3/2,,T7771,,
Mg,12,,0.644863845,0.000000003,10g,2.5560e+11,AA,0.00,(15507149.426),1s,2S,1/2,7p,2P*,1/2,,T7771,,
Mg,12,0.65035,0.649738702,0.000000003,20g*,4.0900e+11,AA,0.00,(15390802.451),1s,2S,1/2,6p,2P*,3/2,,T7771,L2560c7,
Mg,12,0.65035,0.649750622,0.000000003,10g*,4.0802e+11,AA,0.00,(15390520.088),1s,2S,1/2,6p,2P*,1/2,,T7771,L2560c7,
Mg,12,0.65765,0.658001211,0.000000003,30g*,7.1270e+11,AA,0.00,(15197540.422),1s,2S,1/2,5p,2P*,3/2,,T7771,L2560c7,
Mg,12,0.65765,0.658022340,0.000000003,15g*,7.1122e+11,AA,0.00,(15197052.422),1s,2S,1/2,5p,2P*,1/2,,T7771,L2560c7,
Mg,12,0.67365,0.673775101,0.000000003,60g*,1.4138e+12,AA,0.00,(14841747.628),1s,2S,1/2,4p,2P*,3/2,,T7771,L2560c7,
Mg,12,0.67365,0.673818380,0.000000003,30g*,1.4116e+12,AA,0.00,(14840794.33),1s,2S,1/2,4p,2P*,1/2,,T7771,L2560c7,
Mg,11,,0.71037,0.00010,10g,1.40e+11,A+,0.0,(14077196),1s2,1S,0,1s.10p,1P*,1,,"T5231c4,T5072",,
Mg,12,0.71068,0.710576767,0.000000004,200g*,3.4672e+12,AA,0.00,(14073074.80),1s,2S,1/2,3p,2P*,3/2,,T7771,L2560c7,
