element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Mn,16,1.1853,0.0010,1.1850*,0.0014,2,,,0,8439000,2s2.2p6,1S,0,2s2.2p5.6d,1P*,1,,,L1476,
Mn,16,1.1971,0.0010,1.1970*,0.0014,1,,,0,8354000,2s2.2p6,1S,0,2s2.2p5.6d,3D*,1,,,L1476,
Mn,16,1.2373,0.0010,1.2370*,0.0015,2,,,0,8084000,2s2.2p6,1S,0,2s2.2p5.5d,1P*,1,,,L1476,
Mn,16,1.2510,0.0010,1.2509*,0.0016,5,,,0,7994000,2s2.2p6,1S,0,2s2.2p5.5d,3D*,1,,,L1476,
Mn,16,1.4098,0.0010,1.4100*,0.0020,3,,,0,7092000,2s2.2p6,1S,0,2s2.2p5.(2P*<3/2>).4s,"(3/2,1/2)*",1,,,L1476,
Mn,18,1.4698,0.0010,1.46981*,0.00022,2,,,0,6803600,2s2.2p4,3P,2,2s2.2p3.(2P*).3d,3D*,3,,,L2563,
Mn,18,1.4752,0.0010,1.47521*,0.00022,4,,,0,6778700,2s2.2p4,3P,2,2s2.2p3.(2P*).3d,3P*,2,,,L2563,
Mn,18,1.4877,0.0010,1.48770*,0.00022,7,1.6e+13,D,0,6721800,2s2.2p4,3P,2,2s2.2p3.(2D*).3d,3D*,3,,T4919,L2563,
Mn,18,1.5238,0.0010,1.52381*,0.00023,2,5.6e+12,D,0,6562500,2s2.2p4,3P,2,2s2.2p3.(4S*).3d,3D*,3,,T4919,L2563,
Mn,18,1.5403,0.0010,1.54031*,0.00024,2,,,73590,6565800?,2s2.2p4,3P,1,2s2.2p3.(4S*).3d,3D*,2,,,L2563,
Mn,17,1.5404,0.0010,1.54040*,0.00024,4,1.2e+12,D,0,6491800,2s2.2p5,2P*,3/2,2s2.2p4.(1S).3d,2D,5/2,,T4764,L2181,
Mn,17,1.5570,0.0010,1.5570*,0.0003,5,1.1e+13,D,85500,6508100,2s2.2p5,2P*,1/2,2s2.2p4.(1S).3d,2D,3/2,,T4764,L2181,
Mn,17,1.5615,0.0010,1.56148*,0.00024,3,3.3e+12,E,0,6404200,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2D,3/2,,T4764,L2181,
Mn,17,1.5670,0.0010,1.56701*,0.00025,10,,,0,6381600,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2D,5/2,,,L2181,
Mn,17,1.5732,0.0010,1.57317*,0.00025,5,1.3e+13,D,0,6356600,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2S,1/2,,T4764,L2181,
Mn,17,1.5826,0.0010,1.5826*,0.0004,6,1.3e+13,E,85500,6404200,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3d,2D,3/2,,T4764,L2181,
Mn,17,1.5871,0.0010,1.5871*,0.0003,7,,,0,6300800,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,2D,5/2,,,L2181,
Mn,17,1.5889,0.0010,1.5889*,0.0004,2,2.5e+12,E,85500,6379200,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3d,2P,3/2,,T4764,L2181,
Mn,17,1.5926,0.0010,1.593*,0.003,2,,,0,6279000,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,2F,5/2,,,L2181,
Mn,17,1.5946,0.0010,1.5946*,0.0004,1,2.3e+12,D,85500,6356600,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3d,2S,1/2,,T4764,L2181,
Mn,17,1.5958,0.0010,1.5958*,0.0003,1,,,0,6266400,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,2D,3/2,,,L2181,
Mn,17,1.5987,0.0010,1.5987*,0.0003,1,,,0,6255100,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,4P,5/2,,,L2181,
Mn,17,1.6041,0.0010,1.604*,0.003,6,,,0,6234000,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,4F,5/2,,,L2181,
Mn,17,1.6054,0.0010,1.6054*,0.0003,5,,,0,6228900,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,4P,3/2,,,L2181,
Mn,17,1.6090,0.0010,1.609*,0.003,5,,,0,6215000,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,4P,1/2,,,L2181,
Mn,18,1.6185,0.0010,1.6185*,0.0003,6bl,9.5e+11,C,0,6178600,2s2.2p4,3P,2,2s2.2p3.(2D*).3s,3D*,3,,T4919,L2183,
Mn,18,1.6255,0.0010,1.6255*,0.0003,5,8.1e+11,D,0,6152100,2s2.2p4,3P,2,2s2.2p3.(2D*).3s,3D*,2,,T4919,L2183,
Mn,17,1.6278,0.0010,1.6278*,0.0004,2,,,85500,6228900,2s2.2p5,2P*,1/2,2s2.2p4.(3P).3d,4P,3/2,,,L2181,
Mn,18,1.6425,0.0010,1.6425*,0.0003,3,1.8e+11,D,66560,6154800,2s2.2p4,3P,0,2s2.2p3.(2D*).3s,3D*,1,,T4919,L2183,
