element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Mo,33,0.309,0.010,0.309*,0.010,1,,,0,32400000,2s2.2p6,1S,0,2s2.2p5.7d,1P*,1,,,L4333,
Mo,33,0.318,0.010,0.318*,0.010,1,,,0,31400000,2s2.2p6,1S,0,2s2.2p5.6d,1P*,1,,,L4333,
Mo,33,0.326,0.010,0.326*,0.011,2,,,0,30700000,2s2.2p6,1S,0,2s2.2p5.6d,3D*,1,,,L4333,
Mo,33,0.332,0.010,0.332*,0.011,2,,,0,30100000,2s2.2p6,1S,0,2s2.2p5.5d,1P*,1,,,L4333,
Mo,33,0.342,0.010,0.342*,0.012,4,,,0,29200000,2s2.2p6,1S,0,2s2.2p5.5d,3D*,1,,,L4333,
Mo,33,0.3636,0.0010,0.364*,0.013,7,,,0,27500000,2s2.2p6,1S,0,2s2.2p5.4d,1P*,1,,,L3863,
Mo,33,0.3684,0.0010,0.3685*,0.0014,12,,,0,27140000,2s2.2p6,1S,0,2s2.2p5.4d,3D*,1,,,L3863,
Mo,33,0.3763,0.0010,0.3764*,0.0014,1,,,0,26570000,2s2.2p6,1S,0,2s2.2p5.4s,1P*,1,,,L3863,
Mo,33,0.3809,0.0010,0.3810*,0.0015,2,,,0,26250000,2s2.2p6,1S,0,2s2.2p5.4s,3P*,1,,,L3863,
Mo,33,0.44184,0.00010,0.44183*,0.00020,4,,,0,22633000,2s2.2p6,1S,0,2s.2p6.3p,1P*,1,,,L10374,
Mo,33,0.44653,0.00010,0.44653*,0.00020,5,,,0,22395000,2s2.2p6,1S,0,2s.2p6.3p,3P*,1,,,L10374,
Mo,33,0.46325,0.00010,0.46324*,0.00021,8,,,0,21587000,2s2.2p6,1S,0,2s2.2p5.3d,1P*,1,,,L10374,
Mo,33,0.48044,0.00010,0.48045*,0.00023,10,,,0,20814000,2s2.2p6,1S,0,2s2.2p5.3d,3D*,1,,,L10374,
Mo,33,0.48516,0.00010,0.48515*,0.00024,7,,,0,20612000,2s2.2p6,1S,0,2s2.2p5.3d,3P*,1,,,L4850,
Mo,33,0.49828,0.00010,0.49828*,0.00025,6,,,0,20069000,2s2.2p6,1S,0,2s2.2p5.3s,1P*,1,,,L10374,
Mo,33,0.52069,0.00010,0.5207*,0.0003,9,,,0,19205000,2s2.2p6,1S,0,2s2.2p5.3s,3P*,1,,,L10374,
Mo,32,1.0197,0.0010,1.01970*,0.00010,2,,,1524931,11331700,2p6.3d,2D,3/2,2p6.6f,2F*,5/2,,,L4257,
