element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,5,16.6947,16.6946,52*,6.57e+09,A,80721.9,679717.6,1s2.2p,2P*,3/2,1s2.5d,2D,5/2,,T5118LS,L3543,
N,5,16.6947,16.6947,52*,1.10e+09,A,80721.9,[679712.7],1s2.2p,2P*,3/2,1s2.5d,2D,3/2,,T5118LS,L3543,
N,4,18.175,18.1741,400,2.80e+09,B,0.0,550232.6,1s2.2s2,1S,0,1s2.2s.5p,1P*,1,,T5633,L1356,
N,5,18.6069,18.6063,52,1.18e+10,A,80463.2,617916.3,1s2.2p,2P*,1/2,1s2.4d,2D,3/2,,T5118LS,L3543,
N,5,18.6153,18.6149,62*,1.42e+10,A,80721.9,617925.5,1s2.2p,2P*,3/2,1s2.4d,2D,5/2,,T5118LS,L3543,
N,5,18.6153,18.6152,62*,2.36e+09,A,80721.9,617916.3,1s2.2p,2P*,3/2,1s2.4d,2D,3/2,,T5118LS,L3543,
N,4,19.17,19.1702,400,1.95e+09,B,67416.3,589059.3,1s2.2s.2p,3P*,2,1s2.2p.(2P*).4p,3P,2,,T5633LS,L1356,
N,4,19.29,19.2908,400,4.91e+08,C+,67416.3,585798.1,1s2.2s.2p,3P*,2,1s2.2p.(2P*).4p,3D,2,,T5633LS,L1356,
N,4,19.687,19.6866,500*,2.52e+08,C+,175732.9,683692.6,1s2.2p2,3P,2,1s2.2p.(2P*).9d,3D*,2,,"T5600c20,LS",L1356,
N,4,19.687,19.6866,500*,2.80e+07,D,175732.9,683692.6,1s2.2p2,3P,2,1s2.2p.(2P*).9d,3D*,1,,"T5600c20,LS",L1356,
N,4,19.687,19.6866,500*,1.01e+09,B,175732.9,683692.6,1s2.2p2,3P,2,1s2.2p.(2P*).9d,3D*,3,,T5600c20,L1356,
N,4,19.723,19.7228,500,6.01e+09,B,0.0,507027.9,1s2.2s2,1S,0,1s2.2s.4p,1P*,1,,T5633,L1356,
N,4,20.260,20.2595,500*,5.49e+08,B,175732.9,669328.5,1s2.2p2,3P,2,1s2.2p.(2P*).7d,3D*,2,,T5633LS,L1356,
N,4,20.260,20.2595,500*,6.10e+07,D,175732.9,669328.5,1s2.2p2,3P,2,1s2.2p.(2P*).7d,3D*,1,,T5633LS,L1356,
N,4,20.260,20.2595,500*,2.20e+09,B,175732.9,669328.5,1s2.2p2,3P,2,1s2.2p.(2P*).7d,3D*,3,,T5633LS,L1356,
N,4,20.594,20.5939,500,2.77e+09,B,67209.2,552789.6,1s2.2s.2p,3P*,0,1s2.2s.5d,3D,1,,T5633LS,L1356,
N,4,20.597,20.5966,500*,2.08e+09,B,67272.3,552789.6,1s2.2s.2p,3P*,1,1s2.2s.5d,3D,1,,T5633LS,L1356,
N,4,20.597,20.5966,500*,3.74e+09,B,67272.3,552789.6,1s2.2s.2p,3P*,1,1s2.2s.5d,3D,2,,T5633LS,L1356,
N,4,20.603,20.6026,500*,4.98e+09,B,67416.3,552790.9,1s2.2s.2p,3P*,2,1s2.2s.5d,3D,3,,T5633LS,L1356,
N,4,20.603,20.6027,500*,1.38e+08,C,67416.3,552789.6,1s2.2s.2p,3P*,2,1s2.2s.5d,3D,1,,T5633LS,L1356,
N,4,20.603,20.6027,500*,1.24e+09,B,67416.3,552789.6,1s2.2s.2p,3P*,2,1s2.2s.5d,3D,2,,T5633LS,L1356,
N,5,20.9303,20.9308,90,1.21e+10,A,0.0,477765.7,1s2.2s,2S,1/2,1s2.3p,2P*,1/2,,T5118LS,L3492,
N,4,21.720,21.7218,500,3.70e+09,B,130693.9,591060.9,1s2.2s.2p,1P*,1,1s2.2p.(2P*<3/2>).4p,1D,2,,T5633,L1356,
N,4,21.790,,500bl,,,,,,,,,,,,,L1356,
N,4,22.34,,500bl,,,,,,,,,,,,,L1356,
N,4,22.512,22.5108,800w,5.57e+09,B,67209.2,511440,1s2.2s.2p,3P*,0,1s2.2s.4d,3D,1,,T5633LS,L1356,
N,4,22.521,22.5209,800*,1.00e+10,B,67416.3,511448.0,1s2.2s.2p,3P*,2,1s2.2s.4d,3D,3,,T5633LS,L1356,
N,4,22.521,22.5210,800*,2.50e+09,B,67416.3,511446,1s2.2s.2p,3P*,2,1s2.2s.4d,3D,2,,T5633LS,L1356,
N,4,22.521,22.5213,800*,2.78e+08,C+,67416.3,511440,1s2.2s.2p,3P*,2,1s2.2s.4d,3D,1,,T5633LS,L1356,
N,4,23.412,23.4121,600w,1.19e+09,B,67272.3,494402.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*).3p,3P,2,,T5633LS,L1356,
N,4,23.420,23.4200,600w*,3.57e+09,B,67416.3,494402.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*).3p,3P,2,,T5633LS,L1356,
