element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Na,9,4.4725,0.0010,4.47249,0.00020,10D*,1.22e+10,C+,0,2235890,1s2.2s,2S,1/2,1s2.7p,2P*,1/2,,"T5118c64,LS",L7429,
Na,9,4.4725,0.0010,4.47249,0.00020,10D*,1.23e+10,C+,0,2235890,1s2.2s,2S,1/2,1s2.7p,2P*,3/2,,"T5118c64,LS",L7429,
Na,9,4.6090,0.0010,4.60900,0.00021,100D*,1.95e+10,B+,0,2169670,1s2.2s,2S,1/2,1s2.6p,2P*,1/2,,"T5118c64,LS",L7429,
Na,9,4.6090,0.0010,4.60900,0.00021,100D*,1.95e+10,B+,0,2169670,1s2.2s,2S,1/2,1s2.6p,2P*,3/2,,"T5118c64,LS",L7429,
Na,9,4.7776,0.0010,4.77761,0.00023,10,1.87e+10,B,144062,2237160,1s2.2p,2P*,1/2,1s2.7d,2D,3/2,,"T5118c64,LS",L7429,
Na,9,4.7836,0.0010,4.78359,0.00023,100D*,2.23e+10,B,146688,2237170,1s2.2p,2P*,3/2,1s2.7d,2D,5/2,,"T5118c64,LS",L7429,
Na,9,4.7836,0.0010,4.78361,0.00023,100D*,3.70e+09,C+,146688,2237160,1s2.2p,2P*,3/2,1s2.7d,2D,3/2,,"T5118c64,LS",L7429,
Na,9,4.8553,0.0010,4.85531,0.00024,200D*,3.37e+10,B+,0,2059600,1s2.2s,2S,1/2,1s2.5p,2P*,1/2,,"T5118c64,T5593",L7429,
Na,9,4.8553,0.0010,4.85531,0.00024,200D*,3.36e+10,A,0,2059600,1s2.2s,2S,1/2,1s2.5p,2P*,3/2,,"T5118c64,T5593",L7429,
Na,9,4.9326,0.0010,4.93260,0.00024,100,3.04e+10,B+,144062,2171390,1s2.2p,2P*,1/2,1s2.6d,2D,3/2,,"T5118c64,LS",L7429,
Na,9,4.9386,0.0010,4.93861,0.00024,200D*,3.65e+10,B+,146688,2171550,1s2.2p,2P*,3/2,1s2.6d,2D,5/2,,"T5118c64,LS",L7429,
Na,9,4.9386,0.0010,4.93900,0.00024,200D*,6.07e+09,B+,146688,2171390,1s2.2p,2P*,3/2,1s2.6d,2D,3/2,,"T5118c64,LS",L7429,
Na,8,5.1316,0.0010,5.1316,0.0003,10,,,128219,2076930?,1s2.2s.2p,3P*,2,1s2.2p.6p,3D?,3,,,L7429,
Na,8,5.1789,0.0010,5.1789,0.0003,10,,,0,1930910,1s2.2s2,1S,0,1s2.2s.6p,1P*,1,,,L7429,
