element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Nb,4,40.1374,0.0005,40.13764,0.00004,1,4.8e+08,D+,2345.35,251488.07,4d2,3F,4,4d.6f,3G*,5,,T2192,L12094,
Nb,4,40.2659,0.0005,40.26620,0.00003,2,2.7e+08,D,1086.91,249434.14,4d2,3F,3,4d.6f,1G*,4,,T2192,L12094,
Nb,4,40.3151,0.0005,40.31537,0.00004,2,2.5e+08,D,2345.35,250389.69,4d2,3F,4,4d.6f,3H*,5,,T2192,L12094,
Nb,4,40.7725,0.0005,40.7728,0.0003,3,2.9e+08,D,8369.14,253630.7,4d2,1D,2,5s.4f,1F*,3,,T2192,L12094,
Nb,4,41.6409,0.0005,41.64124,0.00004,15,3.3e+09,C,13803.54,253950.09,4d2,1G,4,4d.6f,1H*,5,,T2192,L12094,
Nb,4,42.2679,0.0005,42.26790,0.00004,2,2.3e+08,D+,13803.54,250389.69,4d2,1G,4,4d.6f,3H*,5,,T2192,L12094,
Nb,4,42.7577,0.0005,42.75772,0.00023,1,8.e+07,E,1086.91,234962.8,4d2,3F,3,4d.(2D<5/2>).7p,2[5/2]*,3,,T2192,L12094,
Nb,4,42.8539,0.0005,42.85380,0.00025,2,5.e+07,E,2345.35,235696.9,4d2,3F,4,4d.(2D<5/2>).7p,2[7/2]*,3,,T2192,L12094,
Nb,4,42.8768,0.0005,42.87692,0.00006,5,9.e+07,E,2345.35,235571.05,4d2,3F,4,4d.(2D<5/2>).7p,2[7/2]*,4,,T2192,L12094,
Nb,4,42.9890,0.0005,42.98904,0.00024,5,2.1e+08,D,2345.35,234962.8,4d2,3F,4,4d.(2D<5/2>).7p,2[5/2]*,3,,T2192,L12094,
Nb,4,43.8057,0.0005,43.80676,0.00004,1,8.e+07,E,0.00,228275.29,4d2,3F,2,4d.5f,3D*,3,,T2192,L12094,
Nb,4,43.8282,0.0005,43.82710,0.00005,1,1.0e+08,E,1086.91,229256.26,4d2,3F,3,4d.5f,3P*,2,,T2192,L12094,
Nb,4,44.0155,0.0005,44.01634,0.00004,2,1.2e+08,D,1086.91,228275.29,4d2,3F,3,4d.5f,3D*,3,,T2192,L12094,
Nb,4,44.0521,0.0005,44.05196,0.00006,1,7.e+07,E,2345.35,229350.03,4d2,3F,4,4d.5f,1F*,3,,T2192,L12094,
Nb,4,44.0701,0.0005,44.07015,0.00006,2,2.5e+08,D,1086.91,227997.87,4d2,3F,3,4d.5f,3D*,2,,T2192,L12094,
Nb,4,44.1067,0.0005,44.10725,0.00005,2,1.2e+08,E,0.00,226720.10,4d2,3F,2,4d.5f,1D*,2,,T2192,L12094,
Nb,4,44.1692,0.0005,44.16811,0.00004,70,1.7e+09,D+,0.00,226407.69,4d2,3F,2,4d.5f,3G*,3,,T2192,L12094,
Nb,4,44.1705,0.0005,44.17021,0.00004,130,2.2e+09,D+,1086.91,227483.82,4d2,3F,3,4d.5f,3G*,4,,T2192,L12094,
Nb,4,44.2612,0.0005,44.26151,0.00006,3,3.2e+08,D+,2345.35,228275.29,4d2,3F,4,4d.5f,3D*,3,,T2192,L12094,
Nb,4,44.3076,0.0005,44.30767,0.00004,3,2.2e+08,D,1086.91,226781.46,4d2,3F,3,4d.5f,3F*,4,,T2192,L12094,
Nb,4,44.3143,0.0005,44.31456,0.00005,45,1.5e+09,D+,0.00,225659.45,4d2,3F,2,4d.5f,3F*,3,,T2192,L12094,
Nb,4,44.3377,0.0005,44.33798,0.00006,150,3.4e+09,C,2345.35,227885.64,4d2,3F,4,4d.5f,3G*,5,,T2192,L12094,
Nb,4,44.3715,0.0005,44.37189,0.00005,13,8.e+08,D+,0.00,225367.89,4d2,3F,2,4d.5f,3F*,2,,T2192,L12094,
Nb,4,44.3806,0.0005,44.38117,0.00004,13,8.e+08,D+,1086.91,226407.69,4d2,3F,3,4d.5f,3G*,3,,T2192,L12094,
Nb,4,44.4166,0.0005,44.41711,0.00006,15,6.4e+08,D+,2345.35,227483.82,4d2,3F,4,4d.5f,3G*,4,,T2192,L12094,
Nb,4,44.5239,0.0005,44.52381,0.00005,25,8.e+08,D+,1086.91,225685.84,4d2,3F,3,4d.5f,3H*,4,,T2192,L12094,
Nb,4,44.5284,0.0005,44.52904,0.00005,4,2.2e+08,D,1086.91,225659.45,4d2,3F,3,4d.5f,3F*,3,,T2192,L12094,
Nb,4,44.5558,0.0005,44.55611,0.00006,12,4.1e+08,D+,2345.35,226781.46,4d2,3F,4,4d.5f,3F*,4,,T2192,L12094,
Nb,4,44.6584,0.0021,44.65842,0.00004,35c*,3.8e+08,D+,1086.91,225008.83,4d2,3F,3,4d.5f,1G*,4,,T2192,L12094,
Nb,4,44.6584,0.0021,44.65907,0.00006,35c*,4.3e+08,D+,2345.35,226264.03,4d2,3F,4,4d.5f,3H*,5,,T2192,L12094,
Nb,4,44.7873,0.0005,44.78768,0.00006,1,3.5e+08,D,8369.14,231644.82,4d2,1D,2,4d.5f,1P*,1,,T2192,L12094,
Nb,4,44.9110,0.0005,44.91082,0.00006,1,7.e+07,E,2345.35,225008.83,4d2,3F,4,4d.5f,1G*,4,,T2192,L12094,
Nb,4,45.0670,0.0005,45.0667,0.0003,1,2.3e+08,D,13803.54,235696.9,4d2,1G,4,4d.(2D<5/2>).7p,2[7/2]*,3,,T2192,L12094,
Nb,4,45.2142,0.0005,45.21389,0.00005,1,2.1e+08,E,8369.14,229540.13,4d2,1D,2,4d.5f,3P*,1,,T2192,L12094,
Nb,4,45.2526,0.0005,45.25278,0.00004,35,1.5e+09,D+,8369.14,229350.03,4d2,1D,2,4d.5f,1F*,3,,T2192,L12094,
Nb,4,45.3461,0.0005,45.34641,0.00005,1,1.6e+08,E,11120.18,231644.82,4d2,3P,2,4d.5f,1P*,1,,T2192,L12094,
Nb,4,45.4737,0.0005,45.47394,0.00004,30,1.6e+09,D+,8369.14,228275.29,4d2,1D,2,4d.5f,3D*,3,,T2192,L12094,
Nb,4,45.5370,0.0005,45.53703,0.00006,2,2.3e+09,D+,10124.99,229726.47,4d2,3P,1,4d.5f,3P*,0,,T2192,L12094,
Nb,4,45.5755,0.0005,45.57571,0.00006,5,1.2e+09,D+,10124.99,229540.13,4d2,3P,1,4d.5f,3P*,1,,T2192,L12094,
Nb,4,45.7979,0.0005,45.79783,0.00005,10,9.e+08,D+,8369.14,226720.10,4d2,1D,2,4d.5f,1D*,2,,T2192,L12094,
Nb,4,45.8231,0.0005,45.82325,0.00004,35,2.0e+09,D+,11120.18,229350.03,4d2,3P,2,4d.5f,1F*,3,,T2192,L12094,
Nb,4,45.8434,0.0005,45.84294,0.00005,20,2.2e+09,D+,11120.18,229256.26,4d2,3P,2,4d.5f,3P*,2,,T2192,L12094,
Nb,4,45.8452,0.0005,45.84519,0.00006,200,7.8e+09,C+,13803.54,231928.95,4d2,1G,4,4d.5f,1H*,5,,T2192,L12094,
Nb,4,45.8495,0.0005,45.84939,0.00007,12,2.0e+09,D+,9693.66,227799.09,4d2,3P,0,4d.5f,3D*,1,,T2192,L12094,
