element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Nd,1,276.498,,75,,,,,,,,,,,,,L3475,
Nd,1,278.579,,60,,,,,,,,,,,,,L3475,
Nd,2,296.288,296.28637+,55,,,4512.495,38253.770,4f4.(5I).6s,4I,13/2,,*,11/2,,,L3475,
Nd,2,296.358,,65,,,,,,,,,,,,,L3475,
Nd,2,299.320,299.31812+,80,,,513.330,33912.860,4f4.(5I).6s,6I,9/2,,*,11/2,,,L3475,
Nd,2,300.797,300.79720+,95,,,10091.360,43326.665,4f3.(4I*).5d (5K*).6s,6K*,9/2,4f3.5d.6p,,7/2,,,L3475,
Nd,2,301.419,301.41655+,95,,,1650.205,34817.220,4f4.(5I).6s,4I,9/2,,*,7/2,,,L3475,
Nd,2,301.835,301.83319+,95,,,10091.360,43212.595,4f3.(4I*).5d (5K*).6s,6K*,9/2,4f3.6s.6p,6I,7/2,,,L3475,
Nd,2,302.647,302.64784+,80,,,11087.765,44119.850,4f3.(4I*).5d2.(3F),6L*,11/2,4f3.6s.6p,6I,9/2,,,L3475,
Nd,2,303.898,303.90460+,50,,,10091.360,42986.850,4f3.(4I*).5d (5K*).6s,6K*,9/2,4f3.5d.6p,,11/2,,,L3475,
Nd,2,305.111,305.10460+,50,,,5487.655,38253.770,4f4.(5I).5d,6L,13/2,,*,11/2,,,L3475,
Nd,2,305.215,,80,,,,,,,,,,,,,L3475,
Nd,2,305.671,,140,,,,,,,,,,,,,L3475,
Nd,2,306.973,,130,,,,,,,,,,,,,L3475,
Nd,2,307.143,,65D*,,,,,,,,,,,,,L3475,
Nd,2,307.150,,65D*,,,,,,,,,,,,,L3475,
Nd,2,307.538,,160,,,,,,,,,,,,,L3475,
Nd,2,307.938,307.93638+,95,,,12118.405,44583.215,4f3.(4I*).5d (5K*).6s,6K*,13/2,4f3.6s.6p,6K,13/2,,,L3475,
Nd,2,308.094,,95,,,,,,,,,,,,,L3475,
Nd,2,309.292,309.29390+,240,,,1470.105,33792.430,4f4.(5I).6s,6I,11/2,,*,11/2,,,L3475,
Nd,2,309.848,309.84608+,140,,,3066.755,35331.480,4f4.(5I).6s,4I,11/2,,*,9/2,,,L3475,
Nd,2,309.952,309.95171+,55,,,0.000,32253.730,4f4.(5I).6s,6I,7/2,,*,9/2,,,L3475,
Nd,2,310.543,310.54068+,130,,,10794.290,42986.850,4f3.(4I*).5d (5K*).6s,6L*,13/2,4f3.5d.6p,,11/2,,,L3475,
Nd,2,310.618,310.61652+,95,,,13616.680,45801.380,4f3.(4I*).5d (5K*).6s,6K*,15/2,4f3.5d.6p,,15/2,,,L3475,
