element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ne,8,1.1905,0.0005,1.1903,0.0005,900bl*,,,0.0,8401000?,1s2.2s,2S,1/2,1s.2s.(3S).3p,2P*,,,,L9090,
Ne,8,1.1905,0.0005,1.1905,0.0005,900bl*,,,128151.9,8528000?,1s2.2p,2P*,1/2,1s.2p.(3P*).3p,2S,1/2,,,L9090,
Ne,8,1.1905,0.0005,1.1907,0.0005,900bl*,,,129801.2,8528000?,1s2.2p,2P*,3/2,1s.2p.(3P*).3p,2S,1/2,,,L9090,
Ne,8,1.1905,0.0005,1.19119,0.00023,900bl*,,,0.0,8395000,1s2.2s,2S,1/2,1s.2s.(3S).3p,4P*,,,,L9090,
Ne,8,1.1930,0.0010,1.1933,0.0010,1500bl*,,,128151.9,8508000,1s2.2p,2P*,1/2,1s.2p.(3P*).3p,2D,,,,L9090,
Ne,8,1.1930,0.0010,1.1936,0.0010,1500bl*,,,129801.2,8508000,1s2.2p,2P*,3/2,1s.2p.(3P*).3p,2D,,,,L9090,
Ne,8,1.246,0.004,1.245,0.004,600,,,7190600,15220000?,1s.2s2,2S,1/2,2s2.2p,2P*,3/2,,,L9090,
Ne,8,1.3469,0.0005,1.3470,0.0005,1200*,,,[1147347],8571000,1s2.3d,2D,3/2,1s.2p.(1P*).3d,2F*,,,,L9090,
Ne,8,1.3469,0.0005,1.3471,0.0005,1200*,,,[1147494],8571000,1s2.3d,2D,5/2,1s.2p.(1P*).3d,2F*,,,,L9090,
Ne,8,1.3488,0.0005,1.3486,0.0005,900*,,,[1134839.5],8550000,1s2.3p,2P*,1/2,1s.2p.(1P*).3p,2D,,,,L9090,
Ne,8,1.3488,0.0005,1.3487,0.0005,900*,,,[1135327.7],8550000,1s2.3p,2P*,3/2,1s.2p.(1P*).3p,2D,,,,L9090,
Ne,8,1.3533,0.0004,1.3531,0.0004,1200*,,,128151.9,7518600,1s2.2p,2P*,1/2,1s.2p2,2S,1/2,,,L9090,
Ne,8,1.3533,0.0004,1.3534,0.0004,1200*,,,129801.2,7518600,1s2.2p,2P*,3/2,1s.2p2,2S,1/2,,,L9090,
Ne,8,1.3561,0.0003,1.35663,0.00017,2600,,,0.0,7371200,1s2.2s,2S,1/2,1s.(2S).2s.2p.(1P*),2P*,,,,L9090,
Ne,8,1.3655,0.0002,1.36562,0.00020,7200,,,0.0,7322700,1s2.2s,2S,1/2,1s.(2S).2s.2p.(3P*),2P*,,,,L9090,
Ne,8,1.3685,0.0010,1.3682,0.0010,540*,,,128151.9,7437000,1s2.2p,2P*,1/2,1s.2p2,2P,,,,L9090,
Ne,8,1.3685,0.0010,1.3685,0.0010,540*,,,129801.2,7437000,1s2.2p,2P*,3/2,1s.2p2,2P,,,,L9090,
Ne,8,1.37083,0.00012,1.37076,0.00012,12000*,,,128151.9,7423400,1s2.2p,2P*,1/2,1s.2p2,2D,,,,L9090,
Ne,8,1.37083,0.00012,1.37107,0.00012,12000*,,,129801.2,7423400,1s2.2p,2P*,3/2,1s.2p2,2D,,,,L9090,
Ne,8,1.3844,0.0011,1.38217,0.00005,2400bl*,,,128151.9,7363159,1s2.2p,2P*,1/2,1s.2p2,4P,1/2,,,L9090,
Ne,8,1.3844,0.0011,1.38218,0.00005,2400bl*,,,129801.2,7364768,1s2.2p,2P*,3/2,1s.2p2,4P,5/2,,,L9090,
Ne,8,1.3844,0.0011,1.38234,0.00005,2400bl*,,,129801.2,7363903,1s2.2p,2P*,3/2,1s.2p2,4P,3/2,,,L9090,
Ne,8,1.3844,0.0011,1.38387,0.00006,2400bl*,,,0.0,7226091,1s2.2s,2S,1/2,1s.2s.2p,4P*,3/2,,,L9090,
Ne,8,1.3844,0.0011,1.38396,0.00005,2400bl*,,,0.0,7225645,1s2.2s,2S,1/2,1s.2s.2p,4P*,1/2,,,L9090,
Ne,7,1.3844,0.0011,1.3841,0.0023,80bl*,,,289330.4,7514000,1s2.2p2,3P,0,1s.2p3,3S*,1,,,L9089,
Ne,7,1.3844,0.0011,1.3842,0.0023,80bl*,,,289841.1,7514000,1s2.2p2,3P,1,1s.2p3,3S*,1,,,L9089,
Ne,7,1.3844,0.0011,1.3844,0.0021,80bl*,,,290724,7514000,1s2.2p2,3P,2,1s.2p3,3S*,1,,,L9089,
Ne,7,1.3879,0.0003,1.3879,0.0003,60,,,112702.4,7317900,1s2.2s.2p,3P*,2,1s.(2S).2s.2p2.(2D),3D,,,,L9089,
Ne,7,1.3941,0.0004,1.3941,0.0004,14,,,214951.6,7388000,1s2.2s.2p,1P*,1,1s.(2S).2s.2p2.(2D),1D,2,,,L9089,
Ne,8,1.4190,0.0010,1.41594,0.00016,900i*,,,128151.9,7190600,1s2.2p,2P*,1/2,1s.2s2,2S,1/2,,,L9090,
Ne,8,1.4190,0.0010,1.41627,0.00016,900i*,,,129801.2,7190600,1s2.2p,2P*,3/2,1s.2s2,2S,1/2,,,L9090,
Ne,8,5.381,0.002,5.38251,0.00006,40,2.56e+09,A,0.0,[1857869],1s2.2s,2S,1/2,1s2.10p,2P*,,,T7495,L9090,
Ne,8,5.431,0.002,5.43105,0.00005,140,3.52e+09,A,0.0,[1841265],1s2.2s,2S,1/2,1s2.9p,2P*,,,T7495,L9090,
Ne,8,5.501,0.002,5.50043,0.00008,260*,4.99e+09,A,0.0,[1818040.8],1s2.2s,2S,1/2,1s2.8p,2P*,3/2,,T7495,L9090,
Ne,8,5.501,0.002,5.50050,0.00008,260*,5.01e+09,A,0.0,[1818014.9],1s2.2s,2S,1/2,1s2.8p,2P*,1/2,,T7495,L9090,
Ne,8,5.6043,0.0005,5.60502,0.00008,600*,7.44e+09,A,0.0,[1784116],1s2.2s,2S,1/2,1s2.7p,2P*,3/2,,T7495,L9090,
Ne,8,5.6043,0.0005,5.60514,0.00007,600*,7.47e+09,A,0.0,[1784078],1s2.2s,2S,1/2,1s2.7p,2P*,1/2,,T7495,L9090,
Ne,8,5.7747,0.0010,5.77445,0.00008,900*,1.18e+10,A,0.0,[1731768],1s2.2s,2S,1/2,1s2.6p,2P*,3/2,,T7495,L9090,
Ne,8,5.7747,0.0010,5.77465,0.00007,900*,1.18e+10,A,0.0,[1731708],1s2.2s,2S,1/2,1s2.6p,2P*,1/2,,T7495,L9090,
Ne,8,5.8407,0.0010,5.83584,0.00006,360*,5.32e+09,A,128151.9,[1841702],1s2.2p,2P*,1/2,1s2.9d,2D,,,T7495LS,L9090,
Ne,8,5.8407,0.0010,5.84146,0.00006,360*,4.25e+09,A,129801.2,[1841702],1s2.2p,2P*,3/2,1s2.9d,2D,,,T7495LS,L9090,
Ne,8,5.919,0.002,5.91542,0.00006,600bl*,7.68e+09,A,128151.9,[1818650],1s2.2p,2P*,1/2,1s2.8d,2D,3/2,,T7495,L9090,
Ne,8,5.919,0.002,5.92117,0.00006,600bl*,9.2e+09,A,129801.2,[1818658],1s2.2p,2P*,3/2,1s2.8d,2D,5/2,,T7495,L9090,
Ne,8,6.0351,0.0010,6.03545,0.00006,440,1.17e+10,A,128151.9,[1785029],1s2.2p,2P*,1/2,1s2.7d,2D,3/2,,T7495,L9090,
Ne,8,6.0413,0.0010,6.04142,0.00007,500*,1.40e+10,A,129801.2,[1785041],1s2.2p,2P*,3/2,1s2.7d,2D,5/2,,T7495,L9090,
Ne,8,6.0413,0.0010,6.04146,0.00007,500*,2.33e+09,A,129801.2,[1785029],1s2.2p,2P*,3/2,1s2.7d,2D,3/2,,T7495,L9090,
Ne,8,6.055,0.003,6.04835,0.00008,220*,1.05e+09,A,128151.9,[1781495],1s2.2p,2P*,1/2,1s2.7s,2S,1/2,,T7495,L9090,
Ne,8,6.055,0.003,6.05439,0.00008,220*,2.12e+09,A,129801.2,[1781495],1s2.2p,2P*,3/2,1s2.7s,2S,1/2,,T7495,L9090,
