element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ni,17,3.3249,0.0010,3.3247*,0.0011,2,,,264431,3272200,3s.3p,3P*,0,3s.5d,3D,1,,,L819,
Ni,17,3.3249,0.0010,3.3247*,0.0011,2,,,264431,3272200,3s.3p,3P*,0,3s.5d,3D,2,,,L819,
Ni,17,3.3340,0.0010,3.3338*,0.0011,1,,,272634,3272200,3s.3p,3P*,1,3s.5d,3D,1,,,L819,
Ni,17,3.3340,0.0010,3.3338*,0.0011,1,,,272634,3272200,3s.3p,3P*,1,3s.5d,3D,2,,,L819,
Ni,17,3.3567,0.0010,3.3566*,0.0011,1,,,293686,3272900,3s.3p,3P*,2,3s.5d,3D,3,,,L819,
Ni,17,3.9346,0.0010,3.9346*,0.0015,1,,,771268,3312800,3s.3d,3D,1,3s.5f,3F*,2,,,L819,
Ni,17,3.9346,0.0010,3.9346*,0.0015,1,,,771268,3312800,3s.3d,3D,1,3s.5f,3F*,4,,,L819,
Ni,17,3.9346,0.0010,3.9346*,0.0015,1,,,771268,3312800,3s.3d,3D,1,3s.5f,3F*,3,,,L819,
Ni,17,3.9373,0.0010,3.9372*,0.0016,3,,,772953,3312800,3s.3d,3D,2,3s.5f,3F*,2,,,L819,
Ni,17,3.9373,0.0010,3.9372*,0.0016,3,,,772953,3312800,3s.3d,3D,2,3s.5f,3F*,4,,,L819,
Ni,17,3.9373,0.0010,3.9372*,0.0016,3,,,772953,3312800,3s.3d,3D,2,3s.5f,3F*,3,,,L819,
Ni,17,3.9415,0.0010,3.9413*,0.0016,2,,,775567,3312800,3s.3d,3D,3,3s.5f,3F*,2,,,L819,
Ni,17,3.9415,0.0010,3.9413*,0.0016,2,,,775567,3312800,3s.3d,3D,3,3s.5f,3F*,4,,,L819,
Ni,17,3.9415,0.0010,3.9413*,0.0016,2,,,775567,3312800,3s.3d,3D,3,3s.5f,3F*,3,,,L819,
Ni,17,4.4850,0.0010,4.4850*,0.0020,2,,,264431,2494100,3s.3p,3P*,0,3s.4d,3D,1,,,L819,
Ni,17,4.4995,0.0010,4.4993*,0.0020,3,,,272634,2495200,3s.3p,3P*,1,3s.4d,3D,2,,,L819,
Ni,17,4.5382,0.0010,4.5380*,0.0021,4,,,293686,2497300,3s.3p,3P*,2,3s.4d,3D,3,,,L819,
Ni,17,4.5424,0.0010,4.5423*,0.0021,2,,,293686,2495200,3s.3p,3P*,2,3s.4d,3D,2,,,L819,
Ni,17,5.2000,0.0010,5.200*,0.003,2,,,264431,2187600,3s.3p,3P*,0,3s.4s,3S,1,,,L819,
Ni,17,5.2224,0.0010,5.222*,0.003,3,,,272634,2187600,3s.3p,3P*,1,3s.4s,3S,1,,,L819,
Ni,17,5.2801,0.0010,5.280*,0.003,2,,,293686,2187600,3s.3p,3P*,2,3s.4s,3S,1,,,L819,
Ni,17,5.5136,0.0010,5.5136*,0.0003,2,,,771268,2584960,3s.3d,3D,1,3s.4f,3F*,2,,,L4434,
Ni,17,5.5186,0.0010,5.52*,0.03,3,,,772953,2585000,3s.3d,3D,2,3s.4f,3F*,3,,,L4434,
