element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
Np,1,348.193,,300,,,,,,,L3793,
Np,1,350.150,,300w,,,,,,,L3793,
Np,1,398.689,,300l,,,,,,,L3793,
Np,1,504.466,,300s,,,,,,,L3793,
Np,1,560.170,,300l,,,,,,,L3793,
Np,1,565.275,,300l,,,,,,,L3793,
Np,1,578.439,,300l,,,,,,,L3793,
Np,1,587.804,,300l,,,,,,,L3793,
Np,1,601.122,,300s,,,,,,,L3793,
Np,1,605.609,,300,,,,,,,L3793,
Np,1,607.390,,300s,,,,,,,L3793,
Np,1,608.005,,300s,,,,,,,L3793,
Np,1,612.049,,300l,,,,,,,L3793,
Np,1,618.859,,300,,,,,,,L3793,
Np,1,620.000,,300l,,,,,,,L3793,
Np,1,621.590,,300s,,,,,,,L3793,
Np,1,631.784,,300s,,,,,,,L3793,
Np,1,634.138,,300l,,,,,,,L3793,
Np,1,656.611,,300l,,,,,,,L3793,
Np,1,672.068,,300l,,,,,,,L3793,
Np,1,675.132,,300s,,,,,,,L3793,
Np,1,679.521,,300s,,,,,,,L3793,
Np,1,680.262,,300l,,,,,,,L3793,
Np,1,680.581,,300l,,,,,,,L3793,
Np,1,681.644,,300s,,,,,,,L3793,
Np,1,686.545,,300l,,,,,,,L3793,
Np,1,690.713,,300s,,,,,,,L3793,
Np,1,691.291,,300w,,,,,,,L3793,
Np,1,693.031,,1000s,,,,,,,L3793,
Np,1,696.363,,300l,,,,,,,L3793,
Np,1,697.209,,3000s,,,,,,,L3793,
Np,1,701.402,,300,,,,,,,L3793,
Np,1,701.891,,300l,,,,,,,L3793,
Np,1,703.914,,300s,,,,,,,L3793,
Np,1,708.001,,300s,,,,,,,L3793,
Np,1,717.483,,300l,,,,,,,L3793,
Np,1,718.493,,300l,,,,,,,L3793,
Np,1,728.428,,300l,,,,,,,L3793,
Np,1,729.229,,300l,,,,,,,L3793,
Np,1,733.252,,300l,,,,,,,L3793,
Np,1,737.060,,300s,,,,,,,L3793,
Np,1,738.103,,300l,,,,,,,L3793,
Np,1,738.165,,300l,,,,,,,L3793,
Np,1,740.270,,300l,,,,,,,L3793,
Np,1,751.222,,300s,,,,,,,L3793,
Np,1,751.515,,300l,,,,,,,L3793,
Np,1,754.605,,300l,,,,,,,L3793,
Np,1,762.483,,300l,,,,,,,L3793,
Np,1,762.685,,300,,,,,,,L3793,
Np,1,768.101,,300s,,,,,,,L3793,
Np,1,768.525,,300s,,,,,,,L3793,
Np,1,773.514,,1000l,,,,,,,L3793,
Np,1,776.161,,300l,,,,,,,L3793,
Np,1,776.575,,1000l,,,,,,,L3793,
Np,1,777.607,,300s,,,,,,,L3793,
Np,1,778.746,,300,,,,,,,L3793,
Np,1,779.138,,1000l,,,,,,,L3793,
Np,1,785.144,,300l,,,,,,,L3793,
Np,1,788.788,,300l,,,,,,,L3793,
Np,1,790.171,,300l,,,,,,,L3793,
Np,1,797.598,,300l,,,,,,,L3793,
Np,1,808.032,,300w,,,,,,,L3793,
Np,1,812.459,,300s,,,,,,,L3793,
Np,1,815.511,,300,,,,,,,L3793,
Np,1,816.742,,300l,,,,,,,L3793,
Np,1,818.306,,300l,,,,,,,L3793,
Np,1,818.861,,300l,,,,,,,L3793,
Np,1,824.782,,300l,,,,,,,L3793,
Np,1,828.711,,300l,,,,,,,L3793,
Np,1,828.775,,300s,,,,,,,L3793,
Np,1,830.622,,300l,,,,,,,L3793,
Np,1,831.366,,300s,,,,,,,L3793,
Np,1,833.912,,1000l,,,,,,,L3793,
Np,1,835.679,,300,,,,,,,L3793,
Np,1,836.711,,300l,,,,,,,L3793,
Np,1,837.288,,3000,,,,,,,L3793,
Np,1,852.996,,3000,,,,,,,L3793,
Np,1,869.623,,1000s,,,,,,,L3793,
Np,1,890.602,,1000s,,,,,,,L3793,
Np,1,894.270,,1000,,,,,,,L3793,
Np,1,900.475,,1000s,,,,,,,L3793,
Np,1,900.631,,1000l,,,,,,,L3793,
Np,1,901.618,,10000l,,,,,,,L3793,
Np,1,914.130,,3000l,,,,,,,L3793,
Np,1,937.933,,3000s,,,,,,,L3793,
Np,1,946.866,,3000l,,,,,,,L3793,
Np,1,967.913,,3000s,,,,,,,L3793,
Np,1,993.055,,3000l,,,,,,,L3793,
Np,1,1009.199,,10000l,,,,,,,L3793,
Np,1,1081.745,,10000s,,,,,,,L3793,
Np,1,1169.515,,10000l,,,,,,,L3793,
Np,1,1177.664,,10000l,,,,,,,L3793,
Np,1,1214.818,,10000s,,,,,,,L3793,
Np,1,1237.742,,10000s,,,,,,,L3793,
Np,1,1240.799,,10000l,,,,,,,L3793,
Np,1,1383.433,,10000l,,,,,,,L3793,

