element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,5,12.4616,12.4616,80,7.15e+09,B,0.0,802466.0,1s2.2s2,1S,0,1s2.2s.5p,1P*,1,,T5633,L552,
O,5,13.5523,13.5523,110,9.42e+09,B,0.0,737880.8,1s2.2s2,1S,0,1s2.2s.4p,1P*,1,,T5633,L552,
O,5,13.8109,13.8109,80*,1.12e+10,B,82385.3,806451.4,1s2.2s.2p,3P*,2,1s2.2s.5d,3D,3,,T5633LS,L552,
O,5,13.8109,13.8110,80*,2.81e+09,B,82385.3,806448.4,1s2.2s.2p,3P*,2,1s2.2s.5d,3D,2,,T5633LS,L552,
O,5,13.8109,13.8110,80*,3.12e+08,C,82385.3,806446.4,1s2.2s.2p,3P*,2,1s2.2s.5d,3D,1,,T5633LS,L552,
O,5,13.9029,13.9029,110,5.13e+09,B,0.0,719274.9,1s2.2s2,1S,0,1s2.2p.(2P*<3/2>).3d,1P*,1,,"T5633,T3843",L552,
O,5,15.1447,15.1447,80,1.26e+10,B,81942.5,742239.4,1s2.2s.2p,3P*,0,1s2.2s.4d,3D,1,,T5633LS,L552,
O,5,15.1477,15.1477,110*,1.70e+10,B,82078.6,742244.1,1s2.2s.2p,3P*,1,1s2.2s.4d,3D,2,,T5633LS,L552,
O,5,15.1477,15.1478,110*,9.47e+09,B,82078.6,742239.4,1s2.2s.2p,3P*,1,1s2.2s.4d,3D,1,,T5633LS,L552,
O,5,15.1546,15.1547,150*,2.27e+10,B,82385.3,742248.6,1s2.2s.2p,3P*,2,1s2.2s.4d,3D,3,,T5633LS,L552,
O,5,15.1546,15.1548,150*,5.67e+09,B,82385.3,742244.1,1s2.2s.2p,3P*,2,1s2.2s.4d,3D,2,,T5633LS,L552,
O,5,15.1546,15.1549,150*,6.30e+08,C+,82385.3,742239.4,1s2.2s.2p,3P*,2,1s2.2s.4d,3D,1,,T5633LS,L552,
O,5,16.4574,16.4574,80,3.14e+09,B,82078.6,689708.5,1s2.2s.2p,3P*,1,1s2.2p.(2P*<3/2>).3p,3P,2,,T3843n,L552,
O,5,16.4657,16.4657,110*,1.29e+10,B,82078.6,689403.5,1s2.2s.2p,3P*,1,1s2.2p.(2P*<1/2>).3p,3P,0,,T3843n,L552,
O,5,16.4657,16.4657,110*,9.77e+09,B,82385.3,689708.5,1s2.2s.2p,3P*,2,1s2.2p.(2P*<3/2>).3p,3P,2,,T3843n,L552,
O,5,16.4709,16.4709,80,5.76e+09,B,82385.3,689517.7,1s2.2s.2p,3P*,2,1s2.2p.(2P*<3/2>).3p,3P,1,,T3843n,L552,
O,5,16.6235,16.6235,80,7.97e+09,B,82385.3,683942.9,1s2.2s.2p,3P*,2,1s2.2p.(2P*<3/2>).3p,3S,1,,T3843n,L552,
O,5,16.799,16.7988,150*,7.46e+09,B,82385.3,677665.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*<3/2>).3p,3D,3,,T3843n,L552,
O,5,16.799,16.7991,150*,5.66e+09,B,82078.6,677348.5,1s2.2s.2p,3P*,1,1s2.2p.(2P*<1/2>).3p,3D,2,,T3843n,L552,
O,5,17.0219,17.0219,110,1.59e+10,B,158797.7,746274.9,1s2.2s.2p,1P*,1,1s2.2s.4d,1D,2,,T5633,L552,
O,5,17.2169,17.2169,450,2.94e+10,B,0.0,580824.9,1s2.2s2,1S,0,1s2.2s.3p,1P*,1,,"T5633,T3843",L552,
O,5,18.5745,18.5745,250,2.13e+10,B,158797.7,697170.2,1s2.2s.2p,1P*,1,1s2.2p.(2P*<3/2>).3p,1D,2,,"T5633,T3843",L552,
O,5,19.2751,19.2750,375,3.83e+10,B,81942.5,600748.9,1s2.2s.2p,3P*,0,1s2.2s.3d,3D,1,,T3843n,L552,
O,5,19.2799,19.2797,450*,5.17e+10,B,82078.6,600758.9,1s2.2s.2p,3P*,1,1s2.2s.3d,3D,2,,T3843n,L552,
O,5,19.2799,19.2801,450*,2.88e+10,B,82078.6,600748.9,1s2.2s.2p,3P*,1,1s2.2s.3d,3D,1,,T3843n,L552,
O,5,19.2906,19.2904,520,6.89e+10,B,82385.3,600779.2,1s2.2s.2p,3P*,2,1s2.2s.3d,3D,3,,T3843n,L552,
O,5,19.3003,19.3006,80,6.05e+09,B,231721.4,749840.5,1s2.2p2,1D,2,1s2.2s.4f,1F*,3,,T5633,L552,
O,5,19.4593,19.4592,200,1.73e+10,B,158797.7,672693.8,1s2.2s.2p,1P*,1,1s2.2p.(2P*<1/2>).3p,1P,1,,"T5633,T3843",L552,
O,4,19.586,19.5860,150,9.99e+09,B,0.0,510569.7,2s2.2p,2P*,1/2,2s2.4d,2D,3/2,,T5109LS,L3492,
O,4,19.601,19.6006,200*,1.20e+10,B,385.9,510574.1,2s2.2p,2P*,3/2,2s2.4d,2D,5/2,,T5109LS,L3492,
O,4,19.601,19.6008,200*,1.99e+09,B,385.9,510569.7,2s2.2p,2P*,3/2,2s2.4d,2D,3/2,,T5109LS,L3492,
O,5,20.2161,20.2158,80,1.23e+10,B,213462.5,708125.1,1s2.2p2,3P,0,1s2.2p.(2P*<3/2>).3d,3P*,1,,T3843n,L552,
O,5,20.2224,20.2222,80,1.21e+10,B,213618.2,708125.1,1s2.2p2,3P,1,1s2.2p.(2P*<3/2>).3d,3P*,1,,T3843n,L552,
O,5,20.2283,20.2281,80,8.18e+09,B,213618.2,707981.2,1s2.2p2,3P,1,1s2.2p.(2P*<3/2>).3d,3P*,2,,T3843n,L552,
O,5,20.2334,20.2332,80,1.81e+10,B,213887.0,708125.1,1s2.2p2,3P,2,1s2.2p.(2P*<3/2>).3d,3P*,1,,T3843n,L552,
O,5,20.2393,20.2391,150,3.43e+10,B,213887.0,707981.2,1s2.2p2,3P,2,1s2.2p.(2P*<3/2>).3d,3P*,2,,T3843n,L552,
O,5,20.378,20.3782,110,4.71e+10,B,213462.5,704182.0,1s2.2p2,3P,0,1s2.2p.(2P*<1/2>).3d,3D*,1,,T3843n,L3492,
O,5,20.382,20.3822,150,6.36e+10,B,213618.2,704242.0,1s2.2p2,3P,1,1s2.2p.(2P*<3/2>).3d,3D*,2,,T3843n,L3492,
O,5,20.385,20.3847,100,3.26e+10,B,213618.2,704182.0,1s2.2p2,3P,1,1s2.2p.(2P*<1/2>).3d,3D*,1,,T3843n,L3492,
O,5,20.389,20.3890,200,8.16e+10,B,213887.0,704348.0,1s2.2p2,3P,2,1s2.2p.(2P*<3/2>).3d,3D*,3,,T3843n,L3492,
O,5,20.394,20.3934,100,1.79e+10,B,213887.0,704242.0,1s2.2p2,3P,2,1s2.2p.(2P*<3/2>).3d,3D*,2,,T3843n,L3492,
