element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Os,3,95.72511,0.00050,95.72456,0.00014,8,6.89e+07,,3849.26,108315.66,5d6,5D,3,,108315*,4,,T9870,L20381,
Os,3,96.99955,0.00050,96.99971,0.00015,9,8.22e+07,,4578.41,107671.50,5d5.(6S).6s,7S,3,,107671*,4,,T9870,L20381,
Os,3,98.38342,0.00050,98.38372,0.00012,17,1.22e+08,,0.00,101642.83,5d6,5D,4,,101642*,4,,T9870,L20381,
Os,3,98.89471,0.00050,98.89477,0.00015,15,1.68e+08,,4578.41,105695.99,5d5.(6S).6s,7S,3,5d5.6p,105695*,4,,T9870,L20381,
Os,3,99.41472,0.00050,99.4148,0.0004,7,1.44e+08,,3993.38,104582.0,5d6,5D,2,,104582*,2,,T9870,L20381,
Os,3,99.62636,0.00050,99.62637,0.00018,33,2.40e+08,,3849.26,104224.29,5d6,5D,3,,104224*,3,,T9870,L20381,
Os,3,99.77029,0.00050,99.76962,0.00018,5,2.07e+08,,3993.38,104224.29,5d6,5D,2,,104224*,3,,T9870,L20381,
Os,3,100.05887,0.00050,100.05872,0.00012,8,7.67e+07,,0.00,99941.31,5d6,5D,4,,99941*,4,,T9870,L20381,
Os,3,100.85240,0.00050,100.85215,0.00015,58,1.79e+08,,4578.41,103733.46,5d5.(6S).6s,7S,3,,103733*,3,,T9870,L20381,
Os,3,101.51629,0.00050,101.51671,0.00012,22,8.78e+07,,0.00,98505.95,5d6,5D,4,5d5.6p,98505*,4,,T9870,L20381,
Os,3,101.56653,0.00050,101.5666,0.0003,759,8.72e+08,,3849.26,102306.8,5d6,5D,3,5d4.(5D).6s.(6D).6p,7P*,4,,T9870,L20381,
Os,3,101.99222,0.00050,101.99262,0.00012,20,7.44e+07,,0.00,98046.31,5d6,5D,4,,98046*,4,,T9870,L20381,
Os,3,102.20281,0.00050,102.2032,0.0003,19,1.37e+08,,3849.26,101693.6,5d6,5D,3,,101693*,3,,T9870,L20381,
Os,3,102.25551,0.00050,102.25621,0.00013,10,1.79e+08,,3849.26,101642.83,5d6,5D,3,,101642*,4,,T9870,L20381,
Os,3,102.25939,0.00050,102.25959,0.00023,13,2.12e+08,,15780.66,113571.0,5d6,3G,5,,113571*,4,,T9870,L20381,
Os,3,102.31011,0.00050,102.3095,0.0003,31,6.47e+08,,27885.00,125627.6,5d6,1I,6,5d4.6s.6p,125627*,5,,T9870,L20381,
Os,3,102.32442,0.00050,102.3244,0.0003,709,2.22e+09,,4578.41,102306.8,5d5.(6S).6s,7S,3,5d4.(5D).6s.(6D).6p,7P*,4,,T9870,L20381,
Os,3,102.34505,0.00050,102.34487,0.00020,23,1.95e+08,,16720.70,114429.55,5d6,3H,6,5d5.6p,114429*,5,,T9870,L20381,
