element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
P,5,25.559,25.5590,80,7.6e+08,D,0.00,391251.91,2p6.3s,2S,1/2,2p6.5p,2P*,3/2,,"T1619interp,LS",L2613,
P,5,25.567,25.5677,50,7.3e+08,D,0.00,391118.07,2p6.3s,2S,1/2,2p6.5p,2P*,1/2,,"T1619interp,LS",L2613,
P,4,28.2301,,90,,,,,,,,,,,,,L4144,
P,4,30.4996,,90,,,,,,,,,,,,,L4144,
P,5,31.058,,110,,,,,,,,,,,,,L2613,
P,5,31.134,,150,,,,,,,,,,,,,L2613,
P,5,32.847,32.8466,300,1.1e+09,D+,0.00,304445.28,2p6.3s,2S,1/2,2p6.4p,2P*,3/2,,"T1619interp,LS",L2613,
P,5,32.878,32.8773,250,1.1e+09,D+,0.00,304160.87,2p6.3s,2S,1/2,2p6.4p,2P*,1/2,,"T1619interp,LS",L2613,
P,5,34.723,,150,,,,,,,,,,,,,L2613,
P,5,34.820,,200,,,,,,,,,,,,,L2613,
P,4,35.9293,,120,,,,,,,,,,,,,L4144,
P,4,35.9899,,150,,,,,,,,,,,,,L4144,
P,4,36.1514,,120,,,,,,,,,,,,,L4144,
P,4,36.1629,,150,,,,,,,,,,,,,L4144,
P,4,37.1299,37.1295,120,1.1e+09,D,67918.03,337245.64,3s.3p,3P*,0,3s.5d,3D,1,,T1261LS,L4144,
P,4,37.1504,37.1501,150,1.5e+09,D,68146.48,337324.91,3s.3p,3P*,1,3s.5d,3D,2,,T1261LS,L4144,
P,4,37.2001,37.2000,200,2.0e+09,D,68615.17,337432.26,3s.3p,3P*,2,3s.5d,3D,3,,T1261LS,L4144,
P,5,37.856,,110,,,,,,,,,,,,,L2613,
P,4,38.8318,38.8315,500,1.5e+09,D,0.00,257522.66,2p6.3s2,1S,0,3s.4p,1P*,1,,T1261,L4144,
P,5,38.950,,250,,,,,,,,,,,,,L2613,
P,5,39.070,,300,,,,,,,,,,,,,L2613,
P,5,41.003,41.0031,150*,1.1e+08,C,204206.04,448090.23,2p6.3d,2D,5/2,2p6.6f,2F*,5/2,,"T1619interp,LS",L2613,
P,5,41.003,41.0031,150*,1.7e+09,C,204206.04,448090.23,2p6.3d,2D,5/2,2p6.6f,2F*,7/2,,"T1619interp,LS",L2613,
P,4,41.4604,,120,,,,,,,,,,,,,L4144,
P,4,41.4999,,200,,,,,,,,,,,,,L4144,
P,4,41.5805,,250,,,,,,,,,,,,,L4144,
P,4,44.4245,44.4245,250,5.5e+07,E,68146.48,293247.69,3s.3p,3P*,1,3s.4d,3D,2,,T1261LS,L4144,
P,4,44.5158,44.5156,300,7.5e+07,E,68615.17,293255.27,3s.3p,3P*,2,3s.4d,3D,3,,T1261LS,L4144,
P,3,47.1146,,90,,,,,,,,,,,,,L4134,
P,5,47.560,47.5598,375*,2.4e+08,C,204206.04,414467.73,2p6.3d,2D,5/2,2p6.5f,2F*,5/2,,"T1619interp,LS",L2613,
P,5,47.560,47.5598,375*,3.5e+09,C,204206.04,414467.73,2p6.3d,2D,5/2,2p6.5f,2F*,7/2,,"T1619interp,LS",L2613,
P,3,48.4278,,90,,,,,,,,,,,,,L4134,
P,3,49.8180,,120,,,,,,,,,,,,,L4134,
P,5,53.463,,110,,,,,,,,,,,,,L2613,
P,5,53.499,,80,,,,,,,,,,,,,L2613,
P,5,54.257,54.2572,520,2.5e+09,C,88651.87,272959.27,2p6.3p,2P*,1/2,2p6.4s,2S,1/2,,"T1619interp,LS",L2613,
P,5,54.492,54.4923,600,4.9e+09,C,89447.25,272959.27,2p6.3p,2P*,3/2,2p6.4s,2S,1/2,,"T1619interp,LS",L2613,
P,4,56.8038,,250,,,,,,,,,,,,,L4144,
P,3,56.9853,,200,,,,,,,,,,,,,L4134,
P,3,58.1831,,200,,,,,,,,,,,,,L4134,
P,4,62.9008,62.9010,350,5.5e+08,C,67918.03,226898.14,3s.3p,3P*,0,3s.4s,3S,1,,T1261LS,L4144,
P,4,62.9914,62.9915,400,1.65e+09,C,68146.48,226898.14,3s.3p,3P*,1,3s.4s,3S,1,,T1261LS,L4144,
P,4,63.1779,63.1780,500,2.73e+09,C,68615.17,226898.14,3s.3p,3P*,2,3s.4s,3S,1,,T1261LS,L4144,
P,4,64.8482,,350,,,,,,,,,,,,,L4144,
P,5,67.390,67.3908,450*,6.3e+08,C+,204206.04,352594.24,2p6.3d,2D,5/2,2p6.4f,2F*,5/2,,"T1619interp,LS",L2613,
P,5,67.390,67.3908,450*,9.1e+09,C+,204206.04,352594.24,2p6.3d,2D,5/2,2p6.4f,2F*,7/2,,"T1619interp,LS",L2613,
P,4,75.6510,75.6510,300,3.5e+09,E,158141.82,290327.71,3p2,1D,2,3s.4f,1F*,3,,T1002,L4144,
P,4,77.6353,77.6352,300,2.42e+09,C,105190.42,233997.96,3s.3p,1P*,1,3s.4s,1S,0,,T1261,L4144,
P,2,81.024,,10,,,,,,,,,,,,,L3986,
P,4,82.3179,82.3180,650,2.63e+09,B,67918.03,189398.13,3s.3p,3P*,0,3s.3d,3D,1,,T1261LS,L4144,
P,4,82.4730,82.4731,700*,1.95e+09,C,68146.48,189398.13,3s.3p,3P*,1,3s.3d,3D,1,,T1261LS,L4144,
P,4,82.4730,82.4731,700*,3.52e+09,B,68146.48,189398.13,3s.3p,3P*,1,3s.3d,3D,2,,T1261LS,L4144,
P,4,82.7932,82.7931,800*,1.16e+09,C,68615.17,189398.13,3s.3p,3P*,2,3s.3d,3D,2,,T1261LS,L4144,
P,4,82.7932,82.7931,800*,1.3e+08,D,68615.17,189398.13,3s.3p,3P*,2,3s.3d,3D,1,,T1261LS,L4144,
P,4,82.7932,82.7931,800*,4.64e+09,B,68615.17,189398.13,3s.3p,3P*,2,3s.3d,3D,3,,T1261LS,L4144,
P,3,84.4646,,200,,,,,,,,,,,,,L4134,
P,3,84.5038,,150,,,,,,,,,,,,,L4134,
P,3,84.5664,,250,,,,,,,,,,,,,L4134,
P,4,84.7019,84.7016,250,4.8e+09,D,165185.39,283246.87,3p2,3P,1,3p.3d,3D*,2,,T1002LS,L4144,
P,3,84.7669,,300,,,,,,,,,,,,,L4134,
P,3,84.8016,,200,,,,,,,,,,,,,L4134,
P,3,84.8465,,120,,,,,,,,,,,,,L4134,
P,3,84.8639,,150,,,,,,,,,,,,,L4134,
P,4,84.9799,84.9798,350,6.6e+09,D,165654.04,283329.08,3p2,3P,2,3p.3d,3D*,3,,T1002LS,L4144,
P,4,85.0392,85.0392,200,1.6e+09,D,165654.04,283246.87,3p2,3P,2,3p.3d,3D*,2,,T1002LS,L4144,
P,3,85.2686,,250,,,,,,,,,,,,,L4134,
P,3,85.5624,,350,,,,,,,,,,,,,L4134,
P,3,85.9406,,200,,,,,,,,,,,,,L4134,
P,3,85.9652,,500,,,,,,,,,,,,,L4134,
P,3,85.9729,,250,,,,,,,,,,,,,L4134,
P,2,86.544,,10,,,,,,,,,,,,,L3986,
P,5,86.545,86.5448,450,3.10e+09,C,88651.87,204198.99,2p6.3p,2P*,1/2,2p6.3d,2D,3/2,,T1002LS,L2613,
P,5,87.139,87.1393,600,3.62e+09,C,89447.25,204206.04,2p6.3p,2P*,3/2,2p6.3d,2D,5/2,,T1002LS,L2613,
P,4,87.7476,87.7474,700,8.4e+09,D,105190.42,219153.88,3s.3p,1P*,1,3s.3d,1D,2,,T1261,L4144,
P,3,91.3971,,300,,,,,,,,,,,,,L4134,
P,3,91.7120,,300,,,,,,,,,,,,,L4134,
P,3,91.8665,,350,,,,,,,,,,,,,L4134,
P,3,92.1849,,250,,,,,,,,,,,,,L4134,
P,4,95.0655,95.0657,1000,3.94e+09,B,0.00,105190.42,2p6.3s2,1S,0,3s.3p,1P*,1,,T1261,L4144,
P,5,99.762,99.7613,250,1.5e+09,C,204206.04,304445.28,2p6.3d,2D,5/2,2p6.4p,2P*,3/2,,"T1619interp,LS",L2613,
P,3,99.7999,,200,,,,,,,,,,,,,L4134,
P,5,100.038,100.0381,150,1.6e+09,C,204198.99,304160.87,2p6.3d,2D,3/2,2p6.4p,2P*,1/2,,"T1619interp,LS",L2613,
P,3,100.3598,,250,,,,,,,,,,,,,L4134,
P,4,102.5563,102.5562,570,7.7e+08,C+,68146.48,165654.04,3s.3p,3P*,1,3p2,3P,2,,T1002LS,L4144,
P,4,102.8096,102.8094,500,1.01e+09,C+,67918.03,165185.39,3s.3p,3P*,0,3p2,3P,1,,T1002LS,L4144,
P,4,103.0517,103.0514,570*,7.5e+08,C+,68146.48,165185.39,3s.3p,3P*,1,3p2,3P,1,,T1002LS,L4144,
P,4,103.0517,103.0515,570*,2.26e+09,C+,68615.17,165654.04,3s.3p,3P*,2,3p2,3P,2,,T1002LS,L4144,
P,4,103.3111,103.3112,500,2.99e+09,C+,68146.48,164941.44,3s.3p,3P*,1,3p2,3P,0,,T1002LS,L4144,
P,4,103.5517,103.5516,500,1.24e+09,C+,68615.17,165185.39,3s.3p,3P*,2,3p2,3P,1,,T1002LS,L4144,
P,5,111.798,111.7977,900,1.20e+09,C,0.00,89447.25,2p6.3s,2S,1/2,2p6.3p,2P*,3/2,,T1002LS,L2613,
P,4,111.8551,111.8552,570,3.24e+09,C,105190.42,194591.75,3s.3p,1P*,1,3p2,1S,0,,T1261,L4144,
P,5,112.801,112.8008,700,1.16e+09,C,0.00,88651.87,2p6.3s,2S,1/2,2p6.3p,2P*,1/2,,T1002LS,L2613,
P,4,120.6422,,200,,,,,,,,,,,,,L4144,
P,2,124.982,,20,,,,,,,,,,,,,L3986,
P,2,130.187,130.1874,20,5.0e+07,C,0.00,76812.33,3s2.3p2,3P,0,3s.3p3,3P*,1,,T8043,L3986,
P,2,130.447,130.4492,20,1.5e+08,C,164.90,76823.11,3s2.3p2,3P,1,3s.3p3,3P*,0,,T8043,L3986,
P,2,130.468,130.4675,15,3.7e+07,C,164.90,76812.33,3s2.3p2,3P,1,3s.3p3,3P*,1,,T8043,L3986,
P,2,130.548,130.5497,35,3.8e+07,C,164.90,76764.06,3s2.3p2,3P,1,3s.3p3,3P*,2,,T8043,L3986,
P,2,130.987,130.9874,25,6.2e+07,C,469.12,76812.33,3s2.3p2,3P,2,3s.3p3,3P*,1,,T8043,L3986,
P,2,131.070,131.0703,60,1.1e+08,C,469.12,76764.06,3s2.3p2,3P,2,3s.3p3,3P*,2,,T8043,L3986,
P,3,133.4808,133.4813,500,5.5e+07,D,0.00,74916.85,3s2.3p,2P*,1/2,3s.3p2,2D,3/2,,T8043,L4134,
P,4,133.5705,,200,,,,,,,,,,,,,L4144,
P,3,134.4327,134.4326,650,6.4e+07,D,559.14,74945.86,3s2.3p,2P*,3/2,3s.3p2,2D,5/2,,T8043,L4134,
P,3,134.4845,134.4850,300,1.1e+07,D,559.14,74916.85,3s2.3p,2P*,3/2,3s.3p2,2D,3/2,,T8043,L4134,
P,4,136.6695,,500,,,,,,,,,,,,,L4144,
P,1,137.2033,,15,,,,,,,,,,,,,L5148,
P,4,137.2674,,400,,,,,,,,,,,,,L4144,
P,1,137.3500,,15,,,,,,,,,,,,,L5148,
P,1,137.4732,,10,,,,,,,,,,,,,L5148,
P,1,137.7080,,15,,,,,,,,,,,,,L5148,
P,4,137.7282,,350,,,,,,,,,,,,,L4144,
P,1,137.7937,,15,,,,,,,,,,,,,L5148,
P,1,137.9429,,25,,,,,,,,,,,,,L5148,
P,5,137.962,137.9608,150,6.6e+08,C,304160.87,376645.25,2p6.4p,2P*,1/2,2p6.5s,2S,1/2,,"T1619interp,LS",L2613,
P,3,138.0463,,250,,,,,,,,,,,,,L4134,
P,3,138.1089,,150,,,,,,,,,,,,,L4134,
P,1,138.1469,,25,,,,,,,,,,,,,L5148,
P,1,138.1637,,15,,,,,,,,,,,,,L5148,
P,5,138.505,138.5042,250,1.3e+09,C,304445.28,376645.25,2p6.4p,2P*,3/2,2p6.5s,2S,1/2,,"T1619interp,LS",L2613,
P,5,144.783,,375,,,,,,,,,,,,,L2613,
P,2,145.289,,30,,,,,,,,,,,,,L3986,
P,4,148.4507,,500,,,,,,,,,,,,,L4144,
P,4,148.7788,,400,,,,,,,,,,,,,L4144,
P,4,148.9098,,300,,,,,,,,,,,,,L4144,
P,3,150.2228,,350,,,,,,,,,,,,,L4134,
P,3,150.4663,,250,,,,,,,,,,,,,L4134,
P,2,153.251,153.2533,80,7.2e+06,D,0.00,65251.45,3s2.3p2,3P,0,3s.3p3,3D*,1,,T1108LS,L3986,
P,2,153.590,153.5923,120,9.6e+06,C+,164.90,65272.35,3s2.3p2,3P,1,3s.3p3,3D*,2,,T1108LS,L3986,
P,2,153.639,153.6416,80,5.4e+06,D,164.90,65251.45,3s2.3p2,3P,1,3s.3p3,3D*,1,,T1108LS,L3986,
P,2,154.229,154.2304,120,1.27e+07,C+,469.12,65307.17,3s2.3p2,3P,2,3s.3p3,3D*,3,,T1108LS,L3986,
P,5,161.050,,450,,,,,,,,,,,,,L2613,
P,3,161.8632,,150,,,,,,,,,,,,,L4134,
P,3,161.8907,,200,,,,,,,,,,,,,L4134,
P,1,167.1070,,140,,,,,,,,,,,,,L5148,
P,1,167.1510,,100,,,,,,,,,,,,,L5148,
P,1,167.1680,167.1671,180,3.9e+07,D,0.00,59820.371,3s2.3p3,4S*,3/2,3s.3p4,4P,1/2,,T8043,L5148,
P,1,167.2035,,140,,,,,,,,,,,,,L5148,
P,1,167.2474,,140,,,,,,,,,,,,,L5148,
P,1,167.4591,167.4595,600,4.0e+07,D,0.00,59715.921,3s2.3p3,4S*,3/2,3s.3p4,4P,3/2,,T8043,L5148,
P,1,167.9695,167.9697,600,3.9e+07,D,0.00,59534.549,3s2.3p3,4S*,3/2,3s.3p4,4P,5/2,,T8043,L5148,
P,1,168.5976,,140,,,,,,,,,,,,,L5148,
P,1,169.4028,,100,,,,,,,,,,,,,L5148,
P,1,169.4486,,100,,,,,,,,,,,,,L5148,
P,1,170.6376,,100,,,,,,,,,,,,,L5148,
P,1,170.7553,,100,,,,,,,,,,,,,L5148,
P,1,177.4951,177.4949,600,2.17e+08,C,0.00,56339.656,3s2.3p3,4S*,3/2,3s2.3p2.(3P).4s,4P,5/2,,T1220,L5148,
