element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
Pa,2,259.916,,3000,,,,,,,u2,
Pa,2,269.922,,3000,,,,,,,u2,
Pa,2,282.279,,3000,,,,,,,u2,
Pa,2,287.142,,3000w,,,,,,,u2,
Pa,2,289.114,,3000w,,,,,,,u2,
Pa,2,301.110,,3000l,,,,,,,u2,
Pa,2,303.359,,3000s,,,,,,,u2,
Pa,2,307.124,,3000l,,,,,,,u2,
Pa,2,309.323,,3000l,,,,,,,u2,
Pa,2,312.623,,3000l,,,,,,,u2,
Pa,2,314.628,,3000l,,,,,,,u2,
Pa,2,317.089,,3000l,,,,,,,u2,
Pa,2,317.154,,3000l,,,,,,,u2,
Pa,2,324.058,,3000l,,,,,,,u2,
Pa,2,327.446,,3000,,,,,,,u2,
Pa,2,333.269,,3000l,,,,,,,u2,
Pa,2,334.666,,3000s,,,,,,,u2,
Pa,2,345.282,,3000l,,,,,,,u2,
Pa,1,350.497,,3000,,,,,,,u2,
Pa,2,353.065,,3000s,,,,,,,u2,
Pa,1,357.056,,3000,,,,,,,u2,
Pa,1,357.182,,3000,,,,,,,u2,
Pa,1,361.807,,3000,,,,,,,u2,
Pa,1,363.652,,10000,,,,,,,u2,
Pa,1,370.274,,3000,,,,,,,u2,
Pa,1,375.267,,3000,,,,,,,u2,
Pa,1,387.335,,3000,,,,,,,u2,
Pa,1,393.183,,3000,,,,,,,u2,
Pa,2,395.262,,3000s,,,,,,,u2,
Pa,2,395.785,,10000l,,,,,,,u2,
Pa,2,397.007,,3000s,,,,,,,u2,
Pa,1,398.182,,3000,,,,,,,u2,
Pa,1,398.223,,10000,,,,,,,u2,
Pa,2,401.296,,3000l,,,,,,,u2,
Pa,2,401.821,,3000s,,,,,,,u2,
Pa,2,403.016,,3000,,,,,,,u2,
Pa,2,404.693,,3000s,,,,,,,u2,
Pa,2,405.620,,10000s,,,,,,,u2,
Pa,2,407.040,,10000s,,,,,,,u2,
Pa,2,417.618,,3000l,,,,,,,u2,
Pa,2,421.723,,10000l,,,,,,,u2,
Pa,2,424.808,,10000s,,,,,,,u2,
Pa,2,429.134,,3000s,,,,,,,u2,
Pa,2,460.143,,3000s,,,,,,,u2,
Pa,1,603.578,,3000l,,,,,,,u2,
Pa,1,616.256,,3000,,,,,,,u2,
Pa,1,635.861,,3000l,,,,,,,u2,
Pa,1,637.925,,3000,,,,,,,u2,
Pa,1,643.897,,3000l,,,,,,,u2,
Pa,1,679.275,,3000w,,,,,,,u2,
Pa,1,694.572,,10000,,,,,,,u2,
Pa,1,696.009,,3000,,,,,,,u2,
Pa,1,696.178,,3000w,,,,,,,u2,
Pa,1,699.273,,3000s,,,,,,,u2,
Pa,1,707.627,,3000,,,,,,,u2,
Pa,1,710.094,,3000w,,,,,,,u2,
Pa,1,711.489,,10000s,,,,,,,u2,
Pa,1,717.155,,3000w,,,,,,,u2,
Pa,1,722.713,,3000,,,,,,,u2,
Pa,1,731.879,,3000,,,,,,,u2,
Pa,1,736.825,,10000l,,,,,,,u2,
Pa,1,747.189,,3000w,,,,,,,u2,
Pa,1,749.315,,10000w,,,,,,,u2,
Pa,1,755.826,,3000w,,,,,,,u2,
Pa,1,760.820,,10000w,,,,,,,u2,
Pa,1,762.679,,10000,,,,,,,u2,
Pa,1,763.518,,10000s,,,,,,,u2,
Pa,1,766.934,,10000,,,,,,,u2,
Pa,1,767.920,,3000,,,,,,,u2,
Pa,1,774.919,,10000w,,,,,,,u2,
Pa,1,787.295,,3000,,,,,,,u2,
Pa,1,794.556,,3000l,,,,,,,u2,
Pa,1,803.934,,10000,,,,,,,u2,
Pa,1,809.984,,10000w,,,,,,,u2,
Pa,1,819.904,,10000,,,,,,,u2,
Pa,1,827.187,,10000,,,,,,,u2,
Pa,1,835.898,,3000s,,,,,,,u2,
Pa,1,836.960,,3000s,,,,,,,u2,
Pa,1,844.104,,3000w,,,,,,,u2,
Pa,1,853.266,,10000w,,,,,,,u2,
Pa,1,857.296,,10000s,,,,,,,u2,
Pa,1,863.991,,3000w,,,,,,,u2,
Pa,1,865.351,,3000w,,,,,,,u2,
Pa,1,873.527,,10000,,,,,,,u2,
Pa,1,1092.332,,3000,,,,,,,u2,
Pa,1,1179.173,,10000,,,,,,,u2,
Pa,1,1434.476,,10000,,,,,,,u2,
Pa,1,1847.861,,3000,,,,,,,u2,

