element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Pb,5,36.740,0.010,,,2,,,,,,,,,,,,,L1202,
Pb,5,37.253,0.010,,,2,,,,,,,,,,,,,L1202,
Pb,5,38.787,0.010,,,2,,,,,,,,,,,,,L1202,
Pb,5,39.438,0.010,,,2,,,,,,,,,,,,,L1202,
Pb,5,42.464,0.010,,,5,,,,,,,,,,,,,L1202,
Pb,5,43.103,0.010,,,3,,,,,,,,,,,,,L1202,
Pb,5,43.660,0.010,,,3,,,,,,,,,,,,,L1202,
Pb,5,43.847,0.010,,,2,,,,,,,,,,,,,L1202,
Pb,5,43.891,0.010,,,6,,,,,,,,,,,,,L1202,
Pb,5,45.345,0.010,,,4,,,,,,,,,,,,,L1202,
Pb,5,46.170,0.010,,,3,,,,,,,,,,,,,L1202,
Pb,4,47.536,0.010,,,8,,,,,,,,,,,,,L1202,
Pb,4,47.835,0.010,,,7,,,,,,,,,,,,,L1202,
Pb,5,49.620,0.010,,,3,,,,,,,,,,,,,L1202,
Pb,4,49.638,0.010,,,10,,,,,,,,,,,,,L1202,
Pb,4,49.994,0.010,,,12,,,,,,,,,,,,,L1202,
Pb,4,51.507,0.010,,,9,,,,,,,,,,,,,L1202,
Pb,4,52.978,0.010,,,14,,,,,,,,,,,,,L1202,
Pb,4,57.016,0.010,,,20,,,,,,,,,,,,,L1202,
Pb,4,57.390,0.010,,,8,,,,,,,,,,,,,L1202,
Pb,4,58.452,0.010,,,8,,,,,,,,,,,,,L1202,
Pb,4,64.850,0.010,,,10,,,,,,,,,,,,,L1202,
Pb,4,65.610,0.010,,,9,,,,,,,,,,,,,L1202,
Pb,5,69.442,0.010,,,4,,,,,,,,,,,,,L1202,
Pb,5,69.620,0.010,,,8,,,,,,,,,,,,,L1202,
Pb,5,70.373,0.010,,,20,,,,,,,,,,,,,L1202,
Pb,5,70.629,0.010,,,4,,,,,,,,,,,,,L1202,
Pb,5,70.766,0.010,,,6,,,,,,,,,,,,,L1202,
Pb,5,73.085,0.010,,,5,,,,,,,,,,,,,L1202,
Pb,5,74.946,0.010,,,12,,,,,,,,,,,,,L1202,
Pb,5,75.252,0.010,,,10,,,,,,,,,,,,,L1202,
Pb,5,75.580,0.010,,,10,,,,,,,,,,,,,L1202,
Pb,4,76.109,0.010,,,10,,,,,,,,,,,,,L1202,
Pb,5,76.276,0.010,,,6,,,,,,,,,,,,,L1202,
Pb,5,76.587,0.010,,,10,,,,,,,,,,,,,L1202,
Pb,5,76.745,0.010,,,18,,,,,,,,,,,,,L1202,
Pb,5,76.949,0.010,,,18,,,,,,,,,,,,,L1202,
Pb,5,77.142,0.010,,,14,,,,,,,,,,,,,L1202,
Pb,5,78.279,0.010,,,14,,,,,,,,,,,,,L1202,
Pb,5,78.705,0.010,,,10,,,,,,,,,,,,,L1202,
Pb,5,79.702,0.010,,,15,,,,,,,,,,,,,L1202,
Pb,5,79.980,0.010,,,5,,,,,,,,,,,,,L1202,
Pb,4,80.207,0.010,,,18,,,,,,,,,,,,,L1202,
