element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Pd,3,68.874,,10,,,,,,,,,,,,,L3536,
Pd,3,68.946,,20,,,,,,,,,,,,,L3536,
Pd,3,68.954,,50,,,,,,,,,,,,,L3536,
Pd,3,69.591,,50,,,,,,,,,,,,,L3536,
Pd,3,70.549,,200,,,,,,,,,,,,,L3536,
Pd,3,70.780,,150,,,,,,,,,,,,,L3536,
Pd,3,70.989,,100,,,,,,,,,,,,,L3536,
Pd,3,71.790,,100,,,,,,,,,,,,,L3536,
Pd,3,71.947,,100,,,,,,,,,,,,,L3536,
Pd,3,72.772,,200,,,,,,,,,,,,,L3536,
Pd,3,73.879,,150,,,,,,,,,,,,,L3536,
Pd,3,75.685,,100,,,,,,,,,,,,,L3536,
Pd,3,75.741,,100,,,,,,,,,,,,,L3536,
Pd,3,76.306,,500,,,,,,,,,,,,,L3536,
Pd,3,76.642,,500,,,,,,,,,,,,,L3536,
Pd,3,77.211,,200,,,,,,,,,,,,,L3536,
Pd,3,77.651,,200,,,,,,,,,,,,,L3536,
Pd,3,78.102,,2000,,,,,,,,,,,,,L3536,
Pd,3,78.499,,200,,,,,,,,,,,,,L3536,
Pd,3,78.731,,200,,,,,,,,,,,,,L3536,
Pd,3,78.795,,200,,,,,,,,,,,,,L3536,
Pd,3,78.958,,200,,,,,,,,,,,,,L3536,
Pd,3,79.408,,500,,,,,,,,,,,,,L3536,
Pd,3,79.752,,500,,,,,,,,,,,,,L3536,
Pd,3,80.003,,500,,,,,,,,,,,,,L3536,
Pd,3,80.010,,500,,,,,,,,,,,,,L3536,
Pd,3,80.367,,500,,,,,,,,,,,,,L3536,
Pd,3,82.535,,500,,,,,,,,,,,,,L3536,
Pd,3,84.058,,500,,,,,,,,,,,,,L3536,
Pd,3,85.647,,500,,,,,,,,,,,,,L3536,
Pd,3,86.404,,500,,,,,,,,,,,,,L3536,
Pd,3,88.059,,500,,,,,,,,,,,,,L3536,
Pd,3,88.884,,500,,,,,,,,,,,,,L3536,
Pd,3,88.929,,1000,,,,,,,,,,,,,L3536,
Pd,3,94.778,,300,,,,,,,,,,,,,L3536,
Pd,3,96.552,,300,,,,,,,,,,,,,L3536,
Pd,2,116.21700,116.21687,600,3.36e+08,,0.000,86046.027,4d9,2D,5/2,4d8.(1G).5p,2F*,7/2,,T6676,L11817,
Pd,2,118.34003,118.34006,700,1.39e+09,,3539.242,88041.479,4d9,2D,3/2,4d8.(3P).5p,2P*,1/2,,T6676,L11817,
Pd,2,119.64051,119.64050,1000,6.62e+08,,3539.242,87122.977,4d9,2D,3/2,4d8.(1G).5p,2F*,5/2,,T6676,L11817,
Pd,2,120.39645,120.39644,800,4.54e+08,,0.000,83058.933,4d9,2D,5/2,4d8.(3P).5p,4D*,7/2,,T6676,L11817,
