element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Pm,2,250.212,,40w,,,,,,,,,,,,,L7345,
Pm,2,260.824,,40,,,,,,,,,,,,,L7345,
Pm,2,263.200,,150,,,,,,,,,,,,,L7345,
Pm,2,263.846,,70,,,,,,,,,,,,,L7345,
Pm,2,267.105,,100,,,,,,,,,,,,,L7345,
Pm,2,278.772,,50w,,,,,,,,,,,,,L7345,
Pm,2,280.805,,40,,,,,,,,,,,,,L7345,
Pm,2,282.010,,100w,,,,,,,,,,,,,L7345,
Pm,2,284.082,,100w,,,,,,,,,,,,,L7345,
Pm,2,284.186,,150w,,,,,,,,,,,,,L7345,
Pm,2,285.746,,200c,,,,,,,,,,,,,L7345,
Pm,2,300.459,,100,,,,,,,,,,,,,L7345,
Pm,2,300.885,,100,,,,,,,,,,,,,L7345,
Pm,2,307.241,,300,,,,,,,,,,,,,L7345,
Pm,2,308.602,,150,,,,,,,,,,,,,L7345,
Pm,2,309.019,,120,,,,,,,,,,,,,L7345,
Pm,2,309.186,,150,,,,,,,,,,,,,L7345,
Pm,2,310.811,,150,,,,,,,,,,,,,L7345,
Pm,2,311.536,,100,,,,,,,,,,,,,L7345,
Pm,2,311.722,,100,,,,,,,,,,,,,L7345,
Pm,2,311.876,,100,,,,,,,,,,,,,L7345,
Pm,1,316.223,,35,,,,,,,,,,,,,L4514c1,
Pm,1,316.882,,35,,,,,,,,,,,,,L4514c1,
Pm,2,317.277,,100,,,,,,,,,,,,,L7345,
Pm,1,322.204,,35,,,,,,,,,,,,,L4514c1,
Pm,1,323.855,,35,,,,,,,,,,,,,L4514c1,
Pm,2,323.962,,60,,,,,,,,,,,,,L7345,
Pm,1,329.663,,75,,,,,,,,,,,,,L4514c1,
Pm,2,331.176,,60,,,,,,,,,,,,,L7345,
Pm,1,331.338,,50,,,,,,,,,,,,,L4514c1,
Pm,1,332.922,,50,,,,,,,,,,,,,L4514c1,
Pm,1,333.157,,75,,,,,,,,,,,,,L4514c1,
Pm,1,335.445,,100,,,,,,,,,,,,,L4514c1,
Pm,2,335.814,,100,,,,,,,,,,,,,L7345,
Pm,2,336.021,,80,,,,,,,,,,,,,L7345,
Pm,2,336.444,,80,,,,,,,,,,,,,L7345,
Pm,1,336.603,,300,,,,,,,,,,,,,L4514c1,
Pm,2,337.768,,90,,,,,,,,,,,,,L7345,
Pm,2,339.128,,100,,,,,,,,,,,,,L7345,
Pm,2,340.806,,100,,,,,,,,,,,,,L7345,
Pm,2,342.740,,500,,,,,,,,,,,,,u8,
Pm,2,344.115,,120,,,,,,,,,,,,,u8,
Pm,2,344.980,,400,,,,,,,,,,,,,u8,
Pm,2,346.025,,250,,,,,,,,,,,,,u8,
Pm,2,346.291,,200,,,,,,,,,,,,,u8,
Pm,2,348.061,,200,,,,,,,,,,,,,u8,
Pm,2,349.713,,150,,,,,,,,,,,,,u8,
Pm,2,351.485,,100,,,,,,,,,,,,,u8,
Pm,1,354.681,,200,,,,,,,,,,,,,L4514c1,
Pm,2,355.943,,100,,,,,,,,,,,,,u8,
Pm,2,356.531,,200,,,,,,,,,,,,,u8,
Pm,2,358.010,,150,,,,,,,,,,,,,u8,
Pm,2,361.076,,200,,,,,,,,,,,,,u8,
Pm,2,362.984,,200,,,,,,,,,,,,,u8,
Pm,2,363.420,,300,,,,,,,,,,,,,u8,
Pm,2,365.939,,300,,,,,,,,,,,,,u8,
Pm,1,366.922,,300r,,,,,,,,,,,,,L4514c1,
Pm,1,367.485,,200,,,,,,,,,,,,,L4514c1,
Pm,2,367.851,,200,,,,,,,,,,,,,u8,
Pm,1,367.985,,300r,,,,,,,,,,,,,L4514c1,
