element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Po,1,213.902,,250w,,,,,,,,,,,,,L3488,
Po,1,222.067,,300,,,,,,,,,,,,,L3489,
Po,1,222.213,,200,,,,,,,,,,,,,L3488,
Po,1,234.461,,250,,,,,,,,,,,,,L3488,
Po,1,242.172,,250,,,,,,,,,,,,,L3488,
Po,1,242.609,,300,,,,,,,,,,,,,L3488,
Po,1,245.008,245.0076+,1500w,,,0.00,40802.70,6p4,3P,2,6p3.(4S*).7s,3S*,1,,,L3488,
Po,1,248.394,,700,,,,,,,,,,,,,L3488,
Po,1,249.053,,700,,,,,,,,,,,,,L3488,
Po,1,253.495,,300,,,,,,,,,,,,,L3489,
Po,1,255.733,,300,,,,,,,,,,,,,L3489,
Po,1,255.801,255.8009+,1500w,,,0.00,39081.19,6p4,3P,2,6p3.(4S*).7s,5S*,2,,,L3489,
Po,1,258.764,,400,,,,,,,,,,,,,L3488,
Po,1,264.536,,300,,,,,,,,,,,,,L3489,
Po,1,267.167,,200,,,,,,,,,,,,,L3488,
Po,1,276.192,,600,,,,,,,,,,,,,L3488,
Po,1,280.026,,400,,,,,,,,,,,,,L3488,
Po,1,282.411,,250,,,,,,,,,,,,,L3488,
Po,1,286.601,,300,,,,,,,,,,,,,L3489,
Po,1,291.931,,400,,,,,,,,,,,,,L3489,
Po,1,295.892,,600,,,,,,,,,,,,,L3488,
Po,1,300.321,300.3209+,2500w,,,7514.69,40802.70,6p4,3P,0,6p3.(4S*).7s,3S*,1,,,L3488,
Po,1,306.931,,450,,,,,,,,,,,,,L3488,
Po,1,318.902,,400,,,,,,,,,,,,,L3488,
Po,1,324.024,,600,,,,,,,,,,,,,L3488,
Po,1,328.638,,250,,,,,,,,,,,,,L3488,
Po,1,332.860,,600,,,,,,,,,,,,,L3488,
Po,1,386.193,,500,,,,,,,,,,,,,L3489,
Po,1,417.052,417.0516+,1200,,,16831.61,40802.70,6p4,3P,1,6p3.(4S*).7s,3S*,1,,,L3488,
Po,1,449.321,,800,,,,,,,,,,,,,L3488,
Po,1,461.144,,350,,,,,,,,,,,,,L3488,
Po,1,487.624,,400,,,,,,,,,,,,,L3488,
Po,1,532.323,,350,,,,,,,,,,,,,L3488,
Po,1,574.485,,300,,,,,,,,,,,,,L3488,
Po,1,796.262,,600,,,,,,,,,,,,,L3488,
Po,1,843.387,,300,,,,,,,,,,,,,L3488,
Po,1,861.826,,500,,,,,,,,,,,,,L3489,

