element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Pr,4,71.823,,20,,,,,,,,,,,,,L1178,
Pr,4,72.134,,30,,,,,,,,,,,,,L1178,
Pr,4,72.241,,60,,,,,,,,,,,,,L1178,
Pr,4,72.258,,30,,,,,,,,,,,,,L1178,
Pr,4,72.604,,20,,,,,,,,,,,,,L1178,
Pr,4,73.037,,50,,,,,,,,,,,,,L1178,
Pr,4,73.177,,30,,,,,,,,,,,,,L1178,
Pr,4,73.486,,30,,,,,,,,,,,,,L1178,
Pr,4,73.504,,20,,,,,,,,,,,,,L1178,
Pr,4,73.619,,20,,,,,,,,,,,,,L1178,
Pr,4,73.632,,50,,,,,,,,,,,,,L1178,
Pr,4,73.717,,100,,,,,,,,,,,,,L1178,
Pr,4,74.145,,100,,,,,,,,,,,,,L1178,
Pr,4,74.315,,20,,,,,,,,,,,,,L1178,
Pr,4,74.389,,20,,,,,,,,,,,,,L1178,
Pr,4,74.614,,20,,,,,,,,,,,,,L1178,
Pr,4,76.316,,40,,,,,,,,,,,,,L1178,
Pr,4,76.400,,20,,,,,,,,,,,,,L1178,
Pr,5,84.378,,200,,,,,,,,,,,,,L183,
Pr,5,86.590,,7000,,,,,,,,,,,,,L183,
Pr,5,86.917,,5000,,,,,,,,,,,,,L183,
Pr,5,86.966,,80,,,,,,,,,,,,,L183,
Pr,5,89.665,,1000,,,,,,,,,,,,,L183,
Pr,5,92.229,,750,,,,,,,,,,,,,L183,
Pr,3,100.861,,25,,,,,,,,,,,,,L365,
Pr,3,102.135,,50,,,,,,,,,,,,,L365,
Pr,3,102.618,,25,,,,,,,,,,,,,L365,
Pr,3,102.903,,100,,,,,,,,,,,,,L365,
Pr,3,103.829,,50,,,,,,,,,,,,,L365,
Pr,3,104.296,,50,,,,,,,,,,,,,L365,
Pr,3,104.380,,25,,,,,,,,,,,,,L365,
Pr,3,104.403,,25,,,,,,,,,,,,,L365,
Pr,3,104.620,,25,,,,,,,,,,,,,L365,
Pr,3,104.724,,150,,,,,,,,,,,,,L365,
Pr,3,104.909,,100,,,,,,,,,,,,,L365,
Pr,3,105.263,,50,,,,,,,,,,,,,L365,
Pr,3,106.160,,25,,,,,,,,,,,,,L365,
Pr,3,106.603,,25,,,,,,,,,,,,,L365,
Pr,3,106.885,,25p,,,,,,,,,,,,,L365,
Pr,3,106.988,,25,,,,,,,,,,,,,L365,
Pr,3,108.442,,25,,,,,,,,,,,,,L365,
Pr,3,108.866,,25,,,,,,,,,,,,,L365,
Pr,3,110.484,,100,,,,,,,,,,,,,L365,
Pr,3,110.882,,25,,,,,,,,,,,,,L365,
Pr,4,122.640,,300,,,,,,,,,,,,,L3520,
Pr,4,122.859,,2000,,,,,,,,,,,,,L3520,
Pr,4,123.069,,500,,,,,,,,,,,,,L3520,
Pr,5,123.407,,250,,,,,,,,,,,,,L183,
Pr,4,123.819,,400,,,,,,,,,,,,,L3520,
Pr,4,124.935,,200,,,,,,,,,,,,,L3520,
Pr,4,125.564,,200,,,,,,,,,,,,,L3520,
Pr,4,126.127,,200,,,,,,,,,,,,,L3520,
Pr,4,126.832,,400,,,,,,,,,,,,,L3520,
Pr,4,127.058,,300,,,,,,,,,,,,,L3520,
Pr,4,127.510,,1000,,,,,,,,,,,,,L3520,
Pr,4,127.540,,200,,,,,,,,,,,,,L3520,
Pr,4,127.865,,1000,,,,,,,,,,,,,L3520,
Pr,4,127.934,,200,,,,,,,,,,,,,L3520,
Pr,4,128.744,,1000,,,,,,,,,,,,,L3520,
Pr,4,129.093,,300,,,,,,,,,,,,,L3520,
Pr,4,129.230,,1000,,,,,,,,,,,,,L3520,
Pr,4,129.322,,5000,,,,,,,,,,,,,L3520,
Pr,4,129.528,,5000,,,,,,,,,,,,,L3520,
Pr,4,129.650,,400,,,,,,,,,,,,,L3520,
Pr,4,129.826,,200,,,,,,,,,,,,,L3520,
Pr,4,129.854,,300,,,,,,,,,,,,,L3520,
Pr,4,130.471,,200,,,,,,,,,,,,,L3520,
Pr,4,130.686,,300,,,,,,,,,,,,,L3520,
Pr,4,130.808,,200,,,,,,,,,,,,,L3520,
Pr,4,131.071,,200,,,,,,,,,,,,,L3520,
Pr,4,131.496,,500,,,,,,,,,,,,,L3520,
Pr,4,131.528,,300,,,,,,,,,,,,,L3520,
Pr,4,131.696,,300,,,,,,,,,,,,,L3520,
Pr,4,132.010,,500,,,,,,,,,,,,,L3520,
Pr,4,132.070,,1000,,,,,,,,,,,,,L3520,
Pr,4,132.136,,5000,,,,,,,,,,,,,L3520,
Pr,4,132.251,,500,,,,,,,,,,,,,L3520,
Pr,4,132.638,,500,,,,,,,,,,,,,L3520,
Pr,4,133.357,,5000,,,,,,,,,,,,,L3520,
Pr,4,133.596,,300,,,,,,,,,,,,,L3520,
Pr,4,133.929,,500,,,,,,,,,,,,,L3520,
Pr,4,134.074,,1000,,,,,,,,,,,,,L3520,
Pr,4,134.132,,200,,,,,,,,,,,,,L3520,
Pr,5,134.278,,250,,,,,,,,,,,,,L183,
Pr,4,134.423,,300,,,,,,,,,,,,,L3520,
Pr,4,134.707,,1000,,,,,,,,,,,,,L3520,
Pr,3,135.270,,30,,,,,,,,,,,,,L365,
Pr,4,135.281,,1000,,,,,,,,,,,,,L3520,
Pr,4,135.435,,500,,,,,,,,,,,,,L3520,
Pr,4,135.466,,5000,,,,,,,,,,,,,L3520,
Pr,4,136.064,,2000,,,,,,,,,,,,,L3520,
Pr,4,136.481,,1000,,,,,,,,,,,,,L3520,
Pr,4,136.577,,2000,,,,,,,,,,,,,L3520,
Pr,4,136.890,,400,,,,,,,,,,,,,L3520,
Pr,4,137.441,,5000,,,,,,,,,,,,,L3520,
Pr,4,138.262,,1000,,,,,,,,,,,,,L3520,
Pr,4,138.423,,200,,,,,,,,,,,,,L3520,
Pr,4,138.591,,200,,,,,,,,,,,,,L3520,
Pr,4,139.411,,300,,,,,,,,,,,,,L3520,
Pr,4,139.711,,500,,,,,,,,,,,,,L3520,
Pr,4,139.931,,1000,,,,,,,,,,,,,L3520,
Pr,4,140.096,,1000,,,,,,,,,,,,,L3520,
Pr,4,141.090,,400,,,,,,,,,,,,,L3520,
Pr,4,142.436,,1000,,,,,,,,,,,,,L3520,
Pr,4,142.659,,500,,,,,,,,,,,,,L3520,
Pr,4,143.556,,5000,,,,,,,,,,,,,L3520,
Pr,4,145.995,,200,,,,,,,,,,,,,L3520,
Pr,4,146.176,,200,,,,,,,,,,,,,L3520,
Pr,4,147.491,,1000,,,,,,,,,,,,,L3520,
Pr,4,147.732,,200,,,,,,,,,,,,,L3520,
Pr,4,148.588,,500,,,,,,,,,,,,,L3520,
Pr,4,150.335,,500,,,,,,,,,,,,,L3520,
Pr,4,151.686,,400,,,,,,,,,,,,,L3520,
Pr,4,152.071,,200,,,,,,,,,,,,,L3520,
Pr,4,152.098,,2000,,,,,,,,,,,,,L3520,
Pr,4,152.346,,400,,,,,,,,,,,,,L3520,
Pr,4,155.362,,500,,,,,,,,,,,,,L3520,
Pr,4,155.949,,500,,,,,,,,,,,,,L3520,
Pr,4,157.013,,500,,,,,,,,,,,,,L3520,
Pr,4,157.280,,200,,,,,,,,,,,,,L3520,
Pr,4,157.455,,5000,,,,,,,,,,,,,L3520,
Pr,4,157.510,,5000,,,,,,,,,,,,,L3520,
Pr,4,157.838,,3000,,,,,,,,,,,,,L3520,
Pr,4,158.510,,500,,,,,,,,,,,,,L3520,
Pr,4,161.300,,300,,,,,,,,,,,,,L3520,
Pr,4,161.365,,400,,,,,,,,,,,,,L3520,
Pr,4,161.803,,1000,,,,,,,,,,,,,L3520,
Pr,4,162.230,,2000,,,,,,,,,,,,,L3520,
Pr,4,163.477,,300,,,,,,,,,,,,,L3520,
Pr,4,167.608,,400,,,,,,,,,,,,,L3520,
Pr,4,168.849,,200,,,,,,,,,,,,,L3520,
Pr,4,171.353,,200,,,,,,,,,,,,,L3520,
Pr,4,173.286,,500,,,,,,,,,,,,,L3520,
Pr,4,176.286,,300,,,,,,,,,,,,,L3520,
Pr,4,176.688,,1000,,,,,,,,,,,,,L3520,
Pr,4,177.114,,1000,,,,,,,,,,,,,L3520,
Pr,4,184.108,,500,,,,,,,,,,,,,L3520,
Pr,3,188.122,,25,,,,,,,,,,,,,L365,
Pr,4,188.487,,10000,,,,,,,,,,,,,L3520,
Pr,4,195.123,,400,,,,,,,,,,,,,L3520,
Pr,4,195.461,,200,,,,,,,,,,,,,L3520,
Pr,5,195.809,,200,,,,,,,,,,,,,L183,
Pr,5,195.820,,400,,,,,,,,,,,,,L183,
Pr,4,202.506,,200,,,,,,,,,,,,,L3520,
Pr,3,203.146,,50,,,,,,,,,,,,,L365,
Pr,3,203.330,,100,,,,,,,,,,,,,L365,
Pr,4,203.915,,1000,,,,,,,,,,,,,L3520,
Pr,3,204.312,,25,,,,,,,,,,,,,L365,
Pr,4,204.705,,200,,,,,,,,,,,,,L3520,
Pr,4,205.073,,200,,,,,,,,,,,,,L3520,
Pr,3,205.230,,100,,,,,,,,,,,,,L365,
Pr,3,205.287,,50,,,,,,,,,,,,,L365,
Pr,3,205.385,,50,,,,,,,,,,,,,L365,
Pr,4,205.848,,200,,,,,,,,,,,,,L3520,
Pr,3,205.859,,200,,,,,,,,,,,,,L365,
Pr,3,206.408,,50,,,,,,,,,,,,,L365,
Pr,3,207.508,,25,,,,,,,,,,,,,L365,
Pr,4,208.323,,2000,,,,,,,,,,,,,L3520,
Pr,3,209.075,,200,,,,,,,,,,,,,L365,
Pr,3,209.349,,200,,,,,,,,,,,,,L365,
Pr,3,209.685,,25,,,,,,,,,,,,,L365,
Pr,3,209.694,,50,,,,,,,,,,,,,L365,
Pr,4,210.042,,500,,,,,,,,,,,,,L3520,
Pr,3,214.814,,10w,,,,,,,,,,,,,L2466,
Pr,4,215.431,,1000,,,,,,,,,,,,,L3520,
Pr,4,219.337,,300,,,,,,,,,,,,,L3520,
Pr,3,219.424,,10w,,,,,,,,,,,,,L2466,
Pr,3,219.725,,10w,,,,,,,,,,,,,L2466,
Pr,4,220.513,,1000,,,,,,,,,,,,,L3520,
Pr,3,220.548,,10w,,,,,,,,,,,,,L2466,
Pr,3,220.626,,10w,,,,,,,,,,,,,L2466,
Pr,3,221.445,,10w,,,,,,,,,,,,,L2466,
Pr,3,221.525,,10w,,,,,,,,,,,,,L2466,
Pr,3,221.712,,10w,,,,,,,,,,,,,L2466,
Pr,3,222.323,,10w,,,,,,,,,,,,,L2466,
Pr,3,223.035,,10w,,,,,,,,,,,,,L2466,
Pr,3,223.726,,10w,,,,,,,,,,,,,L2466,
Pr,3,223.906,,10,,,,,,,,,,,,,L2466,
Pr,3,223.942,,10,,,,,,,,,,,,,L2466,
Pr,3,224.215,,10w,,,,,,,,,,,,,L2466,
Pr,5,224.606,,300,,,,,,,,,,,,,L183,
Pr,5,224.620,,3300,,,,,,,,,,,,,L183,
Pr,4,226.570,,300,,,,,,,,,,,,,L3520,
Pr,3,228.462,,10w,,,,,,,,,,,,,L2466,
Pr,3,230.759,,10,,,,,,,,,,,,,L2466,
Pr,3,230.777,,10,,,,,,,,,,,,,L2466,
Pr,3,230.841,,10,,,,,,,,,,,,,L2466,
Pr,3,231.129,,10,,,,,,,,,,,,,L2466,
Pr,3,231.144,,10,,,,,,,,,,,,,L2466,
Pr,3,231.418,,10,,,,,,,,,,,,,L2466,
Pr,3,231.546,,10w,,,,,,,,,,,,,L2466,
Pr,3,231.815,,10,,,,,,,,,,,,,L2466,
Pr,3,231.836,,10,,,,,,,,,,,,,L2466,
Pr,3,231.864,,10,,,,,,,,,,,,,L2466,
Pr,3,231.882,,10,,,,,,,,,,,,,L2466,
Pr,3,231.897,,10,,,,,,,,,,,,,L2466,
Pr,3,231.940,,10w,,,,,,,,,,,,,L2466,
Pr,3,232.041,,10,,,,,,,,,,,,,L2466,
Pr,3,232.856,,10w,,,,,,,,,,,,,L2466,
Pr,4,233.446,,200c,,,,,,,,,,,,,L3520,
Pr,3,233.613,,10w,,,,,,,,,,,,,L2466,
Pr,4,233.908,,200c,,,,,,,,,,,,,L3520,
Pr,3,236.552,,10,,,,,,,,,,,,,L2466,
Pr,3,236.878,,10,,,,,,,,,,,,,L2466,
Pr,3,236.908,,10,,,,,,,,,,,,,L2466,
Pr,4,237.609,,500c,,,,,,,,,,,,,L3520,
Pr,3,237.806,,10w,,,,,,,,,,,,,L2466,
Pr,3,237.897,,10w,,,,,,,,,,,,,L2466,
Pr,4,237.898,,2000c,,,,,,,,,,,,,L3520,
Pr,4,237.966,,1000c,,,,,,,,,,,,,L3520,
