element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Pt,8,29.85888,0.00030,29.85877,0.00008,28,6.75e+08,,0.0,334910.0,5d3,4F,3/2,5d2.6p,334910*,3/2,,T9718,L19873,
Pt,8,30.35226,0.00030,30.35225,0.00014,23,1.13e+09,,46366.3,375831.2,5d3,2D2,5/2,5d2.(1S).6p,2P*,3/2,,T9718,L19873,
Pt,8,30.58337,0.00030,30.58332,0.00007,55,9.50e+08,,10194.5,337170.1,5d3,4F,5/2,5d2.6p,337170*,5/2,,T9718,L19873,
Pt,8,30.87406,0.00030,30.87401,0.00008,44,1.45e+09,,0.0,323897.0,5d3,4F,3/2,5d2.(3P).6p,4P*,3/2,,T9718,L19873,
Pt,8,31.08465,0.00030,31.08482,0.00007,46,9.00e+08,,10194.5,331894.9,5d3,4F,5/2,5d2.6p,331894*,3/2,,T9718,L19873,
Pt,8,31.09728,0.00030,31.09732,0.00007,32,7.33e+08,,10194.5,331765.6,5d3,4F,5/2,5d2.6p,331765*,5/2,,T9718,L19873,
Pt,8,31.17060,0.00030,31.17058,0.00007,36,4.83e+08,,33389.8,354205.1,5d3,4P,5/2,5d2.6p,354205*,5/2,,T9718,L19873,
Pt,8,31.24197,0.00030,31.24157,0.00007,138,1.90e+09,,17083.8,337170.1,5d3,4F,7/2,5d2.6p,337170*,5/2,,T9718,L19873,
Pt,8,31.26698,0.00030,31.26686,0.00015,64,3.03e+09,,56003.8,375831.2,5d3,2P,3/2,5d2.(1S).6p,2P*,3/2,,T9718,L19873,
Pt,8,31.32131,0.00030,31.32133,0.00013,31,4.25e+08,,33389.8,352661.0,5d3,4P,5/2,5d2.6p,352661*,3/2,,T9718,L19873,
Pt,8,31.61439,0.00030,31.61423,0.00007,52,7.63e+08,,31715.8,348029.1,5d3,2G,7/2,5d2.6p,348029*,7/2,,T9718,L19873,
Pt,8,31.63087,0.00030,31.63093,0.00007,21,8.75e+08,,18763.7,334910.0,5d3,4P,3/2,5d2.6p,334910*,3/2,,T9718,L19873,
Pt,8,31.64025,0.00030,31.64032,0.00007,32,1.07e+09,,38152.7,354205.1,5d3,2D2,3/2,5d2.6p,354205*,5/2,,T9718,L19873,
Pt,8,31.68147,0.00030,31.68127,0.00007,56,3.32e+09,,31715.8,347359.7,5d3,2G,7/2,5d2.6p,347359*,5/2,,T9718,L19873,
Pt,8,31.73990,0.00030,31.73957,0.00007,51,1.64e+09,,17083.8,332147.9,5d3,4F,7/2,5d2.6p,332147*,7/2,,T9718,L19873,
Pt,8,31.77841,0.00030,31.77813,0.00008,31,1.42e+09,,17083.8,331765.6,5d3,4F,7/2,5d2.6p,331765*,5/2,,T9718,L19873,
Pt,8,31.78225,0.00030,31.78243,0.00007,104,1.15e+09,,33389.8,348029.1,5d3,4P,5/2,5d2.6p,348029*,7/2,,T9718,L19873,
Pt,8,31.78649,0.00030,31.78628,0.00008,71,3.10e+09,,33428.0,348029.1,5d3,2H,9/2,5d2.6p,348029*,7/2,,T9718,L19873,
Pt,8,31.87692,0.00030,31.87734,0.00008,28,1.78e+09,,10194.5,323897.0,5d3,4F,5/2,5d2.(3P).6p,4P*,3/2,,T9718,L19873,
Pt,8,31.89559,0.00030,31.89508,0.00008,25,6.13e+08,,31715.8,345243.8,5d3,2G,7/2,5d2.6p,345243*,7/2,,T9718,L19873,
Pt,8,31.91802,0.00030,31.91767,0.00008,28,1.18e+09,,17083.8,330389.9,5d3,4F,7/2,5d2.6p,330389*,9/2,,T9718,L19873,
Pt,8,31.94884,0.00030,31.94869,0.00007,29,9.17e+08,,18763.7,331765.6,5d3,4P,3/2,5d2.6p,331765*,5/2,,T9718,L19873,
Pt,8,31.96871,0.00030,31.96877,0.00014,33,1.30e+09,,39855.7,352661.0,5d3,2P,1/2,5d2.6p,352661*,3/2,,T9718,L19873,
Pt,8,32.07781,0.00030,32.07742,0.00009,46,1.33e+09,,33428.0,345173.8,5d3,2H,9/2,5d2.(1G).6p,2H*,11/2,,T9718,L19873,
Pt,8,32.09426,0.00030,32.09407,0.00008,191,2.98e+09,,20563.9,332147.9,5d3,4F,9/2,5d2.6p,332147*,7/2,,T9718,L19873,
Pt,8,32.23968,0.00030,32.23927,0.00007,46,1.88e+09,,10194.5,320375.2,5d3,4F,5/2,5d2.(3F).6p,4D*,3/2,,T9718,L19873,
Pt,8,32.26919,0.00030,32.26942,0.00009,46,1.13e+09,,22004.0,331894.9,5d3,4P,1/2,5d2.6p,331894*,3/2,,T9718,L19873,
Pt,8,32.27653,0.00030,32.27618,0.00009,63,2.03e+09,,20563.9,330389.9,5d3,4F,9/2,5d2.6p,330389*,9/2,,T9718,L19873,
Pt,8,32.34084,0.00030,32.34079,0.00007,37,9.83e+08,,38152.7,347359.7,5d3,2D2,3/2,5d2.6p,347359*,5/2,,T9718,L19873,
Pt,8,32.37025,0.00030,32.36983,0.00008,48,1.91e+09,,10194.5,319124.1,5d3,4F,5/2,5d2.6p,319124*,7/2,,T9718,L19873,
Pt,8,32.41178,0.00030,32.41115,0.00008,41,4.90e+08,,31715.8,340251.6,5d3,2G,7/2,5d2.6p,340251*,9/2,,T9718,L19873,
Pt,8,32.48476,0.00030,32.48453,0.00007,35,3.12e+09,,46366.3,354205.1,5d3,2D2,5/2,5d2.6p,354205*,5/2,,T9718,L19873,
Pt,8,32.59198,0.00030,32.59202,0.00008,48,1.43e+09,,33428.0,340251.6,5d3,2H,9/2,5d2.6p,340251*,9/2,,T9718,L19873,
Pt,8,32.60973,0.00030,32.60942,0.00010,68,9.10e+09,,0.0,306659.9,5d3,4F,3/2,5d2.(3F).6p,4D*,1/2,,T9718,L19873,
Pt,8,32.70985,0.00030,32.70950,0.00009,159,2.88e+09,,20563.9,326285.5,5d3,4F,9/2,5d2.(3F).6p,4G*,11/2,,T9718,L19873,
Pt,8,32.73189,0.00030,32.73133,0.00009,27,6.83e+08,,10194.5,315712.2,5d3,4F,5/2,5d2.6p,315712*,5/2,,T9718,L19873,
Pt,8,32.89283,0.00030,32.89206,0.00009,22,1.43e+09,,0.0,304024.7,5d3,4F,3/2,5d2.6p,304024*,5/2,,T9718,L19873,
Pt,8,32.94055,0.00030,32.94016,0.00008,72,4.52e+09,,50624.3,354205.1,5d3,2F,5/2,5d2.6p,354205*,5/2,,T9718,L19873,
Pt,8,32.94540,0.00030,32.94513,0.00009,45,1.44e+09,,20563.9,324098.9,5d3,4F,9/2,5d2.6p,324098*,7/2,,T9718,L19873,
Pt,8,33.08693,0.00030,33.08686,0.00008,62,2.43e+09,,17083.8,319318.6,5d3,4F,7/2,5d2.6p,319318*,5/2,,T9718,L19873,
