element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
Pu,2,278.140,,10000,,,,,,,u1,
Pu,2,278.448,,10000,,,,,,,u1,
Pu,2,280.611,,10000,,,,,,,u1,
Pu,2,281.577,,10000,,,,,,,u1,
Pu,2,289.797,,10000,,,,,,,u1,
Pu,2,289.894,,10000,,,,,,,u1,
Pu,2,290.425,,10000,,,,,,,u1,
Pu,2,290.494,,10000,,,,,,,u1,
Pu,2,291.040,,10000,,,,,,,u1,
Pu,2,291.800,,10000,,,,,,,u1,
Pu,2,291.880,,10000,,,,,,,u1,
Pu,2,292.608,,10000,,,,,,,u1,
Pu,2,292.825,,10000,,,,,,,u1,
Pu,2,292.971,,10000,,,,,,,u1,
Pu,2,293.098,,10000,,,,,,,u1,
Pu,2,293.232,,10000,,,,,,,u1,
Pu,2,293.330,,10000,,,,,,,u1,
Pu,2,293.854,,10000,,,,,,,u1,
Pu,2,293.895,,10000,,,,,,,u1,
Pu,2,294.139,,10000,,,,,,,u1,
Pu,2,294.526,,10000,,,,,,,u1,
Pu,2,294.600,,10000,,,,,,,u1,
Pu,2,295.006,,10000,,,,,,,u1,
Pu,2,295.446,,10000,,,,,,,u1,
Pu,2,296.347,,10000,,,,,,,u1,
Pu,2,296.684,,10000,,,,,,,u1,
Pu,2,296.754,,10000,,,,,,,u1,
Pu,2,297.250,,10000,,,,,,,u1,
Pu,2,297.781,,10000,,,,,,,u1,
Pu,2,297.837,,10000,,,,,,,u1,
Pu,2,298.023,,10000,,,,,,,u1,
Pu,2,298.123,,10000,,,,,,,u1,
Pu,2,298.695,,10000,,,,,,,u1,
Pu,2,298.821,,10000,,,,,,,u1,
Pu,2,299.131,,10000,,,,,,,u1,
Pu,2,299.640,,10000,,,,,,,u1,
Pu,2,300.031,,10000,,,,,,,u1,
Pu,2,300.957,,10000,,,,,,,u1,
Pu,2,302.885,,10000,,,,,,,u1,
Pu,2,304.261,,10000,,,,,,,u1,
Pu,2,304.312,,10000,,,,,,,u1,
Pu,2,306.032,,10000,,,,,,,u1,
Pu,2,306.932,,10000,,,,,,,u1,
Pu,2,309.133,,10000,,,,,,,u1,
Pu,2,309.194,,10000,,,,,,,u1,
Pu,2,309.259,,10000,,,,,,,u1,
Pu,2,310.412,,10000,,,,,,,u1,
Pu,2,310.504,,10000,,,,,,,u1,
Pu,2,312.387,,10000,,,,,,,u1,
Pu,2,315.921,,10000,,,,,,,u1,
Pu,2,316.173,,10000,,,,,,,u1,
Pu,2,316.318,,10000,,,,,,,u1,
Pu,2,317.449,,10000,,,,,,,u1,
Pu,2,317.941,,10000,,,,,,,u1,
Pu,2,318.512,,10000,,,,,,,u1,
Pu,2,318.760,,10000,,,,,,,u1,
Pu,2,318.923,,10000,,,,,,,u1,
Pu,2,319.355,,10000,,,,,,,u1,
Pu,2,319.456,,10000,,,,,,,u1,
Pu,2,319.847,,10000,,,,,,,u1,
Pu,2,320.023,,10000,,,,,,,u1,
Pu,2,320.100,,10000,,,,,,,u1,
Pu,2,320.166,,10000,,,,,,,u1,
Pu,2,320.448,,10000,,,,,,,u1,
Pu,2,320.680,,10000,,,,,,,u1,
Pu,2,320.797,,10000,,,,,,,u1,
Pu,1,321.508,,10000,,,,,,,u1,
Pu,2,321.615,,10000,,,,,,,u1,
Pu,2,322.094,,10000,,,,,,,u1,
Pu,2,322.487,,10000,,,,,,,u1,
Pu,2,323.186,,10000,,,,,,,u1,
Pu,2,323.263,,10000,,,,,,,u1,
Pu,2,324.139,,10000,,,,,,,u1,
Pu,2,324.296,,10000,,,,,,,u1,
Pu,2,324.340,,10000,,,,,,,u1,
Pu,1,324.416,,10000,,,,,,,u1,
Pu,2,324.525,,10000,,,,,,,u1,
Pu,2,324.635,,10000,,,,,,,u1,
Pu,2,324.756,,10000,,,,,,,u1,
Pu,1,325.208,,10000,,,,,,,u1,
Pu,2,326.054,,10000,,,,,,,u1,
Pu,2,327.311,,10000,,,,,,,u1,
Pu,2,327.471,,10000,,,,,,,u1,
Pu,1,327.524,,10000,,,,,,,u1,
Pu,1,329.256,,10000,,,,,,,u1,
Pu,1,329.361,,10000,,,,,,,u1,
Pu,1,329.691,,10000,,,,,,,u1,
Pu,1,329.787,,10000,,,,,,,u1,
Pu,2,329.847,,10000,,,,,,,u1,
Pu,1,330.176,,10000,,,,,,,u1,
Pu,1,330.659,,10000,,,,,,,u1,
Pu,1,330.666,,10000,,,,,,,u1,
Pu,2,330.766,,10000,,,,,,,u1,
Pu,1,330.875,,10000,,,,,,,u1,
Pu,2,331.265,,10000,,,,,,,u1,
Pu,2,331.534,,10000,,,,,,,u1,
Pu,2,331.696,,10000,,,,,,,u1,
Pu,1,332.061,,10000,,,,,,,u1,
Pu,1,332.084,,10000,,,,,,,u1,
Pu,1,332.719,,10000,,,,,,,u1,
Pu,2,333.152,,10000,,,,,,,u1,
Pu,1,333.234,,10000,,,,,,,u1,
Pu,2,333.771,,10000,,,,,,,u1,
Pu,2,333.840,,10000,,,,,,,u1,
Pu,1,333.894,,10000,,,,,,,u1,
Pu,2,334.787,,10000,,,,,,,u1,
Pu,1,334.963,,10000,,,,,,,u1,
Pu,2,335.182,,10000,,,,,,,u1,
Pu,2,335.661,,10000,,,,,,,u1,
Pu,2,335.841,,10000,,,,,,,u1,
Pu,2,335.884,,10000,,,,,,,u1,
Pu,2,336.226,,10000,,,,,,,u1,
