element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ra,2,188.870,0.020,188.8639,0.0014,5,,,13742.99,66691.18,6d,2D,5/2,7f,2F*,7/2,,,L3526c160,
Ra,2,190.870,0.020,190.8688,0.0007,8,1.75e+07,B,0.000,52392.02,7s,2S,1/2,8p,2P*,3/2,,T8601,L3526c160,
Ra,2,197.260,0.020,197.2698,0.0012,4,,,21351.3259,72043.33,7p,2P*,1/2,10d,2D,3/2,,,L3526c160,
Ra,2,197.600,0.020,197.6039,0.0009,2,,,0.000,50606.29,7s,2S,1/2,8p,2P*,1/2,,,L3526c160,
Ra,2,200.640,0.020,200.6514,0.0012,2,,,21351.3259,71172.88,7p,2P*,1/2,11s,2S,1/2,,,L3526c160,
Ra,2,201.275,0.010,201.2741,0.0008,3,,,13742.99,63410.43,6d,2D,5/2,9p,2P*,3/2,,,L3526c160,
Ra,2,207.060,0.020,207.058,0.020,2,,,26208.8538,74489,7p,2P*,3/2,11d,2D,5/2,,,L3526c160,
Ra,2,210.760,0.020,210.758,0.020,4,2.67e+07,B,12084.2721,59517,6d,2D,3/2,6f,2F*,5/2,,T8601,L3526c161,
Ra,2,213.100,0.020,213.0944,0.0009,5,,,21351.3259,68264.07,7p,2P*,1/2,9d,2D,3/2,,,L3526c161,
Ra,2,216.990,0.020,216.988,0.020,10,,,13742.99,59814,6d,2D,5/2,6f,2F*,7/2,,,L3526c161,
Ra,2,217.730,0.020,217.7261,0.0014,4,,,26208.8538,72123.74,7p,2P*,3/2,10d,2D,5/2,,,L3526c161,
Ra,2,218.110,0.020,218.1081,0.0014,1,,,26208.8538,72043.33,7p,2P*,3/2,10d,2D,3/2,,,L3526c161,
Ra,2,219.780,0.020,219.7725,0.0011,2,,,21351.3259,66838.72,7p,2P*,1/2,10s,2S,1/2,,,L3526c161,
Ra,2,222.330,0.020,222.3308,0.0015,3,,,26208.8538,71172.88,7p,2P*,3/2,11s,2S,1/2,,,L3526c161,
Ra,2,236.9730,0.0020,236.9730,0.0013,8,,,26208.8538,68394.87,7p,2P*,3/2,9d,2D,5/2,,,L3526c161,
Ra,2,237.7100,0.0020,237.7101,0.0012,3,,,26208.8538,68264.07,7p,2P*,3/2,9d,2D,3/2,,,L3526c161,
Ra,2,246.055,0.003,246.0499,0.0013,8,,,26208.8538,66838.72,7p,2P*,3/2,10s,2S,1/2,,,L3526c161,
Ra,2,247.550,0.003,247.550,0.003,10,,,21351.3259,61735.0,7p,2P*,1/2,8d,2D,3/2,,,L3526c161,
Ra,2,248.011,0.003,248.0164,0.0012,4,7.5e+05,D+,12084.2721,52392.02,6d,2D,3/2,8p,2P*,3/2,,T8601,L3526c161,
Ra,2,258.661,0.003,258.6613,0.0013,8,,,13742.99,52392.02,6d,2D,5/2,8p,2P*,3/2,,,L3526c161,
Ra,2,259.515,0.003,259.5142,0.0015,2,,,12084.2721,50606.29,6d,2D,3/2,8p,2P*,1/2,,,L3526c161,
Ra,2,264.373,0.003,264.3737,0.0021,10,,,21351.3259,59165.3,7p,2P*,1/2,9s,2S,1/2,,,L3526c161,
Ra,2,270.8960,0.0020,270.8960,0.0011,20,3.70e+08,AA,12084.2721,48987.86,6d,2D,3/2,5f,2F*,5/2,,T8601,L3526c163,
Ra,2,279.521,0.007,279.521,0.007,10p(Mg II),,,26208.8538,61973.8,7p,2P*,3/2,8d,2D,5/2,,,L3526c161,
Ra,2,281.3760,0.0020,281.3762,0.0012,30,,,13742.99,49272.14,6d,2D,5/2,5f,2F*,7/2,,,L3526c163,
Ra,2,283.6460,0.0020,283.6458,0.0012,6,,,13742.99,48987.86,6d,2D,5/2,5f,2F*,5/2,,,L3526c163,
Ra,1,295.565,0.005,295.5649,0.0012,2,,,0.0000,33823.63,7s2,1S,0,6d.7p,3P*,1,,,L15862,
Ra,2,303.344,0.004,303.342,0.003,10,,,26208.8538,59165.3,7p,2P*,3/2,9s,2S,1/2,,,L3526c161,
Ra,1,310.180,0.005,310.1810,0.0005,5,,,0.0000,32229.89,7s2,1S,0,6d.7p,3D*,1,,,"L3527,L15862",
Ra,2,342.310,0.020,342.283,0.014,2,,,48987.86,78195.1,5f,2F*,5/2,11g,2G,"7/2,9/2",,,L3526c161,
Ra,2,345.620,0.020,345.647,0.014,2,,,49272.14,78195.1,5f,2F*,7/2,11g,2G,"7/2,9/2",,,L3526c161,
Ra,2,351.480,0.020,351.476,0.014,2,,,48987.86,77431.2,5f,2F*,5/2,10g,2G,"7/2,9/2",,,L3526c161,
Ra,2,355.020,0.020,355.024,0.014,2,,,49272.14,77431.2,5f,2F*,7/2,10g,2G,"7/2,9/2",,,L3526c161,
Ra,2,364.9550,0.0020,364.9566,0.0011,100,,,21351.3259,48744.04,7p,2P*,1/2,7d,2D,3/2,,,L3526c163,
Ra,2,368.6160,0.0020,368.6160,0.0020,3,,,49272.14,76392.92,5f,2F*,7/2,9g,2G,"7/2,9/2",,,L3526c162,
Ra,1,377.157,0.005,,,3,,,,,,,,,,,,,L3527,
Ra,1,377.200,0.005,377.200,0.005,1,,,13715.779,40219.4,7s.6d,3D,1,7s.8f,3F*,2,,,L3527,
Ra,1,381.200,0.005,381.200,0.005,1,,,13993.94,40219.45,7s.6d,3D,2,7s.8f,3F*,3,,,L3527,
Ra,2,381.44219,0.00003,381.44219,0.00003,200,1.880e+08,AA,0.000,26208.8538,7s,2S,1/2,7p,2P*,3/2,,T8601,"L19080,L3526c163",
Ra,2,385.190,0.005,385.189,0.003,5p(Cl II),,,48987.86,74941.76,5f,2F*,5/2,8g,2G,"7/2,9/2",,,L3526c162,
Ra,2,389.455,0.003,389.455,0.003,5,,,49272.14,74941.76,5f,2F*,7/2,8g,2G,"7/2,9/2",,,L3526c162,
Ra,1,391.674,0.005,391.674,0.005,1,,,14707.29,40231.5,7s.6d,3D,3,7s.8f,3F*,4,,,L3527,
Ra,1,394.102,0.005,394.102,0.005,1,,,13993.94,39360.9,7s.6d,3D,2,7s.7f,3F*,3,,,L3527,
Ra,1,401.030,0.005,,,1,,,,,,,,,,,,,L3527,
Ra,1,405.407,0.005,405.407,0.005,1,,,14707.29,39366.9,7s.6d,3D,3,7s.7f,3F*,4,,,L3527,
Ra,1,417.798,0.005,417.798,0.005,4,,,13993.94,37922.2,7s.6d,3D,2,7s.6f,3F*,3,,,L3527,
Ra,2,419.409,0.003,419.4091,0.0025,8,,,48987.86,72824.21,5f,2F*,5/2,7g,2G,"7/2,9/2",,,L3526c162,
Ra,2,419.556,0.003,419.556,0.003,2,,,50606.29,74434.30,8p,2P*,1/2,11d,2D,3/2,,,L3526c162,
Ra,2,422.024,0.003,422.024,0.003,1,,,52392.02,76080.68,8p,2P*,3/2,12d,2D,5/2,,,L3526c162,
Ra,2,424.472,0.004,424.472,0.003,8,,,49272.14,72824.21,5f,2F*,7/2,7g,2G,"7/2,9/2",,,L3526c162,
Ra,1,426.512,0.005,,,3,,,,,,,,,,,,,L3527,
Ra,1,430.500,0.005,430.500,0.005,4,,,14707.29,37929.56,7s.6d,3D,3,7s.6f,3F*,4,,,L3527,
Ra,2,434.064,0.007,434.064,0.008,100p(H I),,,26208.8538,49240.45,7p,2P*,3/2,7d,2D,5/2,,,L3526c162,
Ra,1,436.630,0.005,,,2,,,,,,,,,,,,,L3527,
Ra,1,442.635,0.005,,,2,,,,,,,,,,,,,L3527,
Ra,2,443.6270,0.0020,443.6259,0.0018,20,,,26208.8538,48744.04,7p,2P*,3/2,7d,2D,3/2,,,L3526c163,
Ra,1,444.447,0.005,,,1,,,,,,,,,,,,,L3527,
Ra,2,453.3110,0.0020,453.3111,0.0010,30,,,21351.3259,43405.05,7p,2P*,1/2,8s,2S,1/2,,,L3526c163,
Ra,1,464.1290,0.0020,464.1284,0.0019,8,,,13715.779,35255.51,7s.6d,3D,1,7s.5f,3F*,2,,,L3527,
Ra,2,466.352,0.005,466.352,0.005,3,,,50606.29,72043.33,8p,2P*,1/2,10d,2D,3/2,,,L3526c162,
Ra,1,467.219,0.005,467.217,0.003,1,,,13078.40,34475.74,7s.7p,3P*,0,7s.9s,3S,1,,,L3527,
Ra,2,468.223940,0.000017,468.223940,0.000018,100,1.061e+08,A+,0.000,21351.3259,7s,2S,1/2,7p,2P*,1/2,,T8601,"L19080,L3526c163",
Ra,1,469.9280,0.0020,469.9272,0.0018,8,,,13993.94,35267.88,7s.6d,3D,2,7s.5f,3F*,3,,,L3527,
Ra,1,470.197,0.005,470.2006,0.0020,2,,,13993.94,35255.51,7s.6d,3D,2,7s.5f,3F*,2,,,L3527,
Ra,1,474.007,0.005,,,2,,,,,,,,,,,,,L3527,
Ra,1,480.311,0.005,,,3,,,,,,,,,,,,,L3527,
Ra,1,482.592806,0.000012,482.59281,0.00012,100,1.770e+08,AA,0.0000,20715.6142,7s2,1S,0,7s.7p,1P*,1,,T3403,"L3527,L18892",
Ra,1,483.727,0.005,483.7268,0.0017,3,,,13715.779,34382.83,7s.6d,3D,1,6d.7p,3P*,2,,,L3527,
Ra,1,485.6070,0.0020,485.6071,0.0020,10,,,14707.29,35294.32,7s.6d,3D,3,7s.5f,3F*,4,,,L3527,
Ra,2,485.941,0.005,485.942,0.004,10,,,48987.86,69560.68,5f,2F*,5/2,6g,2G,"7/2,9/2",,,L3526c162,
Ra,1,486.227,0.005,486.2315,0.0021,2,,,14707.29,35267.88,7s.6d,3D,3,7s.5f,3F*,3,,,L3527,
Ra,1,488.228,0.005,488.231,0.003,3,,,13999.3569,34475.74,7s.7p,3P*,1,7s.9s,3S,1,,,L3527,
Ra,1,490.324,0.005,490.3263,0.0017,4,,,13993.94,34382.83,7s.6d,3D,2,6d.7p,3P*,2,,,L3527,
Ra,2,492.753,0.005,492.752,0.004,10,,,49272.14,69560.68,5f,2F*,7/2,6g,2G,"7/2,9/2",,,L3526c162,
Ra,1,497.177,0.005,497.179,0.003,5,,,13715.779,33823.63,7s.6d,3D,1,6d.7p,3P*,1,,,"L3527,L15862",
Ra,1,498.203,0.005,498.203,0.005,4,,,13715.779,33782.32,7s.6d,3D,1,6d.7p,3P*,0,,,"L3527,L15862",
Ra,2,499.726,0.005,499.726,0.005,3,,,43405.05,63410.43,8s,2S,1/2,9p,2P*,3/2,,,L3526c162,
Ra,1,504.156,0.005,504.154,0.004,5,,,13993.94,33823.63,7s.6d,3D,2,6d.7p,3P*,1,,,"L3527,L15862",
Ra,2,506.657,0.005,506.657,0.005,3,,,52392.02,72123.74,8p,2P*,3/2,10d,2D,5/2,,,L3526c162,
Ra,1,508.1030,0.0020,508.1036,0.0017,6,,,14707.29,34382.83,7s.6d,3D,3,6d.7p,3P*,2,,,L3527,
Ra,1,509.756,0.005,,,10,,,,,,,,,,,,,L3527,
Ra,1,520.5930,0.0020,520.5948,0.0015,10,,,13993.94,33197.39,7s.6d,3D,2,6d.7p,3D*,3,,,L3527,
Ra,1,526.396,0.005,,,4,,,,,,,,,,,,,L3527,
Ra,1,527.791,0.005,527.7849,0.0008,2,,,13999.3569,32941.20,7s.7p,3P*,1,7p2?,3P,2,,,L3527,
Ra,1,528.3280,0.0020,528.3277,0.0014,10,,,13078.40,32000.78,7s.7p,3P*,0,7s.7d,3D,1,,,L3527,
Ra,1,532.0290,0.0020,532.0290,0.0014,10,,,13715.779,32506.52,7s.6d,3D,1,6d.7p,3D*,2,,,L3527,
Ra,2,532.309,0.006,532.309,0.006,1,,,52392.02,71172.88,8p,2P*,3/2,11s,2S,1/2,,,L3526c162,
Ra,1,539.9800,0.0020,539.9784,0.0014,10,,,13715.779,32229.89,7s.6d,3D,1,6d.7p,3D*,1,,,L3527,
Ra,1,540.0230,0.0020,540.0231,0.0013,20,3.4e+07,D+,13993.94,32506.52,7s.6d,3D,2,6d.7p,3D*,2,,T8060,L3527,
Ra,1,540.6810,0.0020,540.6796,0.0016,20,4.2e+07,D+,14707.29,33197.39,7s.6d,3D,3,6d.7p,3D*,3,,T8060,L3527,
Ra,1,548.2130,0.0020,548.2150,0.0015,8,,,13993.94,32229.89,7s.6d,3D,2,6d.7p,3D*,1,,,L3527,
Ra,1,548.832,0.005,548.8334,0.0017,4,,,13999.3569,32214.76,7s.7p,3P*,1,7p2?,1D,2,,,L3527,
Ra,1,549.783,0.005,,,2,,,,,,,,,,,,,L3527,
Ra,1,550.1980,0.0020,550.1985,0.0018,10,,,13078.40,31248.61,7s.7p,3P*,0,7p2?,3P,1,,,L3527,
Ra,1,550.550,0.005,550.5542,0.0024,4,,,13715.779,31874.25,7s.6d,3D,1,7s.8p,3P*,2,,,"L3527,L15862",
Ra,1,554.425,0.005,,,3,,,,,,,,,,,,,L3527,
Ra,1,555.3570,0.0020,555.3574,0.0015,10,,,13999.3569,32000.78,7s.7p,3P*,1,7s.7d,3D,1,,,L3527,
Ra,1,555.5850,0.0020,555.5852,0.0018,20,4.3e+07,D+,13999.3569,31993.40,7s.7p,3P*,1,7s.7d,3D,2,,T8060,L3527,
Ra,1,559.115,0.005,559.1192,0.0024,2,,,13993.94,31874.25,7s.6d,3D,2,7s.8p,3P*,2,,,"L3527,L15862",
