element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Rb,29,0.6044,0.0003,0.6044,4,,,0,16545000,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2D,3/2,,,L5122,
Rb,29,0.6055,0.0003,0.6055,4,,,0,16515000,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2D,5/2,,,L5122,
Rb,29,0.6059,0.0003,0.6059,4,,,0,16504000,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2P,3/2,,,L5122,
Rb,29,0.6062,0.0003,0.6062,2,,,0,16496000,2s2.2p5,2P*,3/2,2s2.2p4.(1D).3d,2S,1/2,,,L6893,
Rb,29,0.6107,0.0003,0.6107,2,,,0,16375000,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,2D,5/2,,,L6893,
Rb,29,0.6122,0.0003,0.6122,1,,,0,16335000,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,2D,3/2,,,L6893,
Rb,29,0.6218,0.0003,0.6234,3,,,504370,16545000,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3d,2D,3/2,,,L6893,
Rb,29,0.6231,0.0003,0.6253,1*,,,504370,16496000,2s2.2p5,2P*,1/2,2s2.2p4.(1D).3d,2S,1/2,,,L6893,
Rb,29,0.6231,0.0003,0.6231,1*,,,0,16049000,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,4F,5/2,,,L6893,
Rb,29,0.6251,0.0003,0.6251,4,,,0,15997000,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3d,4P,3/2,,,L6893,
Rb,29,0.6502,0.0003,0.6502,7,,,0,15380000,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,2D,5/2,,,L6893,
Rb,29,0.6741,0.0003,0.6741,3,,,0,14835000,2s2.2p5,2P*,3/2,2s2.2p4.(3P).3s,2P,3/2,,,L6893,
Rb,30,5.0520,0.0010,5.05,13,,,0,1979400,2s2.2p4,3P,2,2s.2p5,3P*,1,,,L6492,
Rb,30,5.1200,0.0010,5.12,12,,,584100,2537200,2s2.2p4,1D,2,2s.2p5,1P*,1,,,L6492,
Rb,30,5.5143,0.0005,5.51,35,,,481500,2295000,2s2.2p4,3P,1,2s.2p5,3P*,0,,,L6492,
Rb,30,5.6310,0.0010,5.63,13,,,0,1775900,2s2.2p4,3P,2,2s.2p5,3P*,2,,,L6492,
Rb,12,7.2754,0.0005,7.2755,80,4.07e+10,,57680,1432160,3p6.3d8,1G,4,3d7.(2<1>D).4p,1F*,3,,T5462,L6380,
Rb,12,7.3324,0.0005,7.3321,50,2.12e+10,,46580,1410450,3p6.3d8,3P,1,3d7.(2<1>D).4p,3P*,2,,T5462,L6380,
Rb,12,7.3398,0.0005,7.3401,50,2.42e+10,,48070,1410450,3p6.3d8,3P,2,3d7.(2<1>D).4p,3P*,2,,T5462,L6380,
Rb,12,7.3521,0.0005,7.3521,16,1.06e+10,,57680,1417830,3p6.3d8,1G,4,3d7.(2<1>D).4p,3F*,3,,T5462,L6380,
Rb,12,7.4297,0.0005,7.4298,14,1.60e+10,,48070,1394010,3p6.3d8,3P,2,3d7.(2F).4p,1F*,3,,T5462,L6380,
Rb,12,7.4510,0.0005,7.4511,16,1.14e+10,,34020,1376100,3p6.3d8,1D,2,3d7.(2F).4p,3F*,2,,T5462,L6380,
Rb,12,7.4744,0.0005,7.4742,5,8.14e+09,,34020,1371950,3p6.3d8,1D,2,3d7.(2F).4p,3D*,3,,T5462,L6380,
Rb,12,7.4828,0.0005,7.4832,140,8.51e+10,,57680,1394010,3p6.3d8,1G,4,3d7.(2F).4p,1F*,3,,T5462,L6380,
Rb,12,7.4855,0.0005,7.4855,40,1.46e+10,,0,1335910,3p6.3d8,3F,4,3d7.(2D).4p,3F*,3,,T5462,L6380,
Rb,12,7.4906,0.0005,7.4908,9,1.26e+10,,10980,1345950,3p6.3d8,3F,3,3d7.(2D).4p,1D*,2,,T5462,L6380,
Rb,12,7.4982,0.0005,7.4982,9,2.30e+10,,15610,1349260,3p6.3d8,3F,2,3d7.(4P).4p,3D*,1,,T5462,L6380,
Rb,12,7.4999,0.0005,7.4996,50,2.82e+10,,46580,1379980,3p6.3d8,3P,1,3d7.(2F).4p,3D*,2,,T5462,L6380,
Rb,12,7.5037,0.0005,7.5040,14,2.67e+10,,46580,1379210,3p6.3d8,3P,1,3d7.(2F).4p,3D*,1,,T5462,L6380,
Rb,12,7.5078,0.0005,7.5080,60,2.24e+10,,48070,1379980,3p6.3d8,3P,2,3d7.(2F).4p,3D*,2,,T5462,L6380,
Rb,12,7.5078,0.0005,7.5076,60,3.60e+10,,47220,1379210,3p6.3d8,3P,0,3d7.(2F).4p,3D*,1,,T5462,L6380,
Rb,12,7.5121,0.0005,7.5121,50,1.83e+10,,34020,1365200,3p6.3d8,1D,2,3d7.(2F).4p,3G*,3,,T5462,L6380,
Rb,12,7.5170,0.0005,7.5169,130,3.69e+10,,0,1330330,3p6.3d8,3F,4,3d7.(4P).4p,3D*,3,,T5462,L6380,
Rb,12,7.5217,0.0005,7.5215,14,1.60e+10,,46580,1376100,3p6.3d8,3P,1,3d7.(2F).4p,3F*,2,,T5462,L6380,
Rb,12,7.5249,0.0005,7.5249,20,1.30e+10,,48070,1376990,3p6.3d8,3P,2,3d7.(2F).4p,3F*,3,,T5462,L6380,
Rb,12,7.5305,0.0005,7.5305,60,2.83e+10,,0,1327930,3p6.3d8,3F,4,3d7.(2D).4p,3D*,3,,T5462,L6380,
Rb,12,7.5399,0.0005,7.5399,14,1.56e+10,,15610,1341890,3p6.3d8,3F,2,3d7.(2P).4p,3D*,2,,T5462,L6380,
Rb,12,7.5435,0.0005,7.5435,60,8.0e+09,,0,1325640,3p6.3d8,3F,4,3d7.(2G).4p,3G*,5,,T5462,L6380,
Rb,12,7.5487,0.0005,7.5487,50,3.54e+10,,10980,1335710,3p6.3d8,3F,3,3d7.(4P).4p,3P*,2,,T5462,L6380,
Rb,12,7.5533,0.0005,7.5533,320,2.59e+10,,15610,1339540,3p6.3d8,3F,2,3d7.(2H).4p,3G*,3,,T5462,L6380,
Rb,12,7.5533,0.0005,7.5533,320,2.44e+10,,0,1323930,3p6.3d8,3F,4,3d7.(2G).4p,1G*,4,,T5462,L6380,
Rb,12,7.5533,0.0005,7.5531,320,6.27e+10,,34020,1357980,3p6.3d8,1D,2,3d7.(2D).4p,1P*,1,,T5462,L6380,
Rb,12,7.5533,0.0005,7.5536,320,1.34e+10,,48070,1371950,3p6.3d8,3P,2,3d7.(2F).4p,3D*,3,,T5462,L6380,
Rb,12,7.5563,0.0005,7.5563,40,2.11e+10,,34020,1357420,3p6.3d8,1D,2,3d7.(2D).4p,1F*,3,,T5462,L6380,
Rb,12,7.5645,0.0005,7.5646,80,1.56e+10,,0,1321950,3p6.3d8,3F,4,3d7.(2P).4p,3D*,3,,T5462,L6380,
Rb,12,7.5645,0.0005,7.5649,80,1.90e+10,,10980,1332870,3p6.3d8,3F,3,3d7.(2G).4p,3F*,2,,T5462,L6380,
Rb,12,7.5673,0.0005,7.5673,130,2.80e+10,,10980,1332450,3p6.3d8,3F,3,3d7.(2G).4p,3F*,3,,T5462,L6380,
Rb,12,7.5755,0.0005,7.5755,40,2.28e+10,,10980,1331030,3p6.3d8,3F,3,3d7.(4P).4p,3D*,2,,T5462,L6380,
Rb,12,7.5786,0.0005,7.5786,1000,6.95e+10,,0,1319510,3p6.3d8,3F,4,3d7.(2H).4p,3G*,5,,T5462,L6380,
Rb,12,7.5786,0.0005,7.5786,1000,9.77e+10,,10980,1330490,3p6.3d8,3F,3,3d7.(2H).4p,3G*,4,,T5462,L6380,
Rb,12,7.5889,0.0005,7.5889,80,5.80e+10,,15610,1333320,3p6.3d8,3F,2,3d7.(2P).4p,1P*,1,,T5462,L6380,
Rb,12,7.5913,0.0005,7.5915,110,5.72e+10,,15610,1332870,3p6.3d8,3F,2,3d7.(2G).4p,3F*,2,,T5462,L6380,
Rb,12,7.5940,0.0005,7.5939,20,7.14e+09,,15610,1332450,3p6.3d8,3F,2,3d7.(2G).4p,3F*,3,,T5462,L6380,
Rb,12,7.6023,0.0005,7.6021,14,2.14e+10,,15610,1331030,3p6.3d8,3F,2,3d7.(4P).4p,3D*,2,,T5462,L6380,
Rb,12,7.6089,0.0005,7.6088,94,1.70e+10,,57680,1371950,3p6.3d8,1G,4,3d7.(2F).4p,3D*,3,,T5462,L6380,
Rb,12,7.6102,0.0005,7.6102,27,1.90e+10,,15610,1329630,3p6.3d8,3F,2,3d7.(4P).4p,3S*,1,,T5462,L6380,
Rb,12,7.6132,0.0005,7.6132,240,4.80e+10,,10980,1324490,3p6.3d8,3F,3,3d7.(4P).4p,5P*,3,,T5462,L6380,
Rb,12,7.6132,0.0005,7.6132,240,6.22e+09,,0,1313510,3p6.3d8,3F,4,3d7.(2G).4p,3H*,4,,T5462,L6380,
Rb,12,7.6132,0.0005,7.6132,240,4.43e+10,,34020,1347530,3p6.3d8,1D,2,3d7.(2P).4p,3S*,1,,T5462,L6380,
Rb,12,7.6165,0.0005,7.6166,20,7.86e+09,,34020,1346950,3p6.3d8,1D,2,3d7.(2G).4p,1F*,3,,T5462,L6380,
Rb,12,7.6202,0.0005,7.6201,50,2.26e+10,,15610,1327930,3p6.3d8,3F,2,3d7.(2D).4p,3D*,3,,T5462,L6380,
Rb,12,7.6223,0.0005,7.6224,120,1.21e+11,,127270,1439200,3p6.3d8,1S,0,3d7.(2<1>D).4p,3D*,1,,T5462,L6380,
Rb,12,7.6223,0.0005,7.6224,120,3.20e+10,,34020,1345950,3p6.3d8,1D,2,3d7.(2D).4p,1D*,2,,T5462,L6380,
Rb,12,7.6281,0.0005,7.6279,25,1.06e+10,,10980,1321950,3p6.3d8,3F,3,3d7.(2P).4p,3D*,3,,T5462,L6380,
