element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Re,5,59.75911,0.00120,59.76029,0.00014,80,1.70e+08,,0.0,167335.2,5d3,4F,3/2,5d2.(3P).6p,2D*,3/2,,T9811,L20109,
Re,5,61.28916,0.00060,61.28914,0.00011,11,1.50e+08,,4853.0,168014.04,5d3,4F,5/2,5d2.6p,168014*,5/2,,T9811,L20109,
Re,5,61.42167,0.00060,61.42151,0.00023,23,4.38e+08,,32766.4,195575.8,5d3,2P,3/2,5d2.(1S).6p,2P*,3/2,,T9811,L20109,
Re,5,61.43801,0.00060,61.43778,0.00011,7,7.63e+07,,8972.90,171739.2,5d3,4F,7/2,5d2.6p,171739*,7/2,,T9811,L20109,
Re,5,61.54588,0.00060,61.54520,0.00015,5,8.25e+07,,4853.0,167335.2,5d3,4F,5/2,5d2.(3P).6p,2D*,3/2,,T9811,L20109,
Re,5,62.21002,0.00120,62.20902,0.00015,20,1.75e+08,,0.0,160748.4,5d3,4F,3/2,5d2.(3P).6p,4P*,3/2,,T9811,L20109,
Re,5,62.38089,0.00060,62.38155,0.00016,12,1.13e+08,,4853.0,165156.8,5d3,4F,5/2,5d2.6p,165156*,3/2,,T9811,L20109,
Re,5,62.56808,0.00060,62.56830,0.00012,30,1.64e+08,,11913.86,171739.2,5d3,4F,9/2,5d2.6p,171739*,7/2,,T9811,L20109,
Re,5,62.61012,0.00060,62.61011,0.00012,6,1.20e+07,,8972.90,168691.51,5d3,4F,7/2,5d2.(1G).6p,2G*,9/2,,T9811,L20109,
Re,5,62.66732,0.00060,62.66768,0.00012,5,1.00e+07,,4853.0,164424.89,5d3,4F,5/2,5d2.6p,164424*,7/2,,T9811,L20109,
Re,5,62.80117,0.00060,62.80192,0.00012,10,2.90e+08,,19012.9,178243.7,5d3,2G,7/2,5d2.(1G).6p,2F*,5/2,,T9811,L20109,
Re,5,62.80756,0.00060,62.80807,0.00012,27,1.85e+08,,4853.0,164068.22,5d3,4F,5/2,5d2.6p,164068*,5/2,,T9811,L20109,
Re,5,62.87633,0.00040,62.87681,0.00012,110,3.50e+08,,8972.90,168014.04,5d3,4F,7/2,5d2.6p,168014*,5/2,,T9811,L20109,
Re,5,64.01442,0.00080,64.01536,0.00012,13,2.20e+08,,0.0,156212.5,5d3,4F,3/2,5d2.6p,156212*,3/2,,T9811,L20109,
Re,5,64.14492,0.00040,64.14557,0.00016,5,9.75e+07,,4853.0,160748.4,5d3,4F,5/2,5d2.(3P).6p,4P*,3/2,,T9811,L20109,
Re,5,64.32828,0.00040,64.32854,0.00012,28,3.28e+08,,8972.90,164424.89,5d3,4F,7/2,5d2.6p,164424*,7/2,,T9811,L20109,
Re,5,64.47690,0.00040,64.47648,0.00012,20,3.62e+08,,8972.90,164068.22,5d3,4F,7/2,5d2.6p,164068*,5/2,,T9811,L20109,
Re,5,64.49774,0.00080,64.49853,0.00012,10,1.73e+08,,23201.41,178243.7,5d3,2D2,3/2,5d2.(1G).6p,2F*,5/2,,T9811,L20109,
Re,5,64.54403,0.00040,64.54424,0.00017,10,1.33e+08,,12402.7,167335.2,5d3,4P,3/2,5d2.(3P).6p,2D*,3/2,,T9811,L20109,
Re,5,64.63543,0.00040,64.63610,0.00013,26,5.03e+08,,19012.9,173725.21,5d3,2G,7/2,5d2.6p,173725*,5/2,,T9811,L20109,
Re,5,64.77955,0.00040,64.78017,0.00013,20,2.15e+08,,8972.90,163341.12,5d3,4F,7/2,5d2.(3F).6p,2G*,9/2,,T9811,L20109,
Re,5,64.87047,0.00040,64.87031,0.00013,31,4.68e+08,,19966.8,174120.53,5d3,2H,9/2,5d2.(1G).6p,2F*,7/2,,T9811,L20109,
Re,5,65.00514,0.00040,65.00579,0.00013,10,4.67e+07,,0.0,153832.45,5d3,4F,3/2,5d2.6p,153832*,5/2,,T9811,L20109,
Re,5,65.27381,0.00080,65.27482,0.00013,22,2.13e+08,,20922.1,174120.53,5d3,4P,5/2,5d2.(1G).6p,2F*,7/2,,T9811,L20109,
Re,5,65.44276,0.00080,65.44369,0.00013,21,2.57e+08,,20922.1,173725.21,5d3,4P,5/2,5d2.6p,173725*,5/2,,T9811,L20109,
Re,5,65.53153,0.00080,65.53256,0.00021,32,2.63e+08,,19966.8,172562.7,5d3,2H,9/2,5d2.(1G).6p,2H*,11/2,,T9811,L20109,
Re,5,65.56877,0.00040,65.56903,0.00013,176,8.38e+08,,11913.86,164424.89,5d3,4F,9/2,5d2.6p,164424*,7/2,,T9811,L20109,
Re,5,65.66054,0.00040,65.66020,0.00013,19,2.38e+08,,4853.0,157152.26,5d3,4F,5/2,5d2.(1D).6p,2F*,5/2,,T9811,L20109,
Re,5,65.88874,0.00040,65.88813,0.00013,31,3.78e+08,,19966.8,171739.2,5d3,2H,9/2,5d2.6p,171739*,7/2,,T9811,L20109,
Re,5,65.93427,0.00040,65.93456,0.00013,24,2.78e+08,,12402.7,164068.22,5d3,4P,3/2,5d2.6p,164068*,5/2,,T9811,L20109,
Re,5,66.03838,0.00040,66.03831,0.00013,93,6.31e+08,,11913.86,163341.12,5d3,4F,9/2,5d2.(3F).6p,2G*,9/2,,T9811,L20109,
Re,5,66.06805,0.00040,66.06787,0.00013,29,4.38e+08,,4853.0,156212.5,5d3,4F,5/2,5d2.6p,156212*,3/2,,T9811,L20109,
Re,5,66.30007,0.00080,66.29919,0.00013,28,1.88e+08,,14325.4,165156.8,5d3,4P,1/2,5d2.6p,165156*,3/2,,T9811,L20109,
Re,5,66.43477,0.00040,66.43468,0.00013,35,2.40e+08,,23201.41,173725.21,5d3,2D2,3/2,5d2.6p,173725*,5/2,,T9811,L20109,
Re,5,66.80901,0.00080,66.80981,0.00013,25,5.30e+07,,19012.9,168691.51,5d3,2G,7/2,5d2.(1G).6p,2G*,9/2,,T9811,L20109,
Re,5,66.88833,0.00080,66.88743,0.00013,15,1.78e+08,,28738.78,178243.7,5d3,2D2,5/2,5d2.(1G).6p,2F*,5/2,,T9811,L20109,
Re,5,67.09181,0.00040,67.09158,0.00018,35,9.00e+08,,0.0,149050.0,5d3,4F,3/2,5d2.(3F).6p,4D*,1/2,,T9811,L20109,
Re,5,67.11310,0.00040,67.11358,0.00014,20,1.15e+08,,19012.9,168014.04,5d3,2G,7/2,5d2.6p,168014*,5/2,,T9811,L20109,
Re,5,67.12337,0.00040,67.12335,0.00014,13,6.50e+07,,4853.0,153832.45,5d3,4F,5/2,5d2.6p,153832*,5/2,,T9811,L20109,
Re,5,67.23778,0.00040,67.23832,0.00014,12,1.46e+08,,19966.8,168691.51,5d3,2H,9/2,5d2.(1G).6p,2G*,9/2,,T9811,L20109,
Re,5,67.36660,0.00040,67.36654,0.00014,51,3.65e+08,,4853.0,153294.64,5d3,4F,5/2,5d2.6p,153294*,7/2,,T9811,L20109,
Re,5,67.48565,0.00040,67.48578,0.00014,78,7.00e+08,,8972.90,157152.26,5d3,4F,7/2,5d2.(1D).6p,2F*,5/2,,T9811,L20109,
Re,5,67.50155,0.00040,67.50191,0.00014,58,4.60e+08,,0.0,148143.95,5d3,4F,3/2,5d2.6p,148143*,3/2,,T9811,L20109,
Re,5,67.57462,0.00040,67.57465,0.00023,124,2.81e+09,,23201.41,171185.9,5d3,2D2,3/2,5d2.(3P).6p,2P*,1/2,,T9811,L20109,
Re,5,67.78880,0.00040,67.78846,0.00014,27*,8.00e+07,,8972.90,156490.63,5d3,4F,7/2,5d2.(1G).6p,2H*,9/2,,T9811,L20109,
Re,5,67.78880,0.00040,67.7888,0.0003,27*,3.45e+08,,23668.9,171185.9,5d3,2P,1/2,5d2.(3P).6p,2P*,1/2,,T9811,L20109,
Re,5,67.98409,0.00040,67.98469,0.00014,18,2.32e+08,,20922.1,168014.04,5d3,4P,5/2,5d2.6p,168014*,5/2,,T9811,L20109,
Re,5,68.20146,0.00040,68.20129,0.00014,205,5.36e+08,,8972.90,155597.70,5d3,4F,7/2,5d2.6p,155597*,7/2,,T9811,L20109,
Re,5,68.24620,0.00040,68.24587,0.00014,141,5.41e+08,,11913.86,158442.87,5d3,4F,9/2,5d2.6p,158442*,7/2,,T9811,L20109,
Re,5,68.29981,0.00040,68.29990,0.00014,20,4.35e+08,,20922.1,167335.2,5d3,4P,5/2,5d2.(3P).6p,2D*,3/2,,T9811,L20109,
Re,5,68.62718,0.00040,68.62695,0.00019,618,7.44e+08,,11913.86,157629.2,5d3,4F,9/2,5d2.(3F).6p,4G*,11/2,,T9811,L20109,
Re,5,68.73405,0.00120,68.7352,0.0003,1303bl(C II),3.43e+09,,27076.9,172562.7,5d3,2H,11/2,5d2.(1G).6p,2H*,11/2,,T9811,L20109,
Re,5,68.77099,0.00080,68.77012,0.00014,58,1.01e+08,,19012.9,164424.89,5d3,2G,7/2,5d2.6p,164424*,7/2,,T9811,L20109,
Re,5,68.81782,0.00040,68.81791,0.00014,25,1.73e+08,,0.0,145311.00,5d3,4F,3/2,5d2.6p,145311*,3/2,,T9811,L20109,
Re,5,68.93937,0.00040,68.93922,0.00014,26,2.22e+08,,19012.9,164068.22,5d3,2G,7/2,5d2.6p,164068*,5/2,,T9811,L20109,
Re,5,68.97176,0.00040,68.97197,0.00012,154,9.68e+08,,28738.78,173725.21,5d3,2D2,5/2,5d2.6p,173725*,5/2,,T9811,L20109,
Re,5,68.99102,0.00040,68.99106,0.00014,273,1.91e+09,,0.0,144946.32,5d3,4F,3/2,5d2.(3P).6p,2S*,1/2,,T9811,L20109,
Re,5,69.03260,0.00040,69.03238,0.00012,59,1.37e+08,,8972.90,153832.45,5d3,4F,7/2,5d2.6p,153832*,5/2,,T9811,L20109,
Re,5,69.05483,0.00040,69.05475,0.00014,70,3.40e+08,,23201.41,168014.04,5d3,2D2,3/2,5d2.6p,168014*,5/2,,T9811,L20109,
Re,5,69.16718,0.00040,69.16740,0.00014,395,8.40e+08,,11913.86,156490.63,5d3,4F,9/2,5d2.(1G).6p,2H*,9/2,,T9811,L20109,
Re,5,69.22327,0.00080,69.22423,0.00014,5,2.00e+07,,19966.8,164424.89,5d3,2H,9/2,5d2.6p,164424*,7/2,,T9811,L20109,
Re,5,69.23867,0.00040,69.23908,0.00019,139,2.64e+09,,32766.4,177193.5,5d3,2P,3/2,5d2.(3P).6p,2P*,3/2,,T9811,L20109,
Re,5,69.28939,0.00040,69.28963,0.00012,356,8.75e+08,,8972.90,153294.64,5d3,4F,7/2,5d2.6p,153294*,7/2,,T9811,L20109,
Re,5,69.40488,0.00040,69.40498,0.00014,375,2.29e+09,,34161.81,178243.7,5d3,2F,5/2,5d2.(1G).6p,2F*,5/2,,T9811,L20109,
Re,5,69.47973,0.00040,69.47942,0.00014,96,4.18e+08,,0.0,143927.51,5d3,4F,3/2,5d2.6p,143927*,3/2,,T9811,L20109,
Re,5,69.56293,0.00040,69.56278,0.00015,463,2.13e+09,,30365.5,174120.53,5d3,2G,9/2,5d2.(1G).6p,2F*,7/2,,T9811,L20109,
Re,5,69.59744,0.00040,69.59725,0.00015,534,1.38e+09,,11913.86,155597.70,5d3,4F,9/2,5d2.6p,155597*,7/2,,T9811,L20109,
Re,5,69.62881,0.00040,69.62894,0.00015,91,1.42e+08,,34625.26,178243.7,5d3,2F,7/2,5d2.(1G).6p,2F*,5/2,,T9811,L20109,
Re,5,69.67502,0.00040,69.6748,0.0003,45,8.90e+08,,52051.9,195575.8,5d3,2D1,3/2,5d2.(1S).6p,2P*,3/2,,T9811,L20109,
Re,5,69.68497,0.00040,69.68506,0.00012,295,9.70e+08,,20922.1,164424.89,5d3,4P,5/2,5d2.6p,164424*,7/2,,T9811,L20109,
Re,5,69.69812,0.00040,69.69832,0.00015,159,3.18e+08,,0.0,143475.48,5d3,4F,3/2,5d2.6p,143475*,5/2,,T9811,L20109,
Re,5,69.74749,0.00040,69.74750,0.00015,102,3.23e+08,,19966.8,163341.12,5d3,2H,9/2,5d2.(3F).6p,2G*,9/2,,T9811,L20109,
Re,5,69.78808,0.00040,69.78808,0.00015,700,2.38e+09,,4853.0,148143.95,5d3,4F,5/2,5d2.6p,148143*,3/2,,T9811,L20109,
Re,5,69.85876,0.00040,69.85869,0.00015,758,2.70e+09,,20922.1,164068.22,5d3,4P,5/2,5d2.6p,164068*,5/2,,T9811,L20109,
Re,5,69.87671,0.00040,69.8770,0.0003,408,5.67e+09,,52467.1,195575.8,5d3,2D1,5/2,5d2.(1S).6p,2P*,3/2,,T9811,L20109,
Re,5,69.89079,0.00040,69.89094,0.00015,141,4.52e+08,,19012.9,162092.97,5d3,2G,7/2,5d2.6p,162092*,5/2,,T9811,L20109,
Re,5,69.91468,0.00040,69.91458,0.00015,92,9.38e+08,,34161.81,177193.5,5d3,2F,5/2,5d2.(3P).6p,2P*,3/2,,T9811,L20109,
Re,5,69.93007,0.00040,69.92986,0.00015,77,2.95e+08,,28738.78,171739.2,5d3,2D2,5/2,5d2.6p,171739*,7/2,,T9811,L20109,
Re,5,69.97684,0.00040,69.97683,0.00015,46,5.90e+07,,8972.90,151877.34,5d3,4F,7/2,5d2.(3F).6p,4G*,9/2,,T9811,L20109,
Re,5,70.58900,0.00040,70.58922,0.00020,46,6.60e+08,,14325.4,155990.1,5d3,4P,1/2,5d2.6p,155990*,3/2,,T9811,L20109,
Re,5,70.61431,0.00040,70.61418,0.00020,679,1.57e+09,,27076.9,168691.51,5d3,2H,11/2,5d2.(1G).6p,2G*,9/2,,T9811,L20109,
Re,5,70.70669,0.00040,70.70648,0.00012,184,5.05e+08,,12402.7,153832.45,5d3,4P,3/2,5d2.6p,153832*,5/2,,T9811,L20109,
Re,5,70.73103,0.00040,70.73097,0.00015,200,3.96e+08,,11913.86,153294.64,5d3,4F,9/2,5d2.6p,153294*,7/2,,T9811,L20109,
Re,5,70.73437,0.00040,70.73451,0.00015,1126,8.85e+09,,30365.5,171739.2,5d3,2G,9/2,5d2.6p,171739*,7/2,,T9811,L20109,
Re,5,70.91080,0.00040,70.91062,0.00015,918,6.94e+09,,0.0,141022.6,5d3,4F,3/2,5d2.(3P).6p,4D*,1/2,,T9811,L20109,
Re,5,70.94278,0.00040,70.94271,0.00015,56,3.35e+08,,32766.4,173725.21,5d3,2P,3/2,5d2.6p,173725*,5/2,,T9811,L20109,
Re,5,71.19551,0.00040,71.19566,0.00015,897,4.09e+09,,4853.0,145311.00,5d3,4F,5/2,5d2.6p,145311*,3/2,,T9811,L20109,
Re,5,71.44695,0.00040,71.44721,0.00015,874,2.85e+09,,11913.86,151877.34,5d3,4F,9/2,5d2.(3F).6p,4G*,9/2,,T9811,L20109,
