element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Rn,1,351.460,,5,,,,,,,,,,,,,L7432,
Rn,1,373.989,,10,,,,,,,,,,,,,L7432,
Rn,1,375.365,,20,,,,,,,,,,,,,L7432,
Rn,1,391.720,,10,,,,,,,,,,,,,L7432,
Rn,1,394.172,,10,,,,,,,,,,,,,L7432,
Rn,1,395.236,,10,,,,,,,,,,,,,L7432,
Rn,1,422.606,,10,,,,,,,,,,,,,L7432,
Rn,1,430.776,,80,,,,,,,,,,,,,L7432,
Rn,1,433.578,,7,,,,,,,,,,,,,L7432,
Rn,1,434.960,434.960+,100,,,54620.35,77604.53,6p5.(2P*<3/2>).7s,2[3/2]*,2,6p5.(2P*<3/2>).8p,2[5/2],3,,,L7432,
Rn,1,443.505,,40,,,,,,,,,,,,,L7432,
Rn,1,445.925,,50,,,,,,,,,,,,,L7432,
Rn,1,450.848,,50,,,,,,,,,,,,,L7432,
Rn,1,457.772,,50,,,,,,,,,,,,,L7432,
Rn,1,460.938,,50,,,,,,,,,,,,,L7432,
Rn,1,472.176,,30,,,,,,,,,,,,,L7432,
Rn,1,572.258,,6,,,,,,,,,,,,,L7432,
Rn,1,606.192,,10,,,,,,,,,,,,,L7432,
Rn,1,620.075,,6,,,,,,,,,,,,,L7432,
Rn,1,638.045,,6,,,,,,,,,,,,,L7432,
Rn,1,655.749,,10,,,,,,,,,,,,,L7432,
Rn,1,660.643,,10,,,,,,,,,,,,,L7432,
Rn,1,662.723,,15,,,,,,,,,,,,,L7432,
Rn,1,666.960,,6,,,,,,,,,,,,,L7432,
Rn,1,670.428,,8,,,,,,,,,,,,,L7432,
Rn,1,675.181,,20,,,,,,,,,,,,,L7432,
Rn,1,680.679,,6,,,,,,,,,,,,,L7432,
Rn,1,683.695,,8,,,,,,,,,,,,,L7432,
Rn,1,683.757,,8,,,,,,,,,,,,,L7432,
Rn,1,689.116,,10,,,,,,,,,,,,,L7432,
Rn,1,699.890,,10,,,,,,,,,,,,,L7432,
Rn,1,705.542,705.543+,200,,,54620.35,68789.93,6p5.(2P*<3/2>).7s,2[3/2]*,2,6p5.(2P*<3/2>).7p,2[3/2],2,,,L7432,
Rn,1,726.811,726.811+,100,,,55989.03,69743.98,6p5.(2P*<3/2>).7s,2[3/2]*,1,6p5.(2P*<3/2>).7p,2[1/2],0,,,L7432,
Rn,1,729.100,,20,,,,,,,,,,,,,L7432,
Rn,1,732.098,,6,,,,,,,,,,,,,L7432,
Rn,1,741.904,,10,,,,,,,,,,,,,L7432,
Rn,1,745.000,745.000+,300,,,54620.35,68039.48,6p5.(2P*<3/2>).7s,2[3/2]*,2,6p5.(2P*<3/2>).7p,2[5/2],3,,,L7432,
Rn,1,747.089,,8,,,,,,,,,,,,,L7432,
Rn,1,748.313,,8,,,,,,,,,,,,,L7432,
Rn,1,751.413,,8,,,,,,,,,,,,,L7432,
Rn,1,751.692,,8,,,,,,,,,,,,,L7432,
Rn,1,752.393,,6,,,,,,,,,,,,,L7432,
Rn,1,759.755,,6,,,,,,,,,,,,,L7432,
Rn,1,760.128,,8,,,,,,,,,,,,,L7432,
Rn,1,765.748,,10,,,,,,,,,,,,,L7432,
Rn,1,773.843,,10,,,,,,,,,,,,,L7432,
Rn,1,774.664,,20,,,,,,,,,,,,,L7432,
Rn,1,780.982,780.980+,100,,,55989.03,68789.93,6p5.(2P*<3/2>).7s,2[3/2]*,1,6p5.(2P*<3/2>).7p,2[3/2],2,,,L7432,
Rn,1,804.900,,20,,,,,,,,,,,,,L7432,
Rn,1,809.951,809.949+,100,,,55989.03,68332.10,6p5.(2P*<3/2>).7s,2[3/2]*,1,6p5.(2P*<3/2>).7p,2[3/2],1,,,L7432,
Rn,1,817.384,,6,,,,,,,,,,,,,L7432,
Rn,1,827.096,827.095+,100,,,54620.35,66707.53,6p5.(2P*<3/2>).7s,2[3/2]*,2,6p5.(2P*<3/2>).7p,2[5/2],2,,,L7432,
Rn,1,831.451,,8,,,,,,,,,,,,,L7432,
Rn,1,834.974,,6,,,,,,,,,,,,,L7432,
Rn,1,838.105,,10,,,,,,,,,,,,,L7432,
Rn,1,848.748,,10,,,,,,,,,,,,,L7432,
Rn,1,849.489,,10,,,,,,,,,,,,,L7432,
Rn,1,852.095,,20,,,,,,,,,,,,,L7432,
Rn,1,860.007,860.007+,100,,,54620.35,66244.97,6p5.(2P*<3/2>).7s,2[3/2]*,2,6p5.(2P*<3/2>).7p,2[1/2],1,,,L7432,
Rn,1,863.976,,10,,,,,,,,,,,,,L7432,
Rn,1,867.583,,15,,,,,,,,,,,,,L7432,
Rn,1,880.775,,10,,,,,,,,,,,,,L7432,
Rn,1,932.702,,50,,,,,,,,,,,,,L7432,
Rn,1,994.857,,6,,,,,,,,,,,,,L7432,
Rn,1,1010.613,,5,,,,,,,,,,,,,L7432,

